pXC50,ALOGP,ATS3e,ATS3i,ATS3p,ATS4i,ATSC1m,ATSC1v,ATSC2v,ATSC3i,ATSC3p,ATSC3v,ATSC4m,ATSC4v,ATSC5i,ATSC5p,ATSC5v,BIC0,BIC2,BLTA96,BLTD48,BLTF96,C.,C.002,CATS2D_02_LL,CATS2D_03_AL,CATS2D_03_LL,CATS2D_07_LL,CIC0,CIC1,CIC2,Eig03_EA,Eig04_AEA.ed.,Eig04_EA.ed.,GATS2e,GATS3m,GATS4s,Hy,LOC,MATS1e,MATS2e,MATS3e,MATS5s,MATS8e,MATS8s,MCD,MLOGP,MLOGP2,nH,NssCH2,O.,P_VSA_MR_1,PW3,RBF,SaaN,SIC0,SM08_EA.ed.,SM09_EA.ed.,SM10_EA.ed.,SM11_AEA.bo.,SM11_EA.ed.,SM12_EA.ed.,SM13_AEA.dm.,SM14_EA,SM15_EA,SpMAD_AEA.bo.,SpMAD_AEA.ri.,SpMAD_EA,SpMAD_EA.ri.,SpMax2_Bh.i.,SpMin1_Bh.m.,SpMin2_Bh.e.,SpMin2_Bh.i.,SpMin2_Bh.m.,SpMin2_Bh.p.,SpMin2_Bh.s.,SpMin2_Bh.v.,SpMin3_Bh.e.,SpMin3_Bh.i.,SpMin3_Bh.m.,SpMin3_Bh.p.,SpMin3_Bh.s.,SpMin3_Bh.v.,SpMin6_Bh.i.,SpMin7_Bh.e.,SpMin7_Bh.v.,SpMin8_Bh.e.,SpMin8_Bh.i.,SssCH2,X1A,X3v,X4v,Eig03_AEA.ri.,MATS3s,Psi_e_A,Psi_i_A,SpMin4_Bh.v.,ATSC5m,SM08_EA.ri.,GATS1s,GATS3s,Eig02_AEA.ri.,Eig02_EA,GATS3e,GATS3i,MATS3i,SM04_EA.ed.,SM07_AEA.ed.,SM07_EA.ri.,SM10_AEA.bo.,GATS2m,ATS2p,ATS3v,ATS4e,ATSC3m,BIC3,Eig03_EA.ri.,Eig04_EA.ri.,Eig05_EA.ed.,Eta_B,GATS3v,GATS4i,P_VSA_e_1,P_VSA_LogP_3,P_VSA_m_1,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,PW2,SIC2,SM03_EA.ri.,SM04_EA.ri.,SM14_AEA.dm.,SpMin4_Bh.p.,X2v,MATS1s,MATS6m,GATS6m,SM09_EA.ri.,ATSC6v,CATS2D_06_AN,Eta_C_A,GATS4p,JGI10,MATS7e,MATS7s,SpDiam_AEA.dm.,SpMax2_Bh.e.,SpMin1_Bh.e.,SpMin1_Bh.i.,AAC,AECC,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2s,ATS2v,ATS3m,ATS3s,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1p,ATSC1s,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC3e,ATSC3s,ATSC4e,ATSC4i,ATSC4p,ATSC4s,ATSC5e,ATSC5s,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC1,BIC4,BIC5,BID,BLI,C.001,C.003,C.005
4.873,-0.641,4.615,4.735,3.918,4.872,6.409,3.962,7.21,1.232,7.803,7.146,24.06,8.386,1.275,9.125,8.296,0.343,0.894,-1.45,-1.53,-1.58,34.0,0,1,1,0,0,3.548,1.187,0.33,2.765,5.347,6.74,0.753,1.034,1.102,1.829,1.428,-0.121,0.071,-0.14,0.018,-0.05,0.048,0.433,0.218,0.047,17,2,14.9,153.024,0.339,0.163,3.98,0.361,20.638,23.071,25.618,2.765,28.111,30.648,6.74,17.496,18.703,1.553,1.512,1.516,1.412,3.881,1.934,1.615,1.592,1.734,1.83,0.966,1.792,1.496,1.471,1.662,1.742,0.701,1.712,1.1,1.038,1.325,1.001,0.963,-0.009,0.445,6.162,4.685,3.743,-0.145,8.361,2.861,1.605,26.599,10.001,0.683,1.021,3.975,3.011,1.02,1.014,0.099,11.08,14.69,8.804,3.011,1.009,3.832,3.909,4.75,19.1,0.894,2.697,2.14,5.871,0.933,0.991,1.114,153.024,40.546,153.024,153.024,153.024,153.024,0.584,0.941,4.169,5.97,5.871,1.615,8.087,-0.089,-0.072,1.01,11.051,8.634,1,0.963,1.118,0.008,0.03,0.082,6.535,3.86,1.886,1.863,2.007,11.567,0.411,107.133,9.692,0.156,4.001,4.084,3.826,3.496,5.311,3.498,4.487,4.607,4.204,5.885,3.816,4.223,5.98,4.358,3.967,6.167,3.98,4.823,4.944,4.43,3.92,6.455,3.957,4.766,4.923,4.211,3.897,6.213,3.869,4.717,4.88,4.152,3.857,6.21,3.81,4.571,4.722,4.091,3.724,6.149,3.674,0.347,0.744,4.357,37.96,0.81,1.13,20.985,7.307,84.989,0.899,105.655,1.077,1.294,9.028,129.565,1.481,225.096,1.303,1.253,26.442,8.876,161.755,1.258,1.191,32.895,9.596,164.392,9.37,1.065,1.041,25.17,8.171,182.257,7.523,79,46,0.747,0.894,0.894,3.441,0.969,1,0,1
4.611,-1.342,4.904,5.091,4.172,5.211,11.798,6.37,11.356,1.533,12.32,15.51,44.484,15.869,1.466,10.937,14.577,0.294,0.835,-1.96,-2.01,-2.01,33.3,1,4,4,2,0,3.96,2.213,0.804,2.803,5.887,7.712,0.622,1.228,1.127,1.05,1.251,-0.099,0.09,0.018,0.011,-0.216,-0.258,0.462,0.725,0.526,25,2,9.8,188.338,0.369,0.094,0.0,0.302,21.054,23.574,26.184,2.803,28.758,31.363,7.712,17.93,19.181,1.594,1.572,1.566,1.492,3.921,1.99,1.694,1.673,1.853,1.897,1.232,1.885,1.625,1.58,1.785,1.777,1.02,1.797,1.231,1.075,1.367,0.934,0.804,1.222,0.434,6.946,5.555,3.772,-0.03,8.141,2.641,1.682,38.092,10.277,0.689,0.812,3.935,2.968,0.793,1.185,-0.025,11.239,14.848,9.045,2.968,0.854,3.965,4.056,5.008,38.435,0.868,2.704,2.259,6.873,1.026,1.14,1.105,258.964,60.694,258.964,258.964,258.964,258.964,0.608,0.858,4.247,6.033,6.873,1.651,8.783,-0.073,-0.058,0.992,11.397,17.125,0,1.202,1.216,0.01,0.104,0.089,6.479,3.868,1.842,1.808,1.713,9.538,1.802,97.933,7.52,0.0,4.032,4.147,3.625,3.512,5.128,3.478,4.618,4.801,4.057,5.721,3.893,4.213,6.001,4.237,4.15,6.202,4.058,4.959,5.149,4.13,4.102,6.242,4.018,5.048,5.289,3.933,4.092,6.05,3.937,4.955,5.225,3.748,3.872,6.112,3.723,4.596,4.805,3.547,3.537,5.863,3.503,0.123,0.757,4.973,20.774,0.479,1.238,24.926,8.624,61.96,0.633,75.471,0.854,1.527,12.643,131.432,0.889,146.366,0.794,1.481,41.485,12.678,125.393,1.015,1.239,45.536,11.325,153.913,15.278,0.747,0.863,24.346,6.362,113.591,8.822,92,43,0.593,0.868,0.868,3.305,1.031,2,2,2
5.26,-0.135,4.589,4.711,3.855,4.839,6.263,3.629,6.518,1.131,7.359,7.225,24.257,7.803,1.167,8.043,7.371,0.334,0.899,-0.37,-0.5,-0.66,35.6,0,1,2,0,1,3.556,1.068,0.283,2.758,5.234,6.164,0.787,0.987,1.104,1.834,1.435,-0.132,0.058,-0.074,-0.018,0.041,0.173,0.448,-0.862,0.744,16,2,17.8,141.253,0.34,0.17,0.0,0.353,20.628,23.065,25.612,2.758,28.106,30.644,6.164,17.476,18.685,1.544,1.505,1.505,1.437,3.908,1.933,1.621,1.602,1.722,1.833,0.964,1.789,1.495,1.466,1.656,1.727,0.752,1.684,1.097,1.027,1.315,0.966,0.949,-0.173,0.447,5.417,4.118,3.741,-0.106,8.425,2.925,1.592,23.693,10.031,0.688,0.931,3.974,2.984,0.914,1.035,0.083,11.049,14.656,8.821,2.984,1.056,3.745,3.862,4.721,17.661,0.907,2.703,2.157,5.724,0.827,1.012,1.139,141.253,30.692,141.253,141.253,141.253,141.253,0.578,0.948,4.115,5.985,5.724,1.588,6.931,-0.091,-0.124,1.152,11.079,7.503,1,0.889,1.2,0.009,0.229,0.2,6.535,3.9,1.886,1.863,1.936,10.897,0.018,97.246,9.432,0.161,3.969,4.046,3.733,3.4,5.305,3.444,4.449,4.556,4.09,5.907,3.763,4.163,5.936,4.301,3.892,6.169,3.933,4.787,4.898,4.327,3.845,6.449,3.909,4.752,4.905,4.108,3.779,6.177,3.796,4.635,4.795,4.063,3.714,6.208,3.715,4.517,4.687,3.886,3.578,6.126,3.568,0.387,0.675,3.942,40.862,0.888,1.002,17.754,6.578,92.315,0.961,108.458,1.233,1.191,8.208,142.329,1.543,225.687,1.499,1.121,26.941,7.601,175.927,1.272,1.009,25.052,7.728,168.462,8.675,1.118,0.893,21.096,6.833,184.855,7.548,64,44,0.764,0.907,0.907,3.408,0.888,0,0,1
5.004,-1.643,4.473,4.661,3.722,4.65,7.943,4.172,7.468,0.976,7.534,9.286,23.224,9.074,0.872,7.053,8.813,0.338,0.902,-1.83,-1.89,-1.9,32.4,1,3,2,0,0,3.385,1.325,0.345,2.055,5.119,5.54,0.61,1.186,0.987,2.076,2.012,-0.164,0.107,-0.049,-0.04,-0.313,-0.299,0.35,0.595,0.354,17,3,10.8,94.169,0.341,0.158,0.0,0.35,20.685,23.179,25.762,2.055,28.3,30.871,5.54,17.567,18.809,1.527,1.498,1.498,1.411,3.699,1.975,1.639,1.62,1.773,1.806,1.084,1.818,1.477,1.42,1.655,1.692,0.894,1.667,0.877,0.521,0.946,0.46,0.376,1.587,0.452,4.588,3.635,2.975,-0.087,8.3,2.8,1.603,28.104,9.902,0.8,0.884,3.745,2.776,0.894,1.038,0.065,10.863,14.446,8.652,2.776,0.982,3.59,3.627,4.483,25.599,0.902,1.893,1.851,4.267,0.601,1.004,1.231,153.024,42.683,153.024,153.024,153.024,153.024,0.575,0.934,3.771,5.622,4.267,1.582,5.916,-0.115,0.01,1.046,11.03,8.21,1,0.973,1.266,0.008,0.098,0.103,6.322,3.631,1.829,1.795,1.824,8.65,2.699,75.685,8.092,0.0,3.722,3.832,3.374,3.204,4.925,3.177,4.234,4.397,3.717,5.478,3.516,3.821,5.598,3.924,3.685,5.825,3.622,4.551,4.754,3.654,3.569,5.938,3.478,4.354,4.593,3.399,3.396,5.429,3.276,4.142,4.309,3.275,3.165,5.711,3.112,4.095,4.32,2.882,2.951,5.423,2.895,0.153,0.555,3.496,26.004,0.394,0.846,16.972,6.155,59.454,0.547,69.987,0.534,0.925,7.631,86.257,0.872,154.153,0.507,0.733,23.564,6.406,78.973,0.627,0.584,17.992,4.705,105.247,5.774,0.565,0.501,14.913,3.492,87.331,4.877,50,30,0.72,0.902,0.902,3.058,1.039,1,1,0
3.866,0.477,4.715,4.875,4.026,5.058,8.684,4.847,8.917,1.356,10.629,12.22,33.506,12.175,1.135,8.41,10.299,0.311,0.785,-2.29,-2.33,-2.29,37.2,0,9,3,3,2,3.662,1.673,0.974,2.883,5.712,7.253,0.49,1.481,1.113,1.86,0.901,-0.12,0.179,0.056,0.026,0.0,0.088,0.542,1.062,1.127,19,0,9.3,105.94,0.364,0.089,0.0,0.325,21.346,23.91,26.545,2.883,29.153,31.786,7.253,18.232,19.505,1.601,1.566,1.564,1.503,3.941,2.04,1.768,1.731,1.904,1.964,1.181,1.946,1.678,1.648,1.811,1.812,1.129,1.843,0.821,0.886,1.138,0.787,0.737,0.0,0.432,5.985,4.751,3.87,-0.04,8.191,2.691,1.618,30.139,10.262,0.692,0.856,4.013,3.043,0.784,1.25,-0.118,11.316,14.938,9.034,3.043,0.894,3.86,3.922,4.846,31.589,0.833,2.827,2.158,5.937,0.935,1.259,1.111,176.567,47.381,176.567,176.567,176.567,176.567,0.607,0.821,4.229,6.003,5.937,1.631,8.244,-0.099,0.029,0.946,11.366,8.94,0,0.988,1.057,0.009,-0.139,-0.076,6.952,3.911,1.921,1.892,1.764,9.5,0.228,87.654,8.127,0.231,3.873,3.983,3.536,3.416,5.05,3.385,4.406,4.554,4.014,5.618,3.787,4.053,5.932,4.098,3.923,6.105,3.877,4.76,4.958,3.848,3.733,6.272,3.68,4.555,4.801,3.58,3.556,5.81,3.469,4.292,4.497,3.516,3.497,5.496,3.41,4.248,4.414,3.517,3.459,5.741,3.378,0.119,0.652,4.118,20.022,0.37,1.078,18.789,7.387,58.207,0.59,82.935,0.642,1.337,9.765,95.71,1.036,195.201,0.761,0.96,26.242,6.801,116.049,0.36,0.792,19.405,6.405,57.38,7.671,0.531,0.759,17.935,5.931,109.217,6.822,51,40,0.662,0.844,0.844,3.229,0.976,2,0,0
2.921,-1.236,4.962,5.151,4.24,5.354,11.499,6.204,11.066,1.723,11.954,15.084,45.942,17.975,1.699,12.526,14.735,0.308,0.857,1.54,1.31,0.97,33.3,2,1,1,0,0,3.964,1.753,0.623,3.007,6.339,9.452,0.739,0.914,0.813,1.725,1.042,-0.065,0.045,0.069,0.104,-0.096,-0.044,0.563,-2.771,7.676,25,6,8.8,200.109,0.354,0.117,4.04,0.32,21.011,23.456,25.987,3.007,28.476,30.999,9.452,17.88,19.087,1.555,1.526,1.527,1.423,3.955,1.999,1.708,1.647,1.861,1.953,1.223,1.937,1.579,1.548,1.86,1.793,1.211,1.793,1.285,1.181,1.488,1.026,1.023,5.346,0.435,8.163,6.461,3.971,0.029,8.036,2.536,1.751,41.94,10.256,0.649,0.687,4.201,3.284,0.672,1.1,-0.02,11.369,14.974,9.058,3.284,0.966,4.082,4.15,5.126,33.357,0.857,2.898,2.648,6.734,1.021,1.14,0.943,247.193,40.546,247.193,247.193,247.193,247.193,0.592,0.893,4.336,6.148,6.734,1.751,10.501,-0.045,-0.136,1.252,11.316,15.606,0,1.092,0.924,0.008,-0.214,-0.214,6.536,3.905,1.906,1.877,1.869,11.719,1.528,120.047,8.45,0.143,4.172,4.284,3.897,3.668,5.323,3.639,4.727,4.896,4.292,5.876,4.027,4.306,6.064,4.414,4.26,6.251,4.182,5.073,5.247,4.542,4.217,6.473,4.173,5.075,5.275,4.354,4.236,6.296,4.139,5.036,5.216,4.248,4.14,6.307,4.059,4.877,5.081,4.146,3.949,6.216,3.854,0.225,0.92,5.3,22.475,0.655,1.481,29.146,8.91,61.782,0.743,71.899,1.019,1.789,13.867,104.928,1.282,182.207,1.157,1.757,47.389,13.438,126.874,1.271,1.563,45.66,12.799,150.249,14.029,1.032,1.329,38.859,10.69,167.987,12.3,55,52,0.671,0.857,0.857,3.503,1.046,0,0,2
4.719,1.312,4.654,4.811,3.979,4.982,8.072,4.744,8.671,1.272,10.342,11.518,31.634,12.02,1.023,7.961,9.157,0.307,0.772,-3.05,-3.05,-2.94,39.0,1,11,3,5,4,3.636,1.757,1.021,2.607,5.483,7.16,0.46,1.572,0.999,0.364,0.899,-0.079,0.201,-0.023,0.054,0.031,0.105,0.565,1.821,3.316,18,1,9.8,117.711,0.348,0.093,0.0,0.321,21.315,23.889,26.53,2.607,29.142,31.778,7.16,18.197,19.476,1.577,1.547,1.546,1.488,3.933,2.045,1.768,1.731,1.904,1.962,1.186,1.946,1.678,1.648,1.811,1.811,1.142,1.843,0.821,0.886,1.107,0.778,0.73,0.202,0.432,5.77,4.702,3.61,-0.118,8.141,2.641,1.569,27.126,10.157,0.619,0.94,3.981,3.017,0.871,1.244,-0.124,11.235,14.837,8.923,3.017,0.899,3.828,3.863,4.767,30.242,0.823,2.61,2.142,5.684,0.863,1.28,1.091,188.338,47.381,188.338,188.338,188.338,188.338,0.601,0.809,4.147,5.931,5.684,1.581,8.077,-0.059,-0.08,1.079,11.258,7.65,0,0.963,1.053,0.009,-0.084,-0.03,6.952,3.904,1.919,1.891,1.722,9.522,1.722,84.583,8.157,0.24,3.822,3.921,3.498,3.393,4.976,3.354,4.364,4.509,3.969,5.565,3.748,3.958,5.796,4.024,3.854,5.985,3.798,4.649,4.834,3.757,3.628,6.197,3.577,4.418,4.655,3.386,3.434,5.633,3.351,4.134,4.324,3.42,3.397,5.354,3.318,4.18,4.35,3.401,3.382,5.667,3.283,0.09,0.598,4.111,14.53,0.346,1.012,18.097,7.3,52.755,0.529,71.481,0.528,1.247,9.854,77.643,0.958,181.22,0.66,0.849,23.444,6.315,98.738,0.245,0.681,14.316,5.563,41.208,6.697,0.508,0.691,17.299,5.905,101.938,6.595,38,38,0.641,0.835,0.835,3.189,0.99,2,0,0
4.055,0.371,4.97,5.11,4.234,5.293,9.638,5.529,10.011,1.724,11.306,11.983,41.217,13.447,1.675,11.612,11.891,0.308,0.853,-1.9,-1.95,-1.96,36.7,0,3,5,0,3,3.989,1.401,0.604,3.002,6.364,9.58,0.608,0.985,1.197,2.377,1.287,-0.108,0.137,0.024,0.016,-0.045,-0.007,0.514,0.667,0.445,23,2,11.7,141.253,0.35,0.143,4.004,0.325,21.019,23.459,25.987,3.002,28.473,30.994,9.58,17.931,19.136,1.564,1.527,1.528,1.436,3.942,2.041,1.828,1.793,1.902,2.001,1.109,1.985,1.675,1.648,1.876,1.897,1.032,1.879,1.283,1.063,1.336,1.013,0.981,0.631,0.437,7.67,5.49,3.967,-0.012,8.245,2.745,1.727,34.191,10.419,0.721,0.81,4.295,3.336,0.92,1.159,-0.101,11.413,15.077,9.213,3.336,0.939,4.121,4.205,5.109,28.79,0.865,2.902,2.718,7.158,1.267,1.115,0.861,211.88,68.975,211.88,211.88,211.88,211.88,0.6,0.898,4.493,6.286,7.158,1.752,10.693,-0.105,-0.004,0.955,11.488,13.108,2,1.048,0.862,0.008,-0.093,-0.056,6.611,3.902,1.937,1.902,1.918,13.27,0.138,134.608,9.127,0.275,4.231,4.325,4.0,3.749,5.504,3.74,4.722,4.852,4.406,6.078,4.097,4.457,6.318,4.484,4.233,6.447,4.209,5.009,5.152,4.583,4.21,6.501,4.207,5.014,5.17,4.522,4.27,6.404,4.242,5.115,5.262,4.586,4.309,6.647,4.274,5.052,5.224,4.498,4.243,6.43,4.166,0.33,0.948,5.487,37.432,0.72,1.491,24.464,9.19,93.401,1.144,103.955,1.505,1.81,12.371,187.806,1.361,209.002,1.096,1.786,33.668,12.234,127.162,1.687,1.869,38.187,12.677,208.569,12.132,1.235,1.761,49.479,14.837,194.791,14.779,89,59,0.725,0.865,0.865,3.642,0.966,2,0,0
4.86,2.49,4.793,4.92,4.17,5.043,5.186,4.039,7.606,1.498,10.531,9.481,25.302,9.71,1.477,11.199,9.241,0.319,0.835,-4.22,-4.16,-3.93,41.2,1,11,13,7,5,3.73,1.409,0.581,2.788,5.848,7.89,0.46,1.11,1.03,0.332,0.937,0.107,0.201,-0.038,-0.047,0.023,-0.007,0.543,2.992,8.951,16,2,15.7,164.795,0.348,0.148,0.0,0.342,20.655,23.08,25.621,2.788,28.111,30.646,7.89,17.534,18.733,1.556,1.52,1.522,1.454,3.995,2.042,1.872,1.848,1.92,2.044,1.137,2.021,1.643,1.619,1.77,1.842,1.0,1.792,1.28,1.168,1.445,1.025,1.02,0.285,0.439,7.496,5.649,3.773,-0.032,8.467,2.967,1.694,28.934,10.171,0.557,0.717,4.012,3.033,0.765,1.107,-0.063,11.183,14.81,8.959,3.033,1.048,4.076,4.13,4.908,22.392,0.892,2.736,2.481,7.425,1.09,1.127,1.125,164.795,73.983,164.795,164.795,164.795,164.795,0.592,0.898,4.337,6.2,7.425,1.79,9.618,-0.014,-0.113,1.159,11.186,8.887,0,0.868,1.075,0.009,-0.129,-0.088,6.608,3.969,1.974,1.953,1.942,13.686,6.198,129.955,10.128,0.289,4.085,4.155,3.947,3.68,5.437,3.668,4.561,4.644,4.325,6.109,4.037,4.358,6.137,4.446,4.142,6.348,4.146,4.919,5.053,4.426,4.049,6.567,4.062,4.784,4.92,4.24,4.012,6.439,3.974,4.678,4.807,4.354,4.032,6.05,3.99,4.759,4.89,4.356,3.978,6.352,3.968,0.381,0.777,4.614,44.853,0.723,1.234,15.166,8.554,131.769,0.896,131.296,1.139,1.554,11.251,193.576,1.574,272.67,1.41,1.324,26.87,10.555,270.99,0.852,1.315,23.59,9.883,141.757,8.115,1.198,1.316,25.846,10.311,200.149,8.785,74,55,0.699,0.904,0.904,3.588,0.942,0,0,0
5.208,0.489,4.565,4.694,3.885,4.793,6.141,4.064,7.606,1.143,8.903,8.248,25.981,8.841,1.125,9.133,8.574,0.331,0.886,-2.28,-2.31,-2.28,38.1,1,5,1,1,3,3.512,1.305,0.351,2.609,5.188,6.033,0.602,1.211,1.064,0.403,1.315,-0.105,0.155,-0.138,0.084,0.034,0.139,0.5,1.046,1.093,16,3,14.3,164.795,0.331,0.159,0.0,0.349,20.523,22.977,25.539,2.609,28.047,30.596,6.033,17.375,18.592,1.544,1.506,1.511,1.421,3.875,1.937,1.642,1.619,1.778,1.816,1.016,1.803,1.512,1.483,1.707,1.722,0.935,1.715,1.035,1.006,1.22,0.868,0.808,0.314,0.442,6.147,4.735,3.554,-0.153,8.288,2.788,1.608,26.161,9.811,0.609,1.025,3.775,2.793,1.044,1.052,0.011,10.895,14.488,8.606,2.793,1.057,3.823,3.815,4.649,23.052,0.903,2.469,2.123,5.569,0.792,1.1,1.166,164.795,26.602,164.795,164.795,164.795,164.795,0.585,0.935,4.001,5.825,5.569,1.605,7.886,-0.051,-0.116,1.156,10.854,8.084,1,0.954,1.119,0.009,0.061,0.12,6.362,3.866,1.887,1.864,1.88,10.654,0.239,95.818,9.44,0.179,3.87,3.942,3.695,3.454,5.099,3.422,4.385,4.498,4.072,5.735,3.755,4.049,5.817,4.177,3.862,5.95,3.839,4.686,4.826,4.177,3.778,6.314,3.77,4.548,4.707,3.918,3.72,5.913,3.644,4.417,4.569,3.966,3.658,5.922,3.585,4.341,4.494,3.706,3.494,5.959,3.424,0.203,0.613,4.297,26.694,0.594,1.006,18.591,7.787,67.682,0.756,97.778,0.755,1.179,9.291,105.172,1.243,204.687,0.962,1.027,26.306,8.766,129.234,0.743,0.942,25.88,8.246,114.63,7.616,0.824,0.796,17.917,6.938,154.425,6.792,43,40,0.719,0.903,0.903,3.304,1.035,1,0,0
