pXC50,nBM,nCsp2
5.514,2,2
5.605,7,10
4.324,18,15
4.887,12,9
4.323,17,14
4.174,18,15
5.556,2,2
4.174,23,19
4.174,15,15
4.531,17,16
4.421,22,18
6.238,17,16
4.174,23,16
5.015,12,8
4.174,19,15
4.174,18,14
4.174,18,14
4.679,15,16
4.769,7,10
5.164,24,23
5.371,13,11
6.082,15,15
4.174,15,15
4.24,28,22
6.082,15,15
4.174,15,11
4.174,18,14
5.605,14,14
4.174,18,14
4.174,18,14
5.605,10,6
4.651,23,19
5.605,17,13
5.128,6,6
4.501,17,15
5.0,14,13
4.174,19,16
4.174,17,18
5.048,13,16
4.426,13,16
4.579,23,25
4.174,18,15
5.127,13,11
5.737,22,20
4.174,18,16
4.174,12,8
4.346,22,18
5.128,13,9
4.174,18,15
5.32,8,8
4.747,22,17
4.819,12,8
4.174,23,22
4.174,18,14
4.174,8,6
4.928,7,10
4.174,17,15
4.174,25,18
5.056,17,13
5.605,15,15
4.987,22,16
4.53,13,9
4.174,23,18
4.174,22,18
5.019,30,24
5.518,2,2
4.174,18,16
4.174,18,15
5.387,13,11
4.174,18,15
4.352,13,7
5.396,13,11
4.174,18,19
4.174,14,14
6.082,15,15
6.082,9,10
4.373,17,14
4.174,18,15
4.174,18,15
5.234,13,11
4.174,19,16
4.332,27,21
4.958,7,10
4.651,17,13
4.307,23,19
6.559,8,9
4.174,17,14
5.128,24,19
4.174,3,1
4.872,16,11
4.174,18,15
4.715,16,17
4.228,18,15
5.215,13,11
4.174,18,14
5.243,13,11
4.174,25,21
5.605,9,10
5.003,12,8
4.174,28,20
4.174,9,10
4.206,18,15
4.174,26,21
4.651,10,10
4.174,18,16
4.174,18,15
4.175,18,15
5.227,18,16
4.174,18,16
6.082,10,11
4.174,17,16
4.964,13,11
4.911,24,23
4.174,24,20
4.174,18,15
4.91,23,21
4.174,18,16
4.174,24,23
5.378,22,18
5.604,22,20
4.708,18,16
6.621,2,2
4.187,17,14
5.605,7,7
4.989,15,14
4.174,15,16
5.591,2,2
