pXC50,D.Dtr09,Eig11_AEA.bo.,Xindex,Eig08_AEA.bo.,Vindex,Eig08_EA,SM02_AEA.dm.,SpMax5_Bh.m.,Eig08_EA.ed.,SM03_AEA.ri.,Eig08_AEA.ed.,Eig08_AEA.ri.,RDCHI,Eig08_EA.ri.,Eig10_AEA.bo.,Eig11_EA.bo.,Yindex,Eig11_AEA.ri.,SpMax5_Bh.p.,SpMax5_Bh.v.,Eig07_EA,SM15_AEA.bo.,GMTIV,Eig02_EA,SM10_AEA.bo.,SMTIV,Eig07_AEA.ri.,X1v,Eig08_EA.bo.,GMTI,Wap,ATS2p,CSI,SpAD_EA.bo.,ATS1p,ATSC3i,SpMax5_Bh.i.,ATS2v,Eig13_EA.ed.,SM08_AEA.ri.,piID,SpAD_AEA.dm.,SpMaxA_AEA.ri.,LPRS,SMTI,X0v,Eig09_AEA.bo.,SpAD_EA.ri.,Eig06_EA.ri.,ATSC4i,X2sol,Eig09_AEA.ri.,X1sol,Eig10_EA.bo.,piPC01,SCBO,Eig11_AEA.ed.,Eig13_EA.bo.,MWC04,Psi_i_1,ECC,SpAD_EA.ed.,piPC02,SM02_EA.bo.,SpMax4_Bh.v.,MSD,SpMin4_Bh.p.,Eig09_EA.ri.,ZM2V
5.139,0.0,0.977,0.361,2.5,0.23,1.0,1.0,3.008,2.136,2.136,3.247,2.0,3.336,1.0,1.317,-0.354,0.629,0.661,2.879,2.91,1.119,1.119,11002.0,2.564,2.564,6555.0,2.115,6.435,1.5,4058.0,6718.0,3.585,383.0,43.4,3.243,0.779,3.177,3.562,-1.781,-1.781,9.319,33.798,0.184,89.244,3910.0,11.128,1.859,31.409,1.475,0.811,8.738,1.536,9.72,-0.118,3.434,30.0,2.555,-1.024,6.347,11.233,177.0,90.046,4.007,4.691,3.015,5.397,1.385,0.564,293.0
4.622,0.0,0.609,0.542,1.914,0.371,0.471,0.471,2.992,0.941,0.941,2.936,1.379,2.786,0.37,0.925,-1.297,1.145,0.126,2.722,2.723,0.639,0.639,6855.0,2.481,2.481,3938.0,1.69,5.473,0.619,1920.0,2648.0,3.402,236.0,35.302,3.047,0.652,2.998,3.37,-3.481,-3.481,7.979,29.551,0.238,68.402,2045.0,9.751,1.159,25.989,1.067,0.615,7.329,0.725,8.453,-0.871,3.258,25.0,2.0,-1.687,6.221,9.155,115.0,77.849,3.795,4.477,2.973,4.015,1.251,-0.158,259.0
4.49,0.0,2.566,0.314,2.969,0.205,1.51,1.51,3.443,3.392,3.392,4.046,2.502,4.027,1.495,2.579,1.551,0.59,2.04,3.375,3.339,1.945,1.945,40530.0,3.18,3.18,21105.0,2.89,11.411,2.146,11603.0,24354.0,4.034,679.0,70.502,3.666,1.263,3.47,3.98,1.567,1.567,11.426,54.45,0.127,158.15,11189.0,17.866,2.843,49.043,1.931,1.329,15.65,2.358,16.178,1.572,3.902,48.5,3.575,0.941,6.882,17.535,317.0,152.68,4.535,5.223,3.458,6.303,1.624,1.355,550.0
4.622,129.322,2.543,0.281,2.886,0.177,1.44,1.44,3.372,3.71,3.71,4.167,2.421,4.067,1.413,2.683,1.513,0.479,2.103,3.342,3.329,1.534,1.534,33275.0,2.958,2.958,18595.0,2.534,11.09,2.024,11459.0,21998.0,4.056,741.0,65.339,3.656,1.383,3.514,3.986,1.116,1.116,10.842,50.527,0.135,148.096,10765.0,17.056,2.831,46.61,1.787,1.363,14.853,2.336,15.03,1.719,3.807,44.0,3.484,0.554,6.79,17.279,339.0,142.216,4.449,5.136,3.499,6.977,1.73,1.232,466.0
5.264,0.0,0.894,0.429,2.473,0.272,0.555,0.555,3.032,1.018,1.018,2.943,1.501,3.232,0.523,1.285,-0.619,0.734,0.491,2.984,2.996,1.0,1.0,7726.0,2.603,2.603,5315.0,2.0,6.543,0.981,3296.0,3262.0,3.574,364.0,37.865,3.237,0.973,3.22,3.486,-2.137,-2.137,8.688,30.783,0.192,83.977,3373.0,11.057,1.604,27.299,1.352,0.938,7.478,1.372,9.33,0.0,3.367,28.0,2.0,-1.333,6.138,10.465,177.0,72.832,3.85,4.533,3.035,5.513,1.421,0.383,233.0
5.747,73.038,1.34,0.344,2.644,0.228,1.223,1.223,3.23,2.838,2.838,3.614,2.194,3.425,1.176,2.307,0.0,0.663,0.943,2.952,2.963,1.4,1.4,15305.0,3.045,3.045,8230.0,2.36,7.622,1.676,4888.0,14873.0,3.722,392.0,51.55,3.319,0.892,3.148,3.693,-1.348,-1.348,10.875,39.341,0.167,99.032,4590.0,13.001,2.513,35.843,1.707,0.901,10.682,2.022,11.298,1.218,3.57,34.5,2.915,-0.801,6.589,12.935,176.0,111.773,4.22,4.905,3.188,4.932,1.493,1.004,362.0
4.635,0.0,0.5,0.395,2.074,0.258,0.854,0.854,2.866,2.136,2.136,3.247,1.827,3.108,0.829,0.75,-0.955,0.729,0.243,2.91,2.897,1.0,1.0,5210.0,2.659,2.659,3639.0,2.0,6.323,1.0,2590.0,3817.0,3.566,288.0,36.034,3.166,0.949,3.131,3.485,-2.347,-2.347,8.305,28.065,0.209,70.346,2476.0,9.802,2.0,27.672,1.0,0.879,7.129,1.613,8.433,-0.679,3.239,24.5,2.124,-1.5,6.172,10.511,131.0,75.853,3.755,4.437,2.91,4.601,1.426,0.627,230.0
5.051,0.0,2.322,0.4,2.765,0.266,1.252,1.252,3.185,2.995,2.995,3.897,2.255,3.485,1.232,2.5,0.973,0.785,1.703,2.992,3.032,1.459,1.459,26109.0,2.95,2.95,13199.0,2.457,7.927,1.76,6548.0,10606.0,3.769,500.0,57.442,3.393,0.966,3.241,3.773,-0.615,-0.615,9.877,46.644,0.156,123.83,6563.0,14.28,2.559,42.265,1.955,0.977,11.84,2.083,12.613,1.5,3.689,39.0,3.414,-0.288,6.723,14.047,238.0,130.12,4.29,4.977,3.252,5.426,1.533,1.067,437.0
5.91,68.906,0.859,0.385,2.118,0.249,0.618,0.618,3.086,1.372,1.372,3.158,1.618,3.141,0.618,1.121,-0.647,0.697,0.333,2.815,2.786,0.763,0.763,11358.0,2.789,2.789,5734.0,1.765,6.326,0.927,2982.0,4450.0,3.444,309.0,42.229,3.087,0.604,2.938,3.408,-2.854,-2.854,9.177,31.072,0.197,76.438,2879.0,10.586,1.946,27.811,1.383,0.529,9.11,1.35,9.417,-0.347,3.384,28.5,2.354,-1.673,6.29,9.924,142.0,85.53,4.034,4.718,2.939,4.825,1.395,0.395,333.0
5.627,0.0,1.35,0.342,2.5,0.216,1.0,1.0,2.909,2.275,2.275,3.414,2.0,3.489,1.0,1.731,0.083,0.578,0.974,2.822,2.838,1.114,1.114,20984.0,2.883,2.883,10413.0,2.053,7.496,1.5,5317.0,7055.0,3.596,453.0,46.001,3.252,1.108,3.022,3.584,-2.135,-2.135,9.224,38.14,0.174,102.473,5153.0,12.117,2.12,32.561,1.368,1.158,8.782,1.817,9.764,0.66,3.466,31.0,2.904,-0.996,6.46,12.019,212.0,104.106,4.043,4.727,2.992,5.974,1.415,0.811,380.0
