pXC50,nBO,nSK,SCBO,nCsp3,N.,nC,nCsp2,nH,Sv,Se,Sp,Si,nBT,nAT,nN,nHet,MW,RBN,nBM,nAB,Mi,nCsp,nCL,nX,nO,nF,RBF,C.
5.45,30,27,42.5,1,7.0,21,20,16,30.037,43.407,31.387,47.87,46,43,3,6,377.47,4,24,23,1.113,0,0,1,1,1,0.087,48.8
5.4,28,25,39.5,1,10.0,20,19,15,28.074,40.033,29.449,44.428,43,40,4,5,346.84,4,23,23,1.111,0,1,1,0,0,0.093,50.0
5.226,37,33,51.5,3,11.3,24,21,20,35.96,53.778,36.727,59.524,57,53,6,9,440.5,7,28,27,1.123,0,0,0,3,0,0.123,45.3
6.553,46,42,58.5,12,8.6,32,20,39,49.723,80.832,52.586,91.76,85,81,7,10,569.78,11,24,23,1.133,0,0,0,3,0,0.129,39.5
5.4,43,39,55.0,11,6.6,31,20,37,46.68,75.629,49.574,85.763,80,76,5,8,527.73,8,23,22,1.128,0,0,0,3,0,0.1,40.8
4.178,28,25,39.5,1,4.8,22,21,17,29.085,41.596,30.961,46.262,45,42,2,3,344.86,4,23,23,1.101,0,1,1,0,0,0.089,52.4
5.0,27,25,34.0,4,5.1,17,13,14,27.598,40.345,29.404,44.081,41,39,2,8,478.68,6,13,12,1.13,0,1,4,2,2,0.146,43.6
8.301,44,40,60.0,5,6.1,29,24,26,44.664,67.232,46.421,74.017,70,66,4,11,581.11,11,30,28,1.121,0,1,2,4,1,0.157,43.9
7.268,50,44,63.0,16,9.4,34,18,41,52.669,84.487,56.302,96.198,91,85,8,10,613.28,9,26,26,1.132,0,1,1,1,0,0.099,40.0
7.268,47,41,60.0,14,10.1,32,18,38,48.788,78.396,51.921,89.424,85,79,8,9,550.78,6,26,26,1.132,0,0,0,1,0,0.071,40.5
5.771,31,29,41.5,6,5.8,22,14,23,33.191,52.451,34.449,58.485,54,52,3,7,393.48,10,18,17,1.125,2,0,0,4,0,0.185,42.3
5.416,39,36,51.0,7,9.4,26,19,28,41.09,64.705,42.875,72.675,67,64,6,10,511.05,11,23,22,1.136,0,1,2,2,1,0.164,40.6
6.208,40,36,52.0,7,9.7,26,19,26,40.564,62.821,42.114,70.26,66,62,6,10,509.03,9,23,22,1.133,0,1,2,2,1,0.136,41.9
5.301,42,38,54.0,8,9.1,27,19,28,42.805,67.032,44.33,74.884,70,66,6,11,539.06,9,23,22,1.135,0,1,2,3,1,0.129,40.9
5.301,41,37,53.0,8,10.8,26,18,28,41.916,65.738,43.637,73.628,69,65,7,11,522.06,9,23,22,1.133,0,1,1,3,0,0.13,40.0
6.03,35,32,47.0,4,7.7,23,19,20,35.182,53.178,36.034,58.642,55,52,4,9,454.92,8,23,22,1.128,0,1,2,3,1,0.145,44.2
5.65,44,40,56.0,10,9.6,29,19,33,46.165,73.574,48.404,83.003,77,73,7,11,566.14,10,23,22,1.137,0,1,2,2,1,0.13,39.7
6.074,43,39,55.0,9,10.0,28,19,31,44.639,70.69,46.642,79.588,74,70,7,11,552.11,9,23,22,1.137,0,1,2,2,1,0.122,40.0
5.8,24,22,31.5,7,7.0,16,9,21,26.422,42.989,28.426,48.571,45,43,3,6,319.47,2,13,11,1.13,0,0,0,2,0,0.044,37.2
5.8,38,35,50.0,5,12.7,21,16,20,36.846,57.378,36.955,63.377,58,55,7,14,507.55,7,21,18,1.152,0,0,3,3,3,0.121,38.2
5.0,41,37,53.0,9,10.0,28,19,33,43.428,69.854,45.847,79.305,74,70,7,9,499.68,7,23,22,1.133,0,0,0,2,0,0.095,40.0
6.018,40,37,52.0,8,9.0,27,19,30,42.617,67.589,44.637,76.09,70,67,6,10,525.08,11,23,22,1.136,0,1,2,2,1,0.157,40.3
5.0,23,21,30.0,3,3.0,16,13,12,23.906,33.585,25.364,36.446,35,33,1,5,340.64,2,13,12,1.104,0,3,3,1,0,0.057,48.5
5.0,22,20,29.0,3,3.0,16,13,13,23.079,33.262,24.506,36.502,35,33,1,4,306.2,2,13,12,1.106,0,2,2,1,0,0.057,48.5
7.066,50,44,67.5,4,10.1,32,28,25,47.801,70.305,49.086,77.658,75,69,7,12,609.71,7,34,33,1.125,0,0,2,2,2,0.093,46.4
8.319,48,42,65.5,4,10.1,32,28,27,47.034,69.28,49.211,76.979,75,69,7,10,573.73,7,34,33,1.116,0,0,0,2,0,0.093,46.4
7.066,50,44,67.5,4,10.1,32,28,25,47.801,70.305,49.086,77.658,75,69,7,12,609.71,7,34,33,1.125,0,0,2,2,2,0.093,46.4
5.854,49,43,63.5,11,9.0,33,22,35,50.142,77.814,53.256,87.64,84,78,7,10,593.82,8,28,27,1.124,0,0,0,2,0,0.095,42.3
5.886,48,42,62.5,10,9.3,32,22,33,48.615,74.93,51.495,84.225,81,75,7,10,579.79,8,28,27,1.123,0,0,0,2,0,0.099,42.7
6.77,49,43,66.5,4,11.3,32,28,28,48.056,71.381,50.216,79.477,77,71,8,11,588.75,7,34,33,1.119,0,0,0,2,0,0.091,45.1
6.77,49,43,66.5,4,10.0,32,28,27,47.749,70.607,49.665,78.188,76,70,7,11,589.73,8,34,33,1.117,0,0,0,3,0,0.105,45.7
6.432,49,43,66.5,5,9.7,33,28,29,48.561,72.163,50.972,80.394,78,72,7,10,587.76,8,34,33,1.117,0,0,0,2,0,0.103,45.8
7.569,48,43,65.5,4,10.0,32,28,27,47.613,70.861,49.392,78.864,75,70,7,11,595.73,9,34,33,1.127,0,0,2,1,2,0.12,45.7
7.508,52,46,69.5,6,10.5,34,28,30,51.161,76.847,53.16,85.778,82,76,8,12,636.79,8,34,33,1.129,0,0,2,1,2,0.098,44.7
8.143,48,42,65.5,3,10.8,31,28,23,45.559,66.094,46.87,73.034,71,65,7,11,579.68,6,34,33,1.124,0,0,2,1,2,0.085,47.7
6.167,49,43,66.5,5,9.7,33,28,29,48.561,72.163,50.972,80.394,78,72,7,10,587.76,8,34,33,1.117,0,0,0,2,0,0.103,45.8
6.796,48,42,65.5,5,9.9,33,28,29,47.846,70.836,50.517,79.185,77,71,7,9,571.76,7,34,33,1.115,0,0,0,1,0,0.091,46.5
6.64,51,45,68.5,7,10.1,35,28,34,51.921,78.705,55.046,88.513,85,79,8,10,614.84,9,34,33,1.12,0,0,0,1,0,0.106,44.3
6.824,47,42,64.5,5,9.6,33,28,31,48.373,72.72,51.279,81.6,78,73,7,9,573.78,10,34,33,1.118,0,0,0,1,0,0.128,45.2
6.921,47,41,64.5,4,10.3,32,28,27,46.32,67.952,48.756,75.77,74,68,7,9,557.73,7,34,33,1.114,0,0,0,1,0,0.095,47.1
6.62,34,30,48.5,0,8.9,23,23,15,32.976,45.436,34.551,49.558,49,45,4,7,430.94,4,28,27,1.101,0,1,1,1,0,0.082,51.1
5.0,37,32,50.5,5,9.1,26,21,23,36.563,54.789,38.336,61.438,60,55,5,6,421.54,3,27,27,1.117,0,0,0,1,0,0.05,47.3
8.201,41,36,58.5,0,10.7,28,28,20,39.718,56.2,41.466,62.026,61,56,6,8,488.61,6,34,33,1.108,0,0,0,1,0,0.098,50.0
5.222,34,30,49.5,0,13.6,21,21,14,31.852,44.876,32.637,48.989,48,44,6,9,414.48,5,29,27,1.113,0,0,0,2,0,0.104,47.7
4.903,39,34,55.5,0,11.8,25,25,17,37.019,51.64,38.563,56.554,56,51,6,9,485.0,4,32,31,1.109,0,1,1,1,0,0.071,49.0
7.456,42,37,59.5,0,10.7,28,28,19,40.545,56.523,42.324,61.97,61,56,6,9,523.05,6,34,33,1.107,0,1,1,1,0,0.098,50.0
7.509,43,42,53.0,15,3.5,31,16,43,50.319,85.596,52.881,96.474,86,85,3,11,585.77,6,10,0,1.135,0,0,0,8,0,0.07,36.5
4.921,27,25,35.0,7,10.4,18,11,23,29.278,48.116,30.79,54.647,50,48,5,7,341.46,7,16,16,1.138,0,0,0,2,0,0.14,37.5
