pXC50,P_VSA_LogP_4,SpMin1_Bh.i.,ATSC1m,ATSC5v,MATS2p,MATS2v,GATS2i,SaasC,SpMax5_Bh.p.,SpMin5_Bh.i.,SpMin6_Bh.m.,SpMin8_Bh.m.,GATS7e,SpMax2_Bh.s.,ATS4i,ATS5i,ATS6e,ATS6i,ATS8e,ATS8i,ATSC1p,ATSC2p,ATSC6m,ATSC7i,ATSC7v,ATSC8m,ATSC8v,CIC0,Si,SpMaxA_EA.ed.,C.005,JGI2,JGI6,nArOR,SpMax4_Bh.s.,GATS2p,ATSC8i,ATSC8p,ATS3p,ATSC4i,SpMin3_Bh.m.,SpMax5_Bh.i.,SpMin5_Bh.v.,MATS7e,SpMaxA_AEA.dm.,ATSC4v,AAC,IC0,BLTA96,BLTD48,BLTF96,Eta_sh_y,MLOGP,P_VSA_LogP_1,SIC0,P_VSA_e_5,P_VSA_m_3,P_VSA_p_2,P_VSA_s_6,P_VSA_v_2,SAacc,Eta_FL,ATS4p,ATSC4p,CATS2D_09_DD,GATS2v,P_VSA_MR_5,ATSC4s,ATSC5s,TPSA.NO.,TPSA.Tot.,ATS4e,ATSC7m,SpMax5_Bh.m.,SpMax5_Bh.v.,SpMin1_Bh.s.,ATS6p,DELS,Eta_alpha_A,ATSC1s,ATSC3s,ATSC4e,H.050,Hy,nHDon,CATS2D_06_LL,PW5,Eta_B,SpMax6_Bh.s.,TIE,ATSC3e,MATS2i,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3s,ATS3v,ATS4m,ATS4s,ATS4v,ATS5e,ATS5m,ATS5p,ATS5s,ATS5v,ATS6m,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2s,ATSC2v,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4m,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC6e,ATSC6i,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7p,ATSC7s,ATSC8e,ATSC8s,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,C.,C.001,C.002,C.003,C.004,C.006
4.046,47.911,2.059,6.674,12.333,0.19,0.098,0.812,7.822,2.965,1.106,1.246,0.941,1.335,5.004,4.884,4.951,4.577,4.758,3.845,4.175,3.548,6.197,20.893,0.842,8.628,13.553,6.246,3.741,41.033,0.49,0,0.063,0.014,2,4.366,0.755,0.477,4.404,4.038,1.237,1.618,3.27,1.465,-0.075,0.141,12.281,1.468,1.468,-3.96,-3.92,-3.71,0.423,2.732,0.0,0.282,47.145,47.145,50.269,47.145,50.269,50.269,5.757,4.069,9.896,0,0.788,16.949,27.072,37.067,38.77,38.77,4.715,19.586,3.104,3.01,1.461,3.74,18.766,0.473,5.594,14.155,0.185,0,-0.807,0,5,0.136,0.479,3.859,26.193,0.14,0.243,6.545,2.581,6.661,81.471,7.928,0.462,3.767,3.851,3.415,3.362,4.833,3.36,4.356,4.485,3.828,3.828,5.382,3.807,4.585,4.749,3.927,5.5,3.978,3.951,5.687,4.001,4.752,3.885,3.967,5.745,3.905,3.643,5.62,3.677,4.385,4.623,2.999,3.344,5.434,3.196,2.002,2.516,4.828,2.259,0.023,0.489,4.106,0.338,0.884,14.424,20.061,7.225,1.127,18.298,8.539,10.761,21.782,0.378,1.263,25.289,9.966,0.368,1.04,8.096,30.082,9.496,0.44,6.926,45.917,0.301,36.097,3.0,39,0.263,0.602,0.799,0.884,0.894,0.894,3.151,0.878,48.6,0,2,0,0,1
4.102,115.645,1.91,6.031,7.059,-0.205,-0.174,1.172,2.074,2.735,0.821,1.181,0.907,1.407,6.473,4.445,4.258,3.889,4.044,3.716,3.917,3.178,4.862,10.238,0.476,4.654,8.996,4.922,3.751,37.535,0.344,0,0.074,0.01,0,4.69,1.167,0.432,3.716,3.599,0.734,1.702,2.933,1.107,-0.207,0.161,8.021,1.336,1.336,-3.96,-3.91,-3.71,0.263,2.73,0.0,0.263,110.512,110.512,110.512,110.512,110.512,110.512,6.134,3.431,6.315,0,1.089,0.0,42.607,20.776,57.53,57.53,4.227,9.967,2.854,2.747,1.109,3.15,21.878,0.475,12.035,36.321,0.19,2,0.262,2,9,0.088,0.455,4.155,36.718,0.166,-0.208,10.75,3.485,12.148,80.566,7.833,0.571,3.605,3.69,3.188,3.23,4.888,3.206,3.997,4.105,3.471,3.545,5.3,3.501,4.274,4.441,3.42,5.53,3.52,3.126,5.328,3.308,4.021,3.127,3.256,5.184,3.17,3.101,5.297,3.114,3.83,4.009,2.921,3.072,5.09,3.003,2.925,2.989,5.217,2.91,0.05,0.379,3.629,0.018,0.573,9.097,6.527,5.837,0.757,14.569,6.413,7.691,15.355,0.088,0.604,12.632,5.26,0.157,0.498,4.136,35.563,4.624,0.158,3.997,37.447,0.256,53.158,10.0,27,0.245,0.485,0.609,0.673,0.673,0.673,3.055,0.874,50.0,0,0,0,0,0
5.307,203.07,1.89,6.259,6.724,-0.091,-0.057,1.169,-0.895,2.755,0.856,1.099,0.797,1.149,6.562,4.594,4.441,4.031,4.208,3.878,4.044,3.411,5.26,13.038,0.489,4.466,10.474,4.439,3.64,39.163,0.434,0,0.096,0.022,0,6.446,1.156,0.473,3.911,3.58,0.776,1.656,3.006,1.149,-0.142,0.167,7.279,1.489,1.489,-2.6,-2.62,-2.56,0.368,1.371,0.0,0.29,206.878,206.878,206.878,206.878,206.878,206.878,5.922,3.419,6.372,0,1.017,7.127,120.805,121.45,107.22,107.22,4.425,11.275,2.897,2.78,1.211,3.101,38.417,0.452,34.981,88.488,0.777,4,1.921,4,4,0.085,0.617,4.642,58.099,0.63,-0.094,10.238,2.521,6.353,73.729,8.294,0.545,3.682,3.747,3.281,3.165,5.034,3.194,4.1,4.192,3.625,3.503,5.483,3.517,4.383,4.511,3.704,5.877,3.584,3.474,5.804,3.405,4.252,3.342,3.222,5.744,3.197,3.172,5.442,3.082,3.939,4.094,3.085,3.081,5.306,3.06,2.994,3.064,5.155,3.027,0.221,0.425,3.353,0.348,0.645,9.961,39.365,5.674,0.798,15.49,6.531,7.325,18.882,0.836,0.643,16.929,5.365,0.595,0.528,4.373,83.381,5.233,0.508,4.01,76.901,0.395,64.131,26.0,30,0.274,0.613,0.716,0.798,0.829,0.829,3.101,0.841,42.9,0,1,0,0,1
4.301,48.34,1.922,5.033,5.099,0.081,0.063,0.948,2.019,2.618,0.804,0.781,0.381,2.521,4.709,4.22,4.027,3.114,3.446,2.626,2.918,2.406,3.833,4.933,0.123,1.321,3.388,0.921,3.315,25.701,0.747,0,0.095,0.027,0,3.674,0.953,0.099,0.77,3.208,0.539,1.417,2.925,1.107,-0.095,0.277,6.617,1.209,1.209,-3.95,-3.91,-3.7,0.281,2.723,17.65,0.267,25.145,25.145,25.145,25.145,25.145,25.145,2.588,3.049,4.727,0,0.954,17.65,23.764,18.179,17.07,17.07,3.948,2.98,2.499,2.57,1.254,2.109,7.115,0.485,5.223,12.68,0.087,0,-0.877,0,0,0.071,0.264,3.416,13.72,0.047,0.084,5.364,2.784,7.748,46.84,6.444,0.545,3.162,3.285,2.591,2.774,4.256,2.7,3.66,3.853,2.833,3.107,4.615,2.999,3.874,4.093,2.838,4.855,3.062,2.514,4.899,2.846,3.707,1.974,2.658,4.492,2.405,1.627,3.777,1.895,2.59,2.772,1.494,1.663,3.97,1.567,0.539,1.067,3.892,0.935,0.016,0.276,3.236,0.046,0.438,8.523,9.617,5.248,0.535,10.609,4.701,6.519,11.688,0.079,0.406,9.193,3.575,0.033,0.221,1.956,7.311,2.824,0.033,1.022,9.56,0.097,22.957,14.0,14,0.254,0.574,0.682,0.718,0.718,0.718,2.52,1.033,43.5,2,0,1,0,0
6.114,139.05,1.927,11.382,14.469,-0.104,-0.079,1.281,1.201,3.122,1.238,1.245,1.14,0.931,6.492,5.228,5.203,4.792,4.991,4.718,4.922,5.35,8.605,28.658,1.064,11.237,27.16,10.917,4.245,59.867,0.339,0,0.096,0.02,1,6.456,1.258,0.98,8.177,4.066,1.367,1.902,3.382,1.543,-0.03,0.115,14.634,1.483,1.483,-0.83,-0.94,-1.05,0.423,-0.404,0.0,0.259,320.783,320.783,320.783,320.783,320.783,320.783,6.588,4.026,11.308,3,1.105,5.069,215.591,180.212,160.07,160.07,5.052,25.427,3.193,3.131,1.289,3.874,59.96,0.448,55.02,176.992,1.686,7,4.227,7,4,0.091,0.877,6.433,92.136,1.455,-0.109,12.483,1.287,1.656,99.604,7.706,0.387,4.1,4.175,3.634,3.517,5.348,3.546,4.609,4.713,4.029,3.915,5.832,3.928,4.982,5.128,4.2,6.353,4.067,4.058,6.405,3.989,4.984,3.87,3.945,6.177,3.88,3.873,6.045,3.835,4.725,4.892,3.853,3.826,6.105,3.796,3.643,3.677,5.976,3.626,0.339,0.665,5.868,0.603,1.058,19.865,75.174,10.013,1.346,33.04,11.007,13.67,37.552,1.46,1.27,36.855,10.68,1.014,1.121,9.385,123.539,12.367,0.897,8.819,114.992,0.949,129.622,51.0,44,0.25,0.579,0.744,0.84,0.896,0.921,3.407,0.88,37.7,0,2,0,0,1
6.167,161.05,1.928,16.295,21.664,-0.104,-0.083,1.326,0.859,3.239,1.325,1.551,1.282,1.023,6.496,5.636,5.651,5.388,5.569,5.426,5.623,7.38,11.863,52.769,1.893,20.654,57.795,20.114,4.709,83.99,0.254,0,0.097,0.022,1,6.468,1.297,1.746,14.409,4.4,1.945,1.929,3.441,1.589,-0.023,0.085,21.121,1.5,1.5,1.08,0.87,0.57,0.453,-2.306,0.0,0.242,470.833,470.833,470.833,470.833,470.833,470.833,8.253,4.402,15.931,6,1.128,5.069,333.681,317.761,239.22,239.22,5.468,53.85,3.283,3.236,1.297,4.388,97.044,0.442,86.806,294.624,2.902,10,6.472,10,4,0.098,1.227,6.454,151.734,2.649,-0.11,16.275,-0.46,0.212,132.017,7.711,0.279,4.443,4.515,3.973,3.808,5.672,3.852,4.99,5.089,4.391,4.222,6.196,4.255,5.382,5.523,4.611,6.767,4.422,4.517,6.794,4.394,5.456,4.436,4.385,6.69,4.357,4.489,6.697,4.376,5.417,5.588,4.495,4.38,6.792,4.373,4.344,4.254,6.798,4.231,0.568,0.926,8.217,1.158,1.476,30.001,134.39,13.992,1.877,50.582,15.232,19.49,57.588,2.814,1.915,58.793,15.867,2.388,1.881,15.521,298.436,20.761,2.47,15.532,326.811,2.802,371.881,105.0,62,0.235,0.532,0.703,0.826,0.896,0.936,3.717,0.88,35.1,0,2,0,0,2
6.081,161.05,1.928,16.295,21.664,-0.104,-0.083,1.326,0.859,3.239,1.325,1.551,1.282,1.023,6.496,5.636,5.651,5.388,5.569,5.426,5.623,7.38,11.863,52.769,1.893,20.654,57.795,20.114,4.709,83.99,0.254,0,0.097,0.022,1,6.468,1.297,1.746,14.409,4.4,1.945,1.929,3.441,1.589,-0.023,0.085,21.121,1.5,1.5,1.08,0.87,0.57,0.453,-2.306,0.0,0.242,470.833,470.833,470.833,470.833,470.833,470.833,8.253,4.402,15.931,6,1.128,5.069,333.681,317.761,239.22,239.22,5.468,53.85,3.283,3.236,1.297,4.388,97.044,0.442,86.806,294.624,2.902,10,6.472,10,4,0.098,1.227,6.454,151.734,2.649,-0.11,16.275,-0.46,0.212,132.017,7.711,0.279,4.443,4.515,3.973,3.808,5.672,3.852,4.99,5.089,4.391,4.222,6.196,4.255,5.382,5.523,4.611,6.767,4.422,4.517,6.794,4.394,5.456,4.436,4.385,6.69,4.357,4.489,6.697,4.376,5.417,5.588,4.495,4.38,6.792,4.373,4.344,4.254,6.798,4.231,0.568,0.926,8.217,1.158,1.476,30.001,134.39,13.992,1.877,50.582,15.232,19.49,57.588,2.814,1.915,58.793,15.867,2.388,1.881,15.521,298.436,20.761,2.47,15.532,326.811,2.802,371.881,105.0,62,0.235,0.532,0.703,0.826,0.896,0.936,3.717,0.88,35.1,0,2,0,0,2
4.814,183.088,1.749,7.451,7.829,-0.073,-0.008,1.235,0.0,2.884,1.026,1.096,0.98,1.225,7.435,4.815,4.76,4.268,4.439,4.012,4.209,3.396,5.176,18.008,0.484,4.896,12.918,5.793,3.612,43.286,0.451,0,0.103,0.017,0,6.462,1.198,0.486,4.117,3.563,0.821,1.644,3.205,1.419,-0.172,0.182,8.636,1.636,1.636,-0.62,-0.74,-0.87,0.379,-0.61,17.65,0.312,182.801,182.801,200.812,182.801,200.812,200.812,4.451,3.505,5.952,0,1.04,42.788,133.397,194.317,126.07,126.07,4.61,14.09,3.043,2.898,1.314,3.115,42.665,0.44,31.366,124.83,1.018,3,1.203,3,0,0.08,0.655,4.754,84.857,0.99,-0.065,9.571,0.259,0.067,72.029,7.877,0.0,3.739,3.825,3.289,3.103,5.034,3.145,4.245,4.386,3.633,3.428,5.642,3.447,4.516,4.682,3.718,5.901,3.561,3.615,5.905,3.503,4.557,3.589,3.325,6.145,3.34,3.238,5.662,3.144,4.077,4.247,3.151,3.054,5.529,3.056,3.197,3.081,5.442,3.045,0.244,0.477,4.0,0.635,0.694,14.496,76.636,6.751,0.825,20.73,6.21,8.472,24.327,1.411,0.677,24.856,5.308,0.958,0.529,3.94,129.39,5.163,0.705,3.707,106.119,0.61,75.2,60.0,28,0.302,0.697,0.863,0.902,0.902,0.902,3.101,0.902,34.2,2,1,1,0,1
6.155,235.891,1.762,8.934,10.552,-0.07,0.012,1.194,0.0,3.139,1.245,1.447,1.092,1.083,7.43,5.082,5.033,4.687,4.829,4.74,4.916,4.712,7.2,24.053,1.039,9.819,25.557,11.393,4.043,57.744,0.313,0,0.101,0.017,0,7.428,1.153,1.074,8.655,3.886,1.172,1.838,3.398,1.514,-0.124,0.125,11.076,1.63,1.63,-0.2,-0.35,-0.52,0.378,-1.025,17.65,0.287,229.946,229.946,247.957,229.946,247.957,247.957,6.868,3.827,8.575,1,0.98,47.38,180.127,209.071,165.51,165.51,4.9,26.775,3.312,3.175,1.316,3.706,62.759,0.441,39.543,168.13,1.509,3,0.999,3,1,0.085,0.88,6.46,122.892,1.52,-0.072,13.0,-0.594,0.352,103.591,8.302,0.0,4.051,4.123,3.659,3.436,5.354,3.492,4.561,4.681,4.012,3.762,5.916,3.808,4.822,4.959,4.122,6.29,3.915,3.982,6.207,3.843,4.847,3.995,3.726,6.334,3.754,3.862,6.058,3.734,4.752,4.924,3.881,3.763,6.147,3.769,3.946,3.826,6.139,3.801,0.359,0.65,5.023,0.898,0.964,18.379,81.15,8.425,1.149,26.328,8.678,10.587,31.236,1.864,1.05,31.708,7.885,1.333,0.966,7.188,156.359,8.344,1.357,7.848,184.522,1.347,144.539,67.0,42,0.276,0.657,0.796,0.823,0.842,0.856,3.44,0.863,37.3,2,1,1,0,2
4.499,120.889,1.891,4.153,4.188,-0.183,-0.111,1.129,1.342,2.741,0.824,1.051,0.618,0.696,6.472,4.298,4.082,3.723,3.848,3.573,3.717,2.638,4.127,7.439,0.377,3.484,6.416,3.14,3.442,31.914,0.541,0,0.074,0.023,1,4.837,1.105,0.357,2.958,3.509,0.641,1.517,2.964,1.107,0.138,0.179,5.635,1.416,1.416,-3.51,-3.49,-3.33,0.396,2.284,0.0,0.291,121.512,121.512,121.512,121.512,121.512,121.512,5.816,3.342,5.293,0,0.948,0.0,66.969,41.836,70.67,70.67,4.151,6.63,2.863,2.762,1.097,3.031,27.733,0.465,16.388,43.355,0.488,2,0.341,2,6,0.102,0.524,4.262,34.485,0.387,-0.195,8.0,2.602,6.769,70.435,8.767,0.571,3.517,3.573,3.201,3.121,4.837,3.138,3.936,4.004,3.579,3.478,5.275,3.493,4.187,4.3,3.61,5.587,3.516,3.437,5.616,3.333,3.926,3.155,3.132,5.248,3.122,3.023,5.062,3.018,3.619,3.76,2.972,2.959,4.987,2.929,2.765,2.791,5.073,2.744,0.115,0.326,2.436,0.126,0.505,6.223,14.206,4.085,0.656,11.015,5.356,5.284,12.357,0.339,0.512,10.414,4.216,0.262,0.41,3.341,38.184,3.067,0.235,3.139,30.133,0.25,38.061,10.0,30,0.268,0.564,0.7,0.797,0.849,0.867,3.011,0.815,51.7,0,0,0,0,0
