pXC50,Mp,C.,Mv,H.,Mi,nBM,nDB,AMW,nCsp2
8.921,0.623,35.7,0.601,48.2,1.138,9,3,7.241,10
7.0,0.58,30.0,0.531,60.0,1.148,1,1,5.743,1
6.297,0.721,38.6,0.663,43.9,1.126,18,1,9.761,15
6.699,0.558,25.0,0.543,54.2,1.159,0,0,6.8,0
7.0,0.654,36.4,0.626,45.5,1.13,13,2,8.01,10
4.843,0.618,34.0,0.599,48.0,1.144,11,0,7.289,8
7.038,0.586,29.7,0.548,56.3,1.151,5,0,6.259,2
5.458,0.586,30.0,0.545,57.1,1.15,5,0,6.124,2
5.745,0.572,29.1,0.528,60.0,1.149,0,0,5.809,0
7.371,0.586,30.0,0.545,57.1,1.15,5,0,6.124,2
4.576,0.586,29.7,0.548,56.3,1.151,5,0,6.259,2
5.852,0.585,29.3,0.552,55.2,1.153,5,0,6.423,2
6.675,0.586,29.5,0.55,55.7,1.152,5,0,6.337,2
4.253,0.586,29.5,0.55,55.7,1.152,5,0,6.337,2
4.35,0.586,29.7,0.548,56.3,1.151,5,0,6.259,2
4.595,0.586,30.0,0.545,57.1,1.15,5,0,6.124,2
4.351,0.585,29.3,0.552,55.2,1.153,5,0,6.423,2
7.048,0.586,30.3,0.542,57.9,1.149,5,0,6.009,2
5.208,0.583,29.0,0.553,54.8,1.153,5,0,6.493,2
4.377,0.564,26.7,0.537,56.7,1.155,0,0,6.375,0
5.699,0.593,32.8,0.546,58.2,1.141,0,0,5.935,0
4.078,0.568,27.8,0.532,58.3,1.152,0,0,6.092,0
6.252,0.568,27.6,0.53,58.6,1.153,0,0,6.043,0
4.367,0.57,28.6,0.529,59.5,1.15,0,0,5.89,0
5.377,0.57,28.6,0.529,59.5,1.15,0,0,5.89,0
7.721,0.572,28.9,0.525,60.5,1.15,0,0,5.72,0
8.658,0.575,29.8,0.522,61.7,1.148,0,0,5.52,0
5.596,0.559,25.0,0.54,55.0,1.16,0,0,6.659,0
4.523,0.57,27.3,0.587,45.5,1.151,1,1,8.098,1
4.301,0.602,31.7,0.552,57.1,1.15,5,0,5.978,1
5.0,0.711,51.7,0.707,34.5,1.1,14,2,8.767,14
4.301,0.687,41.0,0.679,35.9,1.14,19,2,8.574,14
4.301,0.707,44.1,0.683,38.2,1.11,15,3,8.922,13
4.301,0.711,39.5,0.664,42.1,1.115,12,2,8.854,9
4.301,0.689,36.4,0.639,45.5,1.127,12,1,8.285,8
4.301,0.728,45.9,0.692,37.8,1.113,21,0,8.714,14
4.301,0.645,38.5,0.612,48.1,1.136,16,1,7.067,11
4.301,0.695,42.0,0.685,36.0,1.122,22,5,9.09,18
4.301,0.652,37.5,0.622,46.4,1.128,15,3,7.76,13
4.301,0.674,38.2,0.641,44.1,1.136,12,1,8.199,10
4.301,0.693,42.9,0.667,40.5,1.125,12,6,8.496,15
4.301,0.68,39.4,0.625,48.5,1.122,11,0,7.527,8
4.799,0.641,38.6,0.606,49.1,1.133,16,1,6.957,12
5.0,0.648,40.7,0.615,48.1,1.126,14,2,7.083,14
4.301,0.703,42.1,0.663,42.1,1.122,22,1,8.457,17
5.0,0.666,39.5,0.666,37.2,1.137,18,2,8.567,12
5.0,0.592,31.7,0.542,58.7,1.146,2,2,5.835,2
4.301,0.78,38.7,0.737,32.3,1.111,12,2,11.783,9
4.301,0.684,37.5,0.641,44.6,1.127,19,3,8.208,13
4.301,0.693,41.9,0.67,39.5,1.12,19,3,8.638,13
4.301,0.668,37.8,0.663,37.8,1.156,9,3,9.335,9
4.301,0.669,42.2,0.629,46.7,1.129,17,0,7.099,13
4.301,0.678,38.9,0.655,40.7,1.131,15,3,8.418,13
4.301,0.614,33.3,0.573,53.3,1.147,11,0,6.476,7
4.301,0.708,43.9,0.662,43.9,1.118,9,3,8.519,11
5.051,0.734,46.4,0.69,39.3,1.107,29,2,8.69,22
4.301,0.668,43.6,0.675,35.9,1.15,17,0,8.957,14
4.301,0.669,37.8,0.636,44.4,1.13,16,1,8.011,11
5.0,0.675,36.2,0.629,46.8,1.124,10,4,8.139,8
4.301,0.633,37.5,0.588,52.5,1.136,7,0,6.485,5
4.301,0.714,45.2,0.671,41.9,1.107,13,1,8.366,12
4.301,0.673,42.6,0.674,36.2,1.152,21,0,8.818,15
5.0,0.716,47.1,0.69,38.2,1.113,14,2,8.846,13
4.301,0.656,34.9,0.61,48.8,1.138,12,1,7.43,9
4.301,0.631,37.7,0.603,49.1,1.133,9,3,7.066,9
5.0,0.614,34.9,0.58,52.4,1.139,9,3,6.66,9
4.301,0.644,40.0,0.61,48.9,1.128,12,2,6.987,10
5.0,0.673,44.7,0.631,47.4,1.119,12,0,7.01,11
5.0,0.741,38.5,0.691,38.5,1.112,18,3,9.783,12
4.301,0.707,40.6,0.682,37.5,1.125,16,1,9.011,11
4.893,0.558,25.0,0.543,54.2,1.159,0,0,6.8,0
4.301,0.623,36.2,0.581,53.2,1.138,7,1,6.456,7
5.0,0.656,41.5,0.623,47.2,1.126,18,1,7.16,16
4.301,0.698,47.1,0.68,38.2,1.117,18,1,8.215,15
5.0,0.662,33.3,0.619,47.1,1.134,14,3,8.09,9
5.0,0.647,41.0,0.613,48.7,1.125,11,1,7.009,9
4.301,0.667,37.5,0.626,46.9,1.124,8,2,7.917,8
4.301,0.665,35.2,0.633,44.4,1.135,17,5,8.474,13
5.0,0.723,46.9,0.695,37.5,1.116,14,1,8.93,13
4.301,0.649,40.9,0.608,50.0,1.127,12,1,6.782,11
4.301,0.644,35.3,0.606,49.0,1.134,11,1,7.442,7
4.301,0.687,45.7,0.681,37.0,1.118,20,3,8.509,18
4.301,0.713,45.7,0.691,37.0,1.112,22,1,8.858,17
4.301,0.69,39.1,0.642,45.7,1.116,14,3,8.251,11
5.0,0.688,45.3,0.669,39.6,1.122,23,2,8.066,18
4.301,0.68,40.4,0.651,42.3,1.125,15,4,8.203,14
5.0,0.675,40.4,0.65,42.3,1.131,14,2,8.229,12
4.301,0.716,43.8,0.675,40.6,1.116,16,0,8.48,12
5.0,0.663,40.4,0.644,42.3,1.133,19,2,7.817,16
4.301,0.737,40.6,0.681,40.6,1.113,15,0,9.107,10
4.301,0.672,46.2,0.638,46.2,1.112,12,2,7.24,11
5.0,0.716,41.9,0.679,39.5,1.121,17,1,9.044,12
4.301,0.724,40.5,0.676,40.5,1.115,18,2,9.013,12
4.301,0.693,45.9,0.691,35.1,1.119,16,4,8.739,16
4.301,0.627,38.0,0.572,56.0,1.132,7,1,6.01,7
5.0,0.661,41.7,0.624,47.2,1.128,12,0,7.093,9
4.301,0.664,43.8,0.629,46.9,1.119,8,2,7.166,9
4.301,0.695,40.0,0.644,46.0,1.119,15,3,9.028,13
4.301,0.724,43.3,0.679,40.0,1.119,16,1,8.545,12
5.0,0.68,41.1,0.65,42.9,1.123,16,4,8.082,16
4.301,0.667,42.2,0.638,44.4,1.127,17,1,7.476,14
4.301,0.707,42.9,0.671,40.5,1.122,18,2,8.368,15
4.301,0.647,40.6,0.62,46.9,1.126,8,2,7.29,8
4.301,0.711,42.9,0.664,42.9,1.114,12,1,8.298,11
5.0,0.665,40.4,0.644,42.6,1.134,15,5,7.754,14
4.301,0.663,43.2,0.643,43.2,1.13,14,2,7.782,14
4.301,0.706,45.2,0.674,40.5,1.12,14,2,8.401,12
4.301,0.619,35.9,0.598,48.7,1.135,8,2,7.214,8
4.301,0.703,44.0,0.673,40.0,1.117,22,1,8.411,17
4.301,0.636,38.6,0.597,50.9,1.132,16,1,6.729,12
4.301,0.834,44.8,0.778,27.6,1.104,17,1,13.045,12
4.301,0.611,30.0,0.626,40.0,1.157,7,2,8.542,4
5.0,0.674,42.5,0.66,40.0,1.128,18,1,8.109,15
4.301,0.713,38.5,0.668,41.0,1.122,16,0,8.936,12
4.301,0.665,32.1,0.636,42.9,1.143,7,2,8.583,5
4.301,0.667,37.5,0.647,41.7,1.131,19,3,8.427,13
5.0,0.668,34.3,0.639,42.9,1.14,12,1,8.383,8
4.301,0.64,39.5,0.599,51.2,1.129,11,1,6.661,9
4.301,0.663,38.6,0.637,43.9,1.127,16,5,8.063,13
4.301,0.635,38.6,0.601,50.0,1.131,10,4,6.881,11
4.301,0.72,39.5,0.711,31.6,1.137,19,3,10.486,13
4.301,0.657,39.4,0.623,47.0,1.13,15,3,7.562,16
4.301,0.648,40.8,0.612,49.0,1.126,13,1,6.948,13
4.301,0.736,48.4,0.709,35.5,1.101,17,2,9.205,14
4.301,0.678,35.4,0.632,45.8,1.129,13,1,8.22,9
4.301,0.689,46.9,0.654,43.8,1.116,16,1,7.447,13
4.301,0.695,42.9,0.647,45.2,1.118,17,1,7.749,14
5.0,0.627,35.2,0.586,51.9,1.144,12,1,6.602,8
4.301,0.664,38.6,0.624,47.4,1.131,14,2,8.341,14
4.301,0.677,39.4,0.638,45.5,1.12,8,2,8.041,8
5.577,0.694,46.9,0.668,40.8,1.117,23,0,7.846,19
4.301,0.663,38.6,0.612,50.0,1.125,13,2,7.238,9
4.301,0.633,36.4,0.604,48.5,1.14,8,8,7.1,12
4.301,0.698,43.5,0.665,41.3,1.117,20,2,8.293,14
4.301,0.644,34.1,0.61,47.7,1.136,9,3,7.715,7
4.301,0.718,43.9,0.696,36.6,1.12,14,2,9.567,14
4.301,0.62,35.4,0.583,52.1,1.139,8,2,6.655,8
4.301,0.695,43.2,0.666,40.9,1.115,18,1,8.42,15
4.301,0.818,44.0,0.736,36.0,1.085,9,4,10.697,10
5.0,0.644,36.5,0.606,49.2,1.131,15,3,7.328,13
4.301,0.647,36.9,0.614,47.7,1.131,16,4,7.533,14
5.0,0.667,37.8,0.645,42.2,1.129,11,5,8.388,11
4.301,0.69,42.3,0.657,42.3,1.121,20,2,8.126,14
4.301,0.629,38.5,0.583,53.8,1.13,8,2,6.343,9
5.604,0.692,41.7,0.65,43.8,1.124,21,1,7.907,15
4.301,0.659,42.6,0.644,42.6,1.129,15,3,7.898,15
4.301,0.726,46.2,0.711,33.3,1.122,22,1,9.447,16
5.387,0.695,36.1,0.626,50.0,1.129,6,0,10.504,6
5.0,0.679,45.0,0.665,40.0,1.119,18,1,8.109,15
4.301,0.613,31.1,0.58,51.1,1.156,7,1,6.788,4
5.0,0.685,40.0,0.666,40.0,1.123,8,2,10.177,8
4.301,0.65,37.1,0.619,46.8,1.13,16,4,7.671,14
4.301,0.69,42.3,0.657,42.3,1.121,20,3,8.126,15
4.301,0.619,36.0,0.584,52.0,1.136,8,2,6.689,8
5.0,0.634,38.6,0.611,47.7,1.129,12,2,7.259,10
4.301,0.684,42.2,0.656,42.2,1.116,19,3,8.299,15
4.301,0.758,47.7,0.712,36.4,1.103,26,0,9.194,19
4.301,0.719,41.4,0.699,34.5,1.123,16,0,9.46,10
5.0,0.686,40.0,0.65,43.3,1.118,8,2,8.378,8
4.301,0.724,41.5,0.694,36.6,1.114,19,2,9.5,14
5.779,0.69,43.1,0.646,45.1,1.117,19,2,7.717,16
4.076,0.56,25.8,0.542,54.8,1.157,0,0,6.686,0
4.301,0.69,40.9,0.661,40.9,1.124,18,1,8.42,15
4.301,0.681,46.3,0.661,41.5,1.114,18,1,7.887,17
5.0,0.738,48.6,0.722,32.4,1.115,22,1,9.551,17
4.301,0.664,34.6,0.61,50.0,1.132,9,3,8.547,7
4.301,0.677,39.4,0.638,45.5,1.12,8,2,8.041,8
4.301,0.642,38.1,0.619,46.0,1.135,19,3,7.422,16
4.18,0.561,25.9,0.54,55.6,1.157,0,0,6.564,0
4.301,0.676,44.4,0.632,47.2,1.122,16,0,6.982,13
4.301,0.662,37.8,0.634,44.4,1.127,14,3,8.099,11
4.301,0.669,39.6,0.632,45.8,1.123,15,3,7.802,13
4.301,0.729,51.4,0.72,32.4,1.11,14,7,8.874,17
4.301,0.676,40.0,0.636,45.5,1.127,18,1,7.702,15
4.301,0.673,43.6,0.645,43.6,1.123,20,3,7.573,18
5.0,0.645,34.6,0.618,46.2,1.137,14,3,7.856,9
4.301,0.654,40.4,0.625,46.2,1.13,15,3,7.317,15
4.301,0.653,37.8,0.613,48.9,1.134,12,1,7.464,10
4.301,0.686,34.5,0.657,41.4,1.127,9,3,9.578,7
4.301,0.669,36.4,0.624,47.3,1.133,13,2,7.928,10
5.0,0.662,42.1,0.632,45.6,1.126,16,4,7.343,17
5.0,0.678,44.4,0.668,38.9,1.12,20,2,8.287,20
4.301,0.676,42.3,0.7,30.8,1.127,9,3,9.547,9
4.301,0.679,41.7,0.656,41.7,1.121,15,3,8.26,15
4.301,0.68,41.1,0.65,42.9,1.123,19,3,8.082,16
5.0,0.659,37.2,0.624,46.5,1.128,13,2,7.824,9
5.0,0.711,40.0,0.674,40.0,1.115,18,2,9.112,13
4.301,0.651,41.5,0.625,46.3,1.124,9,3,7.35,10
4.097,0.57,28.6,0.529,59.5,1.15,0,0,5.89,0
4.733,0.572,28.9,0.527,60.0,1.15,0,0,5.809,0
5.398,0.573,29.2,0.526,60.4,1.149,0,0,5.738,0
4.602,0.573,29.2,0.526,60.4,1.149,0,0,5.738,0
4.301,0.573,29.4,0.525,60.8,1.148,0,0,5.676,0
4.523,0.571,28.8,0.529,59.6,1.149,0,0,5.874,0
5.757,0.573,29.5,0.526,60.7,1.148,0,0,5.698,0
6.301,0.574,29.7,0.525,60.9,1.147,0,0,5.65,0
6.301,0.575,29.9,0.524,61.2,1.147,0,0,5.606,0
4.0,0.572,29.1,0.528,60.0,1.149,0,0,5.809,0
4.022,0.573,29.3,0.527,60.3,1.148,0,0,5.751,0
4.398,0.573,29.5,0.526,60.7,1.148,0,0,5.698,0
4.824,0.574,29.7,0.525,60.9,1.147,0,0,5.65,0
4.921,0.575,29.9,0.524,61.2,1.147,0,0,5.606,0
6.398,0.577,28.6,0.556,53.6,1.152,0,0,6.759,0
4.0,0.58,30.0,0.542,57.5,1.148,0,0,6.134,0
4.222,0.582,30.9,0.533,60.0,1.145,0,0,5.737,0
7.301,0.648,40.0,0.627,45.3,1.129,23,0,7.502,20
4.177,0.611,32.8,0.583,50.7,1.147,11,0,6.905,8
5.785,0.638,38.1,0.611,47.6,1.134,17,0,7.216,14
4.987,0.677,34.0,0.632,44.7,1.138,11,0,10.134,8
4.914,0.619,33.9,0.621,42.4,1.163,15,0,8.246,9
5.721,0.606,32.8,0.574,52.5,1.145,5,0,6.698,2
6.531,0.592,30.6,0.557,54.8,1.149,5,0,6.429,2
4.445,0.634,28.8,0.593,50.0,1.143,5,0,7.819,2
4.51,0.615,33.8,0.585,50.8,1.144,11,0,6.886,8
4.762,0.67,33.3,0.654,39.6,1.142,15,0,9.228,8
5.0,0.61,33.3,0.583,50.8,1.144,11,0,6.93,8
5.365,0.592,30.5,0.56,54.2,1.15,5,0,6.518,2
7.222,0.586,29.9,0.546,56.7,1.151,5,0,6.188,2
4.352,0.608,27.7,0.577,51.1,1.151,5,0,7.414,2
5.237,0.583,28.6,0.558,53.6,1.154,5,0,6.687,2
5.773,0.584,29.2,0.551,55.4,1.152,5,0,6.409,2
4.268,0.563,26.1,0.536,56.5,1.157,0,0,6.4,0
6.482,0.571,28.3,0.525,60.4,1.152,0,0,5.745,0
7.252,0.576,30.0,0.519,62.5,1.147,0,0,5.384,0
5.855,0.585,31.3,0.534,60.0,1.145,1,1,5.709,1
4.313,0.554,23.1,0.541,53.8,1.166,0,0,6.855,0
4.307,0.577,30.8,0.525,61.5,1.144,0,0,5.548,0
5.569,0.581,29.2,0.555,54.2,1.151,1,1,6.634,2
5.959,0.565,26.9,0.533,57.7,1.155,0,0,6.201,0
6.745,0.602,27.3,0.548,57.6,1.145,0,0,6.708,0
7.745,0.6,28.2,0.542,59.0,1.144,0,0,6.395,0
8.745,0.598,28.9,0.538,60.0,1.143,0,0,6.166,0
