pXC50,Sv,Sp,nC,nBT,Si,nAT
6.621,24.59,25.159,16,39,42.741,38
5.873,34.921,37.006,23,60,66.197,58
10.0,31.956,35.438,20,56,64.737,57
9.24,33.746,37.995,21,60,69.371,61
8.523,23.639,26.949,13,44,51.71,45
4.35,15.425,18.409,6,23,26.753,24
4.1,21.908,24.841,10,35,38.002,34
5.538,34.648,38.074,22,62,71.6,63
5.724,34.648,38.074,22,62,71.6,63
5.599,34.648,38.074,22,62,71.6,63
5.222,36.583,39.739,23,65,74.936,66
6.161,34.648,38.074,22,62,71.6,63
6.201,34.648,38.074,22,62,71.6,63
5.301,35.868,39.285,23,64,73.726,65
4.19,23.246,25.29,15,41,46.484,41
5.86,26.411,29.887,17,45,49.032,44
4.0,20.303,22.841,13,33,35.371,32
4.33,18.777,21.08,12,30,31.956,29
4.45,21.907,23.222,14,37,41.863,37
4.25,21.192,22.767,14,36,40.654,36
5.45,20.81,22.926,14,35,39.305,35
4.56,27.52,29.324,19,46,49.441,44
5.08,27.552,29.841,19,47,51.773,46
5.523,35.868,39.285,23,64,73.726,65
6.161,35.363,38.529,22,63,72.81,64
6.046,34.046,38.023,22,60,69.125,61
4.398,17.508,18.222,9,29,35.095,30
4.398,18.223,18.676,9,30,36.304,31
5.751,19.438,21.33,11,33,38.622,34
4.0,29.858,33.091,20,53,61.062,54
4.0,22.993,25.262,14,42,49.026,43
4.0,19.224,21.284,12,35,40.986,36
5.679,20.964,23.091,12,36,42.037,37
6.205,30.222,34.512,19,55,63.525,56
4.0,19.939,21.739,12,36,42.195,37
5.235,33.933,37.62,22,61,70.391,62
4.155,34.847,37.262,20,63,71.059,62
4.167,28.692,32.404,18,54,62.766,55
5.155,34.121,37.313,22,60,69.185,61
5.0,26.52,28.324,18,45,48.441,43
8.143,35.428,35.603,23,56,60.666,53
7.097,30.246,32.29,22,50,53.484,48
7.699,38.428,41.864,26,67,74.474,66
4.0,47.292,52.075,29,88,100.341,88
8.699,35.901,39.103,24,63,70.059,62
7.658,29.235,30.779,20,48,51.651,46
9.35,25.687,27.012,18,42,44.737,40
5.0,30.585,32.154,20,49,51.784,46
8.301,29.337,30.517,19,47,49.543,44
5.0,34.751,36.029,24,57,58.232,52
7.523,36.278,37.79,25,60,61.647,55
7.523,37.805,39.551,26,63,65.062,58
7.699,37.299,38.796,25,62,64.145,57
8.046,37.299,38.796,25,62,64.145,57
8.222,37.299,38.796,25,62,64.145,57
5.0,36.278,37.79,25,60,61.647,55
6.456,37.805,39.551,26,63,65.062,58
5.0,37.299,38.796,25,62,64.145,57
7.523,37.805,39.551,26,63,65.062,58
6.569,37.299,38.796,25,62,64.145,57
8.0,38.321,39.801,25,64,66.644,59
7.301,34.584,36.341,23,58,60.936,54
6.886,35.473,37.034,24,59,62.193,55
7.301,35.473,37.034,24,59,62.193,55
8.0,35.473,37.034,24,59,62.193,55
7.523,35.917,37.955,24,59,61.797,55
7.398,36.617,38.858,25,62,65.268,58
7.222,34.578,36.841,22,56,58.302,52
8.0,34.968,36.279,23,58,61.276,54
6.456,33.245,35.228,21,55,57.441,51
8.523,34.072,36.086,21,55,57.385,51
8.699,35.222,35.898,21,55,58.404,51
8.699,37.771,39.989,25,62,63.856,57
7.777,35.989,37.284,23,60,63.774,56
8.046,36.035,38.529,25,59,60.148,54
8.046,37.53,39.773,26,60,61.231,55
8.301,36.035,38.529,25,59,60.148,54
7.959,39.089,42.052,27,65,66.979,60
8.699,39.057,41.534,27,63,64.647,58
8.523,39.804,42.506,27,66,68.188,61
8.699,39.804,42.506,27,66,68.188,61
5.0,39.804,42.506,27,66,68.188,61
6.854,25.139,26.245,19,40,40.824,37
7.244,26.665,28.006,20,43,44.239,40
7.26,30.622,31.676,22,49,51.073,46
8.469,28.16,29.25,21,44,45.322,41
8.143,33.214,34.773,25,53,54.152,49
7.569,37.17,38.443,27,59,60.986,55
7.409,35.643,36.682,26,56,57.571,52
8.658,27.38,28.46,20,44,45.448,41
8.268,31.337,32.131,22,50,52.282,47
8.886,28.875,29.705,21,45,46.531,42
8.357,33.928,35.228,25,54,55.362,50
8.658,37.885,38.898,27,60,62.196,56
7.602,36.358,37.136,26,57,58.78,53
8.215,28.907,30.222,21,47,48.863,44
8.538,32.863,33.892,23,53,55.697,50
8.495,30.402,31.466,22,48,49.946,45
8.495,35.455,36.989,26,57,58.777,53
7.745,39.412,40.659,28,63,65.611,59
7.469,37.885,38.898,27,60,62.196,56
6.337,26.665,28.006,20,43,44.239,40
5.854,30.622,31.676,22,49,51.073,46
7.208,28.16,29.25,21,44,45.322,41
