pXC50,IDE,MSD,AECC,IAC,TIC0,HVcpx,SAdon,VAR,SpMax5_Bh.e.,nROH,NsOH,SsOH,SpMax5_Bh.i.,P_VSA_v_2,ATS8e,TIC4,TIC5,TIC3,RBN,TPSA.Tot.,X1v,Sp,ATS3e,SpMax5_Bh.v.,ATS2i,CATS2D_07_NL,CATS2D_01_AN,CATS2D_01_DN,SAacc,SAtot,ECC,SpMin3_Bh.s.,X1Per,ATS2s,P_VSA_e_5,ATS7p,P_VSA_m_3,P_VSA_p_2,VvdwMG,Vx,Eta_epsi,X1MulPer,SpMax8_Bh.i.,SpMax4_Bh.p.,S1K,P_VSA_p_1,SpMin3_Bh.i.,SpMax6_Bh.e.,SpMax6_Bh.v.,ATS8i,TIC1,VvdwZAZ,nFuranes,LLS_01,Sv,CSI,ATS1m,MATS2s,UNIP,ATSC2e,ATS5e,nCsp3,ATS6i,SpMax6_Bh.i.,ATS8p
6.848,3.561,6.447,10.385,73.75,73.75,3.378,34.674,84.0,3.445,0,0,0.0,3.516,113.177,4.525,247.323,247.323,247.323,7,86.8,9.042,31.58,4.697,3.249,4.695,0,0,0,96.514,442.073,270.0,1.03,7.275,5.52,25.145,3.789,25.145,113.177,184.794,442.658,27.967,8.732,2.983,3.428,16.984,235.422,1.542,3.184,2.986,4.805,180.511,308.79,0,0.33,30.058,596.0,3.538,0.121,100.0,0.206,4.716,7,5.035,3.254,3.549
6.719,3.565,6.49,10.929,82.498,82.498,3.391,60.694,112.0,3.338,0,1,9.548,3.389,122.534,4.854,286.457,286.457,280.947,6,78.35,10.296,36.069,4.957,3.129,4.863,0,0,0,122.534,519.511,306.0,1.108,8.265,5.625,67.828,4.109,67.828,122.534,206.906,496.611,31.133,9.963,3.206,3.64,19.198,306.049,1.697,3.193,3.009,5.134,191.712,361.02,0,0.17,33.837,668.0,3.599,0.142,110.0,0.216,5.019,11,5.303,3.266,3.837
6.588,3.537,6.254,10.708,70.918,70.918,3.403,78.705,84.0,3.186,0,1,9.439,3.263,137.421,4.382,227.329,227.329,221.819,4,87.14,8.312,29.784,4.756,3.004,4.638,0,0,0,137.421,444.825,257.0,0.881,6.702,5.512,67.828,3.611,67.828,137.421,175.93,421.03,26.533,8.028,2.908,3.074,16.718,223.651,1.694,3.146,2.933,4.622,165.562,304.18,0,0.33,28.256,548.0,3.431,0.137,89.0,0.16,4.636,7,4.712,3.231,3.448
6.943,4.018,8.578,14.778,115.707,115.707,3.781,77.099,200.0,3.718,1,1,8.707,3.751,208.397,5.137,376.733,376.733,371.224,11,149.97,13.932,44.608,5.185,3.566,5.074,2,1,1,208.397,665.366,532.0,1.109,9.958,6.123,137.286,4.36,137.286,208.397,262.67,632.674,41.2,12.043,3.246,3.671,26.528,353.133,1.71,3.555,3.364,5.395,256.131,466.16,0,0.33,42.243,1137.0,3.996,0.26,186.0,0.592,5.251,13,5.531,3.548,4.135
9.222,4.024,8.593,14.8,104.778,104.778,3.791,60.694,197.0,3.776,1,1,9.052,3.824,150.804,5.154,378.295,378.295,372.785,9,98.66,12.908,44.813,5.187,3.647,5.106,2,1,1,150.804,640.59,518.0,1.174,10.299,5.899,92.973,4.368,92.973,150.804,255.338,614.784,39.3,12.476,3.245,3.686,24.212,388.446,1.752,3.362,3.169,5.429,244.428,452.31,0,0.17,42.153,1143.0,3.828,0.191,180.0,0.38,5.227,15,5.556,3.41,4.135
6.0,4.065,8.769,15.379,99.482,99.482,3.808,49.302,182.0,3.508,0,0,0.0,3.58,131.279,4.875,340.49,340.49,330.98,13,110.11,11.971,39.665,5.118,3.328,5.019,0,0,0,131.279,611.292,446.0,1.157,8.472,5.932,80.458,4.081,80.458,131.279,233.212,560.797,35.333,10.102,3.196,3.604,23.975,376.675,1.708,3.277,3.1,5.155,204.988,412.35,0,0.33,36.539,907.0,3.806,0.262,152.0,0.552,5.101,14,5.232,3.343,3.869
8.658,3.934,8.031,13.84,85.806,85.806,3.689,107.161,137.0,3.5,2,2,17.495,3.527,145.346,4.568,290.965,290.965,281.455,13,111.82,10.455,35.142,4.941,3.32,4.851,2,2,2,145.346,568.991,346.0,1.113,7.216,5.972,112.448,3.813,112.448,145.346,207.961,499.186,31.133,8.537,2.95,3.544,22.301,329.591,1.667,3.227,3.04,4.838,180.926,363.56,0,0.0,31.948,673.0,3.681,0.582,119.0,0.797,4.902,12,5.139,3.296,3.656
5.444,3.993,8.319,14.5,82.563,82.563,3.776,49.438,148.0,3.506,0,0,0.0,3.58,110.304,4.683,307.566,307.566,294.056,13,89.71,9.819,36.143,4.971,3.326,4.91,0,0,0,93.764,557.153,377.0,1.144,7.963,5.545,11.0,3.887,11.0,110.304,211.161,506.993,30.867,9.429,3.163,3.412,20.698,353.133,1.699,3.255,3.066,4.986,180.458,358.63,0,0.17,33.197,772.0,3.498,0.205,128.0,0.237,4.992,13,5.155,3.33,3.71
7.721,3.934,8.031,13.84,85.392,85.392,3.689,107.161,137.0,3.501,2,2,17.939,3.57,138.424,4.632,303.566,303.566,294.056,13,102.59,11.067,36.449,5.019,3.323,4.886,2,1,2,138.424,581.658,346.0,1.166,7.493,5.867,105.527,3.878,105.527,138.424,213.558,512.841,30.967,8.889,2.995,3.544,22.34,353.133,1.707,3.228,3.041,4.914,181.213,372.07,0,0.17,32.76,673.0,3.655,0.452,119.0,0.481,4.996,13,5.184,3.296,3.732
6.553,3.773,7.237,12.409,68.599,68.599,3.567,75.581,104.0,3.252,1,1,8.993,3.309,111.725,4.399,253.784,253.784,244.274,11,72.55,8.195,31.029,4.838,3.064,4.727,0,1,1,111.725,505.002,273.0,1.109,6.646,5.518,78.828,3.58,78.828,111.725,183.113,438.555,26.8,7.854,2.925,3.346,18.827,306.049,1.648,3.114,2.885,4.68,155.676,323.51,0,0.17,28.541,530.0,3.295,0.217,97.0,0.23,4.746,11,4.842,3.198,3.383
6.699,3.842,7.533,13.043,71.718,71.718,3.636,75.581,115.0,3.351,1,1,8.837,3.378,111.725,4.506,273.254,273.254,263.744,12,72.55,8.652,32.79,4.903,3.145,4.789,2,1,1,111.725,531.079,300.0,1.115,7.013,5.561,78.828,3.688,78.828,111.725,192.705,461.96,28.1,8.289,2.925,3.347,19.825,329.591,1.684,3.192,2.958,4.779,163.215,340.81,0,0.17,30.068,583.0,3.338,0.233,104.0,0.239,4.881,12,4.972,3.258,3.502
7.018,3.729,7.201,11.871,99.06,99.06,3.497,49.302,120.0,3.67,0,0,0.0,3.669,155.455,4.927,311.659,311.659,306.149,7,126.66,12.392,39.176,5.036,3.509,4.939,0,0,0,155.455,559.79,368.0,1.109,8.691,5.974,69.458,4.183,69.458,155.455,228.828,550.1,34.967,10.481,3.206,3.664,22.04,306.049,1.707,3.31,3.104,5.192,214.159,399.32,0,0.33,36.76,794.0,3.876,0.337,134.0,0.426,5.112,11,5.395,3.368,3.933
8.201,4.022,8.571,14.848,100.004,100.004,3.785,78.705,198.0,3.661,1,1,8.688,3.71,165.69,5.021,350.93,350.93,345.42,11,107.45,11.998,42.052,5.13,3.471,5.028,2,1,1,165.69,618.058,490.0,1.109,9.643,5.866,92.973,4.263,92.973,165.69,243.546,586.013,37.3,11.662,3.206,3.642,23.658,353.133,1.7,3.378,3.173,5.288,234.12,430.07,0,0.17,39.627,1056.0,3.753,0.191,167.0,0.344,5.145,13,5.428,3.428,3.996
5.866,4.181,9.521,16.294,99.787,99.787,3.932,125.172,180.0,3.557,2,2,17.561,3.547,202.646,4.683,321.02,321.02,306.755,10,148.76,12.145,41.318,4.985,3.37,4.83,2,2,2,202.646,631.769,554.0,1.089,8.501,6.163,151.738,4.025,151.738,202.646,247.692,596.13,37.1,10.214,3.002,3.712,25.671,258.964,1.756,3.465,3.316,4.91,219.524,436.81,0,0.0,39.104,1155.0,3.924,0.351,196.0,0.797,4.976,5,5.185,3.497,3.935
6.735,4.211,9.672,16.769,121.047,121.047,3.95,123.946,240.0,3.641,2,2,17.817,3.644,223.797,4.936,361.42,361.42,349.056,10,140.5,13.384,44.443,5.054,3.441,4.966,1,2,2,207.011,663.227,654.0,1.107,9.412,6.558,112.448,4.143,157.329,178.917,265.876,640.498,43.576,11.41,3.33,3.713,28.88,303.845,1.754,3.437,3.258,5.147,257.011,468.57,0,0.0,43.087,1387.0,4.072,0.519,222.0,1.511,5.15,6,5.36,3.468,4.115
7.482,3.89,7.772,13.75,94.034,94.034,3.665,149.844,166.0,3.516,3,3,27.635,3.537,177.029,4.899,345.245,349.245,325.245,12,122.82,12.007,39.665,5.142,3.342,4.995,2,2,2,177.029,621.825,385.0,1.232,8.455,6.033,144.132,4.101,144.132,177.029,229.345,551.362,34.433,10.117,3.151,3.587,23.538,364.904,1.678,3.363,3.186,5.187,199.968,403.1,0,0.0,36.001,773.0,3.778,0.441,129.0,0.815,5.275,15,5.436,3.425,3.936
