pXC50,Si,nBT,Sv,Se,nAT,MW,nH,nSK,nBO,Sp,nC,nCsp3,SCBO,nBM,nO,nAB,N.
6.717,101.427,94,55.69,89.934,90,637.85,43,47,51,58.768,37,13,66.0,24,5,18,5.6
7.31,57.69,56,33.058,51.032,52,355.51,25,27,31,35.597,25,8,40.5,18,1,17,1.9
7.1,41.109,37,21.488,35.92,36,246.35,18,18,19,22.807,13,5,24.0,8,1,6,11.1
5.3,50.066,45,25.762,43.796,44,289.42,23,21,22,27.54,16,8,27.0,8,2,6,6.8
7.328,74.557,69,38.923,65.098,66,421.64,35,31,34,42.108,26,13,41.0,13,2,12,4.5
7.276,57.69,56,33.058,51.032,52,355.51,25,27,31,35.597,25,7,40.5,18,1,17,1.9
5.55,64.943,61,36.444,58.225,58,421.53,27,31,34,38.176,25,7,43.0,18,5,18,1.7
5.699,60.82,57,33.905,54.411,54,415.56,25,29,32,35.858,21,9,41.0,15,4,12,5.6
7.276,76.148,73,43.98,68.28,68,530.7,30,38,43,46.387,29,9,57.0,25,4,22,5.9
7.62,78.275,75,45.2,70.389,70,545.71,31,39,44,47.597,30,10,58.0,25,5,22,4.3
7.26,60.105,58,33.585,52.916,54,357.53,27,27,31,36.358,25,9,39.5,17,1,17,1.9
7.319,58.9,57,33.773,52.36,53,371.51,25,28,32,36.052,25,8,41.5,18,2,17,1.9
5.644,58.607,56,31.509,51.789,52,354.49,26,26,30,33.512,21,12,36.0,11,3,10,3.8
7.23,63.734,60,35.729,56.898,57,405.53,27,30,33,37.722,25,7,42.0,18,4,18,1.8
6.0,69.939,67,40.541,62.454,63,451.6,29,34,38,43.029,30,6,50.0,24,3,24,1.6
6.0,69.939,67,40.541,62.454,63,451.6,29,34,38,43.029,30,6,50.0,24,3,24,1.6
6.0,69.939,67,40.541,62.454,63,451.6,29,34,38,43.029,30,6,50.0,24,3,24,1.6
7.7,70.564,66,38.783,62.665,63,433.59,31,32,35,41.245,27,9,44.0,18,4,18,1.6
7.27,67.149,63,37.256,59.781,60,419.56,29,31,34,39.483,26,8,43.0,18,4,18,1.7
6.35,68.358,64,37.971,61.109,61,435.56,29,32,35,39.938,26,8,44.0,18,5,18,1.6
6.86,68.358,64,37.971,61.109,61,435.56,29,32,35,39.938,26,8,44.0,18,5,18,1.6
6.76,68.358,64,37.971,61.109,61,435.56,29,32,35,39.938,26,8,44.0,18,5,18,1.6
7.33,63.734,60,35.729,56.898,57,405.53,27,30,33,37.722,25,7,42.0,18,4,18,1.8
7.2,59.109,56,33.487,52.687,53,375.5,25,28,31,35.506,24,6,40.0,18,3,18,1.9
7.0,63.444,60,36.201,56.647,57,421.6,27,30,33,38.915,25,7,42.0,18,3,18,1.8
6.6,46.647,43,23.332,40.141,41,245.41,23,18,20,25.631,15,9,23.0,6,0,6,7.3
6.62,62.524,59,35.014,55.571,56,389.53,27,29,32,37.267,25,7,41.0,18,3,18,1.8
6.5,45.385,42,24.348,39.909,40,293.83,20,20,22,26.182,15,8,26.0,7,1,6,7.5
6.93,63.155,60,36.674,56.396,57,437.67,27,30,33,40.108,25,7,42.0,18,2,18,1.8
7.12,68.358,64,37.971,61.109,61,435.56,29,32,35,39.938,26,8,44.0,18,5,18,1.6
7.38,65.939,62,36.541,58.454,59,403.56,29,30,33,39.029,26,8,42.0,18,3,18,1.7
5.3,34.78,33,20.413,31.051,31,239.3,13,18,20,21.279,14,1,28.0,16,1,16,9.7
7.06,46.219,42,24.359,40.472,41,279.84,22,19,20,26.694,16,8,24.0,7,1,6,2.4
7.72,72.196,68,40.154,64.247,64,483.66,30,34,38,42.625,26,11,49.0,19,3,16,4.7
5.3,37.196,35,20.94,32.934,33,241.32,15,18,20,22.04,14,3,26.5,12,1,11,9.1
7.36,74.437,71,41.287,66.054,66,493.69,31,35,40,43.938,26,11,52.0,22,3,20,7.6
4.0,32.575,31,19.601,29.494,29,241.27,11,18,20,19.972,13,1,28.0,16,2,16,10.3
7.03,71.8,68,40.598,64.058,64,500.11,30,34,38,43.546,26,11,49.0,19,3,16,4.7
4.0,36.697,35,21.918,32.833,33,250.32,14,19,21,23.034,16,1,29.5,17,1,17,6.1
4.0,33.91,31,19.315,30.454,30,251.34,13,17,18,20.381,11,2,25.5,13,2,11,10.0
6.027,70.72,66,40.007,63.611,63,505.08,29,34,37,42.449,25,11,47.0,16,5,12,3.2
4.0,36.325,33,19.842,32.338,32,253.36,15,17,18,21.142,11,4,24.0,9,2,6,9.4
8.7,33.906,31,18.412,29.683,30,221.36,15,15,16,20.233,11,4,20.0,7,0,6,10.0
5.3,36.279,34,20.434,32.153,32,242.31,14,18,20,21.284,13,3,26.5,12,1,11,12.5
5.3,45.524,41,24.015,39.803,40,272.39,20,20,21,25.569,15,5,27.5,12,1,11,10.0
5.3,46.73,43,23.827,40.36,41,258.41,22,19,21,25.875,15,8,25.0,7,0,6,9.8
4.0,46.651,42,24.235,40.912,41,275.39,21,20,21,25.779,15,7,26.0,8,2,6,7.3
7.6,31.491,29,17.885,27.8,28,219.34,13,15,16,19.472,11,2,21.5,11,0,11,10.7
8.24,54.113,50,29.39,48.458,48,345.43,23,25,27,30.654,19,7,33.0,12,5,12,2.1
5.0,73.976,67,37.352,64.752,65,417.61,35,30,32,40.017,23,15,37.0,8,4,6,4.6
5.0,75.265,68,37.659,65.527,66,416.63,36,30,32,40.569,23,15,37.0,8,3,6,6.1
6.0,55.405,52,31.145,49.309,49,367.46,22,27,30,32.478,21,6,38.5,17,2,17,6.1
5.274,70.351,64,36.111,61.541,62,399.59,33,29,31,38.802,23,13,37.0,9,3,6,4.8
5.649,70.561,64,35.825,61.869,62,403.58,33,29,31,38.256,22,14,36.0,8,4,6,4.8
8.5,42.9,41,23.773,37.592,38,266.38,18,20,23,25.353,16,5,29.5,12,0,11,10.5
4.8,60.148,54,30.035,52.305,53,338.57,30,23,24,33.228,18,12,29.0,8,2,6,3.8
6.39,90.972,85,51.395,80.956,81,591.77,37,44,48,54.029,35,10,64.0,28,4,24,6.2
7.432,91.81,84,50.254,82.265,81,607.73,37,44,47,51.847,31,13,60.0,19,8,12,6.2
6.631,93.099,87,52.615,83.065,83,606.78,38,45,49,55.239,36,11,65.0,28,5,24,4.8
6.106,29.985,29,18.75,27.284,27,300.59,11,16,18,20.239,12,4,23.0,10,1,10,3.7
6.314,30.349,28,16.537,26.611,27,195.71,14,13,14,18.193,11,5,17.0,6,0,6,3.7
7.824,36.684,35,21.25,32.571,33,265.83,16,17,19,23.603,14,6,24.0,10,0,10,3.0
5.0,69.793,62,36.138,61.81,60,460.53,28,32,34,36.796,21,13,39.0,8,3,6,6.7
7.071,91.81,86,52.309,82.29,82,607.76,37,45,49,54.688,36,11,65.0,28,6,24,3.7
6.12,26.741,24,14.59,23.931,23,195.21,9,14,15,14.46,7,2,19.0,4,2,0,21.7
8.0,88.016,83,47.121,77.847,78,533.73,39,39,44,49.995,31,17,52.0,14,5,12,3.8
8.17,69.438,66,38.562,61.556,62,430.59,30,32,36,41.034,27,9,45.0,18,3,18,3.2
6.76,74.561,70,39.825,65.869,66,451.62,33,33,37,42.256,26,13,44.0,13,4,12,4.5
7.15,74.561,70,39.825,65.869,66,451.62,33,33,37,42.256,26,13,44.0,13,4,12,4.5
6.89,77.976,73,41.352,68.752,69,465.65,35,34,38,44.017,27,14,45.0,13,4,12,4.3
7.29,77.976,73,41.352,68.752,69,465.65,35,34,38,44.017,27,14,45.0,13,4,12,4.3
7.14,81.391,76,42.879,71.636,72,479.68,37,35,39,45.779,28,15,46.0,13,4,12,4.2
7.74,81.391,76,42.879,71.636,72,479.68,37,35,39,45.779,28,15,46.0,13,4,12,4.2
7.07,73.355,69,40.013,65.312,65,465.6,31,34,38,41.949,26,12,46.0,14,5,12,4.6
6.65,73.355,69,40.013,65.312,65,465.6,31,34,38,41.949,26,12,46.0,14,5,12,4.6
7.33,76.77,72,41.54,68.196,68,479.63,33,35,39,43.711,27,13,47.0,14,5,12,4.4
6.88,76.77,72,41.54,68.196,68,479.63,33,35,39,43.711,27,13,47.0,14,5,12,4.4
8.03,88.016,83,47.121,77.847,78,533.73,39,39,44,49.995,31,17,52.0,14,5,12,3.8
6.041,66.521,62,36.057,58.774,59,407.56,29,30,33,38.279,24,10,41.0,14,3,12,5.1
7.187,59.936,54,29.638,51.683,53,301.52,31,22,23,32.881,20,13,27.0,7,1,6,1.9
5.0,68.434,62,34.605,59.76,60,388.57,32,28,30,37.046,21,13,35.0,8,3,6,6.7
4.58,78.683,71,40.088,69.181,69,460.64,36,33,35,42.478,24,15,41.0,9,5,6,5.8
6.381,94.388,88,52.922,83.839,84,605.8,39,45,49,55.79,36,11,65.0,28,4,24,6.0
7.799,91.268,86,52.507,82.272,81,638.74,34,47,52,53.875,34,9,68.5,28,7,23,7.4
9.3,67.069,62,37.443,59.858,60,439.62,29,31,33,40.131,25,7,42.0,18,4,18,1.7
8.16,69.564,64,37.783,61.665,62,421.58,31,31,33,40.245,26,8,42.0,18,4,18,1.6
7.8,68.278,63,38.158,61.185,61,455.62,29,32,34,40.585,25,7,44.0,19,5,18,1.6
9.1,74.189,68,40.024,65.876,66,451.61,33,33,35,42.461,27,9,44.0,18,5,18,1.5
8.3,65.235,60,36.653,58.771,58,438.52,26,32,34,37.875,24,6,45.0,20,6,18,3.4
8.1,62.678,58,35.556,56.222,56,427.96,26,30,32,37.58,24,6,41.0,18,4,18,1.8
8.3,66.149,61,36.256,58.781,59,407.55,29,30,32,38.483,25,7,41.0,18,4,18,1.7
7.9,66.149,61,36.256,58.781,59,407.55,29,30,32,38.483,25,7,41.0,18,4,18,1.7
7.7,62.734,58,34.729,55.898,56,393.52,27,29,31,36.722,24,6,40.0,18,4,18,1.8
7.1,57.997,54,34.142,52.334,52,432.37,23,29,31,36.222,23,5,40.0,18,3,18,1.9
7.0,64.939,60,35.541,57.454,58,391.55,29,29,31,38.029,25,7,40.0,18,3,18,1.7
7.0,60.528,56,33.917,54.342,54,395.49,25,29,31,35.415,23,5,40.0,18,5,18,1.9
7.0,58.109,54,32.487,51.687,52,363.49,25,27,29,34.506,23,5,38.0,18,3,18,1.9
5.68,36.243,34,20.114,31.902,32,230.31,15,17,19,21.279,14,5,24.5,11,0,11,6.3
8.05,40.318,39,22.257,35.272,36,238.36,18,18,21,24.103,16,7,26.5,11,0,11,5.6
7.74,34.488,35,20.204,30.505,31,222.31,14,17,21,21.58,15,6,26.5,11,0,11,6.5
7.78,36.903,36,20.73,32.389,33,224.33,16,17,20,22.341,15,6,25.5,11,0,11,6.1
8.45,40.318,39,22.257,35.272,36,238.36,18,18,21,24.103,16,7,26.5,11,0,11,5.6
6.75,36.903,36,20.73,32.389,33,224.33,16,17,20,22.341,15,6,25.5,11,0,11,6.1
7.4,33.488,33,19.204,29.505,30,210.3,14,16,19,20.58,14,5,24.5,11,0,11,6.7
4.523,66.394,61,36.837,58.665,59,416.57,28,31,33,39.069,25,5,44.0,20,2,18,6.8
5.96,94.723,88,51.857,84.276,84,600.78,40,44,48,54.455,34,13,60.0,21,6,18,4.8
7.48,33.488,33,19.204,29.505,30,210.3,14,16,19,20.58,14,5,24.5,11,0,11,6.7
8.879,30.073,30,17.677,26.622,27,196.27,12,15,18,18.818,13,4,23.5,11,0,11,7.4
6.04,34.697,34,19.918,30.833,31,226.3,14,17,20,21.034,14,5,25.5,11,1,11,6.5
5.75,34.697,34,19.918,30.833,31,226.3,14,17,20,21.034,14,5,25.5,11,1,11,6.5
7.4,38.112,37,21.445,33.716,34,240.33,16,18,21,22.796,15,6,26.5,11,1,11,5.9
7.94,41.528,40,22.972,36.6,37,254.36,18,19,22,24.557,16,7,27.5,11,1,11,5.4
6.5,41.528,40,22.972,36.6,37,254.36,18,19,22,24.557,16,7,27.5,11,1,11,5.4
8.21,33.488,33,19.204,29.505,30,210.3,14,16,19,20.58,14,5,24.5,11,0,11,6.7
7.39,36.903,36,20.73,32.389,33,224.33,16,17,20,22.341,15,6,25.5,11,0,11,6.1
7.3,66.936,62,34.584,58.658,59,385.56,31,28,31,37.04,22,14,36.0,8,3,6,5.1
6.022,68.023,62,37.527,59.952,60,433.58,28,32,34,39.557,25,5,45.0,20,1,18,8.3
5.74,76.774,72,42.988,68.272,68,502.64,31,37,41,44.983,29,9,52.0,20,3,18,5.9
5.0,63.591,58,33.105,56.207,56,396.96,29,27,29,35.347,20,13,33.0,7,4,6,3.6
5.44,83.268,78,46.562,74.298,74,542.69,34,40,44,48.716,31,10,56.0,21,5,18,5.4
6.34,73.019,69,41.078,64.876,65,470.62,30,35,39,43.284,28,8,50.0,20,3,18,6.2
7.27,77.644,73,43.32,69.087,69,500.65,32,37,41,45.5,29,9,52.0,20,4,18,5.8
5.374,58.022,52,29.036,50.672,51,320.48,28,23,24,31.273,18,11,28.0,7,3,6,3.9
7.34,81.059,76,44.847,71.97,72,514.68,34,38,42,47.262,30,10,53.0,20,4,18,5.6
5.042,60.572,55,31.134,53.512,53,366.48,27,26,28,32.665,19,12,32.0,7,4,6,3.8
5.0,66.81,61,35.364,58.549,59,394.57,30,29,31,37.83,23,10,40.0,17,2,16,6.8
8.187,87.644,83,51.266,79.061,78,620.72,32,46,51,52.659,34,9,68.5,28,6,23,7.7
5.451,75.265,68,37.659,65.527,66,416.63,36,30,32,40.569,23,15,37.0,8,3,6,6.1
5.5,61.148,56,31.035,53.305,54,350.58,30,24,26,34.228,19,13,31.0,8,2,6,3.7
6.0,53.903,51,29.675,48.131,48,341.44,23,25,28,31.199,20,8,34.0,12,4,12,2.1
5.62,26.044,24,15.826,23.487,23,230.11,9,14,15,16.779,9,2,19.0,7,0,6,13.0
7.03,53.903,51,29.675,48.131,48,341.44,23,25,28,31.199,20,8,34.0,12,4,12,2.1
5.807,62.449,57,35.362,55.48,55,422.52,24,31,33,36.728,24,4,44.0,20,1,18,7.3
7.33,53.903,51,29.675,48.131,48,341.44,23,25,28,31.199,20,8,34.0,12,4,12,2.1
5.74,53.903,51,29.675,48.131,48,341.44,23,25,28,31.199,20,8,34.0,12,4,12,2.1
4.523,62.373,57,36.452,56.327,55,472.56,22,33,35,37.523,23,3,48.0,22,3,18,7.3
