pXC50,GATS1s,MATS1s,MATS4m,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.005,C.006,C.008,C.011,C.024,C.025,C.026,C.040,C.041,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_LL,CATS2D_03_AL,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_LL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_DA,CATS2D_04_DL,CATS2D_04_LL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_DA,CATS2D_05_DL,CATS2D_05_LL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_DA,CATS2D_06_DD,CATS2D_06_DL,CATS2D_06_LL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_DA,CATS2D_07_DL,CATS2D_07_LL,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_DA,CATS2D_08_DL,CATS2D_08_LL,CATS2D_09_AA,CATS2D_09_AL,CATS2D_09_DA,CATS2D_09_DL,CATS2D_09_LL,CENT,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi0_EA.ed.,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.dm.,Chi1_EA.ed.,Chi1_EA.ri.,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CID,Cl.089,CMC.80,CSI,DBI,D.Dtr06,D.Dtr07,D.Dtr10,D.Dtr11,DECC,DELS,DLS_01,DLS_02,DLS_03,DLS_04,DLS_06,DLS_cons,Dz,ECC,Eig01_AEA.bo.,Eig01_AEA.dm.,Eig01_AEA.ed.,Eig01_AEA.ri.,Eig01_EA,Eig01_EA.bo.,Eig01_EA.dm.,Eig01_EA.ed.,Eig01_EA.ri.,Eig02_AEA.bo.,Eig02_AEA.dm.,Eig02_AEA.ed.,Eig02_AEA.ri.,Eig02_EA,Eig02_EA.bo.,Eig02_EA.dm.,Eig02_EA.ed.,Eig02_EA.ri.,Eig03_AEA.bo.,Eig03_AEA.dm.,Eig03_AEA.ed.,Eig03_AEA.ri.,Eig03_EA,Eig03_EA.bo.,Eig03_EA.dm.,Eig03_EA.ed.,Eig03_EA.ri.,Eig04_AEA.bo.,Eig04_AEA.dm.,Eig04_AEA.ed.,Eig04_AEA.ri.,Eig04_EA,Eig04_EA.bo.,Eig04_EA.dm.,Eig04_EA.ed.,Eig04_EA.ri.,Eig05_AEA.bo.,Eig05_AEA.dm.,Eig05_AEA.ed.,Eig05_AEA.ri.,Eig05_EA,Eig05_EA.bo.,Eig05_EA.dm.,Eig05_EA.ed.,Eig05_EA.ri.,Eig06_AEA.bo.,Eig06_AEA.dm.,Eig06_AEA.ed.,Eig06_AEA.ri.,Eig06_EA,Eig06_EA.bo.,Eig06_EA.dm.,Eig06_EA.ed.,Eig06_EA.ri.,Eig07_AEA.bo.
7.603,0.592,-0.071,-0.124,1.821,9.882,3.924,15.397,123.982,9.069,0.324,4.19,4.254,4.118,3.824,5.252,3.761,4.819,4.931,4.493,4.275,6.144,4.208,5.187,5.324,4.691,4.521,6.449,4.439,5.378,5.524,4.759,4.563,6.669,4.506,5.418,5.586,4.788,4.562,6.891,4.506,5.382,5.573,4.7,4.534,6.745,4.453,5.324,5.516,4.598,4.435,6.579,4.351,5.17,5.365,4.492,4.306,6.595,4.193,0.221,0.94,13.232,7.376,45.892,7.101,0.751,1.599,27.114,13.124,134.734,13.113,1.25,2.241,54.302,19.84,176.102,18.88,1.932,2.565,61.722,21.392,311.785,20.069,2.491,2.875,60.45,21.483,393.325,21.742,2.008,2.703,64.039,21.979,313.202,22.6,1.978,2.419,56.145,19.598,269.25,20.085,1.655,2.09,50.482,17.573,281.666,18.433,86,58,0.295,0.597,0.78,0.839,0.845,0.845,3.562,1.171,-5.06,-4.96,-4.64,39.0,2,2,1,0,3,2,1,6,1,5,0,0,3,2,5,0,0,10,17,0,0,0,5,1,8,0,0,12,6,6,0,0,8,0,11,0,0,0,7,2,9,0,0,10,4,2,0,0,6,0,12,0,0,2,2184.0,21.765,21.765,21.765,21.765,21.765,19.629,22.448,11.989,22.861,18.099,18.099,18.099,18.099,18.099,14.715,23.818,5.493,19.974,4.062,2.199,1.068,0.704,0.67,0.67,4.244,1,0,706.0,4.899,304.215,0.0,238.269,0.0,1.419,90.915,0.75,0.83,0.83,0.7,0.83,0.78,77.333,336.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.773,5.236,7.207,4.189,3.333,4.546,2.95,11.929,2.813,4.469,3.831,7.074,3.994,3.071,4.162,0.86,11.358,2.793,4.01,3.255,6.507,3.736,2.789,3.461,0.86,9.757,2.617,3.784,2.958,5.899,3.364,2.443,3.083,0.0,7.725,2.229,3.554,2.882,5.45,3.167,2.262,2.818,0.0,6.401,2.002,3.261
8.412,0.59,-0.067,-0.143,1.849,9.788,3.546,12.577,119.564,9.304,0.333,4.146,4.205,4.099,3.785,5.218,3.724,4.772,4.876,4.451,4.226,6.127,4.165,5.136,5.275,4.649,4.461,6.401,4.387,5.289,5.42,4.741,4.514,6.592,4.465,5.38,5.541,4.777,4.529,6.878,4.48,5.343,5.528,4.677,4.499,6.727,4.422,5.277,5.468,4.563,4.384,6.55,4.298,5.102,5.3,4.415,4.202,6.562,4.095,0.233,0.9,11.936,7.002,49.551,6.532,0.778,1.527,25.503,12.465,136.051,12.1,1.338,2.116,49.392,18.383,195.258,17.286,1.791,2.425,54.419,19.888,286.734,17.949,2.53,2.796,56.952,20.703,400.216,20.336,2.071,2.625,60.859,21.226,320.804,21.253,1.97,2.333,52.992,18.921,274.846,19.154,1.73,1.943,49.618,16.492,288.554,16.906,69,56,0.303,0.604,0.786,0.861,0.867,0.867,3.533,1.179,-4.85,-4.76,-4.47,39.3,1,2,1,0,4,1,1,6,1,5,0,0,3,2,5,0,0,9,15,0,0,0,5,1,8,0,0,11,6,6,0,0,8,0,10,0,0,0,6,2,9,0,0,10,4,1,0,0,4,0,10,0,0,2,2023.0,21.404,21.404,21.404,21.404,21.404,19.245,21.866,11.805,22.581,17.554,17.554,17.554,17.554,17.554,14.131,23.14,5.365,19.406,3.958,2.116,1.005,0.549,0.513,0.513,4.217,1,0,681.0,4.69,291.926,0.0,228.154,0.0,1.37,89.058,0.75,0.83,0.83,0.7,0.83,0.78,75.333,323.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.675,5.12,7.074,4.036,3.18,4.47,2.95,11.359,2.793,4.469,3.831,6.692,3.992,3.07,4.162,0.86,10.77,2.696,4.01,3.255,6.506,3.732,2.786,3.461,0.86,9.752,2.597,3.784,2.946,5.898,3.362,2.442,3.083,0.0,7.721,2.225,3.554,2.879,5.45,3.166,2.261,2.818,0.0,6.401,2.002,3.26
8.642,0.596,-0.07,-0.107,1.879,9.063,3.198,10.225,114.816,9.566,0.343,4.099,4.152,4.08,3.744,5.187,3.687,4.723,4.819,4.416,4.18,6.122,4.129,5.085,5.215,4.609,4.415,6.363,4.347,5.234,5.367,4.724,4.478,6.523,4.429,5.341,5.494,4.765,4.495,6.867,4.453,5.302,5.48,4.654,4.463,6.711,4.389,5.228,5.418,4.526,4.33,6.525,4.243,5.028,5.231,4.332,4.085,6.538,3.985,0.245,0.86,10.607,6.625,52.177,5.956,0.808,1.456,24.159,11.812,137.294,11.075,1.398,2.013,42.268,16.9,208.944,15.491,1.722,2.342,51.279,19.206,272.513,17.254,2.569,2.717,53.214,19.911,408.479,18.877,2.136,2.547,57.427,20.461,329.73,19.85,1.964,2.247,49.722,18.245,280.87,18.24,1.804,1.797,49.172,15.469,292.53,15.446,68,55,0.311,0.618,0.791,0.858,0.864,0.864,3.504,1.183,-4.64,-4.56,-4.29,39.6,0,2,1,1,3,1,1,6,1,5,0,0,3,2,5,0,0,9,13,0,0,0,5,1,8,0,0,10,6,6,0,0,8,0,9,0,0,0,5,2,9,0,0,10,4,0,0,0,2,0,8,0,0,2,1852.0,20.481,20.481,20.481,20.481,20.481,18.284,21.284,11.362,21.475,17.182,17.182,17.182,17.182,17.182,13.778,22.801,5.271,18.945,3.849,1.993,0.948,0.543,0.505,0.505,4.187,1,0,611.0,4.583,279.637,0.0,218.039,0.0,1.27,86.991,0.75,0.83,0.83,0.7,0.83,0.78,73.333,290.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.623,5.046,7.074,3.997,3.108,4.424,2.95,11.359,2.793,4.469,3.831,6.512,3.961,3.068,4.162,0.86,9.991,2.665,4.01,3.255,6.393,3.728,2.783,3.461,0.86,9.727,2.57,3.784,2.943,5.895,3.361,2.441,3.083,0.0,7.717,2.224,3.554,2.879,5.45,3.166,2.261,2.818,0.0,6.4,2.002,3.26
6.424,0.596,-0.07,-0.107,1.879,9.063,3.198,10.225,114.816,9.566,0.343,4.099,4.152,4.08,3.744,5.187,3.687,4.723,4.819,4.416,4.18,6.122,4.129,5.085,5.215,4.609,4.415,6.363,4.347,5.234,5.367,4.724,4.478,6.523,4.429,5.341,5.494,4.765,4.495,6.867,4.453,5.302,5.48,4.654,4.463,6.711,4.389,5.228,5.418,4.526,4.33,6.525,4.243,5.028,5.231,4.332,4.085,6.538,3.985,0.245,0.86,10.607,6.625,52.177,5.956,0.808,1.456,24.159,11.812,137.294,11.075,1.398,2.013,42.268,16.9,208.944,15.491,1.722,2.342,51.279,19.206,272.513,17.254,2.569,2.717,53.214,19.911,408.479,18.877,2.136,2.547,57.427,20.461,329.73,19.85,1.964,2.247,49.722,18.245,280.87,18.24,1.804,1.797,49.172,15.469,292.53,15.446,68,55,0.311,0.618,0.791,0.858,0.864,0.864,3.504,1.183,-4.64,-4.56,-4.29,39.6,0,2,1,1,3,1,1,6,1,5,0,0,3,2,5,0,0,9,13,0,0,0,5,1,8,0,0,10,6,6,0,0,8,0,9,0,0,0,5,2,9,0,0,10,4,0,0,0,2,0,8,0,0,2,1852.0,20.481,20.481,20.481,20.481,20.481,18.284,21.284,11.362,21.475,17.182,17.182,17.182,17.182,17.182,13.778,22.801,5.271,18.945,3.849,1.993,0.948,0.543,0.505,0.505,4.187,1,0,611.0,4.583,279.637,0.0,218.039,0.0,1.27,86.991,0.75,0.83,0.83,0.7,0.83,0.78,73.333,290.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.623,5.046,7.074,3.997,3.108,4.424,2.95,11.359,2.793,4.469,3.831,6.512,3.961,3.068,4.162,0.86,9.991,2.665,4.01,3.255,6.393,3.728,2.783,3.461,0.86,9.727,2.57,3.784,2.943,5.895,3.361,2.441,3.083,0.0,7.717,2.224,3.554,2.879,5.45,3.166,2.261,2.818,0.0,6.4,2.002,3.26
7.722,0.628,-0.07,-0.126,1.819,8.414,3.06,9.365,103.042,9.269,0.375,4.008,4.07,3.868,3.61,5.147,3.582,4.609,4.71,4.284,4.066,5.908,4.028,4.971,5.106,4.54,4.327,6.21,4.267,5.15,5.274,4.653,4.396,6.477,4.362,5.261,5.414,4.647,4.391,6.79,4.368,5.209,5.397,4.441,4.288,6.665,4.243,5.043,5.261,4.113,4.059,6.396,3.988,4.705,4.933,3.832,3.707,6.043,3.609,0.238,0.768,8.754,5.557,42.069,5.231,0.677,1.306,17.061,9.73,99.605,9.411,1.119,1.848,37.367,15.097,144.546,14.464,1.602,2.174,46.196,17.235,229.954,15.516,2.294,2.518,48.406,17.655,364.408,16.842,2.057,2.257,46.787,16.742,298.39,17.548,1.67,1.848,39.854,14.034,221.058,15.613,1.222,1.306,33.358,10.358,156.053,11.303,39,49,0.309,0.642,0.776,0.871,0.879,0.879,3.411,1.034,-4.53,-4.46,-4.2,41.7,0,2,1,0,3,1,1,6,1,5,0,0,3,1,5,0,1,9,11,0,0,0,5,1,8,1,1,10,4,4,0,0,8,0,9,1,0,2,5,0,5,2,0,10,0,0,0,3,2,0,2,0,3,2,1372.0,19.249,19.249,19.249,19.249,19.249,17.429,19.792,10.94,20.034,15.67,15.67,15.67,15.67,15.67,12.908,21.529,4.965,17.089,3.766,1.808,1.021,0.458,0.417,0.417,4.098,1,1,521.0,3.873,244.898,0.0,189.584,0.0,1.118,73.643,1.0,1.0,1.0,0.8,1.0,0.9,66.333,244.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.469,3.831,7.074,3.994,3.071,4.162,0.86,11.359,2.793,4.012,3.255,6.508,3.743,2.795,3.461,0.86,9.759,2.628,3.786,2.946,5.9,3.37,2.448,3.084,0.0,7.726,2.236,3.556,2.879,5.45,3.168,2.263,2.819,0.0,6.401,2.002,3.268,2.746,5.088,2.953,2.039,2.412,0.0,5.989,1.833,3.033
6.495,0.628,-0.07,-0.126,1.819,8.414,3.06,9.365,103.042,9.269,0.375,4.008,4.07,3.868,3.61,5.147,3.582,4.609,4.71,4.284,4.066,5.908,4.028,4.971,5.106,4.54,4.327,6.21,4.267,5.15,5.274,4.653,4.396,6.477,4.362,5.261,5.414,4.647,4.391,6.79,4.368,5.209,5.397,4.441,4.288,6.665,4.243,5.043,5.261,4.113,4.059,6.396,3.988,4.705,4.933,3.832,3.707,6.043,3.609,0.238,0.768,8.754,5.557,42.069,5.231,0.677,1.306,17.061,9.73,99.605,9.411,1.119,1.848,37.367,15.097,144.546,14.464,1.602,2.174,46.196,17.235,229.954,15.516,2.294,2.518,48.406,17.655,364.408,16.842,2.057,2.257,46.787,16.742,298.39,17.548,1.67,1.848,39.854,14.034,221.058,15.613,1.222,1.306,33.358,10.358,156.053,11.303,39,49,0.309,0.642,0.776,0.871,0.879,0.879,3.411,1.034,-4.53,-4.46,-4.2,41.7,0,2,1,0,3,1,1,6,1,5,0,0,3,1,5,0,1,9,11,0,0,0,5,1,8,1,1,10,4,4,0,0,8,0,9,1,0,2,5,0,5,2,0,10,0,0,0,3,2,0,2,0,3,2,1372.0,19.249,19.249,19.249,19.249,19.249,17.429,19.792,10.94,20.034,15.67,15.67,15.67,15.67,15.67,12.908,21.529,4.965,17.089,3.766,1.808,1.021,0.458,0.417,0.417,4.098,1,1,521.0,3.873,244.898,0.0,189.584,0.0,1.118,73.643,1.0,1.0,1.0,0.8,1.0,0.9,66.333,244.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.469,3.831,7.074,3.994,3.071,4.162,0.86,11.359,2.793,4.012,3.255,6.508,3.743,2.795,3.461,0.86,9.759,2.628,3.786,2.946,5.9,3.37,2.448,3.084,0.0,7.726,2.236,3.556,2.879,5.45,3.168,2.263,2.819,0.0,6.401,2.002,3.268,2.746,5.088,2.953,2.039,2.412,0.0,5.989,1.833,3.033
8.097,0.576,-0.053,-0.18,1.895,10.485,3.435,11.801,115.767,9.127,0.333,4.138,4.209,3.972,3.697,5.285,3.682,4.737,4.851,4.38,4.137,6.061,4.108,5.059,5.194,4.609,4.391,6.302,4.34,5.243,5.366,4.706,4.461,6.561,4.433,5.34,5.495,4.709,4.47,6.831,4.446,5.323,5.515,4.557,4.399,6.727,4.357,5.191,5.4,4.351,4.243,6.449,4.191,4.998,5.2,4.267,4.034,6.29,3.981,0.27,0.886,10.016,6.117,38.529,5.907,0.913,1.455,20.92,10.593,104.961,10.587,1.256,1.981,40.263,16.098,146.22,15.566,1.874,2.316,50.202,18.057,250.141,16.199,2.427,2.668,51.862,18.655,369.986,18.358,2.338,2.44,52.694,18.183,301.239,19.821,1.856,2.095,43.484,15.573,207.583,17.554,1.662,1.673,41.883,12.605,183.424,13.542,55,54,0.312,0.64,0.792,0.873,0.879,0.879,3.533,1.013,-4.17,-4.11,-3.89,40.0,0,2,1,1,3,1,1,6,1,5,0,1,3,2,6,2,0,9,11,0,0,0,5,2,10,0,1,10,4,4,0,0,8,2,12,1,0,1,5,2,5,0,0,10,1,5,1,2,2,2,5,2,0,2,2092.0,21.818,21.818,21.818,21.818,21.818,19.843,24.388,12.4,22.775,17.598,17.598,17.598,17.598,17.598,14.512,25.287,5.674,19.201,3.886,1.898,0.978,0.486,0.45,0.45,4.221,1,0,732.0,4.472,293.976,0.0,229.97,0.0,1.53,80.617,0.75,0.83,0.83,0.7,0.83,0.78,75.833,346.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.469,3.831,7.074,3.994,3.071,4.162,2.186,11.359,2.793,4.012,3.632,6.508,3.744,2.797,3.461,0.86,9.76,2.629,3.787,3.255,5.9,3.378,2.455,3.085,0.86,7.731,2.246,3.64,2.945,5.45,3.269,2.336,2.83,0.366,6.403,2.152,3.553,2.879,5.09,3.166,2.259,2.799,0.0,6.007,2.002,3.265
7.47,0.574,-0.052,-0.142,1.865,11.324,3.784,14.319,120.515,8.897,0.324,4.183,4.258,3.994,3.74,5.309,3.719,4.786,4.906,4.398,4.175,6.085,4.14,5.113,5.263,4.623,4.421,6.321,4.365,5.272,5.401,4.73,4.485,6.585,4.457,5.375,5.53,4.723,4.489,6.864,4.468,5.337,5.527,4.57,4.426,6.735,4.382,5.237,5.451,4.369,4.286,6.466,4.226,5.053,5.262,4.301,4.088,6.314,4.03,0.251,0.925,11.192,6.475,36.163,6.469,0.882,1.52,23.029,11.221,102.008,11.627,1.252,2.062,44.147,16.691,143.595,16.758,1.79,2.371,52.65,18.579,232.947,17.325,2.496,2.708,55.157,18.988,376.816,18.665,2.24,2.483,53.148,18.396,288.645,20.216,1.801,2.172,46.382,16.305,201.288,18.828,1.619,1.749,44.818,13.337,179.716,14.851,56,55,0.304,0.632,0.799,0.875,0.88,0.88,3.562,1.031,-4.37,-4.31,-4.06,39.7,1,2,1,0,4,1,1,6,1,5,0,1,3,2,6,2,1,9,11,0,0,0,5,2,12,0,1,10,4,4,0,0,8,2,12,1,0,1,6,2,5,0,0,10,1,6,1,2,3,2,5,2,0,2,2300.0,22.525,22.525,22.525,22.525,22.525,20.55,25.969,12.999,23.5,18.136,18.136,18.136,18.136,18.136,15.072,27.787,5.957,19.773,3.993,1.987,0.962,0.496,0.461,0.461,4.25,1,0,815.0,4.583,307.463,0.0,241.141,0.0,1.578,81.671,0.75,0.83,0.83,0.9,0.83,0.81,77.833,385.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.469,3.831,7.074,3.994,3.071,4.162,2.186,11.359,2.793,4.012,3.637,6.508,3.744,2.797,3.461,0.86,9.76,2.629,3.787,3.255,5.9,3.38,2.456,3.085,0.86,7.731,2.249,3.655,2.945,5.45,3.294,2.36,2.837,0.366,6.403,2.177,3.553,2.879,5.09,3.166,2.26,2.807,0.0,6.079,2.002,3.266
7.545,0.545,-0.022,-0.155,1.891,8.867,3.837,14.724,106.402,9.457,0.364,4.0,4.063,3.883,3.637,5.169,3.606,4.602,4.704,4.293,4.086,5.895,4.045,4.968,5.103,4.549,4.345,6.222,4.283,5.147,5.272,4.657,4.414,6.471,4.379,5.258,5.412,4.662,4.419,6.802,4.392,5.199,5.39,4.455,4.34,6.646,4.285,5.039,5.257,4.191,4.124,6.37,4.057,4.704,4.93,3.924,3.789,6.155,3.707,0.193,0.775,7.835,5.289,39.448,5.012,0.593,1.315,15.677,9.434,95.817,9.198,1.027,1.88,35.721,14.815,149.681,14.054,1.457,2.211,44.393,17.114,236.508,14.889,2.209,2.576,46.693,17.693,371.135,16.635,1.813,2.353,43.973,16.897,287.488,17.779,1.419,1.973,36.785,13.72,204.76,15.212,1.066,1.427,31.681,10.193,175.5,11.133,40,50,0.319,0.646,0.789,0.864,0.871,0.871,3.443,1.026,-4.67,-4.59,-4.32,43.8,0,3,1,0,2,1,1,6,1,5,1,0,4,1,6,0,0,9,13,0,0,0,6,1,8,0,0,10,5,6,0,0,10,0,11,0,0,0,5,1,7,0,0,13,2,0,0,0,5,0,5,0,0,2,1540.0,19.956,19.956,19.956,19.956,19.956,17.929,20.885,11.465,20.721,16.17,16.17,16.17,16.17,16.17,13.054,22.119,5.261,17.559,3.694,1.751,0.906,0.458,0.417,0.417,4.131,1,1,565.0,4.0,256.477,0.0,199.069,0.0,1.151,73.501,1.0,0.83,1.0,0.8,1.0,0.88,67.833,266.0,5.245,5.587,8.852,4.914,4.006,4.938,3.272,18.412,3.641,4.469,4.037,7.074,3.994,3.071,4.162,2.308,11.359,2.793,4.012,3.831,6.508,3.744,2.796,3.462,0.86,9.76,2.631,3.788,3.255,5.9,3.372,2.449,3.085,0.86,7.73,2.241,3.568,2.943,5.45,3.169,2.264,2.82,0.0,6.402,2.003,3.485,2.879,5.088,2.962,2.044,2.429,0.0,5.992,1.847,3.248
9.907,0.596,-0.069,-0.08,1.703,12.114,2.945,8.675,124.292,8.268,0.474,4.168,4.272,3.799,3.716,5.415,3.721,4.686,4.828,4.202,4.11,5.965,4.106,5.025,5.19,4.405,4.317,6.39,4.309,5.133,5.302,4.434,4.347,6.526,4.34,5.203,5.39,4.423,4.356,6.688,4.33,5.167,5.378,4.263,4.256,6.617,4.199,5.044,5.27,3.993,4.128,6.231,4.051,4.932,5.161,3.983,4.006,6.226,3.946,0.17,0.955,9.563,5.294,25.318,5.922,0.437,1.541,18.486,8.707,48.733,10.276,0.924,2.04,29.521,12.013,137.548,13.816,1.056,2.213,34.136,12.866,180.249,14.789,1.42,2.178,38.671,13.911,238.026,16.718,1.454,2.0,39.73,13.704,225.696,17.322,0.958,1.722,35.879,12.3,159.424,15.482,0.86,1.629,32.09,11.231,139.629,14.35,65,55,0.275,0.595,0.751,0.864,0.892,0.898,3.589,0.859,-3.89,-3.84,-3.65,44.8,1,0,0,1,0,3,0,11,4,3,3,0,13,1,2,2,3,16,7,4,2,6,12,0,11,0,5,8,3,8,1,6,9,0,9,3,1,6,8,0,6,0,5,4,2,4,0,4,5,0,6,2,5,6,2128.0,22.982,22.982,22.982,22.982,22.982,20.449,24.821,13.232,23.275,18.67,18.67,18.67,18.67,18.67,14.666,29.441,6.235,19.142,4.155,2.175,1.212,0.509,0.336,0.302,4.276,0,1,911.0,4.359,283.249,92.923,0.0,298.606,1.718,65.959,1.0,0.83,1.0,0.8,1.0,0.88,78.5,424.0,4.596,3.963,6.997,4.303,3.32,4.214,2.193,11.88,3.263,4.282,3.851,6.373,3.982,3.003,3.867,2.111,9.6,2.93,4.039,3.652,6.304,3.769,2.786,3.514,1.943,9.408,2.737,3.948,3.127,6.19,3.613,2.641,3.227,0.886,8.851,2.564,3.876,3.069,5.865,3.581,2.594,3.128,0.823,7.957,2.555,3.719,2.925,5.429,3.401,2.428,2.931,0.404,6.983,2.339,3.232
