pXC50,nN.CO.2,NaaNH,nPyrimidines,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,SpDiam_EA.bo.,C.041,C.042,Eig01_AEA.ed.,SpMax_AEA.ed.,nCconj,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,nROH,P_VSA_MR_3,SpDiam_EA.ed.,O.056,nOHs,Eig07_EA.dm.,NsOH,CATS2D_04_DD,C.009,SM09_EA.dm.,P_VSA_e_3,nOxolanes,SRW09,SpDiam_AEA.dm.,Eig01_AEA.ri.,SpMax_AEA.ri.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,Eig01_AEA.dm.,SpMax_AEA.dm.,SM07_EA.dm.,O.058,CATS2D_03_AP,P_VSA_i_4,ALOGP2,NdO,Eig02_AEA.ed.,SM05_EA.dm.,P_VSA_LogP_4,CATS2D_03_DD,Eig02_EA.bo.,SM12_AEA.ri.,Eig02_EA.ed.,SM11_AEA.dm.,Eig01_EA.ri.,SpMax_EA.ri.,P_VSA_LogP_5,SM14_EA.bo.,SM11_EA.dm.,nPyrroles,C.031,GATS1e,nDB,NdssC,SM15_EA.bo.,SM12_EA.bo.,NaasN,SM13_EA.dm.,SM12_EA.dm.,SpMax2_Bh.s.,SM13_EA.bo.,C.008,JGI6
6.592,0,0,1,4.531,4.531,4.531,7.531,0,0,6.693,6.693,1,10.839,10.839,10.839,0,0.0,18.028,0,0,0.0,0,0,0,0.0,86.378,0,7.576,5.614,4.11,4.11,3.163,3.163,5.163,3.163,3.614,3.614,0.0,1,0,86.378,4.975,1,5.753,0.0,121.759,0,3.449,3.449,7.907,7.907,2.993,2.993,26.181,21.196,0.0,0,0,0.803,1,1,22.685,18.212,0,0.0,1.602,5.034,19.677,1,0.01
6.51,0,0,1,4.531,4.531,4.531,7.531,0,0,6.692,6.692,1,10.834,10.834,10.834,0,0.0,18.012,0,0,0.0,0,0,0,0.0,86.378,0,6.605,5.608,4.105,4.105,3.159,3.159,5.159,3.159,3.608,3.608,0.0,1,0,86.378,6.087,1,5.699,0.0,121.759,0,3.449,3.449,7.565,7.565,2.986,2.986,26.181,21.195,0.0,0,0,0.813,1,1,22.684,18.211,0,0.0,1.602,5.034,19.676,1,0.016
7.553,0,0,0,4.084,4.084,4.084,7.084,0,0,6.474,6.474,0,10.053,10.053,10.053,0,0.0,16.701,0,0,0.0,0,0,0,5.75,80.75,0,7.557,5.736,3.994,3.994,3.041,3.041,5.041,3.041,3.736,3.736,4.409,1,0,34.796,10.158,1,6.114,3.032,46.635,0,3.36,3.36,8.887,8.887,2.922,2.922,15.319,19.802,7.068,0,0,0.747,1,1,21.166,17.049,0,8.374,7.771,5.116,18.38,0,0.019
8.222,0,0,1,4.28,4.28,4.28,7.28,1,0,6.739,6.739,0,11.054,11.054,11.054,0,0.0,18.226,0,0,0.0,0,0,0,4.464,86.378,0,7.273,5.62,4.179,4.179,3.206,3.206,5.206,3.206,3.62,3.62,3.407,1,0,86.378,2.534,1,6.156,2.324,99.044,0,3.593,3.593,9.135,9.135,3.122,3.122,38.629,20.508,5.504,0,0,0.89,1,1,21.915,17.674,0,6.531,6.091,5.129,19.047,0,0.015
8.699,0,0,0,4.207,4.207,4.207,7.207,0,0,6.703,6.703,0,10.902,10.902,10.902,0,0.0,18.074,0,0,0.0,0,0,0,5.75,51.582,0,7.226,5.736,4.13,4.13,3.146,3.146,5.146,3.146,3.736,3.736,4.409,1,0,66.542,13.082,1,6.116,3.032,86.963,0,3.598,3.598,8.899,8.899,3.096,3.096,39.529,20.301,7.068,0,0,0.582,1,1,21.671,17.515,0,8.374,7.771,7.428,18.84,0,0.015
5.0,0,0,1,4.54,4.54,4.54,7.54,0,0,6.766,6.766,1,11.057,11.057,11.057,0,0.0,18.477,0,0,0.0,0,0,0,0.0,33.571,0,7.273,5.622,4.152,4.152,3.196,3.196,5.196,3.196,3.622,3.622,0.0,1,0,33.571,10.426,1,6.084,0.0,63.849,0,3.84,3.84,8.755,8.755,3.056,3.056,7.229,21.286,0.0,0,1,0.594,1,1,22.775,18.309,0,0.0,0.0,5.017,19.779,0,0.015
5.435,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.072,11.072,11.072,0,0.0,18.494,0,0,0.0,0,0,0,0.0,33.571,0,7.273,5.623,4.156,4.156,3.2,3.2,5.2,3.2,3.623,3.623,0.0,1,0,33.571,15.177,1,6.086,0.0,63.849,0,3.84,3.84,8.768,8.768,3.059,3.059,7.229,21.293,0.0,0,1,0.591,1,1,22.783,18.316,0,0.0,0.0,5.01,19.787,0,0.015
6.12,0,0,1,4.54,4.54,4.54,7.54,0,0,6.766,6.766,1,11.057,11.057,11.057,0,0.0,18.477,0,0,0.0,0,0,0,0.0,66.468,0,7.273,5.621,4.151,4.151,3.196,3.196,5.196,3.196,3.621,3.621,0.0,1,0,66.468,9.288,1,6.084,0.0,63.849,0,3.84,3.84,8.755,8.755,3.054,3.054,4.901,21.286,0.0,0,0,0.772,1,1,22.775,18.309,0,0.0,0.0,5.232,19.779,0,0.015
5.9,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,51.582,0,7.273,5.622,4.155,4.155,3.2,3.2,5.2,3.2,3.622,3.622,0.0,1,0,51.582,15.616,1,6.086,0.0,81.86,0,3.84,3.84,8.77,8.77,3.056,3.056,4.901,21.294,0.0,0,0,0.714,1,1,22.783,18.317,0,0.0,0.0,5.029,19.787,0,0.017
7.036,0,0,2,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,85.153,0,7.273,5.622,4.155,4.155,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,85.153,14.716,1,6.086,0.0,138.973,0,3.84,3.84,8.77,8.77,3.056,3.056,25.324,21.316,0.0,0,0,0.755,1,1,22.796,18.354,0,0.0,0.013,5.049,19.808,0,0.012
7.721,0,0,1,4.543,4.543,4.543,7.543,0,0,6.77,6.77,1,11.076,11.076,11.076,0,0.0,18.499,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.622,4.157,4.157,3.203,3.203,5.203,3.203,3.622,3.622,0.0,1,0,68.367,23.443,1,6.094,0.0,110.417,0,3.841,3.841,8.814,8.814,3.057,3.057,16.705,21.325,0.0,0,0,0.72,1,1,22.805,18.366,0,0.0,0.013,5.036,19.819,1,0.015
8.456,0,0,1,4.588,4.588,4.588,7.588,0,0,6.784,6.784,1,11.155,11.155,11.155,0,0.0,18.583,0,0,0.0,0,0,0,0.0,86.378,0,7.298,5.621,4.171,4.171,3.224,3.224,5.224,3.224,3.621,3.621,0.0,1,0,86.378,14.619,1,6.104,0.0,140.199,0,3.738,3.738,8.831,8.831,3.063,3.063,27.111,21.416,0.0,0,0,0.814,1,1,22.912,18.427,0,0.0,0.013,5.033,19.896,0,0.015
5.0,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,51.582,0,7.273,5.622,4.155,4.155,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,51.582,33.544,1,6.086,0.0,81.86,0,3.84,3.84,8.77,8.77,3.056,3.056,4.901,21.294,0.0,0,0,0.691,1,1,22.783,18.318,0,0.0,0.0,5.028,19.788,0,0.012
5.254,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,51.582,0,7.273,5.622,4.155,4.155,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,51.582,26.899,1,6.086,0.0,81.86,0,3.84,3.84,8.77,8.77,3.056,3.056,8.086,21.316,0.0,0,0,0.698,1,1,22.796,18.354,0,0.0,0.013,5.031,19.808,0,0.012
6.542,0,0,1,4.544,4.544,4.544,7.544,0,0,6.77,6.77,2,11.076,11.076,11.076,0,0.0,18.499,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.627,4.158,4.158,3.203,3.203,5.203,3.203,3.627,3.627,0.0,2,0,68.367,11.753,2,6.094,0.0,134.027,0,3.841,3.841,8.814,8.814,3.058,3.058,26.181,21.345,0.0,0,0,0.672,2,2,22.822,18.391,0,0.0,1.599,7.426,19.842,0,0.015
6.724,0,0,1,4.534,4.534,4.534,7.534,0,0,6.767,6.767,1,11.065,11.065,11.065,0,0.0,18.465,0,0,0.0,0,0,0,1.37,71.492,0,7.154,5.721,4.145,4.145,3.196,3.196,5.196,3.196,3.721,3.721,1.001,1,0,71.492,5.797,1,6.061,0.653,121.759,0,3.449,3.449,8.644,8.644,3.031,3.031,26.181,21.208,1.754,0,0,0.768,1,1,22.697,18.225,0,2.143,2.552,5.033,19.69,0,0.01
6.025,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.622,4.155,4.155,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,68.367,20.242,1,6.086,0.0,110.417,0,3.84,3.84,8.77,8.77,3.056,3.056,16.705,21.315,0.0,0,0,0.72,1,1,22.796,18.353,0,0.0,0.0,5.031,19.807,0,0.012
6.347,0,0,1,4.543,4.543,4.543,7.543,0,0,6.769,6.769,1,11.074,11.074,11.074,0,0.0,18.496,0,0,0.0,0,0,0,0.0,68.367,0,7.273,5.622,4.155,4.155,3.201,3.201,5.201,3.201,3.622,3.622,0.0,1,0,68.367,18.983,1,6.086,0.0,122.188,0,3.84,3.84,8.77,8.77,3.056,3.056,26.181,21.315,0.0,0,0,0.72,1,1,22.796,18.353,0,0.0,0.0,5.03,19.807,0,0.012
