pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
5.0,8.778,48.8,37.2,1.009,1.113,0.73,0.699,377.47,7.0
5.0,8.671,50.0,37.5,1.001,1.111,0.736,0.702,346.84,10.0
5.0,6.944,40.8,48.7,0.995,1.128,0.652,0.614,527.73,6.6
5.0,12.274,43.6,35.9,1.034,1.13,0.754,0.708,478.68,5.1
4.301,7.888,43.1,43.1,1.001,1.121,0.692,0.654,512.69,9.2
4.301,7.746,42.6,44.1,0.999,1.122,0.687,0.648,526.72,8.8
5.013,7.655,46.8,41.9,0.996,1.119,0.695,0.663,474.61,9.7
4.301,7.043,38.5,48.4,1.0,1.135,0.644,0.61,640.87,8.8
7.338,8.282,47.3,38.2,1.016,1.114,0.693,0.68,455.5,5.5
4.301,7.416,37.3,45.8,1.009,1.14,0.644,0.62,437.56,11.9
4.301,7.054,36.8,48.5,1.003,1.14,0.637,0.605,479.65,10.3
5.721,7.583,47.1,42.6,0.997,1.116,0.692,0.66,515.66,7.4
4.301,7.256,40.6,46.4,1.001,1.131,0.656,0.625,500.66,8.7
5.0,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5
5.0,11.791,51.4,24.3,1.049,1.115,0.798,0.784,436.28,8.1
5.0,10.094,41.5,34.1,1.046,1.136,0.71,0.699,413.86,7.3
5.0,9.217,46.2,33.3,1.011,1.119,0.743,0.716,359.45,17.9
5.0,7.928,47.3,40.5,1.007,1.114,0.692,0.669,586.69,5.4
5.339,7.907,41.0,41.0,1.009,1.135,0.674,0.653,308.38,15.4
5.0,6.781,37.3,50.6,0.998,1.136,0.633,0.596,562.79,7.2
5.678,7.732,42.6,42.6,1.008,1.127,0.671,0.648,417.51,9.3
6.658,7.657,41.2,43.1,1.007,1.132,0.667,0.643,390.49,11.8
5.959,7.573,41.8,43.6,1.004,1.13,0.669,0.642,416.53,10.9
6.252,7.724,42.9,42.9,1.01,1.125,0.669,0.647,432.52,7.1
5.469,9.389,40.5,35.1,1.039,1.123,0.696,0.688,347.38,8.1
5.0,9.496,40.0,34.3,1.038,1.126,0.701,0.693,332.37,11.4
5.921,7.188,37.0,49.3,0.999,1.134,0.65,0.608,524.76,8.2
5.0,8.402,47.8,39.1,1.0,1.109,0.727,0.689,386.51,8.7
5.0,9.685,43.8,33.3,1.048,1.144,0.691,0.696,464.86,8.3
5.0,8.272,37.3,44.1,1.01,1.134,0.679,0.642,488.07,11.9
5.0,6.817,36.5,50.0,0.996,1.141,0.637,0.598,354.51,11.5
5.0,10.898,40.5,35.7,1.039,1.135,0.711,0.694,457.71,9.5
5.921,7.649,45.9,42.6,1.002,1.118,0.685,0.656,466.58,6.6
5.237,7.501,39.0,45.8,1.014,1.138,0.643,0.621,442.54,6.8
6.0,7.176,39.4,47.0,1.0,1.135,0.653,0.62,473.64,10.6
5.0,7.473,41.5,43.9,0.998,1.134,0.673,0.641,306.41,14.6
6.6,7.749,34.8,43.5,1.017,1.15,0.642,0.625,356.44,17.4
5.6,7.337,36.2,46.6,1.009,1.143,0.638,0.613,425.55,12.1
5.4,7.482,36.4,45.5,1.012,1.143,0.641,0.619,411.52,12.7
5.066,8.074,43.5,42.0,1.008,1.124,0.687,0.658,557.1,8.7
5.0,7.556,42.4,45.5,0.994,1.123,0.686,0.642,498.71,9.1
5.0,7.189,43.3,46.3,0.995,1.124,0.669,0.633,481.65,7.5
5.0,7.741,41.5,43.9,1.017,1.134,0.653,0.635,634.74,4.9
