pXC50,nC,SCBO,nCL,RBN,nBO,Sp,Si,Se,MW,nCsp3,nF,nBT,nX,nHet,X.,nAT,Mi,nH,nSK,Sv,nCsp,nTB,N.,nBM,nCsp2,C.,RBF,nAB
7.378,21,42.5,0,4,30,31.387,47.87,43.407,377.47,1,1,46,1,6,2.3,43,1.113,16,27,30.037,0,0,7.0,24,20,48.8,0.087,23
5.449,27,47.5,0,8,38,44.813,79.348,69.745,477.67,11,0,73,0,8,0.0,70,1.134,35,35,42.153,0,0,7.1,18,16,38.6,0.11,17
5.2,20,39.5,1,4,28,29.449,44.428,40.033,346.84,1,0,43,1,5,2.5,40,1.111,15,25,28.074,0,0,10.0,23,19,50.0,0.093,23
5.4,21,41.0,2,9,32,36.267,59.95,53.647,448.39,5,0,55,2,9,3.8,53,1.131,23,30,34.46,0,0,9.4,18,16,39.6,0.164,18
7.508,31,55.0,0,8,43,49.574,85.763,75.629,527.73,11,0,80,0,8,0.0,76,1.128,37,39,46.68,0,0,6.6,23,20,40.8,0.1,22
5.66,26,50.0,0,7,38,40.767,68.687,61.211,457.58,6,0,65,0,8,0.0,61,1.126,27,34,39.046,0,0,8.2,23,20,42.6,0.108,22
4.523,20,36.0,0,3,27,30.324,50.441,44.585,319.44,5,0,48,0,4,0.0,45,1.121,21,24,28.52,0,0,6.7,17,15,44.4,0.063,16
7.614,25,45.0,0,7,36,42.052,74.933,65.861,451.63,11,0,69,0,8,0.0,66,1.135,33,33,39.627,0,0,7.6,17,14,37.9,0.101,16
7.854,32,57.0,0,9,45,51.79,90.388,79.839,557.76,12,0,84,0,9,0.0,80,1.13,39,41,48.922,0,0,6.3,23,20,40.0,0.107,22
8.959,30,55.0,0,8,43,48.819,84.846,74.847,528.72,11,0,79,0,9,0.0,75,1.131,36,39,46.175,0,0,8.0,23,19,40.0,0.101,22
7.427,23,40.0,0,4,31,36.063,61.896,54.563,377.53,8,0,58,0,5,0.0,55,1.125,27,28,33.815,0,0,5.5,17,15,41.8,0.069,16
8.349,29,53.0,0,8,41,46.052,78.933,69.861,499.67,9,0,74,0,8,0.0,70,1.128,33,37,43.627,0,0,7.1,23,20,41.4,0.108,22
5.0,17,34.0,1,6,27,29.404,44.081,40.345,478.68,4,2,41,4,8,10.3,39,1.13,14,25,27.598,0,0,5.1,13,13,43.6,0.146,12
5.812,20,36.0,0,3,27,30.324,50.441,44.585,319.44,5,0,48,0,4,0.0,45,1.121,21,24,28.52,0,0,6.7,17,15,44.4,0.063,16
8.319,34,59.0,0,10,47,55.864,98.507,86.381,584.84,14,0,91,0,9,0.0,87,1.132,44,43,52.282,0,0,6.9,23,20,39.1,0.11,22
5.886,22,38.0,0,3,29,33.847,57.272,50.352,347.5,7,0,54,0,4,0.0,51,1.123,25,26,31.574,0,0,5.9,17,15,43.1,0.056,16
5.783,23,40.0,0,4,31,36.063,61.896,54.563,377.53,8,0,58,0,5,0.0,55,1.125,27,28,33.815,0,0,5.5,17,15,41.8,0.069,16
6.022,21,38.0,0,4,29,32.54,55.066,48.796,349.47,6,0,52,0,5,0.0,49,1.124,23,26,30.762,0,0,6.1,17,15,42.9,0.077,16
8.027,26,47.0,0,5,35,40.069,67.394,59.665,428.58,6,0,63,0,6,0.0,60,1.123,28,32,37.837,0,0,6.7,23,20,43.3,0.079,22
8.638,22,47.0,1,5,35,34.614,55.389,49.96,436.91,4,1,53,2,9,4.1,49,1.13,18,31,33.742,0,0,12.2,23,18,44.9,0.094,22
8.796,21,46.0,2,5,34,33.773,51.578,46.887,439.33,3,0,50,2,9,4.3,46,1.121,16,30,32.659,0,0,13.0,23,18,45.7,0.1,22
4.8,16,29.0,2,2,22,24.506,36.502,33.262,306.2,3,0,35,2,4,6.1,33,1.106,13,20,23.079,0,0,3.0,13,13,48.5,0.057,12
4.9,16,30.0,2,2,23,24.443,36.842,33.774,324.19,3,1,35,3,5,9.1,33,1.116,12,21,23.462,0,0,3.0,13,13,48.5,0.057,12
4.8,16,28.0,1,2,21,23.648,36.558,32.938,271.76,3,0,35,1,3,3.0,33,1.108,14,19,22.251,0,0,3.0,13,13,48.5,0.057,12
4.8,16,29.0,1,2,22,25.0,36.4,33.167,350.65,3,0,35,2,4,6.1,33,1.103,13,20,23.277,0,0,3.0,13,13,48.5,0.057,12
4.143,21,36.0,0,6,26,29.767,47.654,42.709,317.41,2,0,45,0,3,0.0,43,1.108,19,24,28.192,0,0,2.3,16,19,48.8,0.133,12
5.573,21,41.0,0,6,31,32.455,51.883,47.392,463.3,3,2,48,3,8,6.5,46,1.128,17,29,31.72,0,0,4.3,16,18,45.7,0.125,12
6.569,21,41.0,0,6,31,32.455,51.883,47.392,463.3,3,2,48,3,8,6.5,46,1.128,17,29,31.72,0,0,4.3,16,18,45.7,0.125,12
6.046,19,34.0,1,5,25,27.864,43.183,39.149,325.81,2,0,41,1,4,2.6,39,1.107,16,23,26.493,0,0,2.6,15,17,48.7,0.122,12
5.509,19,34.0,0,5,25,29.665,42.959,38.894,417.26,2,0,41,1,4,2.6,39,1.102,16,23,26.982,0,0,2.6,15,17,48.7,0.122,12
5.721,19,36.0,1,5,27,29.154,43.364,39.891,422.69,2,1,41,3,6,7.7,39,1.112,14,25,27.901,0,0,2.6,15,17,48.7,0.122,12
6.208,19,36.0,0,5,27,28.233,43.76,40.08,406.24,2,2,41,3,6,7.7,39,1.122,14,25,27.457,0,0,2.6,15,17,48.7,0.122,12
7.201,23,41.0,0,7,32,36.284,59.919,53.716,477.38,6,2,55,3,7,5.7,53,1.131,23,30,34.586,0,0,3.8,15,17,43.4,0.127,12
6.886,19,37.0,0,5,28,28.171,44.099,40.592,424.23,2,3,41,4,7,10.3,39,1.131,13,26,27.841,0,0,2.6,15,17,48.7,0.122,12
5.215,21,35.0,0,6,26,30.529,50.069,44.592,319.43,4,0,47,0,3,0.0,45,1.113,21,24,28.719,0,0,2.2,15,17,46.7,0.128,12
5.276,20,34.0,0,5,25,28.767,46.654,41.709,305.4,3,0,44,0,3,0.0,42,1.111,19,23,27.192,0,0,2.4,15,17,47.6,0.114,12
4.301,20,38.0,0,5,29,28.517,48.013,43.76,377.36,3,4,44,4,7,9.5,42,1.143,15,27,28.725,0,0,2.4,15,17,47.6,0.114,12
7.796,31,56.0,0,9,44,50.029,86.972,76.956,543.73,11,0,81,0,9,0.0,77,1.13,37,40,47.395,0,0,6.5,23,20,40.3,0.111,22
5.004,20,40.0,0,5,29,28.063,45.341,41.582,370.35,2,3,42,3,7,7.5,40,1.134,13,27,28.31,1,1,5.0,16,17,50.0,0.119,12
5.921,21,41.0,0,5,30,31.239,48.258,44.182,445.28,3,2,45,3,7,7.0,43,1.122,15,28,30.479,1,1,4.7,16,17,48.8,0.111,12
6.959,21,41.0,0,5,30,31.239,48.258,44.182,445.28,3,2,45,3,7,7.0,43,1.122,15,28,30.479,1,1,4.7,16,17,48.8,0.111,12
7.31,23,44.0,0,8,34,36.432,59.922,54.487,507.36,5,2,55,3,9,5.7,53,1.131,21,32,35.489,0,0,3.8,16,18,43.4,0.145,12
7.229,23,41.0,0,7,32,36.284,59.919,53.716,477.38,6,2,55,3,7,5.7,53,1.131,23,30,34.586,0,0,3.8,15,17,43.4,0.127,12
7.337,23,44.0,0,8,34,36.432,59.922,54.487,507.36,5,2,55,3,9,5.7,53,1.131,21,32,35.489,0,0,3.8,16,18,43.4,0.145,12
7.26,23,44.0,1,8,34,35.938,60.025,54.582,462.91,5,2,55,3,9,5.7,53,1.133,21,32,35.291,0,0,3.8,16,18,43.4,0.145,12
6.721,21,41.0,0,5,30,31.239,48.258,44.182,445.28,3,2,45,3,7,7.0,43,1.122,15,28,30.479,1,1,4.7,16,17,48.8,0.111,12
7.18,23,43.0,0,6,33,35.978,58.713,53.16,491.36,5,2,54,3,8,5.8,52,1.129,21,31,34.774,0,0,3.8,16,18,44.2,0.111,12
7.658,21,41.0,0,6,31,32.455,51.883,47.392,463.3,3,2,48,3,8,6.5,46,1.128,17,29,31.72,0,0,4.3,16,18,45.7,0.125,12
6.602,23,43.0,0,6,33,35.978,58.713,53.16,491.36,5,2,54,3,8,5.8,52,1.129,21,31,34.774,0,0,3.8,16,18,44.2,0.111,12
7.102,23,43.0,1,6,33,35.483,58.815,53.254,446.91,5,2,54,3,8,5.8,52,1.131,21,31,34.576,0,0,3.8,16,18,44.2,0.111,12
6.699,23,44.0,0,7,33,35.216,56.298,51.276,489.34,4,2,52,3,8,6.0,50,1.126,19,31,34.247,0,0,4.0,17,19,46.0,0.135,12
5.9,21,39.0,0,6,30,32.762,53.088,47.949,449.32,4,2,49,3,7,6.4,47,1.13,19,28,31.532,0,0,4.3,15,17,44.7,0.122,12
7.187,21,39.0,0,6,30,32.762,53.088,47.949,449.32,4,2,49,3,7,6.4,47,1.13,19,28,31.532,0,0,4.3,15,17,44.7,0.122,12
6.921,21,39.0,0,6,30,32.762,53.088,47.949,449.32,4,2,49,3,7,6.4,47,1.13,19,28,31.532,0,0,4.3,15,17,44.7,0.122,12
7.602,23,44.0,0,7,33,35.216,56.298,51.276,489.34,4,2,52,3,8,6.0,50,1.126,19,31,34.247,0,0,4.0,17,19,46.0,0.135,12
6.0,18,35.0,0,4,26,27.54,42.503,38.785,389.24,2,1,40,2,6,5.3,38,1.119,14,24,26.569,0,0,5.3,15,16,47.4,0.1,12
6.42,18,35.0,0,4,26,27.54,42.503,38.785,389.24,2,1,40,2,6,5.3,38,1.119,14,24,26.569,0,0,5.3,15,16,47.4,0.1,12
8.569,23,48.0,0,5,36,35.455,59.2,53.032,434.49,5,2,56,2,9,3.8,52,1.138,20,32,34.824,0,0,11.5,23,18,44.2,0.089,22
6.745,18,37.0,0,4,28,28.483,45.341,41.4,422.25,3,2,42,3,8,7.5,40,1.134,14,26,27.973,0,0,7.5,15,15,45.0,0.095,12
4.301,28,57.0,0,6,41,44.966,72.896,65.061,512.69,6,0,69,0,9,0.0,65,1.121,28,37,42.54,1,1,9.2,26,21,43.1,0.087,22
4.301,29,58.0,0,6,42,46.728,76.311,67.945,526.72,7,0,72,0,9,0.0,68,1.122,30,38,44.067,1,1,8.8,26,21,42.6,0.083,22
8.201,23,48.0,0,5,36,34.904,57.911,52.258,435.47,5,2,55,2,9,3.9,51,1.136,19,32,34.518,0,0,9.8,23,18,45.1,0.091,22
8.77,22,48.0,1,5,36,34.551,55.729,50.472,454.9,4,2,53,3,10,6.1,49,1.137,17,32,34.125,0,0,12.2,23,18,44.9,0.094,22
5.6,17,38.0,0,2,28,27.847,46.564,41.131,319.41,5,0,45,0,7,0.0,41,1.136,17,24,26.784,0,0,17.1,20,12,41.5,0.044,20
6.409,18,35.0,0,4,26,27.54,42.503,38.785,389.24,2,1,40,2,6,5.3,38,1.119,14,24,26.569,0,0,5.3,15,16,47.4,0.1,12
6.824,18,36.0,0,4,27,27.478,42.843,39.298,407.23,2,2,40,3,7,7.9,38,1.127,13,25,26.952,0,0,5.3,15,16,47.4,0.1,12
6.678,18,36.0,0,4,27,27.478,42.843,39.298,407.23,2,2,40,3,7,7.9,38,1.127,13,25,26.952,0,0,5.3,15,16,47.4,0.1,12
6.347,18,37.0,0,4,28,28.483,45.341,41.4,422.25,3,2,42,3,8,7.5,40,1.134,14,26,27.973,0,0,7.5,15,15,45.0,0.095,12
6.347,18,38.0,0,5,29,28.938,46.551,42.727,438.25,3,2,43,3,9,7.3,41,1.135,14,27,28.688,0,0,7.3,15,15,43.9,0.116,12
8.678,21,47.0,1,5,35,32.79,52.314,47.589,440.87,3,2,50,3,10,6.5,46,1.137,15,31,32.598,0,0,13.0,23,18,45.7,0.1,22
8.77,22,47.0,0,5,35,33.694,55.785,50.149,420.46,4,2,53,2,9,4.1,49,1.138,18,31,33.297,0,0,12.2,23,18,44.9,0.094,22
8.626,21,47.0,1,5,35,32.79,52.314,47.589,440.87,3,2,50,3,10,6.5,46,1.137,15,31,32.598,0,0,13.0,23,18,45.7,0.1,22
8.523,22,47.0,0,5,35,33.142,54.496,49.374,421.44,4,2,52,2,9,4.2,48,1.135,17,31,32.991,0,0,10.4,23,18,45.8,0.096,22
8.387,23,47.0,0,5,35,35.517,58.861,52.52,416.5,5,1,56,1,8,1.9,52,1.132,21,31,34.441,0,0,11.5,23,18,44.2,0.089,22
8.114,23,47.0,0,5,35,34.966,57.572,51.745,417.48,5,1,55,1,8,2.0,51,1.129,20,31,34.134,0,0,9.8,23,18,45.1,0.091,22
8.0,23,49.0,0,5,37,35.392,59.54,53.545,452.48,5,3,56,3,10,5.8,52,1.145,19,33,35.207,0,0,11.5,23,18,44.2,0.089,22
8.796,22,48.0,1,5,36,34.551,55.729,50.472,454.9,4,2,53,3,10,6.1,49,1.137,17,32,34.125,0,0,12.2,23,18,44.9,0.094,22
4.8,16,29.0,1,2,22,23.585,36.898,33.451,289.75,3,1,35,2,4,6.1,33,1.118,13,20,22.635,0,0,3.0,13,13,48.5,0.057,12
4.8,16,29.0,1,2,22,23.585,36.898,33.451,289.75,3,1,35,2,4,6.1,33,1.118,13,20,22.635,0,0,3.0,13,13,48.5,0.057,12
4.8,16,29.0,1,2,22,23.585,36.898,33.451,289.75,3,1,35,2,4,6.1,33,1.118,13,20,22.635,0,0,3.0,13,13,48.5,0.057,12
4.9,16,29.0,1,2,22,25.0,36.4,33.167,350.65,3,0,35,2,4,6.1,33,1.103,13,20,23.277,0,0,3.0,13,13,48.5,0.057,12
5.4,21,50.0,0,7,38,36.955,63.377,57.378,507.55,5,3,58,3,14,5.5,55,1.152,20,35,36.846,0,0,12.7,21,16,38.2,0.121,18
4.8,15,26.0,1,1,19,21.432,31.934,28.727,241.73,2,0,31,1,2,3.4,29,1.101,12,17,20.01,0,0,3.4,13,13,51.7,0.032,12
4.8,16,29.0,1,2,22,23.585,36.898,33.451,289.75,3,1,35,2,4,6.1,33,1.118,13,20,22.635,0,0,3.0,13,13,48.5,0.057,12
4.8,17,31.0,2,3,24,26.722,41.127,37.473,336.23,4,0,39,2,5,5.4,37,1.112,15,22,25.32,0,0,2.7,13,13,45.9,0.077,12
4.8,17,29.0,0,3,22,25.006,41.239,36.825,267.35,4,0,39,0,3,0.0,37,1.115,17,20,23.665,0,0,2.7,13,13,45.9,0.077,12
4.8,17,30.0,1,3,23,25.864,41.183,37.149,301.79,4,0,39,1,4,2.7,37,1.113,16,21,24.493,0,0,2.7,13,13,45.9,0.077,12
4.8,18,31.0,0,4,24,27.222,45.863,41.036,297.38,5,0,43,0,4,0.0,41,1.119,19,22,25.907,0,0,2.4,13,13,43.9,0.093,12
8.337,22,46.0,0,5,34,33.756,55.445,49.636,402.47,4,1,53,1,8,2.0,49,1.132,19,30,32.914,0,0,12.2,23,18,44.9,0.094,22
6.666,29,57.0,0,6,42,42.671,70.287,63.094,515.58,4,3,66,3,9,4.8,62,1.134,24,38,41.766,0,0,8.1,29,25,46.8,0.091,28
