pXC50,SpMax4_Bh.p.,SpMin3_Bh.s.,SpMax4_Bh.v.,SpMin4_Bh.s.,nCrs,NssNH,SsssN,MATS6m,SssNH,ATSC5v,SM11_EA.dm.,ON1V,Eig04_EA.ri.,ATSC2v,C.008,SpMin4_Bh.i.,ATSC5p,X1Kup,ATSC1p,SM09_EA.dm.,nCONN,X1MulPer,Eig04_AEA.ri.,CATS2D_04_DA,SM15_EA.dm.,X1Per,ATSC4v,Eig04_EA,SM12_AEA.bo.,ATSC3v,ATSC4p,SpMin8_Bh.s.,ATSC2p,ATS1v,Hy,ATSC3i,SM07_EA.dm.,CATS2D_07_AL,SpMax3_Bh.m.,ATS2v,Sp,C.041,ATS2p,P_VSA_p_1,CATS2D_02_DD,CATS2D_05_LL,P_VSA_e_1,P_VSA_m_1,P_VSA_s_2,P_VSA_v_1,Psi_i_1,NRS,C.031,ATSC3p,nBT,X1v,ATS3e,ATSC5i,ATS3p,SpMin5_Bh.s.,SpMin1_Bh.e.,ISIZ,nAT,P_VSA_LogP_7,ATSC4i,P_VSA_e_3,SpMin7_Bh.i.,SpMin8_Bh.m.
6.0,3.37,1.091,3.376,0.937,0,0,4.149,0.045,0.0,14.61,8.654,3.404,2.203,11.037,0,1.406,9.843,9.1,4.783,7.028,0,8.922,3.316,0,11.862,7.37,14.501,2.391,2.391,14.375,10.147,0.518,7.424,3.487,-0.332,1.339,5.371,5,3.682,3.826,33.517,1,3.88,306.049,0,2,306.049,306.049,306.049,306.049,14.953,3,0,9.897,55,9.261,4.848,1.264,3.999,0.825,1.914,303.58,53,282.506,1.302,23.034,1.064,1.303
6.91,3.382,1.145,3.371,0.934,3,0,2.393,0.117,0.0,14.548,0.082,3.111,2.214,10.763,1,1.48,10.057,8.792,4.82,0.125,0,8.618,3.278,1,0.035,7.112,15.367,2.313,2.313,14.809,10.846,0.22,7.889,3.479,-0.396,1.38,0.188,6,3.711,3.831,32.296,0,3.904,270.735,0,8,270.735,270.735,270.735,270.735,14.747,3,0,10.686,51,8.883,4.828,1.184,4.043,0.825,1.99,275.121,49,270.735,1.345,34.184,0.947,1.181
6.7,3.388,1.149,3.378,0.934,3,0,2.473,0.106,0.0,15.019,0.082,3.156,2.214,11.194,1,1.485,10.278,8.874,4.745,0.125,0,8.687,3.278,1,0.035,7.195,16.169,2.313,2.313,15.342,11.117,0.221,7.909,3.487,0.194,1.445,0.188,6,3.713,3.841,32.847,0,3.922,270.735,0,8,270.735,270.735,270.735,270.735,14.826,3,0,10.63,52,8.958,4.842,1.218,4.069,0.825,1.99,282.193,50,270.735,1.414,67.081,0.976,1.181
8.15,3.384,1.154,3.371,0.935,4,0,2.584,0.197,0.0,17.048,0.082,3.428,2.213,11.872,1,1.482,11.813,9.165,5.097,0.125,0,8.922,3.277,0,0.035,7.427,17.022,2.312,2.312,16.006,11.894,0.248,8.424,3.506,-0.869,1.469,0.188,7,3.714,3.857,33.603,0,3.948,306.049,0,9,306.049,306.049,306.049,306.049,15.0,3,0,11.194,53,9.235,4.86,1.357,4.102,0.916,1.99,289.294,51,306.049,1.463,34.184,0.968,1.181
8.08,3.357,1.156,3.346,0.944,2,0,2.28,0.141,0.0,12.543,0.082,2.861,2.214,9.804,1,1.506,8.879,8.292,4.469,0.125,0,8.125,3.277,0,0.035,6.705,13.587,2.313,2.313,13.423,9.628,0.218,7.286,3.431,-0.383,1.262,0.188,6,3.712,3.784,30.534,0,3.848,247.193,0,8,247.193,247.193,247.193,247.193,14.08,3,0,9.804,48,8.383,4.741,1.055,3.956,0.888,1.99,254.084,46,247.193,1.197,34.184,0.821,1.181
8.21,3.363,1.177,3.352,0.945,2,0,2.405,0.147,0.0,12.944,0.082,2.906,2.214,10.252,1,1.528,8.953,8.374,4.397,0.125,0,8.194,3.277,0,0.035,6.788,14.306,2.313,2.313,13.959,9.868,0.218,7.311,3.439,0.214,1.33,0.188,6,3.713,3.794,31.086,0,3.868,247.193,0,8,247.193,247.193,247.193,247.193,14.16,3,0,9.803,49,8.458,4.757,1.09,3.983,0.892,1.99,261.066,47,247.193,1.256,67.081,0.821,1.181
8.67,3.385,1.154,3.372,0.97,5,0,2.626,0.275,0.0,20.043,0.082,3.644,2.214,12.773,2,1.483,13.87,9.594,5.449,0.125,0,9.292,3.277,0,0.035,7.754,19.074,2.313,2.313,17.052,13.323,0.398,9.002,3.551,-0.874,1.583,0.188,7,3.717,3.908,35.364,0,4.001,329.591,0,9,329.591,329.591,329.591,329.591,15.688,3,0,11.813,56,9.663,4.928,1.58,4.176,0.934,1.99,310.764,54,329.591,1.625,34.184,1.078,1.209
6.93,3.341,1.102,3.333,0.933,0,1,2.48,0.147,3.367,13.698,0.082,2.961,2.21,9.984,0,1.444,9.426,8.418,4.379,0.125,0,8.252,3.275,0,0.035,6.828,14.35,2.311,2.311,13.821,10.03,0.218,7.037,3.433,-0.383,1.317,0.188,6,3.693,3.773,31.086,0,3.846,258.964,0,8,258.964,258.964,258.964,258.964,14.012,3,0,9.712,49,8.515,4.748,1.131,3.983,0.825,1.99,261.066,47,258.964,1.246,52.194,0.862,1.181
9.17,3.369,1.186,3.356,1.025,4,0,2.595,0.229,0.0,17.662,0.082,3.394,2.214,11.863,2,1.588,12.218,9.094,5.097,0.125,0,8.802,3.277,0,0.035,7.338,17.236,2.313,2.313,15.625,12.118,0.237,8.408,3.506,-0.869,1.464,0.188,6,3.717,3.865,33.603,0,3.951,306.049,0,8,306.049,306.049,306.049,306.049,15.021,3,0,10.905,53,9.163,4.849,1.397,4.1,0.93,1.99,289.294,51,306.049,1.464,34.184,0.902,1.181
6.605,3.096,0.983,3.104,0.63,4,0,0.0,-0.029,0.0,7.94,0.0,2.214,1.57,7.747,2,1.276,5.614,6.567,3.516,0.0,0,6.463,2.63,1,0.0,5.321,9.239,1.708,1.708,10.01,6.497,0.145,5.881,3.201,-0.301,0.909,0.0,2,3.598,3.549,24.012,0,3.594,200.109,0,1,200.109,200.109,200.109,200.109,11.283,3,0,7.237,39,6.674,4.487,0.749,3.612,0.547,1.905,192.75,37,176.567,0.829,33.571,0.821,1.026
