pXC50,D.Dtr07,D.Dtr11,Eig03_AEA.ed.,Eig03_EA.ed.,SM12_AEA.dm.,GATS7m,SssssC,SpMin2_Bh.v.,nR07,nR11,P_VSA_i_1,P_VSA_s_1,SpMax1_Bh.m.,SpMax1_Bh.p.,SddssS,P_VSA_m_4,SsssCH,Eig04_EA.bo.,SM14_AEA.ri.,MAXDN,SpMax1_Bh.e.,MATS7m,MAXDP,Eta_sh_y,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,NaaCH,SM07_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SaaCH,SM12_EA.bo.,D.Dtr10,N.071,Eig01_AEA.dm.,NddssS,nS,S.110,SpDiam_AEA.dm.,SpMax_AEA.dm.,MATS5v,SpMin1_Bh.e.,nR10,MATS8s,nArNR2,SM06_EA.bo.,SM08_EA.bo.,nHM,SpMAD_EA.ri.,MATS1s,SM05_EA.bo.,SpMAD_AEA.bo.,SpMin2_Bh.p.,GATS7p,MATS7p,MATS7v,MATS8m,PW2,SpMin2_Bh.i.,MATS7e,C.024
5.697,0.0,0.0,6.533,9.885,9.885,0.884,0.334,2.017,0,0,0.0,0.0,4.032,4.052,0.0,0.0,0.84,3.109,3.109,2.8,4.128,0.078,5.873,0.32,17.807,19.137,20.371,5,10.195,12.716,14.094,15.254,9.007,16.602,331.56,0,3.781,0,0,0,5.781,3.781,-0.021,2.052,2,-0.053,0,9.254,11.632,0,1.509,-0.052,7.67,1.537,2.01,0.942,0.012,0.043,0.007,0.599,1.86,0.049,5
5.719,0.0,0.0,6.533,9.885,9.885,0.729,0.319,2.015,0,0,0.0,0.0,4.04,4.052,0.0,39.149,0.761,3.111,3.111,2.817,4.128,0.113,5.892,0.333,17.957,19.287,20.534,4,10.304,12.839,14.212,15.39,6.666,16.736,344.739,0,3.781,0,0,0,5.781,3.781,-0.013,2.052,2,-0.057,0,9.337,11.734,1,1.494,-0.051,7.767,1.542,2.004,0.911,0.024,0.059,-0.003,0.602,1.861,0.086,4
5.695,0.0,0.0,7.111,11.657,11.657,0.815,-4.262,2.021,0,0,0.0,0.0,4.034,4.053,0.0,0.0,0.277,3.223,3.223,5.743,4.13,0.103,5.894,0.323,18.273,19.614,20.897,4,10.494,13.069,14.444,15.663,3.969,17.015,384.943,0,4.46,0,0,0,6.46,4.46,-0.014,2.052,2,0.091,0,9.475,11.918,0,1.499,-0.059,7.923,1.556,2.024,0.937,0.01,0.06,0.062,0.61,1.882,0.041,4
5.636,0.0,0.0,6.533,9.885,9.885,0.875,0.288,2.016,0,0,0.0,0.0,4.032,4.052,0.0,0.0,0.56,3.11,3.11,2.873,4.129,0.074,5.868,0.34,18.151,19.493,20.769,4,10.372,12.949,14.332,15.543,5.761,16.9,342.638,0,3.781,0,0,0,5.781,3.781,-0.017,2.052,2,-0.043,0,9.371,11.808,0,1.503,-0.043,7.796,1.542,2.011,0.94,0.012,0.044,0.025,0.602,1.854,0.033,4
5.903,0.0,0.0,6.533,9.885,9.885,0.875,0.293,2.016,0,0,0.0,0.0,4.032,4.052,0.0,0.0,0.601,3.111,3.111,2.859,4.129,0.074,5.869,0.34,17.989,19.322,20.574,4,10.311,12.855,14.231,15.415,5.472,16.763,343.654,0,3.781,0,0,0,5.781,3.781,-0.021,2.052,2,-0.058,0,9.34,11.743,0,1.504,-0.044,7.767,1.536,2.011,0.94,0.012,0.044,0.002,0.602,1.855,0.033,4
5.52,0.0,0.0,6.533,9.885,9.885,0.838,0.297,2.016,0,0,0.0,0.0,4.032,4.052,0.0,0.0,0.633,3.111,3.111,2.849,4.129,0.106,5.869,0.34,17.957,19.287,20.534,4,10.304,12.839,14.212,15.39,5.315,16.736,344.739,0,3.781,0,0,0,5.781,3.781,-0.018,2.052,2,-0.056,0,9.337,11.734,0,1.503,-0.044,7.767,1.542,2.011,0.94,0.011,0.051,0.002,0.602,1.855,0.096,4
5.58,0.0,0.0,6.533,9.885,9.885,0.885,0.331,2.03,0,0,0.0,0.0,4.033,4.053,0.0,0.0,0.828,3.11,3.11,2.799,4.129,0.076,5.918,0.337,18.151,19.493,20.769,4,10.372,12.949,14.332,15.543,7.418,16.9,342.638,0,3.781,0,0,0,5.781,3.781,-0.016,2.052,2,-0.053,0,9.371,11.808,0,1.511,-0.054,7.796,1.542,2.025,0.943,0.011,0.041,0.023,0.602,1.888,0.05,4
6.051,0.0,0.0,6.533,9.885,9.885,0.923,0.331,2.029,0,0,0.0,0.0,4.033,4.053,0.0,0.0,0.83,3.111,3.111,2.799,4.129,0.049,5.91,0.337,17.989,19.322,20.574,4,10.311,12.855,14.231,15.415,7.42,16.763,343.654,0,3.781,0,0,0,5.781,3.781,-0.029,2.052,2,-0.051,0,9.34,11.743,0,1.512,-0.055,7.767,1.536,2.023,0.952,0.003,0.024,0.009,0.602,1.887,0.028,4
5.495,0.0,0.0,6.533,9.885,9.885,0.873,0.331,2.029,0,0,0.0,0.0,4.033,4.053,0.0,0.0,0.831,3.111,3.111,2.799,4.129,0.089,5.905,0.337,17.957,19.287,20.534,4,10.304,12.839,14.212,15.39,7.399,16.736,344.739,0,3.781,0,0,0,5.781,3.781,-0.015,2.052,2,-0.073,0,9.337,11.734,0,1.511,-0.055,7.767,1.542,2.023,0.943,0.012,0.048,-0.023,0.602,1.887,0.057,4
5.41,0.0,0.0,6.533,9.885,9.885,0.91,0.315,2.016,0,0,0.0,0.0,4.033,4.052,0.0,0.0,0.736,3.11,3.11,2.821,4.129,0.053,5.94,0.331,18.19,19.535,20.815,4,10.388,12.973,14.357,15.574,7.003,16.933,353.99,0,3.781,0,0,0,5.781,3.781,-0.032,2.052,2,-0.052,0,9.386,11.827,0,1.496,-0.05,7.805,1.531,2.014,0.947,0.009,0.031,0.024,0.597,1.861,0.022,4
5.375,0.0,0.0,6.533,9.885,9.885,0.875,0.317,2.016,0,0,0.0,0.0,4.033,4.052,0.0,0.0,0.751,3.111,3.111,2.817,4.129,0.084,5.93,0.331,18.015,19.348,20.603,4,10.326,12.873,14.25,15.437,6.933,16.786,355.998,0,3.781,0,0,0,5.781,3.781,-0.024,2.052,2,-0.079,0,9.353,11.759,0,1.495,-0.05,7.777,1.53,2.014,0.941,0.015,0.05,-0.026,0.598,1.861,0.041,4
5.215,0.0,0.0,6.533,9.885,9.885,0.872,0.319,2.016,0,0,0.0,0.0,4.033,4.052,0.0,0.0,0.762,3.112,3.112,2.814,4.129,0.087,5.921,0.331,17.98,19.311,20.56,4,10.319,12.857,14.231,15.411,6.878,16.757,358.14,0,3.781,0,0,0,5.781,3.781,-0.025,2.052,2,-0.051,0,9.35,11.749,0,1.495,-0.05,7.777,1.531,2.014,0.943,0.013,0.045,0.009,0.599,1.861,0.08,4
5.406,0.0,0.0,7.248,12.24,12.24,0.971,0.163,2.065,0,0,0.0,0.0,4.036,4.055,0.0,0.0,0.786,3.112,3.112,2.799,4.132,0.015,6.028,0.314,18.529,19.899,21.226,4,10.56,13.19,14.584,15.848,7.625,17.225,376.693,0,3.782,0,0,0,5.782,3.782,-0.055,2.052,2,-0.049,0,9.508,11.998,0,1.525,-0.062,7.947,1.556,2.054,0.947,0.005,0.009,0.025,0.608,1.929,-0.002,4
6.231,0.0,0.0,7.116,11.69,11.69,0.868,0.262,2.064,0,0,0.0,0.0,4.035,4.055,0.0,0.0,0.792,3.16,3.16,2.8,4.132,0.102,6.004,0.314,18.312,19.658,20.948,4,10.5,13.084,14.462,15.689,7.664,17.046,380.686,0,3.781,0,0,0,5.781,3.781,-0.029,2.052,2,-0.111,0,9.477,11.927,0,1.527,-0.063,7.923,1.554,2.052,0.932,0.021,0.06,-0.076,0.609,1.928,0.059,4
6.561,0.0,0.0,7.111,11.657,11.657,0.928,0.331,2.063,0,0,0.0,0.0,4.035,4.055,0.0,0.0,0.798,3.223,3.223,2.8,4.132,0.054,5.986,0.314,18.273,19.614,20.897,4,10.494,13.069,14.444,15.663,7.659,17.015,384.943,0,3.781,0,0,0,5.781,3.781,-0.036,2.052,2,-0.034,0,9.475,11.918,0,1.526,-0.063,7.923,1.556,2.05,0.928,0.019,0.039,0.024,0.61,1.928,0.028,4
