pXC50,CATS2D_01_DD,nRNHO,CATS2D_05_NL,CATS2D_06_NL,nRCOOH,CATS2D_04_NL,CATS2D_02_AN,CATS2D_01_AN,CATS2D_01_DN,CATS2D_02_NL,P_VSA_LogP_3,O.057,O.056,CATS2D_04_DA,CATS2D_04_AN,CATS2D_07_NL,CATS2D_08_DA,SpMAD_AEA.dm.,MATS5s,CATS2D_08_DL,CATS2D_07_DA,Eig02_AEA.dm.,MATS2s,CATS2D_03_DA,P_VSA_LogP_4,CATS2D_07_DL,CATS2D_07_AA,MATS7s,CATS2D_06_DA,Eig03_AEA.ed.,SpMAD_AEA.bo.,SsOH,Eig02_AEA.bo.,Eig02_EA.ed.,SM11_AEA.dm.,SpMax8_Bh.m.,CATS2D_09_DA,MATS7v,CATS2D_06_DL,N.,GATS2e,Eig02_EA.bo.,SM12_AEA.ri.,GATS2s,Eig03_AEA.dm.,SaaN,SsSH,Eig02_AEA.ed.,Eig02_EA.dm.,SaaS,Eig02_EA.ri.,Eig02_AEA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,MATS7e,CATS2D_09_AN,CATS2D_08_AN,Eig09_AEA.ed.,Hy,Eta_F_A,ATS7s
4.959,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,0,1.7,0.079,2,0,4.727,0.162,2,74.163,4,2,-0.233,2,7.248,1.607,8.582,4.809,15.234,15.234,2.769,1,-0.066,3,6.7,0.646,3.957,3.957,0.705,3.958,0.0,0.0,8.344,3.02,0.0,3.182,4.51,11.167,11.167,-0.239,0,0,4.269,0.522,1.447,6.885
5.301,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,0,1.741,0.14,2,0,3.94,0.051,2,74.163,4,2,-0.199,2,6.213,1.527,8.774,4.443,10.68,10.68,2.822,1,-0.084,3,7.0,0.692,4.121,4.121,0.664,3.778,0.0,0.0,6.773,2.105,0.0,2.88,4.029,8.692,8.692,-0.184,0,0,3.797,0.449,1.359,6.673
5.699,0,0,4,4,1,2,1,2,2,3,81.617,2,0,0,2,3,0,1.621,-0.019,3,0,3.778,0.268,1,181.789,4,2,-0.159,3,5.929,1.542,18.37,4.255,8.763,8.763,2.732,3,-0.069,4,4.5,0.44,3.951,3.951,0.435,3.75,0.0,0.0,6.206,2.375,0.0,2.756,3.789,8.225,8.225,-0.098,2,3,3.725,0.388,1.272,6.159
5.481,0,0,2,2,1,1,1,1,1,1,81.617,1,0,0,1,2,1,1.614,-0.059,2,2,3.858,0.216,1,138.196,2,4,-0.049,0,5.928,1.522,9.24,4.265,10.046,10.046,2.725,3,-0.077,4,6.7,0.474,3.953,3.953,0.479,3.778,0.0,0.0,6.528,2.377,0.0,2.851,3.959,8.22,8.22,-0.076,2,1,3.772,0.399,1.261,6.471
4.921,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,1,1.688,-0.101,4,0,3.937,0.208,2,74.163,7,2,-0.107,2,5.929,1.509,8.886,4.257,8.899,8.899,2.766,4,-0.068,5,8.9,0.525,3.952,3.952,0.493,3.778,0.0,0.0,6.243,2.612,0.0,2.731,3.787,8.225,8.225,-0.076,0,0,3.764,0.433,1.315,6.19
5.0,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,0,1.684,-0.129,4,0,3.936,0.207,2,74.163,8,8,0.086,2,5.929,1.507,8.88,4.256,8.799,8.799,2.765,2,-0.035,5,8.9,0.525,3.952,3.952,0.493,3.778,0.0,0.0,6.229,2.612,0.0,2.723,3.776,8.22,8.22,0.133,0,0,3.777,0.433,1.302,6.507
5.585,0,0,4,3,1,1,1,1,1,1,81.617,1,0,0,2,1,1,1.624,-0.078,3,0,3.778,0.288,1,138.196,5,8,-0.007,0,6.192,1.541,9.47,4.255,10.157,10.157,2.885,1,-0.196,4,5.2,0.454,3.951,3.951,0.408,3.765,0.0,0.0,6.446,2.375,0.0,2.926,4.07,8.658,8.658,0.09,4,1,4.169,0.312,1.236,6.532
4.959,1,1,0,0,0,0,0,0,0,0,118.616,0,1,1,0,0,0,1.66,-0.125,4,0,3.911,0.193,2,29.85,8,4,-0.016,0,5.928,1.473,8.896,4.253,8.227,8.227,2.733,2,-0.033,5,9.3,0.542,3.95,3.95,0.443,3.778,0.0,0.0,5.929,2.612,0.0,2.699,3.749,8.214,8.214,0.078,0,0,3.451,0.414,1.113,6.016
5.046,1,1,0,0,0,0,0,0,0,0,114.947,0,1,1,0,0,0,1.694,-0.084,4,0,3.937,0.205,2,74.163,7,8,0.054,2,6.199,1.512,8.903,4.359,9.493,9.493,2.961,2,-0.04,5,8.9,0.55,4.059,4.059,0.503,3.815,0.0,0.0,6.366,2.612,0.0,2.754,3.876,8.703,8.703,0.075,0,0,3.791,0.441,1.306,6.537
5.509,0,0,2,2,1,1,1,1,1,1,81.617,1,0,0,1,2,1,1.609,-0.103,2,2,3.858,0.261,1,138.196,2,4,-0.042,0,5.928,1.521,9.295,4.265,10.065,10.065,2.802,3,-0.042,4,6.3,0.406,3.953,3.953,0.434,3.778,0.0,0.0,6.532,2.377,0.0,2.863,3.967,8.22,8.22,-0.098,2,1,3.769,0.364,1.234,6.489
