pXC50,nCsp3,RBF,nH,C.,H.,Mv
6.943,14,0.19,41,33.7,49.4,0.597
8.409,28,0.128,72,34.5,49.7,0.592
8.0,15,0.184,43,33.7,50.0,0.601
4.481,6,0.111,23,40.0,38.3,0.672
4.481,6,0.1,21,42.1,36.8,0.675
4.481,7,0.095,25,41.7,41.7,0.654
4.481,5,0.1,21,42.1,36.8,0.678
5.0,5,0.136,20,41.1,35.7,0.703
6.588,14,0.21,47,35.7,48.0,0.609
4.875,11,0.068,29,41.2,42.6,0.655
4.921,4,0.097,20,41.4,34.5,0.678
5.757,9,0.185,31,34.4,48.4,0.606
4.066,4,0.192,21,38.0,42.0,0.657
5.206,10,0.197,30,35.4,46.2,0.63
6.102,9,0.188,29,34.9,46.0,0.624
4.421,5,0.213,19,37.0,41.3,0.665
5.921,10,0.176,32,34.3,47.8,0.617
6.147,18,0.139,41,32.5,53.2,0.577
5.48,18,0.139,41,32.5,53.2,0.577
4.903,10,0.176,32,34.3,47.8,0.617
5.764,10,0.176,33,34.3,49.3,0.602
5.229,6,0.176,20,36.7,40.8,0.648
6.02,9,0.188,29,34.9,46.0,0.617
6.366,9,0.188,30,34.9,47.6,0.611
5.648,4,0.176,21,40.8,42.9,0.652
5.854,7,0.125,25,37.0,46.3,0.6235
5.229,6,0.075,20,33.3,51.3,0.6235
4.658,1,0.154,12,30.8,46.2,0.6235
5.137,8,0.087,24,33.3,53.3,0.6235
4.585,14,0.197,37,31.0,52.1,0.579
6.866,14,0.19,42,33.7,50.6,0.592
5.585,11,0.205,38,35.8,46.9,0.615
6.036,12,0.192,36,33.8,46.8,0.62
7.032,11,0.193,39,36.0,45.3,0.632
6.469,17,0.174,44,34.4,48.9,0.61
5.0,3,0.14,17,41.7,35.4,0.711
6.259,6,0.25,32,29.5,23.0,0.729
5.328,12,0.073,47,39.4,45.2,0.632
5.472,14,0.07,51,39.1,46.4,0.625
4.081,5,0.146,29,42.2,34.9,0.692
4.041,5,0.146,29,42.2,34.9,0.692
4.331,6,0.152,31,41.9,36.0,0.686
4.352,7,0.158,33,41.6,37.1,0.68
4.046,6,0.152,31,41.9,36.0,0.686
5.0,25,0.109,65,34.8,48.1,0.602
4.824,5,0.094,20,44.0,40.0,0.679
4.959,4,0.098,18,43.8,37.5,0.691
6.071,13,0.203,34,31.3,53.1,0.576
6.319,9,0.185,29,34.4,45.3,0.632
7.921,12,0.182,40,36.0,46.5,0.624
8.097,12,0.195,38,33.3,46.9,0.616
5.036,15,0.184,42,33.7,48.8,0.609
7.201,14,0.19,40,33.7,48.2,0.612
7.553,12,0.182,40,36.0,46.5,0.617
5.638,10,0.202,36,35.4,43.9,0.642
8.0,18,0.168,47,34.4,50.5,0.6
7.032,11,0.186,38,36.9,45.2,0.635
6.3,8,0.196,25,29.4,49.0,0.593
6.273,12,0.182,40,36.0,46.5,0.617
7.523,14,0.2,43,32.6,48.3,0.606
6.449,14,0.205,41,34.1,50.0,0.596
6.699,12,0.189,40,36.4,45.5,0.631
6.149,12,0.191,40,36.8,46.0,0.63
7.347,14,0.19,40,33.7,48.2,0.612
8.0,17,0.163,45,34.4,50.0,0.603
5.635,10,0.176,32,34.3,47.8,0.608
6.372,9,0.188,30,34.9,47.6,0.611
4.607,7,0.07,22,33.3,52.4,0.6235
6.796,11,0.193,40,36.0,46.5,0.617
6.395,17,0.214,49,33.0,50.5,0.59
5.717,10,0.188,39,36.1,47.0,0.616
7.119,15,0.195,42,33.7,48.8,0.609
6.879,17,0.163,45,34.4,50.0,0.603
5.658,10,0.2,36,35.9,46.2,0.619
8.155,14,0.198,44,32.2,48.9,0.603
5.175,6,0.115,23,39.7,39.7,0.675
4.993,5,0.088,21,42.6,38.9,0.68
4.824,6,0.078,25,45.0,41.7,0.664
5.0,9,0.088,24,40.7,44.4,0.648
4.959,5,0.107,20,43.4,37.7,0.687
4.824,2,0.127,19,46.2,36.5,0.684
6.929,9,0.188,29,34.9,46.0,0.624
7.538,12,0.17,42,37.4,46.2,0.629
8.222,12,0.178,41,36.4,46.6,0.624
4.112,1,0.095,10,33.3,47.6,0.6235
5.301,3,0.138,19,41.8,34.5,0.712
6.599,8,0.194,27,36.1,44.3,0.636
5.132,6,0.115,23,41.4,39.7,0.671
5.0,13,0.106,30,40.3,48.4,0.627
4.569,5,0.205,19,31.8,43.2,0.642
6.947,10,0.205,36,35.1,46.8,0.613
7.481,10,0.205,36,35.1,46.8,0.613
7.77,10,0.205,36,35.1,46.8,0.613
6.587,8,0.205,32,34.7,44.4,0.623
6.491,9,0.205,33,34.7,45.8,0.623
5.886,5,0.233,18,32.6,41.9,0.649
6.939,11,0.205,37,35.1,48.1,0.613
4.456,10,0.106,30,39.7,47.6,0.616
4.921,4,0.097,20,41.4,34.5,0.678
5.0,41,0.201,95,32.6,53.4,0.569
