pXC50,GATS6s,GATS1s,PW5,MATS6e,MATS6s,AAC,IC0,GATS4e,GATS4s,GATS6e,GATS6p,Eta_epsi_A,CATS2D_05_PL,CATS2D_07_DD,CATS2D_08_PP,CATS2D_09_AP,GATS1e,GATS6m,IC1,MATS1p,MATS1v,MATS6m,nRCONH2,BIC1,C.001,C.003,CATS2D_05_AL,CATS2D_07_LL,CATS2D_08_LL,CATS2D_09_LL,Eig01_AEA.ri.,Eig01_EA.ed.,Eig01_EA.ri.,Eta_FL_A,GATS1p,GATS1v,GATS4m,H.,MATS1e,MATS1s,MATS4e,MATS4m,MATS6i,N.072,nCp,nCt,NsCH3,P_VSA_LogP_1,SIC1,SM10_AEA.dm.,SpMax_AEA.ri.,SpMax_EA.ed.,SpMax_EA.ri.,SpMin5_Bh.s.,SsCH3,SssNH,X0Av,X2Av,MATS5s,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v
6.62,1.518,0.744,0.084,-0.121,-0.156,1.561,1.561,1.233,1.175,1.427,1.013,0.563,4,5,2,4,0.871,1.155,3.003,-0.002,0.013,-0.098,1,0.422,7,3,13,16,14,16,4.002,9.709,2.962,0.16,1.416,1.252,0.95,55.4,-0.133,-0.098,-0.141,0.065,0.101,7,8,3,7,61.776,0.428,9.709,4.002,9.709,2.962,1.28,12.203,16.15,0.61,0.21,0.132,18.707,-1.165,1.357,218.619,6.348,0.0,4.9,5.07,4.253,4.259,5.999,4.227,5.464,5.693,4.581,4.643,6.537,4.559,5.81,6.068,4.694,4.837,6.858,4.736,5.946,6.221,4.806,4.911,6.986,4.829,5.975,6.217,4.96,4.969,7.29,4.908,6.063,6.308,4.955,5.064,7.217,4.984,6.14,6.391,5.012,5.158,7.244,5.065,6.249,6.515,5.102,5.227,7.472,5.119
6.0,1.175,0.782,0.085,-0.016,-0.052,1.656,1.656,1.237,1.214,1.126,1.02,0.6,5,7,0,5,0.916,1.022,3.56,0.069,0.06,-0.015,0,0.496,0,0,9,9,10,9,3.961,9.332,2.92,0.199,1.264,1.11,1.032,51.1,-0.177,-0.113,-0.178,-0.033,0.065,6,3,0,0,0.0,0.506,9.332,3.961,9.332,2.92,1.241,0.0,14.957,0.562,0.182,0.167,19.969,-3.785,14.328,231.93,6.918,0.094,4.932,5.089,4.358,4.293,6.116,4.288,5.465,5.668,4.673,4.671,6.673,4.611,5.821,6.073,4.774,4.842,6.94,4.766,5.897,6.139,4.862,4.898,7.041,4.846,5.967,6.196,5.044,4.973,7.363,4.933,6.054,6.286,5.081,5.066,7.314,5.018,6.143,6.375,5.147,5.148,7.375,5.103,6.218,6.447,5.24,5.212,7.618,5.159
8.155,1.386,0.852,0.075,-0.051,-0.115,1.6,1.6,1.302,1.265,1.263,1.029,0.576,9,9,0,9,0.975,1.071,3.175,0.036,0.039,-0.041,0,0.433,4,2,10,12,10,12,4.001,9.708,2.961,0.173,1.373,1.204,1.02,54.3,-0.186,-0.136,-0.191,-0.007,0.078,6,5,2,4,35.301,0.439,9.708,4.001,9.708,2.961,1.279,7.051,15.83,0.588,0.198,0.079,21.014,-3.63,13.175,257.316,6.513,0.0,5.062,5.235,4.43,4.391,6.205,4.374,5.605,5.831,4.75,4.774,6.74,4.699,5.951,6.214,4.855,4.962,7.024,4.871,6.073,6.341,4.939,5.035,7.143,4.96,6.119,6.367,5.081,5.096,7.409,5.032,6.193,6.443,5.114,5.183,7.352,5.108,6.269,6.521,5.208,5.277,7.398,5.203,6.382,6.637,5.325,5.36,7.671,5.279
8.886,1.294,0.831,0.076,-0.031,-0.097,1.594,1.594,1.273,1.239,1.198,1.081,0.574,5,8,0,5,0.952,1.054,3.2,0.046,0.041,-0.021,0,0.443,3,1,9,12,10,10,3.996,9.708,2.944,0.162,1.384,1.221,1.03,54.9,-0.173,-0.124,-0.153,-0.007,0.061,6,6,1,3,26.476,0.448,9.708,3.996,9.708,2.944,1.279,4.733,15.397,0.589,0.199,0.095,20.188,-4.066,16.533,237.963,6.446,0.0,4.998,5.166,4.356,4.334,6.123,4.312,5.554,5.775,4.672,4.722,6.657,4.644,5.918,6.184,4.812,4.908,6.996,4.816,6.017,6.279,4.893,4.967,7.14,4.897,6.06,6.307,5.02,5.022,7.37,4.963,6.112,6.352,5.078,5.118,7.282,5.052,6.234,6.477,5.161,5.217,7.431,5.149,6.331,6.582,5.223,5.287,7.625,5.204
9.469,1.378,0.814,0.077,-0.064,-0.113,1.592,1.592,1.306,1.285,1.29,1.008,0.573,7,7,0,7,0.937,1.093,3.149,0.023,0.03,-0.055,0,0.436,5,2,10,12,12,12,3.951,9.263,2.91,0.167,1.39,1.221,1.006,54.6,-0.167,-0.122,-0.184,0.01,0.089,6,6,2,5,44.126,0.441,9.263,3.951,9.263,2.91,1.279,8.893,15.66,0.595,0.202,0.114,20.859,-2.509,6.294,238.861,6.47,0.0,4.99,5.16,4.354,4.329,6.12,4.307,5.541,5.766,4.677,4.712,6.661,4.635,5.89,6.152,4.783,4.898,6.969,4.804,6.008,6.277,4.858,4.962,7.075,4.884,6.033,6.278,5.011,5.016,7.337,4.954,6.122,6.373,5.02,5.096,7.291,5.019,6.177,6.429,5.085,5.171,7.313,5.094,6.258,6.51,5.195,5.244,7.554,5.159
8.699,1.318,0.831,0.074,-0.029,-0.096,1.589,1.589,1.324,1.277,1.205,1.078,0.572,7,8,0,7,0.955,1.058,3.163,0.036,0.037,-0.029,0,0.435,4,2,9,13,11,13,4.001,9.708,2.961,0.166,1.381,1.217,1.04,54.8,-0.175,-0.126,-0.194,-0.018,0.065,6,6,2,4,35.301,0.44,9.708,4.001,9.708,2.961,1.272,6.81,15.889,0.592,0.2,0.071,20.303,-3.365,11.326,246.818,6.448,0.0,5.025,5.197,4.385,4.361,6.153,4.339,5.576,5.802,4.703,4.748,6.686,4.668,5.929,6.194,4.83,4.937,6.996,4.844,6.048,6.314,4.907,5.004,7.131,4.929,6.092,6.341,5.035,5.058,7.376,4.994,6.139,6.383,5.09,5.156,7.292,5.082,6.257,6.506,5.18,5.261,7.4,5.184,6.369,6.627,5.261,5.334,7.639,5.245
5.796,1.376,0.799,0.077,-0.087,-0.143,1.601,1.601,1.245,1.176,1.266,1.044,0.576,4,5,2,4,0.93,1.094,3.095,0.018,0.028,-0.074,1,0.468,3,1,7,8,7,5,3.994,9.698,2.955,0.177,1.386,1.212,1.017,54.3,-0.174,-0.124,-0.181,-0.013,0.063,5,4,1,3,26.476,0.474,9.698,3.994,9.698,2.955,0.953,4.716,10.52,0.592,0.196,0.096,15.952,-2.93,8.584,156.527,6.509,0.0,4.565,4.739,3.934,3.897,5.708,3.879,5.104,5.332,4.243,4.266,6.239,4.191,5.437,5.698,4.333,4.441,6.512,4.354,5.54,5.806,4.42,4.516,6.616,4.441,5.6,5.849,4.543,4.57,6.906,4.501,5.648,5.9,4.533,4.635,6.793,4.552,5.713,5.974,4.599,4.703,6.84,4.614,5.793,6.061,4.648,4.735,7.079,4.637
5.796,1.457,0.767,0.081,-0.108,-0.15,1.578,1.578,1.236,1.174,1.359,1.025,0.568,4,5,2,4,0.895,1.13,3.051,0.007,0.019,-0.089,1,0.443,5,2,10,11,9,8,4.0,9.708,2.961,0.167,1.404,1.236,0.977,55.0,-0.15,-0.108,-0.156,0.034,0.086,6,6,2,5,44.126,0.449,9.708,4.0,9.708,2.961,1.233,8.476,13.322,0.603,0.204,0.116,16.64,-2.048,4.192,187.573,6.415,0.0,4.746,4.918,4.106,4.095,5.865,4.068,5.3,5.529,4.426,4.472,6.399,4.392,5.641,5.9,4.53,4.659,6.7,4.563,5.764,6.035,4.631,4.733,6.818,4.653,5.805,6.05,4.773,4.789,7.116,4.725,5.877,6.124,4.766,4.872,7.028,4.791,5.949,6.204,4.82,4.954,7.062,4.861,6.045,6.315,4.899,5.002,7.291,4.898
7.745,1.565,0.726,0.086,-0.13,-0.16,1.548,1.548,1.233,1.177,1.479,1.004,0.559,4,5,2,4,0.852,1.173,2.958,-0.008,0.008,-0.104,1,0.405,9,4,16,21,19,22,4.003,9.709,2.963,0.155,1.425,1.264,0.932,55.7,-0.121,-0.091,-0.129,0.086,0.112,8,10,4,9,79.427,0.41,9.709,4.003,9.709,2.963,1.283,15.907,18.992,0.616,0.215,0.144,20.864,-0.283,0.08,249.664,6.298,0.0,5.034,5.202,4.381,4.401,6.118,4.364,5.605,5.834,4.714,4.789,6.659,4.702,5.955,6.212,4.835,4.989,6.994,4.884,6.101,6.378,4.954,5.062,7.13,4.978,6.12,6.36,5.117,5.121,7.438,5.063,6.22,6.462,5.113,5.224,7.377,5.145,6.301,6.548,5.174,5.328,7.398,5.234,6.418,6.681,5.271,5.41,7.625,5.299
7.658,1.602,0.711,0.088,-0.136,-0.163,1.536,1.536,1.233,1.179,1.521,0.997,0.555,4,5,2,4,0.837,1.188,2.919,-0.012,0.005,-0.108,1,0.39,11,5,19,26,24,28,4.003,9.709,2.963,0.151,1.432,1.273,0.918,56.0,-0.111,-0.085,-0.121,0.102,0.12,9,12,5,11,97.077,0.395,9.709,4.003,9.709,2.963,1.291,19.594,21.843,0.621,0.218,0.154,22.959,0.6,0.36,280.71,6.259,0.0,5.151,5.318,4.494,4.525,6.225,4.484,5.728,5.958,4.832,4.917,6.767,4.827,6.081,6.338,4.958,5.12,7.114,5.012,6.235,6.514,5.083,5.194,7.255,5.107,6.247,6.486,5.253,5.254,7.567,5.197,6.356,6.596,5.25,5.363,7.514,5.284,6.439,6.684,5.313,5.472,7.532,5.379,6.562,6.824,5.415,5.565,7.758,5.452
