pXC50,nCsp2,SCBO,nBM,nBO,nC,O.,nSK,AMW,C.,H.,Me,Mi,Mp,Mv,MW
6.62,16,40.0,15,31,21,4.2,29,9.788,43.8,39.6,1.015,1.111,0.745,0.696,469.84
7.585,14,44.0,17,35,23,8.5,33,8.145,39.0,44.1,1.024,1.136,0.656,0.634,480.58
6.237,14,32.0,17,23,15,6.3,21,9.963,46.9,34.4,1.021,1.105,0.757,0.723,318.8
6.167,14,34.0,17,25,16,10.8,23,8.929,43.2,37.8,1.024,1.115,0.704,0.682,330.39
6.119,14,34.0,17,25,15,6.3,23,10.573,46.9,28.1,1.059,1.138,0.725,0.733,338.33
7.602,20,41.0,23,29,21,4.8,26,8.582,50.0,38.1,1.003,1.101,0.736,0.699,360.46
6.796,14,31.0,17,22,14,6.9,20,9.942,48.3,31.0,1.034,1.115,0.743,0.729,288.32
7.086,14,32.0,17,23,15,6.3,21,9.963,46.9,34.4,1.021,1.105,0.757,0.723,318.8
6.886,14,45.0,17,36,25,7.9,33,7.47,39.7,47.6,1.005,1.123,0.66,0.622,470.64
7.509,14,33.0,17,24,16,8.3,22,8.733,44.4,38.9,1.016,1.112,0.711,0.682,314.39
7.745,14,35.0,18,24,16,6.1,22,9.375,48.5,33.3,1.017,1.106,0.746,0.721,309.37
6.824,14,32.0,17,23,15,6.3,21,9.963,46.9,34.4,1.021,1.105,0.757,0.723,318.8
8.412,14,31.0,17,22,14,6.9,20,12.042,48.3,31.0,1.024,1.098,0.792,0.751,349.22
7.886,14,34.0,17,25,15,6.3,23,10.573,46.9,28.1,1.059,1.138,0.725,0.733,338.33
8.398,14,31.0,17,22,14,6.9,20,13.663,48.3,31.0,1.019,1.094,0.837,0.762,396.22
7.745,15,36.0,18,26,17,10.5,24,9.011,44.7,36.8,1.023,1.112,0.712,0.691,342.4
7.229,15,36.0,18,26,16,7.9,24,9.011,42.1,36.8,1.023,1.122,0.706,0.686,342.41
7.658,16,43.5,22,32,18,7.5,29,10.51,45.0,27.5,1.061,1.141,0.716,0.73,420.4
6.222,17,47.0,19,36,24,8.1,34,7.817,38.7,45.2,1.012,1.128,0.663,0.632,484.63
7.102,14,38.0,17,29,19,6.7,26,8.211,42.2,42.2,1.01,1.119,0.692,0.658,369.48
8.699,14,34.0,18,23,15,6.7,21,9.845,50.0,30.0,1.023,1.103,0.762,0.742,295.34
8.301,14,40.0,17,31,21,9.4,29,7.859,39.6,45.3,1.012,1.123,0.666,0.634,416.54
