pXC50,nX,X.,nSK,MW,Sp,Sv,nBO,SCBO,nC,nF,Si,nBT,Mi,AMW,C.
6.022,0,0.0,17,223.24,18.96,18.558,19,27.0,14,0,28.578,28,1.099,8.586,53.8
4.541,0,0.0,26,374.44,30.227,29.217,29,38.5,19,0,48.913,47,1.112,8.51,43.2
4.54,0,0.0,11,221.23,18.449,15.852,10,11.0,9,0,32.812,28,1.131,7.629,31.0
5.69,0,0.0,12,237.23,18.904,16.567,11,13.0,9,0,34.022,29,1.134,7.908,30.0
4.93,0,0.0,13,253.23,19.358,17.282,12,15.0,9,0,35.231,30,1.136,8.169,29.0
5.3,2,6.5,13,192.28,17.944,16.749,12,13.0,10,2,36.041,30,1.163,6.203,32.3
5.36,3,9.7,14,210.27,17.881,17.133,13,14.0,10,3,36.381,30,1.174,6.783,32.3
7.49,5,16.1,16,246.25,17.756,17.899,15,16.0,10,5,37.06,30,1.195,7.944,32.3
8.26,3,10.0,14,211.26,17.125,16.627,13,14.0,9,3,35.464,29,1.182,7.042,30.0
4.55,0,0.0,11,174.34,17.955,15.643,10,11.0,9,0,32.866,28,1.133,6.012,31.0
7.0,3,10.3,14,275.2,18.262,17.002,13,14.0,9,3,33.831,28,1.167,9.49,31.0
4.26,0,0.0,11,158.27,16.762,15.171,10,11.0,9,0,33.156,28,1.143,5.458,31.0
6.51,3,10.0,15,244.31,18.222,17.508,14,16.0,9,3,35.095,29,1.17,8.144,30.0
8.47,3,9.7,16,307.2,19.171,18.432,15,18.0,9,3,36.25,30,1.169,9.91,29.0
9.75,3,10.0,15,291.2,18.716,17.717,14,16.0,9,3,35.041,29,1.168,9.707,30.0
7.33,3,9.7,16,260.31,18.676,18.223,15,18.0,9,3,36.304,30,1.171,8.397,29.0
4.0,0,0.0,18,240.28,20.727,20.106,19,27.0,14,0,33.491,31,1.116,8.009,46.7
4.0,0,0.0,18,274.38,22.011,20.438,19,27.0,14,0,30.335,29,1.083,9.799,50.0
4.0,0,0.0,18,242.24,19.625,19.493,19,27.0,14,0,30.914,29,1.104,8.651,50.0
4.665,0,0.0,18,238.3,22.239,21.117,19,27.0,16,0,35.325,33,1.104,7.447,50.0
6.476,2,6.3,20,396.08,24.943,23.168,21,29.0,16,0,35.008,33,1.094,12.378,50.0
6.573,1,3.1,19,317.19,23.591,22.142,20,28.0,16,0,35.167,33,1.099,9.912,50.0
4.0,0,0.0,8,114.16,10.716,10.064,7,9.0,6,0,20.495,17,1.139,6.342,33.3
5.331,0,0.0,10,142.22,14.239,13.117,9,11.0,8,0,27.325,23,1.139,5.926,33.3
6.789,0,0.0,12,170.28,17.762,16.171,11,13.0,10,0,34.156,29,1.139,5.676,33.3
6.714,0,0.0,14,198.34,21.284,19.224,13,15.0,12,0,40.986,35,1.139,5.509,33.3
6.567,0,0.0,16,226.4,24.807,22.278,15,17.0,14,0,47.816,41,1.138,5.39,33.3
7.384,0,0.0,18,254.46,28.33,25.332,17,19.0,16,0,54.647,47,1.138,5.301,33.3
7.611,0,0.0,20,282.52,31.853,28.385,19,21.0,18,0,61.477,53,1.138,5.232,33.3
5.657,0,0.0,12,162.2,14.716,14.064,12,17.0,10,0,24.495,22,1.113,7.373,45.5
6.351,0,0.0,13,176.23,16.477,15.59,13,18.0,11,0,27.91,25,1.116,7.049,44.0
6.775,0,0.0,14,190.26,18.239,17.117,14,19.0,12,0,31.325,28,1.119,6.795,42.9
7.175,0,0.0,15,204.29,20.0,18.644,15,20.0,13,0,34.74,31,1.121,6.59,41.9
6.886,0,0.0,16,218.32,21.762,20.171,16,21.0,14,0,38.156,34,1.122,6.421,41.2
5.611,0,0.0,22,294.37,27.216,25.886,25,32.5,19,0,44.365,43,1.109,7.359,47.5
6.695,0,0.0,22,296.39,27.978,26.412,25,31.0,19,0,46.78,45,1.114,7.057,45.2
7.071,0,0.0,24,310.36,28.239,27.117,27,40.0,22,0,41.325,41,1.088,8.167,57.9
4.0,0,0.0,8,112.14,9.955,9.537,8,10.0,6,0,18.08,16,1.13,7.009,37.5
7.52,0,0.0,16,210.24,18.716,18.064,17,25.0,14,0,28.495,27,1.096,8.086,53.8
4.0,0,0.0,16,232.32,20.125,18.778,17,25.0,13,0,30.83,29,1.101,8.297,46.4
4.0,0,0.0,16,230.35,21.432,19.59,17,24.0,14,0,33.036,31,1.101,7.678,46.7
4.0,0,0.0,9,126.17,11.716,11.064,9,11.0,7,0,21.495,19,1.131,6.641,36.8
5.251,0,0.0,14,224.32,17.25,15.911,15,21.0,10,0,23.92,23,1.087,10.196,45.5
6.242,2,10.0,16,380.08,19.193,17.435,17,24.0,10,0,21.188,21,1.059,19.004,50.0
5.614,0,0.0,16,212.26,19.477,18.59,17,24.0,14,0,30.91,29,1.104,7.581,50.0
7.154,0,0.0,20,270.3,23.148,22.547,21,29.0,16,0,37.744,35,1.11,7.95,47.1
4.0,0,0.0,7,100.13,8.955,8.537,6,8.0,5,0,17.08,14,1.139,6.675,33.3
4.0,0,0.0,22,296.4,27.773,26.214,23,31.0,18,0,47.152,43,1.123,7.057,42.9
4.0,0,0.0,9,126.17,11.716,11.064,9,11.0,7,0,21.495,19,1.131,6.641,36.8
4.0,2,6.7,24,458.02,23.727,23.962,25,37.0,14,0,33.182,31,1.106,15.267,46.7
6.401,0,0.0,22,300.24,21.023,21.912,23,35.0,14,0,33.499,31,1.117,10.008,46.7
4.0,0,0.0,11,154.23,15.239,14.117,11,13.0,9,0,28.325,25,1.133,6.169,36.0
8.051,1,2.9,21,304.74,24.006,23.374,22,30.0,16,0,37.688,35,1.108,8.963,47.1
8.102,0,0.0,20,269.27,21.631,21.515,21,31.0,15,0,34.412,32,1.11,8.686,48.4
5.762,0,0.0,20,274.24,20.534,20.923,21,29.0,14,0,33.332,31,1.111,9.141,46.7
6.975,2,7.7,18,279.12,20.432,19.719,19,27.0,14,0,28.383,27,1.092,10.735,53.8
7.74,1,3.8,17,244.68,19.574,18.891,18,26.0,14,0,28.439,27,1.094,9.411,53.8
7.672,1,3.4,18,303.16,21.83,20.616,19,27.0,15,0,31.752,30,1.095,10.454,51.7
7.642,1,3.4,18,258.71,21.335,20.418,19,27.0,15,0,31.854,30,1.098,8.921,51.7
5.735,0,0.0,11,148.17,12.955,12.537,11,16.0,9,0,21.08,19,1.109,7.798,47.4
6.774,2,7.7,18,246.22,18.591,18.83,19,27.0,14,2,29.174,27,1.122,9.47,53.8
7.987,0,0.0,18,240.27,20.932,20.305,19,27.0,15,0,33.119,31,1.104,8.009,50.0
7.514,0,0.0,19,255.24,19.869,19.988,20,30.0,14,0,30.997,29,1.107,9.116,50.0
6.625,2,10.0,16,380.08,19.193,17.435,17,24.0,10,0,21.188,21,1.059,19.004,50.0
4.0,0,0.0,19,255.34,24.006,22.665,20,27.0,16,0,40.239,37,1.118,7.093,44.4
7.219,0,0.0,18,238.3,22.239,21.117,19,27.0,16,0,35.325,33,1.104,7.447,50.0
7.241,4,33.3,12,245.86,11.863,11.793,12,16.0,6,0,13.025,12,1.085,20.488,50.0
4.0,0,0.0,17,226.24,19.171,18.778,18,26.0,14,0,29.704,28,1.1,8.379,51.9
4.0,0,0.0,24,332.24,21.932,23.342,25,37.0,14,0,35.917,33,1.122,10.383,43.8
4.0,0,0.0,10,143.16,11.415,11.273,10,12.0,6,0,21.787,19,1.147,7.535,31.6
4.0,0,0.0,7,100.13,8.955,8.537,6,8.0,5,0,17.08,14,1.139,6.675,33.3
8.387,0,0.0,18,238.3,22.239,21.117,19,27.0,16,0,35.325,33,1.104,7.447,50.0
6.516,6,23.1,22,318.18,18.341,20.363,23,31.0,14,6,30.533,27,1.174,12.238,53.8
4.0,2,7.7,18,368.02,21.421,20.114,19,27.0,14,0,28.178,27,1.084,14.155,53.8
7.573,4,15.4,20,282.2,18.466,19.597,21,29.0,14,4,29.854,27,1.148,10.854,53.8
6.42,10,38.5,26,472.39,22.693,24.118,27,35.0,14,5,29.913,27,1.151,18.169,53.8
5.738,0,0.0,21,278.32,24.693,23.832,24,32.5,18,0,38.535,38,1.101,7.952,51.4
7.143,0,0.0,16,222.36,23.284,21.224,17,19.0,14,0,42.986,39,1.131,5.852,36.8
7.587,2,7.7,18,246.22,18.591,18.83,19,27.0,14,2,29.174,27,1.122,9.47,53.8
6.569,4,15.4,20,282.2,18.466,19.597,21,29.0,14,4,29.854,27,1.148,10.854,53.8
6.081,4,15.4,20,282.2,18.466,19.597,21,29.0,14,4,29.854,27,1.148,10.854,53.8
5.547,12,31.6,32,482.24,25.012,28.77,33,41.0,18,12,46.232,39,1.217,12.691,47.4
6.26,12,31.6,32,482.24,25.012,28.77,33,41.0,18,12,46.232,39,1.217,12.691,47.4
7.212,4,15.4,20,282.2,18.466,19.597,21,29.0,14,4,29.854,27,1.148,10.854,53.8
7.39,6,23.1,22,318.18,18.341,20.363,23,31.0,14,6,30.533,27,1.174,12.238,53.8
6.602,2,7.1,18,248.24,19.352,19.357,19,26.0,14,2,31.589,29,1.128,8.866,50.0
7.496,6,23.1,22,318.18,18.341,20.363,23,31.0,14,6,30.533,27,1.174,12.238,53.8
7.866,6,23.1,22,318.18,18.341,20.363,23,31.0,14,6,30.533,27,1.174,12.238,53.8
6.745,6,18.8,24,346.24,21.864,23.417,25,33.0,16,6,37.363,33,1.168,10.82,50.0
4.0,2,7.1,18,248.24,19.352,19.357,19,26.0,14,2,31.589,29,1.128,8.866,50.0
6.409,4,14.3,20,284.22,19.227,20.124,21,28.0,14,4,32.269,29,1.152,10.151,50.0
6.921,4,14.3,20,284.22,19.227,20.124,21,28.0,14,4,32.269,29,1.152,10.151,50.0
6.585,4,14.3,20,284.22,19.227,20.124,21,28.0,14,4,32.269,29,1.152,10.151,50.0
7.258,4,14.3,20,284.22,19.227,20.124,21,28.0,14,4,32.269,29,1.152,10.151,50.0
7.002,6,21.4,22,320.2,19.102,20.89,23,30.0,14,6,32.948,29,1.177,11.436,50.0
7.59,6,21.4,22,320.2,19.102,20.89,23,30.0,14,6,32.948,29,1.177,11.436,50.0
6.658,6,17.6,24,348.26,22.625,23.944,25,32.0,16,6,39.779,35,1.17,10.243,47.1
7.253,2,7.7,18,246.22,18.591,18.83,19,27.0,14,2,29.174,27,1.122,9.47,53.8
7.959,3,8.3,17,272.37,21.745,20.561,16,18.0,11,3,41.925,35,1.165,7.566,30.6
7.632,3,8.1,18,288.37,22.199,21.276,17,20.0,11,3,43.135,36,1.166,7.794,29.7
