pXC50,AMW,H.,N.,nN,RBF,RBN,Si,Mp,Mv,nAT,nBT
5.423,7.334,45.9,2.7,1,0.105,4,41.448,0.661,0.632,37,38
5.656,7.928,40.5,8.1,3,0.103,4,41.405,0.689,0.666,37,39
5.261,8.62,37.0,5.6,3,0.143,8,60.828,0.677,0.676,54,56
5.129,7.893,42.3,3.8,1,0.111,3,29.203,0.661,0.646,26,27
5.111,8.431,37.8,6.7,3,0.063,3,50.448,0.68,0.674,45,48
5.189,9.665,34.6,11.5,3,0.111,3,29.289,0.704,0.691,26,27
5.946,7.954,38.9,11.1,4,0.051,2,40.069,0.717,0.687,36,39
5.755,8.09,40.8,4.1,2,0.137,7,54.99,0.665,0.655,49,51
5.322,8.086,42.5,7.5,3,0.119,5,44.531,0.711,0.666,40,42
4.597,8.652,35.7,7.1,2,0.067,2,31.286,0.694,0.689,28,30
4.961,8.904,39.3,10.7,3,0.103,3,31.495,0.701,0.671,28,29
5.947,10.45,33.3,11.1,3,0.071,2,30.253,0.749,0.724,27,28
5.552,7.352,44.7,2.6,1,0.049,2,42.239,0.684,0.649,38,41
5.291,12.607,26.7,10.0,3,0.094,3,33.13,0.789,0.767,30,32
5.447,8.759,36.1,8.3,3,0.162,6,40.618,0.669,0.674,36,37
5.265,8.314,38.9,2.8,1,0.079,3,40.373,0.684,0.673,36,38
6.398,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
5.963,8.176,38.9,5.6,2,0.053,2,40.116,0.693,0.676,36,38
6.456,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
5.803,11.455,28.6,7.1,2,0.069,2,32.165,0.735,0.734,28,29
7.032,22.716,18.2,0.0,0,0.0,0,23.446,0.971,0.893,22,24
4.038,8.295,38.1,14.3,6,0.089,4,47.485,0.685,0.671,42,45
5.946,8.078,45.7,6.5,3,0.061,3,51.281,0.709,0.65,46,49
7.81,15.545,27.3,0.0,0,0.0,0,23.763,0.848,0.799,22,24
6.553,17.765,9.1,0.0,0,0.0,0,23.744,0.959,0.932,22,24
5.301,16.403,18.2,0.0,0,0.043,1,23.74,0.952,0.891,22,23
4.796,16.403,18.2,0.0,0,0.043,1,23.74,0.952,0.891,22,23
6.658,13.069,22.7,0.0,0,0.0,0,23.912,0.842,0.819,22,24
6.1,14.635,18.2,0.0,0,0.0,0,23.856,0.881,0.857,22,24
7.149,13.069,22.7,0.0,0,0.0,0,23.912,0.842,0.819,22,24
5.886,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
8.83,18.675,18.2,0.0,0,0.0,0,23.651,0.926,0.875,22,24
8.932,19.13,22.7,0.0,0,0.0,0,23.604,0.91,0.846,22,24
5.0,20.896,0.0,0.0,0,0.0,0,23.632,1.037,1.007,22,24
5.149,16.403,18.2,0.0,0,0.043,1,23.74,0.952,0.891,22,23
5.0,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
4.886,13.069,22.7,0.0,0,0.0,0,23.912,0.842,0.819,22,24
7.387,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
6.659,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
7.169,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
6.456,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
6.0,12.93,23.8,0.0,0,0.0,0,22.702,0.861,0.824,21,23
6.658,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
5.081,17.85,9.5,0.0,0,0.0,0,22.534,0.983,0.942,21,23
5.921,8.214,41.0,15.4,6,0.175,7,44.903,0.632,0.631,39,40
5.733,10.928,25.0,16.7,4,0.077,2,26.957,0.741,0.748,24,26
5.509,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
8.699,22.716,18.2,0.0,0,0.0,0,23.446,0.971,0.893,22,24
7.1,16.2,13.6,0.0,0,0.0,0,23.8,0.92,0.894,22,24
6.709,8.067,40.0,11.4,4,0.081,3,39.488,0.678,0.661,35,37
5.041,14.837,22.7,0.0,0,0.043,1,23.796,0.913,0.853,22,23
7.13,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
5.802,11.301,30.8,11.5,3,0.107,3,28.525,0.825,0.763,26,28
9.35,18.675,18.2,0.0,0,0.0,0,23.651,0.926,0.875,22,24
4.699,16.21,14.3,0.0,0,0.0,0,22.59,0.942,0.903,21,23
6.699,14.57,19.0,0.0,0,0.0,0,22.646,0.902,0.863,21,23
5.437,8.04,42.9,8.6,3,0.054,2,38.906,0.721,0.669,35,37
4.0,9.938,31.8,0.0,0,0.0,0,24.024,0.764,0.744,22,24
4.85,14.837,22.7,0.0,0,0.043,1,23.796,0.913,0.853,22,23
8.18,26.302,13.6,0.0,0,0.0,0,23.288,1.033,0.939,22,24
4.553,13.272,27.3,0.0,0,0.043,1,23.852,0.874,0.816,22,23
6.796,14.635,18.2,0.0,0,0.0,0,23.856,0.881,0.857,22,24
5.263,8.036,39.5,13.2,5,0.1,4,42.777,0.692,0.67,38,40
5.173,11.222,29.7,10.8,4,0.128,5,41.333,0.736,0.732,37,39
5.36,12.93,23.8,0.0,0,0.0,0,22.702,0.861,0.824,21,23
7.939,16.655,18.2,0.0,0,0.0,0,23.753,0.904,0.866,22,24
5.78,9.022,36.1,5.6,2,0.079,3,39.851,0.732,0.707,36,38
6.041,7.995,45.0,7.5,3,0.048,2,45.179,0.672,0.638,40,42
5.813,10.708,35.7,10.7,3,0.138,4,31.149,0.774,0.717,28,29
6.073,8.786,38.7,19.4,6,0.061,2,35.155,0.709,0.674,31,33
5.071,12.046,34.6,15.4,4,0.111,3,29.21,0.76,0.715,26,27
4.004,16.403,18.2,0.0,0,0.043,1,23.74,0.952,0.891,22,23
4.721,12.93,23.8,0.0,0,0.0,0,22.702,0.861,0.824,21,23
5.914,8.933,30.8,7.7,2,0.0,0,28.452,0.76,0.744,26,29
6.003,8.846,38.2,5.9,2,0.056,2,37.851,0.716,0.69,34,36
6.53,11.959,31.8,0.0,0,0.0,0,23.921,0.787,0.753,22,24
5.326,11.29,28.6,0.0,0,0.0,0,22.758,0.82,0.785,21,23
4.377,9.65,33.3,0.0,0,0.0,0,22.814,0.779,0.745,21,23
5.468,9.624,32.3,0.0,0,0.091,3,33.834,0.751,0.732,31,33
5.947,8.349,40.4,4.3,2,0.082,4,53.796,0.655,0.651,47,49
5.311,9.904,33.3,2.6,1,0.122,5,42.921,0.754,0.731,39,41
5.403,7.135,47.5,12.5,5,0.098,4,45.607,0.645,0.613,40,41
5.469,8.186,42.5,7.5,3,0.023,1,44.74,0.698,0.659,40,43
6.015,9.895,38.9,2.8,1,0.079,3,39.665,0.739,0.699,36,38
5.551,8.32,42.5,5.0,2,0.098,4,44.89,0.683,0.656,40,41
5.918,8.545,40.0,6.7,2,0.063,2,33.202,0.731,0.686,30,32
5.829,9.438,28.6,14.3,4,0.032,1,31.242,0.731,0.735,28,31
5.282,7.996,43.9,7.3,3,0.093,4,45.97,0.693,0.654,41,43
5.231,10.27,36.0,16.0,4,0.077,2,28.312,0.731,0.696,25,26
6.455,11.615,37.0,14.8,4,0.071,2,30.44,0.751,0.705,27,28
5.549,8.876,33.3,13.3,4,0.03,1,33.658,0.707,0.703,30,33
5.46,7.132,46.9,6.1,3,0.058,3,55.066,0.664,0.628,49,52
4.1,16.403,18.2,0.0,0,0.043,1,23.74,0.952,0.891,22,23
5.732,7.464,45.5,4.5,2,0.133,6,49.571,0.652,0.628,44,45
6.423,8.39,43.5,6.5,3,0.061,3,51.305,0.714,0.664,46,49
5.942,9.397,41.5,9.8,4,0.068,3,45.951,0.711,0.671,41,44
4.038,8.526,40.0,11.4,4,0.081,3,39.199,0.712,0.675,35,37
5.469,7.676,42.9,4.8,2,0.091,4,46.946,0.678,0.652,42,44
7.163,8.03,40.4,6.4,3,0.122,6,52.654,0.679,0.663,47,49
5.21,8.552,37.1,8.6,3,0.108,4,39.409,0.675,0.673,35,37
5.471,12.508,22.6,9.7,3,0.125,4,36.552,0.707,0.744,31,32
