pXC50,N.,nH,Si,nAT,Se,nN,nBT,H.,Sp,AMW,nCsp3,Sv,Mp,nAB,RBN,RBF,Mv,Me,nDB,nBM,nHet,nC
5.191,7.9,15,42.708,38,38.793,3,40,39.5,26.972,9.269,4,25.836,0.71,12,3,0.075,0.68,1.021,1,13,7,16
4.301,9.4,25,60.062,53,53.0,5,56,47.2,34.552,7.161,7,32.805,0.652,16,5,0.089,0.619,1.0,1,17,7,21
7.114,5.3,16,42.741,38,38.698,2,39,42.1,25.159,7.904,2,24.59,0.662,12,5,0.128,0.647,1.018,2,14,6,16
6.125,6.3,20,53.595,48,48.236,3,51,41.7,33.637,8.206,4,32.063,0.701,18,4,0.078,0.668,1.005,1,19,6,22
4.521,5.7,24,60.915,53,54.101,3,55,45.3,33.875,7.688,9,32.965,0.639,12,4,0.073,0.622,1.021,1,13,8,21
6.114,5.7,24,60.915,53,54.101,3,55,45.3,33.875,7.688,9,32.965,0.639,12,4,0.073,0.622,1.021,1,13,8,21
5.474,6.8,15,51.689,44,46.989,3,46,34.1,28.404,9.531,6,29.535,0.646,12,3,0.065,0.671,1.068,1,13,11,18
6.215,6.8,15,51.689,44,46.989,3,46,34.1,28.404,9.531,6,29.535,0.646,12,3,0.065,0.671,1.068,1,13,11,18
5.66,7.3,15,47.198,41,42.891,3,43,36.6,27.688,9.41,5,27.686,0.675,12,3,0.07,0.675,1.046,1,13,9,17
6.131,7.3,15,47.198,41,42.891,3,43,36.6,27.688,9.41,5,27.686,0.675,12,3,0.07,0.675,1.046,1,13,9,17
5.183,7.3,15,47.198,41,42.891,3,43,36.6,27.688,9.41,5,27.686,0.675,12,3,0.07,0.675,1.046,1,13,9,17
4.717,6.0,24,56.425,50,50.003,3,52,48.0,33.159,7.478,8,31.116,0.663,12,4,0.077,0.622,1.0,1,13,6,20
5.896,6.0,24,56.425,50,50.003,3,52,48.0,33.159,7.478,8,31.116,0.663,12,4,0.077,0.622,1.0,1,13,6,20
5.409,7.3,15,47.198,41,42.891,3,43,36.6,27.688,9.41,5,27.686,0.675,12,3,0.07,0.675,1.046,1,13,9,17
6.041,7.9,15,42.708,38,38.793,3,40,39.5,26.972,9.269,4,25.836,0.71,12,3,0.075,0.68,1.021,1,13,7,16
6.42,5.9,20,58.085,51,52.334,3,54,39.2,34.353,8.382,5,33.912,0.674,18,4,0.074,0.665,1.026,1,19,8,23
4.301,9.4,22,61.081,53,54.538,5,56,41.5,34.364,8.179,7,33.955,0.648,16,4,0.071,0.641,1.029,1,17,10,21
4.301,8.5,27,66.478,59,58.883,5,63,45.8,39.313,7.281,7,37.331,0.666,21,5,0.079,0.633,0.998,1,22,7,25
5.387,7.3,18,46.179,41,41.353,3,43,43.9,27.875,8.093,5,26.536,0.68,12,4,0.093,0.647,1.009,1,13,6,17
5.229,6.4,20,52.595,47,47.236,3,50,42.6,32.637,8.125,5,31.063,0.694,17,4,0.08,0.661,1.005,1,18,6,21
