pXC50,TPSA.Tot.,CATS2D_05_LL,nS,SpMax1_Bh.s.,CATS2D_06_LL,CATS2D_07_LL,Eta_alpha_A,P_VSA_s_6,GATS4e,SpMax1_Bh.m.,X1A,CATS2D_04_AL,PCR,Eig02_AEA.dm.,SaaS,JGI3,AMW,Eig01_AEA.dm.,SpMax_AEA.dm.,NaaS,PCD,MATS1i,P_VSA_e_3,P_VSA_i_4,GATS4i,MATS4p,SpDiam_AEA.dm.,SpMAD_AEA.bo.,P_VSA_i_1,P_VSA_MR_8,nHet,MATS6p,P_VSA_m_4,P_VSA_s_3,RBF,CATS2D_06_PL,nHM,CATS2D_02_AP,CATS2D_04_PL,CATS2D_05_PL,Eta_B_A,nCONN,NdS,S.108,SdS,SsNH2,GATS4v,GATS1e,GATS7m,AAC,AECC,ALOGP,ALOGP2,AMR,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e
7.886,73.13,8,0,7.429,9,12,0.47,127.175,0.802,3.982,0.438,9,1.354,3.292,0.0,0.053,7.57,3.763,3.763,0,2.436,0.089,19.665,19.665,1.155,-0.102,5.763,1.543,0.0,0.0,5,0.079,0.0,19.553,0.047,0,0,0,0,0,0.031,0,0,0,0.0,0.0,1.037,0.807,1.001,1.531,8.565,2.703,7.308,87.133,0.48,3.815,3.92,3.382,3.37,5.008,3.353,4.306
6.301,44.89,1,0,7.429,3,4,0.476,25.145,1.32,3.903,0.46,2,1.151,2.529,0.0,0.021,6.252,3.558,3.558,0,0.832,-0.053,34.796,34.796,0.927,0.014,5.558,1.463,0.0,0.0,3,0.049,0.0,22.24,0.088,0,0,0,0,0,0.015,0,0,0,0.0,0.0,0.853,0.788,1.24,1.406,7.267,2.612,6.823,59.916,0.313,3.562,3.709,2.972,3.069,4.491,3.014,4.148
6.585,34.03,1,0,7.429,3,4,0.477,25.145,1.48,3.942,0.457,2,1.33,2.737,0.0,0.043,7.143,3.589,3.589,0,1.87,-0.182,19.91,19.91,1.251,-0.246,5.589,1.481,0.0,0.0,3,0.035,0.0,12.753,0.097,0,0,0,0,0,0.02,0,0,0,0.0,0.0,1.119,0.746,0.835,1.46,7.375,2.213,4.896,63.681,0.647,3.48,3.609,3.013,3.033,4.592,3.002,3.964
6.398,57.36,0,0,7.429,0,0,0.46,36.145,0.915,3.899,0.462,1,1.144,2.885,0.0,0.027,6.767,3.557,3.557,0,0.808,-0.376,37.921,37.921,1.196,-0.194,5.435,1.448,0.0,0.0,5,0.088,0.0,25.069,0.118,0,0,0,0,0,0.014,0,0,0,0.0,0.0,1.105,0.874,0.981,1.581,8.063,0.25,0.062,61.265,0.294,3.595,3.735,3.074,2.992,4.596,2.986,4.17
6.824,8.17,3,0,4.888,5,5,0.488,15.767,1.154,3.949,0.455,3,1.316,2.795,0.0,0.054,6.467,3.226,3.226,0,1.822,-0.303,5.023,5.023,1.21,-0.184,5.226,1.51,0.0,0.0,2,-0.155,0.0,10.805,0.111,0,0,0,0,0,0.024,0,0,0,0.0,0.0,1.124,1.044,0.648,1.253,7.294,3.327,11.07,73.509,0.611,3.609,3.749,3.069,3.161,4.644,3.104,4.107
6.398,44.89,1,0,8.201,2,3,0.464,40.105,1.705,3.92,0.457,2,1.331,3.172,0.0,0.034,8.083,3.563,3.563,0,1.873,-0.033,34.796,49.756,1.09,-0.033,5.563,1.471,0.0,0.0,4,0.098,0.0,21.874,0.107,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.997,0.638,0.845,1.678,7.313,2.212,4.894,59.001,0.647,3.404,3.524,3.022,2.954,4.636,2.953,3.864
6.469,25.24,1,0,7.428,3,4,0.478,25.145,1.709,3.949,0.455,5,1.316,2.806,0.0,0.054,6.919,3.706,3.706,0,1.822,-0.322,5.023,5.023,1.14,-0.101,5.706,1.51,0.0,0.0,3,-0.27,0.0,12.753,0.088,0,0,0,0,0,0.024,0,0,0,0.0,0.0,1.003,0.705,0.632,1.429,7.294,2.419,5.849,68.578,0.611,3.565,3.696,3.076,3.104,4.65,3.067,4.073
5.456,19.03,3,0,4.93,5,5,0.488,15.767,1.239,3.921,0.457,3,1.317,2.679,0.0,0.044,6.635,3.172,3.172,0,1.779,-0.169,19.91,19.91,1.103,-0.097,5.172,1.488,0.0,0.0,2,-0.056,0.0,10.805,0.121,0,0,0,0,0,0.02,0,0,0,0.0,0.0,1.037,1.135,0.828,1.272,7.188,3.121,9.743,68.612,0.647,3.527,3.667,3.005,3.094,4.588,3.042,4.002
6.469,44.89,1,0,8.201,3,3,0.464,40.105,1.301,3.918,0.456,2,1.325,2.989,0.0,0.036,8.083,3.561,3.561,0,1.844,-0.033,34.796,49.756,1.015,-0.05,5.561,1.473,0.0,0.0,4,0.1,0.0,21.874,0.107,0,0,0,0,0,0.021,0,0,0,0.0,0.0,0.946,0.638,0.814,1.678,7.375,2.212,4.894,59.001,0.647,3.404,3.524,3.022,2.954,4.635,2.953,3.864
6.009,25.24,1,0,8.201,3,3,0.468,40.105,1.199,3.953,0.451,4,1.313,3.0,0.0,0.063,7.464,3.707,3.707,0,1.843,-0.241,5.023,19.984,1.027,-0.105,5.707,1.52,0.0,0.0,4,-0.273,0.0,21.874,0.088,0,0,0,0,0,0.028,0,0,0,0.0,0.0,1.0,0.589,0.723,1.593,7.389,2.624,6.885,68.794,0.579,3.58,3.704,3.143,3.102,4.742,3.085,4.09
