pXC50,RBF,AMW
6.602,0.067,8.838
6.921,0.122,8.108
7.409,0.075,8.351
7.456,0.098,9.508
7.456,0.091,7.866
7.398,0.102,8.775
6.726,0.092,8.372
5.959,0.102,10.027
6.357,0.102,8.775
5.222,0.092,7.714
5.292,0.133,8.895
5.907,0.125,8.184
6.602,0.115,8.828
6.06,0.109,8.588
7.229,0.115,8.828
5.613,0.061,8.945
6.229,0.067,8.838
7.268,0.086,8.684
4.022,0.059,8.069
5.673,0.056,9.093
5.824,0.061,7.821
5.745,0.061,8.383
4.77,0.056,9.093
5.824,0.061,8.383
4.699,0.04,8.208
5.0,0.045,8.735
6.081,0.067,8.284
4.347,0.063,8.105
6.629,0.118,8.677
7.553,0.098,8.625
7.372,0.091,8.343
7.509,0.098,8.625
