pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR
5.0,8.778,48.8,37.2,1.009,1.113,0.73,0.699,377.47,7.0,23,43,0,24,30,0
5.0,8.671,50.0,37.5,1.001,1.111,0.736,0.702,346.84,10.0,23,40,0,23,28,0
4.611,6.944,40.8,48.7,0.995,1.128,0.652,0.614,527.73,6.6,22,76,0,23,43,0
5.0,12.274,43.6,35.9,1.034,1.13,0.754,0.708,478.68,5.1,12,39,0,13,27,0
5.501,6.121,38.9,55.6,0.986,1.127,0.626,0.575,330.51,0.0,0,54,0,3,27,0
4.398,8.189,44.0,40.0,1.022,1.128,0.673,0.661,409.45,6.0,16,50,0,19,33,0
6.009,10.366,47.6,26.2,1.069,1.167,0.696,0.728,435.36,11.9,23,42,0,23,34,0
4.648,6.681,37.6,52.9,0.991,1.129,0.641,0.59,567.87,3.5,12,85,0,14,43,0
5.0,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5,17,59,0,19,37,0
5.0,11.791,51.4,24.3,1.049,1.115,0.798,0.784,436.28,8.1,12,37,0,17,31,0
5.0,10.094,41.5,34.1,1.046,1.136,0.71,0.699,413.86,7.3,16,41,0,19,29,0
5.428,7.009,36.4,49.1,1.004,1.14,0.632,0.601,385.52,9.1,16,55,0,16,30,0
5.0,9.217,46.2,33.3,1.011,1.119,0.743,0.716,359.45,17.9,26,39,0,26,30,0
5.0,7.928,47.3,40.5,1.007,1.114,0.692,0.669,586.69,5.4,30,74,0,32,52,0
5.0,7.907,41.0,41.0,1.009,1.135,0.674,0.653,308.38,15.4,20,39,0,20,26,0
5.097,8.718,45.5,36.4,1.03,1.139,0.684,0.681,479.5,9.1,24,55,0,25,38,0
6.0,8.01,47.5,39.3,1.004,1.117,0.702,0.677,488.59,9.8,30,61,0,31,41,0
4.602,8.452,49.2,36.1,1.01,1.121,0.713,0.696,515.59,11.5,35,61,0,35,44,0
5.0,6.781,37.3,50.6,0.998,1.136,0.633,0.596,562.79,7.2,17,83,0,18,45,0
5.0,9.477,44.7,31.9,1.051,1.153,0.681,0.697,445.41,10.6,22,47,0,23,35,0
5.0,7.188,37.0,49.3,0.999,1.134,0.65,0.608,524.76,8.2,18,73,0,20,40,0
5.0,8.402,47.8,39.1,1.0,1.109,0.727,0.689,386.51,8.7,22,46,0,24,31,0
5.0,9.685,43.8,33.3,1.048,1.144,0.691,0.696,464.86,8.3,18,48,0,20,34,0
5.0,7.907,43.6,41.0,1.009,1.126,0.679,0.658,308.37,10.3,12,39,0,14,26,0
5.304,6.351,36.6,53.7,0.988,1.138,0.627,0.58,520.8,7.3,12,82,0,12,43,0
5.0,8.272,37.3,44.1,1.01,1.134,0.679,0.642,488.07,11.9,17,59,0,18,36,0
