pXC50,MW,nBM
4.656,507.22,8
4.733,362.86,14
6.155,425.95,15
5.398,376.89,14
5.022,400.91,15
4.658,414.94,15
5.658,376.89,17
6.398,390.92,14
5.959,416.91,15
6.125,420.95,14
6.092,476.09,14
5.745,400.91,15
6.174,404.95,14
6.0,386.88,15
5.569,372.85,18
5.62,418.98,14
7.0,496.07,20
6.62,510.1,20
5.69,524.13,20
7.0,496.07,20
5.593,496.07,20
6.658,497.61,20
6.693,514.06,20
7.066,497.06,20
6.796,497.06,20
6.699,497.06,20
5.959,417.95,17
7.114,486.03,19
7.187,547.12,25
6.757,502.1,19
7.18,521.08,21
6.502,521.08,21
7.06,526.1,20
6.629,503.09,19
7.0,498.05,20
7.071,498.05,20
4.757,462.06,14
7.456,434.0,14
6.745,512.12,19
6.456,528.12,19
6.62,514.09,19
7.215,497.06,20
5.076,482.04,20
7.432,498.05,20
6.355,338.54,0
6.398,370.86,18
6.367,404.95,14
5.377,414.94,15
5.801,526.1,20
5.051,522.11,20
6.699,498.09,19
6.553,528.12,19
6.602,486.03,19
7.921,536.09,24
5.452,434.0,14
7.0,512.07,20
5.745,472.05,15
5.013,418.98,14
5.959,431.98,14
5.602,126.01,2
