pXC50,H.047,Eig03_EA.bo.,SM13_AEA.ri.,P_VSA_s_4,P_VSA_p_3,P_VSA_v_3,P_VSA_e_2,SpMaxA_EA.ed.,ALOGP,ALOGP2,D.Dtr06,P_VSA_MR_6,Chi1_EA.dm.,HVcpx,Eta_beta,SpMin2_Bh.i.,SpMin3_Bh.e.,X3A,SpMin2_Bh.e.,S3K,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,NaasC,SpMax3_Bh.i.,H.051,SaasC,C.034,BLTA96,BLTD48,BLTF96,MATS1e,MLOGP,MLOGP2,SaaaC,SM11_EA.bo.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,P_VSA_i_2,SpMaxA_EA.dm.,MATS5i,Eta_FL,Eig03_AEA.bo.,D.Dtr10,IDE,AECC,SpMax1_Bh.m.,SpMin2_Bh.p.,SpMax3_Bh.e.,RBN,SpMaxA_EA,Eta_F_A,S2K,SpMax1_Bh.e.,nCsp2,nPyrroles,SM09_EA.bo.,SM10_EA.bo.,SpMax1_Bh.i.,SpMin3_Bh.i.,nAB,Eta_L_A,nCar
5.456,14,3.319,3.319,161.28,211.587,211.587,172.438,0.618,5.223,27.279,246.033,154.772,17.362,2.608,37.5,1.794,1.82,0.163,1.824,2.602,4.398,4.398,4.398,4,3.841,0,4.01,0,-6.15,-6.0,-5.58,0.026,4.925,24.255,0.0,16.427,17.945,19.348,20.84,22.28,172.438,0.065,-0.109,7.611,3.752,0.0,2.78,6.36,4.109,1.905,3.808,4,0.136,1.103,6.676,4.104,21,0,13.516,15.094,4.136,1.794,23,0.189,21
4.301,17,3.309,3.309,90.262,138.886,138.886,138.886,0.393,1.718,2.95,56.062,91.319,32.443,3.047,33.5,1.749,1.618,0.168,1.783,4.013,4.381,4.381,4.381,5,3.686,3,3.338,0,-2.6,-2.62,-2.55,-0.038,1.368,1.871,0.0,16.471,17.946,19.368,20.835,22.28,138.886,0.062,-0.084,7.175,3.989,0.0,3.187,8.483,4.03,1.932,3.645,5,0.108,1.055,8.95,4.067,14,0,13.594,15.093,4.081,1.607,6,0.233,6
4.301,19,3.43,3.43,133.839,182.145,182.145,182.145,0.2,3.881,15.059,840.45,128.816,39.515,3.831,52.75,1.924,1.926,0.181,1.971,10.178,4.352,4.352,4.352,2,3.959,2,0.975,0,-2.86,-2.87,-2.78,-0.066,1.632,2.662,1.47,16.373,17.866,19.243,20.719,22.138,182.145,0.037,-0.013,9.698,4.095,551.721,4.044,15.041,4.039,2.117,3.922,13,0.06,1.063,16.354,4.086,19,0,13.539,15.071,4.12,1.894,17,0.279,15
6.301,25,3.308,3.308,139.749,182.085,182.085,182.085,0.232,4.743,22.5,776.686,38.514,64.457,3.983,46.5,1.866,1.846,0.174,1.894,9.973,3.96,3.96,3.96,0,3.931,1,0.0,0,-3.06,-3.06,-2.94,-0.036,1.829,3.346,0.0,15.609,16.94,18.233,19.568,20.89,182.085,0.037,-0.005,7.912,4.139,0.0,4.239,17.323,4.001,2.04,3.91,8,0.055,0.803,19.929,4.074,9,0,13.025,14.365,4.095,1.817,0,0.348,0
4.719,14,3.545,3.545,100.023,130.852,130.852,130.852,0.347,3.513,12.342,329.645,74.26,36.835,3.472,42.25,1.771,1.777,0.153,1.814,3.658,4.634,4.634,4.634,2,3.888,1,2.397,1,-3.56,-3.53,-3.37,-0.05,2.33,5.427,2.275,17.133,18.642,20.124,21.636,23.138,130.852,0.047,0.024,7.422,4.405,269.876,3.691,11.488,4.15,2.01,3.839,4,0.083,0.979,9.225,4.19,13,1,14.172,15.688,4.221,1.736,10,0.294,8
4.57,14,3.543,3.543,100.023,133.387,133.387,133.387,0.339,3.902,15.224,341.315,74.26,36.835,3.54,42.75,1.776,1.778,0.153,1.822,3.973,4.634,4.634,4.634,2,3.888,1,2.4,1,-3.75,-3.71,-3.53,-0.045,2.517,6.337,2.277,17.129,18.639,20.122,21.633,23.136,133.387,0.046,0.032,7.427,4.397,279.151,3.739,12.048,4.15,2.012,3.839,5,0.081,0.966,9.731,4.191,13,1,14.167,15.684,4.221,1.737,10,0.298,8
4.301,19,3.535,3.535,119.964,164.573,164.573,164.573,0.305,5.522,30.489,478.587,148.117,49.43,3.682,42.25,1.857,1.812,0.179,1.894,5.127,3.967,3.967,3.967,6,3.872,0,3.461,0,-6.34,-6.17,-5.73,-0.013,5.108,26.091,0.0,15.78,17.248,18.488,19.911,21.199,164.573,0.045,-0.06,8.126,3.929,0.0,3.911,13.618,3.987,2.035,3.824,7,0.086,0.944,10.149,4.047,19,0,13.073,14.615,4.087,1.787,18,0.249,18
5.097,21,3.487,3.487,131.01,160.244,160.244,160.244,0.337,3.651,13.327,381.724,131.033,38.498,3.541,43.0,1.883,1.782,0.181,1.915,6.427,4.16,4.16,4.16,3,3.883,3,1.457,0,-3.9,-3.86,-3.66,0.078,2.675,7.155,0.0,16.263,17.71,19.039,20.463,21.825,160.244,0.071,-0.069,9.151,4.102,0.0,3.78,12.771,4.02,2.017,3.858,10,0.091,1.149,11.894,4.058,18,0,13.494,14.991,4.081,1.756,12,0.216,12
4.398,16,3.224,3.224,107.677,132.589,132.589,132.589,0.406,5.103,26.039,211.623,114.644,26.095,3.261,32.25,1.84,1.756,0.18,1.868,4.116,4.119,4.119,4.119,4,3.803,0,3.561,0,-5.85,-5.71,-5.32,0.044,4.623,21.368,0.0,15.882,17.348,18.667,20.102,21.457,132.589,0.045,0.052,6.048,3.876,119.002,3.427,9.885,4.002,1.97,3.737,7,0.116,0.904,8.397,4.041,14,0,13.098,14.627,4.074,1.692,12,0.253,12
5.975,29,3.78,3.78,133.218,213.227,213.227,174.078,0.281,5.29,27.986,491.882,166.245,46.487,3.662,47.75,1.94,1.865,0.175,1.962,5.118,4.216,4.216,4.216,9,3.906,0,7.483,0,-4.81,-4.72,-4.44,-0.003,3.583,12.841,0.0,16.542,18.007,19.36,20.801,22.184,174.078,0.031,0.078,9.653,4.19,332.083,3.84,13.243,4.084,2.066,3.876,7,0.08,1.102,10.839,4.063,20,0,13.73,15.243,4.094,1.841,18,0.223,18
5.699,29,3.772,3.772,133.218,173.334,173.334,173.334,0.278,3.879,15.048,494.529,198.399,50.699,3.666,48.25,1.94,1.869,0.176,1.963,5.133,4.154,4.154,4.154,9,3.913,0,7.72,0,-3.87,-3.83,-3.64,-0.024,2.642,6.982,0.0,16.463,17.922,19.261,20.695,22.065,173.334,0.031,0.078,9.788,4.176,333.42,3.843,13.243,4.022,2.071,3.879,7,0.079,1.131,10.64,4.065,20,0,13.669,15.18,4.098,1.842,18,0.218,18
6.097,24,3.749,3.749,131.602,177.584,177.584,177.584,0.284,5.862,34.365,470.939,152.733,39.884,3.65,45.75,1.943,1.885,0.175,1.966,5.073,4.122,4.122,4.122,8,3.909,0,7.716,0,-5.57,-5.45,-5.08,0.018,4.343,18.858,0.0,16.389,17.853,19.187,20.621,21.986,177.584,0.031,0.042,8.97,4.146,316.693,3.809,13.139,4.017,2.07,3.88,8,0.081,1.041,10.857,4.063,20,0,13.593,15.113,4.096,1.859,18,0.24,18
7.301,32,3.783,3.783,144.101,186.704,186.704,186.704,0.276,4.609,21.247,508.01,178.871,50.627,3.677,49.0,1.94,1.865,0.175,1.962,5.233,4.224,4.224,4.224,9,3.908,0,7.694,0,-4.07,-4.01,-3.8,0.001,2.835,8.038,0.0,16.556,18.02,19.375,20.817,22.202,186.704,0.03,0.089,10.065,4.197,342.946,3.854,13.316,4.025,2.07,3.878,8,0.078,1.137,11.258,4.065,20,0,13.741,15.254,4.097,1.841,18,0.22,18
4.387,21,3.457,3.457,146.233,164.192,164.192,164.192,0.38,4.445,19.76,284.97,165.211,30.54,3.188,39.25,1.866,1.866,0.178,1.895,3.455,4.121,4.121,4.121,5,3.899,0,4.472,0,-5.85,-5.7,-5.31,0.027,4.615,21.302,0.0,15.964,17.447,18.735,20.177,21.512,164.192,0.043,0.06,8.005,3.937,118.284,3.36,9.296,4.011,1.983,3.869,4,0.108,1.103,7.279,4.05,20,0,13.197,14.754,4.082,1.839,18,0.19,18
5.987,29,3.889,3.889,170.158,214.257,214.257,214.257,0.258,5.982,35.784,641.396,203.299,38.413,3.773,53.75,1.947,1.924,0.175,1.97,5.081,4.124,4.124,4.124,9,3.96,0,8.61,0,-5.93,-5.78,-5.38,0.013,4.696,22.052,0.0,16.513,17.985,19.307,20.745,22.101,214.257,0.029,0.123,10.861,4.248,351.708,3.955,14.385,4.029,2.074,3.935,7,0.074,1.154,11.054,4.075,26,0,13.718,15.255,4.105,1.901,24,0.212,24
5.0,18,3.446,3.446,135.899,156.393,156.393,156.393,0.366,3.616,13.074,305.604,136.782,26.874,3.289,40.25,1.841,1.858,0.18,1.87,3.799,4.119,4.119,4.119,5,3.903,0,4.549,0,-4.67,-4.58,-4.31,0.02,3.436,11.804,0.0,15.959,17.442,18.728,20.171,21.504,156.393,0.041,0.081,8.111,3.909,126.044,3.458,10.0,4.006,1.984,3.87,5,0.105,1.085,7.854,4.045,19,0,13.193,14.751,4.078,1.823,18,0.197,17
5.143,29,3.768,3.768,133.218,173.334,173.334,173.334,0.277,3.879,15.048,494.614,198.399,53.199,3.673,48.25,1.94,1.869,0.176,1.963,5.133,4.153,4.153,4.153,9,3.913,0,7.75,0,-3.87,-3.83,-3.64,-0.024,2.642,6.982,0.0,16.461,17.921,19.259,20.692,22.062,173.334,0.031,0.074,9.788,4.172,333.622,3.85,13.27,4.022,2.071,3.879,7,0.079,1.131,10.64,4.065,20,0,13.669,15.179,4.098,1.842,18,0.218,18
6.409,27,3.55,3.55,132.671,153.624,153.624,153.624,0.299,3.372,11.371,504.067,127.245,45.363,3.639,46.25,1.84,1.823,0.18,1.868,4.844,4.119,4.119,4.119,5,3.907,0,4.216,0,-4.5,-4.42,-4.17,0.017,3.265,10.663,0.0,16.0,17.476,18.763,20.201,21.534,153.624,0.033,0.169,9.255,4.081,165.002,3.837,13.176,4.006,2.042,3.873,6,0.085,1.076,9.921,4.047,18,0,13.241,14.789,4.084,1.757,18,0.216,16
6.201,29,3.78,3.78,142.043,182.588,182.588,182.588,0.281,5.112,26.133,491.882,165.93,47.735,3.662,47.5,1.943,1.878,0.175,1.966,5.017,4.216,4.216,4.216,9,3.915,0,8.518,0,-4.81,-4.72,-4.44,0.016,3.583,12.841,0.0,16.542,18.007,19.36,20.801,22.184,182.588,0.031,0.03,9.621,4.19,332.083,3.84,13.243,4.026,2.072,3.882,7,0.08,1.099,10.664,4.069,20,0,13.73,15.243,4.101,1.851,18,0.223,18
6.796,29,3.793,3.793,133.218,213.227,213.227,174.078,0.285,5.29,27.986,491.799,166.245,50.584,3.648,47.75,1.94,1.864,0.174,1.962,5.118,4.224,4.224,4.224,9,3.906,0,7.438,0,-4.81,-4.72,-4.44,-0.003,3.583,12.841,0.0,16.554,18.019,19.375,20.817,22.203,174.078,0.031,0.087,9.654,4.206,331.838,3.834,13.216,4.086,2.066,3.876,7,0.08,1.102,10.839,4.063,20,0,13.737,15.251,4.094,1.841,18,0.223,18
6.0,24,3.745,3.745,140.428,181.34,181.34,181.34,0.284,5.658,32.011,476.934,152.733,41.355,3.659,45.75,1.944,1.891,0.176,1.967,4.94,4.119,4.119,4.119,8,3.917,0,7.671,0,-5.57,-5.45,-5.08,0.018,4.343,18.858,0.0,16.396,17.857,19.189,20.622,21.985,181.34,0.031,0.103,8.944,4.155,322.0,3.835,13.194,4.018,2.07,3.888,7,0.081,1.047,10.458,4.064,20,0,13.606,15.122,4.097,1.866,18,0.237,18
5.721,32,3.745,3.745,160.567,192.635,192.635,192.635,0.291,4.872,23.739,445.506,186.908,42.371,3.726,46.5,1.892,1.867,0.183,1.913,5.98,4.119,4.119,4.119,7,3.907,0,6.011,0,-5.01,-4.91,-4.61,0.016,3.783,14.309,0.0,16.222,17.684,18.993,20.422,21.766,192.635,0.032,0.112,9.63,4.155,184.676,3.938,14.056,4.007,2.023,3.873,10,0.083,1.108,11.702,4.047,20,0,13.452,14.976,4.081,1.84,18,0.216,18
5.432,23,3.915,3.915,113.301,168.165,168.165,168.165,0.277,4.232,17.907,440.106,150.558,46.254,3.616,48.25,1.936,1.831,0.172,1.958,4.323,4.142,4.142,4.142,9,3.902,0,7.467,0,-4.08,-4.03,-3.81,-0.024,2.853,8.139,0.0,16.521,17.98,19.323,20.756,22.128,168.165,0.034,0.123,9.753,4.285,307.822,3.79,12.694,4.024,2.063,3.89,6,0.079,1.1,9.676,4.064,20,0,13.718,15.229,4.093,1.814,18,0.219,18
5.097,33,4.06,4.06,152.704,215.672,215.672,215.672,0.277,4.887,23.886,507.918,147.632,68.371,3.534,60.0,1.92,1.937,0.149,1.943,5.433,4.644,4.644,4.644,6,3.962,3,4.464,2,-3.92,-3.88,-3.68,-0.039,2.695,7.262,1.938,17.545,19.046,20.519,22.02,23.511,215.672,0.039,-0.155,10.944,4.564,173.406,3.72,12.559,4.184,2.076,3.918,10,0.061,1.221,14.315,4.227,19,1,14.594,16.106,4.256,1.909,16,0.293,14
6.155,36,3.44,3.44,249.626,296.82,296.82,296.82,0.137,5.614,31.52,0.0,110.526,50.917,4.215,70.25,1.791,1.829,0.189,1.839,22.667,3.546,3.546,3.546,0,3.924,0,0.0,0,-0.91,-1.02,-1.12,-0.021,-0.321,0.103,0.0,15.447,16.666,17.869,19.087,20.302,296.82,0.024,0.107,12.436,4.282,0.0,4.299,19.647,3.958,2.039,3.877,15,0.039,1.327,36.247,4.046,13,0,13.038,14.267,4.098,1.782,0,0.315,0
4.301,21,3.464,3.464,165.501,266.392,266.392,266.392,0.182,5.512,30.377,448.244,134.28,41.552,3.978,55.75,1.888,1.776,0.196,1.918,13.119,3.781,3.781,3.781,5,3.935,1,4.495,1,-2.75,-2.77,-2.69,-0.052,1.524,2.324,0.0,15.465,16.886,18.028,19.404,20.597,203.837,0.042,0.007,10.557,4.007,0.0,4.202,16.9,4.232,2.006,3.902,18,0.057,1.059,19.972,4.003,21,0,12.907,14.402,4.042,1.726,22,0.268,18
5.699,21,3.298,3.298,162.267,188.341,188.341,188.341,0.406,6.498,42.229,554.918,145.41,32.714,3.735,38.25,1.948,1.824,0.182,1.974,6.036,4.08,4.08,4.08,4,3.872,0,4.255,0,-6.17,-6.02,-5.59,-0.046,4.944,24.448,0.0,15.956,17.428,18.715,20.15,21.479,188.341,0.039,-0.02,6.854,3.984,0.0,4.022,14.543,3.984,2.056,3.813,9,0.096,0.834,11.078,4.053,18,0,13.201,14.74,4.085,1.794,18,0.284,18
