pXC50,SM15_EA.bo.,SM14_EA.bo.,SM13_EA.bo.,SM11_EA.bo.,SpMax1_Bh.v.,SpMax1_Bh.e.,SM12_EA.bo.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,GGI6,MPC08,Eig01_AEA.bo.,SpMax_AEA.bo.,SM10_EA.bo.,GGI5,MPC09,CATS2D_09_AP,piPC10,SM15_EA.ri.,MPC07,SRW09,SpDiam_AEA.ri.,Eig06_AEA.dm.,SM08_EA.ed.,nRCONH2,SM13_EA.ri.,SM15_EA.ed.,SM15_EA,SM09_EA.bo.,SpDiam_AEA.bo.,SM13_EA.ed.,SM14_EA.ed.,CATS2D_02_AP,SM11_EA.ed.,SM12_EA.ed.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,CATS2D_09_DA,piPC09,Eig01_AEA.ri.,SpMax_AEA.ri.,ATS5m,SM07_EA.ed.,SM14_AEA.ed.,SM15_AEA.ed.,piPC06,MPC05,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,ATS7s,SpDiam_EA.ed.,CATS2D_07_PL,CATS2D_05_AP,MPC06,SM14_EA,SM13_AEA.ed.,ATS6m,SM06_EA.ed.,ATS8s,X5A,MPC10,Eig05_AEA.dm.
6.638,20.35,19.052,17.646,14.95,3.868,3.973,16.389,3.882,3.882,6.882,3.882,0.653,4.344,4.274,4.274,13.764,0.861,4.394,0,5.656,15.636,4.344,0.0,4.99,1.954,18.248,0,13.6,33.755,16.45,12.269,5.229,29.273,31.526,0,24.797,27.063,2.818,4.818,2.818,0,5.919,3.922,3.922,4.216,15.861,25.874,27.671,5.4,4.205,2.973,2.973,4.973,2.973,6.406,15.875,0,0,4.263,15.406,24.082,4.239,13.979,6.148,0.089,4.29,2.652
6.046,19.508,18.299,17.03,14.565,3.849,3.962,15.857,3.586,3.586,6.142,3.586,0.548,4.234,4.303,4.303,13.453,1.101,4.234,0,5.656,16.857,4.174,6.783,5.118,2.629,18.902,0,14.71,34.896,17.129,12.108,5.257,30.28,32.596,0,25.673,27.996,3.022,5.009,3.022,0,5.595,4.068,4.068,3.807,16.495,26.602,28.439,5.004,4.127,3.088,3.088,5.088,3.088,5.913,17.021,0,0,4.174,16.042,24.771,3.803,14.488,5.711,0.082,4.19,2.769
5.377,19.386,18.184,16.914,14.457,3.848,3.959,15.751,3.576,3.576,6.129,3.576,0.411,4.111,4.287,4.287,13.36,0.903,4.143,0,5.561,16.578,4.06,6.783,5.131,2.629,18.685,0,14.445,34.719,16.895,12.011,5.239,30.096,32.415,0,25.478,27.804,2.993,4.98,2.993,0,5.501,4.04,4.04,3.706,16.284,26.365,28.202,4.905,4.043,3.061,3.061,5.061,3.061,5.639,16.858,0,0,4.043,15.816,24.536,3.619,14.279,5.592,0.085,4.078,2.747
6.538,19.785,18.608,17.25,14.727,3.884,3.982,16.12,3.673,3.673,6.673,3.673,0.576,4.575,4.137,4.137,13.668,0.813,4.663,0,6.234,15.877,4.564,6.529,4.915,2.579,18.36,0,13.915,33.229,16.648,12.216,5.137,28.932,31.096,0,24.642,26.82,2.744,4.744,2.744,3,6.055,3.847,3.847,4.181,16.057,26.19,27.962,5.343,4.431,2.903,2.903,4.903,2.903,6.288,15.092,0,0,4.454,15.645,24.421,4.123,14.229,6.142,0.09,4.71,2.927
5.312,20.227,18.98,17.611,15.009,3.905,3.995,16.407,3.804,3.804,6.804,3.804,0.616,4.595,4.271,4.271,13.872,0.736,4.644,0,6.371,16.48,4.564,6.529,5.042,2.535,18.737,0,14.397,34.246,16.934,12.422,5.271,29.759,32.015,0,25.286,27.55,2.936,4.936,2.936,0,6.118,3.975,3.975,4.065,16.374,26.535,28.348,5.439,4.382,2.998,2.998,4.998,2.998,6.169,16.453,0,0,4.431,15.892,24.727,3.992,14.449,6.001,0.086,4.745,2.911
6.237,20.223,18.97,17.593,14.975,3.91,4.004,16.383,3.81,3.81,6.81,3.81,0.595,4.644,4.301,4.301,13.834,0.785,4.691,0,6.371,16.627,4.564,6.529,5.116,2.445,18.973,0,14.502,35.018,17.138,12.368,5.301,30.375,32.707,0,25.745,28.085,2.986,4.986,2.986,0,6.138,4.048,4.048,4.126,16.549,26.688,28.531,5.441,4.431,3.081,3.081,5.081,3.081,6.148,17.407,0,0,4.466,16.063,24.852,4.063,14.568,6.038,0.086,4.787,2.898
5.0,20.294,19.106,17.702,15.112,3.916,4.013,16.568,3.692,3.692,6.692,3.692,0.653,4.828,4.147,4.147,14.06,0.688,4.927,0,6.69,15.905,4.736,6.529,4.909,2.796,18.344,0,13.934,33.323,16.609,12.521,5.147,28.979,31.161,0,24.654,26.842,2.743,4.743,2.743,0,6.438,3.841,3.841,4.123,16.046,26.075,27.837,5.694,4.564,2.898,2.898,4.898,2.898,6.026,15.186,0,0,4.585,15.614,24.317,4.059,14.225,5.893,0.086,5.043,2.88
5.488,20.622,19.388,17.994,15.371,3.917,4.013,16.808,3.804,3.804,6.804,3.804,0.735,4.86,4.273,4.273,14.258,0.868,4.956,0,6.841,16.582,4.787,6.529,5.046,2.831,18.894,0,14.502,34.416,17.071,12.75,5.273,29.929,32.184,0,25.454,27.717,2.937,4.937,2.937,0,6.535,3.979,3.979,4.084,16.535,26.654,28.467,5.814,4.564,3.005,3.005,5.005,3.005,6.004,16.467,0,0,4.625,16.028,24.847,4.003,14.601,5.921,0.082,5.106,2.911
5.0,20.241,18.993,17.624,15.021,3.905,3.996,16.418,3.806,3.806,6.806,3.806,0.656,4.585,4.283,4.283,13.88,0.785,4.654,0,6.422,16.584,4.533,6.529,5.071,2.388,18.786,0,14.486,34.378,17.014,12.43,5.283,29.865,32.134,0,25.366,27.645,2.955,4.955,2.955,0,6.171,4.003,4.003,4.035,16.407,26.559,28.376,5.447,4.382,3.028,3.028,5.028,3.028,6.07,16.626,0,0,4.419,15.959,24.747,3.961,14.478,5.944,0.085,4.754,2.91
6.013,20.251,18.989,17.605,14.97,3.902,3.996,16.388,3.828,3.828,6.828,3.828,0.408,4.595,4.278,4.278,13.825,0.667,4.673,0,6.253,16.169,4.477,6.555,4.975,2.646,18.51,0,14.125,33.784,16.771,12.347,5.278,29.377,31.594,0,24.972,27.203,2.842,4.842,2.842,1,6.273,3.907,3.907,4.031,16.164,26.253,28.047,5.477,4.394,2.942,2.942,4.942,2.942,5.997,15.56,0,0,4.407,15.736,24.464,3.952,14.271,5.885,0.088,4.682,2.712
