pXC50,N.,Mi,nX,nF,X.,nN,Me,Mv,AMW,nHet,nBT,nCsp3,MW,H.,nH,Sp,RBN,SCBO,Se,C.,Mp,nAB,nAT,nB
4.602,5.1,1.12,0,0,0.0,2,1.02,0.661,8.523,7,40,1,332.41,41.0,16,26.807,5,34.0,39.774,41.0,0.687,12,39,0
8.222,7.5,1.137,1,0,2.5,3,1.023,0.629,9.306,8,40,5,372.25,45.0,18,26.279,7,28.0,40.913,35.0,0.657,6,40,0
7.699,7.5,1.141,0,0,0.0,3,1.017,0.603,7.334,7,40,5,293.36,47.5,19,24.926,7,27.0,40.683,35.0,0.623,6,40,0
7.553,4.6,1.13,1,1,1.5,3,0.996,0.612,6.917,6,68,10,449.62,49.2,32,42.285,6,46.0,64.727,41.5,0.651,16,65,0
7.42,4.6,1.13,1,1,1.5,3,0.996,0.612,6.917,6,68,10,449.62,49.2,32,42.285,6,46.0,64.727,41.5,0.651,16,65,0
5.018,7.1,1.133,0,0,0.0,6,1.007,0.616,7.256,12,89,14,616.79,47.1,40,54.705,10,62.0,85.596,38.8,0.644,16,85,0
4.973,7.9,1.133,0,0,0.0,7,1.008,0.622,7.369,13,94,14,655.83,46.1,41,57.711,10,68.0,89.698,39.3,0.648,20,89,0
7.481,2.0,1.141,3,3,6.1,1,1.018,0.631,7.703,6,50,7,377.44,44.9,22,31.864,9,36.0,49.898,42.9,0.65,12,49,0
5.31,4.7,1.129,0,0,0.0,4,0.999,0.602,7.407,12,88,20,636.99,51.2,44,56.466,13,52.5,85.945,34.9,0.657,5,86,0
5.523,4.3,1.124,0,0,0.0,4,0.998,0.616,7.517,12,96,19,699.06,49.5,46,62.228,14,61.5,92.829,37.6,0.669,11,93,0
5.125,5.0,1.128,0,0,0.0,4,1.002,0.609,7.612,12,82,18,608.93,50.0,40,52.944,12,50.5,80.178,35.0,0.662,5,80,0
5.523,5.1,1.126,0,0,0.0,4,1.004,0.618,7.781,12,80,16,606.91,48.7,38,52.182,12,52.0,78.294,35.9,0.669,10,78,0
5.523,4.8,1.129,0,0,0.0,4,1.001,0.605,7.506,12,85,19,622.96,50.6,42,54.705,12,51.5,83.061,34.9,0.659,5,83,0
4.986,6.3,1.152,3,3,3.8,5,1.03,0.61,7.743,15,80,14,611.69,45.6,36,48.966,14,54.0,81.359,35.4,0.62,6,79,0
6.022,7.3,1.128,0,0,0.0,3,1.038,0.671,8.716,9,42,0,357.35,36.6,15,27.313,5,37.0,42.571,41.5,0.666,12,41,0
4.757,5.4,1.122,0,0,0.0,2,1.01,0.645,7.685,5,38,2,284.34,43.2,16,24.705,5,30.5,37.371,43.2,0.668,11,37,0
4.301,4.0,1.134,0,0,0.0,3,1.004,0.589,7.224,11,75,16,541.81,52.0,39,47.745,6,43.0,75.327,33.3,0.637,0,75,0
5.979,5.2,1.126,0,0,0.0,3,1.004,0.625,7.268,7,60,6,421.54,46.6,27,37.972,9,43.5,58.218,41.4,0.655,17,58,0
4.0,5.9,1.119,0,0,0.0,2,1.017,0.663,8.54,6,35,3,290.37,41.2,14,23.591,5,28.0,34.564,41.2,0.694,12,34,0
9.523,6.3,1.144,0,0,0.0,4,1.012,0.583,6.93,10,65,16,436.57,50.8,32,38.409,7,38.0,63.741,33.3,0.61,0,63,0
8.569,8.2,1.15,0,0,0.0,5,1.016,0.578,6.976,11,62,14,425.55,50.8,31,36.654,6,36.0,61.96,31.1,0.601,0,61,0
6.0,4.3,1.11,0,0,0.0,2,1.014,0.681,8.576,7,48,0,394.48,39.1,18,32.568,6,43.0,46.658,45.7,0.708,18,46,0
7.602,5.4,1.137,0,0,0.0,4,1.007,0.591,7.335,12,74,15,542.8,51.4,38,46.989,6,43.0,74.545,32.4,0.635,0,74,0
6.0,4.5,1.125,0,0,0.0,2,1.03,0.653,8.601,9,45,2,378.44,40.9,18,29.477,7,37.0,45.313,38.6,0.67,12,44,0
4.602,6.7,1.13,0,0,0.0,3,1.022,0.641,7.942,8,46,2,357.4,42.2,19,29.381,6,36.0,46.011,40.0,0.653,12,45,0
6.0,5.1,1.12,0,0,0.0,2,1.02,0.661,8.523,7,40,1,332.41,41.0,16,26.807,5,34.0,39.774,41.0,0.687,12,39,0
4.477,4.3,1.13,0,0,0.0,1,1.008,0.612,7.183,3,23,2,165.21,47.8,11,14.722,3,16.0,23.174,39.1,0.64,6,23,0
4.477,5.0,1.129,0,0,0.0,1,1.015,0.628,7.559,3,20,1,151.18,45.0,9,12.96,2,15.0,20.291,40.0,0.648,6,20,0
4.711,4.8,1.123,0,0,0.0,1,1.014,0.646,7.771,3,21,0,163.19,42.9,9,13.96,2,17.0,21.291,42.9,0.665,6,21,0
4.477,5.9,1.127,0,0,0.0,1,1.024,0.649,8.068,3,17,0,137.15,41.2,7,11.199,1,14.0,17.407,41.2,0.659,6,17,0
5.588,3.7,1.138,0,0,0.0,2,1.006,0.583,6.75,7,55,11,364.49,51.9,28,33.182,6,32.0,54.327,35.2,0.614,6,54,0
5.921,3.5,1.138,0,0,0.0,2,1.004,0.579,6.641,7,58,12,378.52,52.6,30,34.944,6,33.0,57.211,35.1,0.613,6,57,0
5.903,3.3,1.138,0,0,0.0,2,1.002,0.575,6.542,7,61,13,392.55,53.3,32,36.705,6,34.0,60.094,35.0,0.612,6,60,0
6.799,3.2,1.128,0,0,0.0,2,1.009,0.614,7.215,8,65,9,454.57,47.6,30,40.398,7,44.0,63.538,39.7,0.641,12,63,0
7.1,3.2,1.128,0,0,0.0,2,1.009,0.614,7.215,8,65,9,454.57,47.6,30,40.398,7,44.0,63.538,39.7,0.641,12,63,0
6.547,3.2,1.128,0,0,0.0,2,1.009,0.614,7.215,8,65,9,454.57,47.6,30,40.398,7,44.0,63.538,39.7,0.641,12,63,0
6.35,3.1,1.13,0,0,0.0,2,1.006,0.604,7.024,8,67,11,456.59,49.2,32,41.159,7,43.0,65.421,38.5,0.633,12,65,0
6.928,3.1,1.13,0,0,0.0,2,1.006,0.604,7.024,8,67,11,456.59,49.2,32,41.159,7,43.0,65.421,38.5,0.633,12,65,0
6.343,3.1,1.13,0,0,0.0,2,1.006,0.604,7.024,8,67,11,456.59,49.2,32,41.159,7,43.0,65.421,38.5,0.633,12,65,0
4.0,7.9,1.125,0,0,0.0,3,1.006,0.641,7.985,6,39,4,303.42,44.7,17,25.904,6,29.0,38.222,39.5,0.682,12,38,0
4.182,6.7,1.139,0,0,0.0,3,1.003,0.588,6.787,6,45,7,305.42,51.1,23,27.995,9,28.0,45.123,35.6,0.622,6,45,0
4.0,5.9,1.131,0,0,0.0,3,1.0,0.608,6.97,6,52,7,355.48,49.0,25,32.756,9,35.5,51.007,39.2,0.642,11,51,0
4.0,8.0,1.135,0,0,0.0,4,1.005,0.61,7.129,7,51,7,356.47,48.0,24,32.0,9,35.5,50.225,38.0,0.64,11,50,0
4.0,5.4,1.127,0,0,0.0,3,0.998,0.617,7.027,6,58,8,393.53,48.2,27,36.517,9,40.0,55.891,41.1,0.652,12,56,0
4.0,7.5,1.143,0,0,0.0,4,1.0,0.576,6.575,7,53,9,348.5,52.8,28,32.523,10,31.0,52.992,34.0,0.614,6,53,0
4.0,5.5,1.129,0,0,0.0,3,0.998,0.61,6.937,6,56,7,381.52,49.1,27,35.517,10,38.0,54.891,40.0,0.646,12,55,0
4.0,6.7,1.136,1,0,2.2,3,1.008,0.611,8.54,7,45,7,384.31,48.9,22,29.347,9,29.0,45.352,35.6,0.652,6,45,0
4.0,5.5,1.129,0,0,0.0,3,0.998,0.61,6.937,6,56,7,381.52,49.1,27,35.517,10,38.0,54.891,40.0,0.646,12,55,0
