pXC50,nCsp3,nH,Se,Si,nBT,nO,nAT,Mv,Sv,Sp,Mp,AMW,MW,C.,H.,Mi,nC,nSK,nBO,SCBO,Me,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nDB
5.699,1,16,43.407,47.87,46,1,43,0.699,30.037,31.387,0.73,8.778,377.47,48.8,37.2,1.113,21,27,30,42.5,1.009,7.0,23,0,24,0,0,0,20,1
5.35,1,15,40.033,44.428,43,0,40,0.702,28.074,29.449,0.736,8.671,346.84,50.0,37.5,1.111,20,25,28,39.5,1.001,10.0,23,0,23,0,1,0,19,0
5.35,11,37,75.629,85.763,80,3,76,0.614,46.68,49.574,0.652,6.944,527.73,40.8,48.7,1.128,31,39,43,55.0,0.995,6.6,22,0,23,0,0,0,20,1
5.0,4,14,40.345,44.081,41,2,39,0.708,27.598,29.404,0.754,12.274,478.68,43.6,35.9,1.13,17,25,27,34.0,1.034,5.1,12,0,13,0,1,0,13,1
7.013,11,35,76.654,86.442,80,3,76,0.624,47.447,49.449,0.651,7.417,563.71,40.8,46.1,1.137,31,41,45,57.0,1.009,6.6,22,0,23,0,0,0,20,1
6.699,8,28,65.901,73.698,69,3,65,0.644,41.845,43.159,0.664,7.794,506.6,43.1,43.1,1.134,28,37,41,53.0,1.014,6.2,22,0,23,0,0,0,20,1
5.469,3,20,48.465,53.571,51,4,48,0.659,31.643,32.682,0.681,7.842,376.44,45.8,41.7,1.116,22,28,31,42.0,1.01,4.2,22,0,22,0,0,0,19,0
5.0,3,19,48.789,53.515,51,4,48,0.676,32.471,33.54,0.699,8.56,410.88,45.8,39.6,1.115,22,29,32,43.0,1.016,4.2,22,0,22,0,1,0,19,0
5.0,4,22,52.676,58.196,55,5,52,0.652,33.885,34.898,0.671,7.817,406.47,44.2,42.3,1.119,23,30,33,44.0,1.013,3.8,22,0,22,0,0,0,19,0
6.194,3,19,47.683,52.654,50,4,47,0.663,31.138,31.926,0.679,8.03,377.43,44.7,40.4,1.12,21,28,31,42.0,1.015,6.4,22,0,22,0,0,0,18,0
7.201,7,26,64.385,71.073,67,6,63,0.652,41.058,41.818,0.664,8.057,507.56,42.9,41.3,1.128,27,37,41,53.0,1.022,4.8,22,0,23,0,0,0,20,1
6.509,8,29,64.429,71.94,68,5,64,0.633,40.487,42.188,0.659,7.431,475.59,42.2,45.3,1.124,27,35,39,50.0,1.007,4.7,22,0,22,0,0,0,19,0
6.137,6,26,61.436,68.398,65,4,61,0.651,39.74,41.216,0.676,7.714,470.57,44.3,42.6,1.121,27,35,39,52.0,1.007,6.6,22,0,24,0,0,0,21,2
5.854,3,21,53.567,59.069,57,4,53,0.673,35.665,36.688,0.692,8.066,427.49,47.2,39.6,1.115,25,32,36,49.5,1.011,5.7,27,0,27,0,0,0,22,0
5.444,4,23,57.182,62.823,59,6,56,0.657,36.808,38.006,0.679,8.385,469.56,41.1,41.1,1.122,23,33,36,49.0,1.021,5.4,22,0,24,0,0,0,19,2
6.824,4,23,57.182,62.823,59,6,56,0.657,36.808,38.006,0.679,8.385,469.56,41.1,41.1,1.122,23,33,36,49.0,1.021,5.4,22,0,24,0,0,0,19,2
6.959,7,27,63.872,70.734,67,6,63,0.646,40.675,41.881,0.665,7.771,489.57,42.9,42.9,1.123,27,36,40,52.0,1.014,4.8,22,0,23,0,0,0,20,1
6.921,7,26,63.018,70.283,66,3,62,0.65,40.318,41.398,0.668,7.945,492.57,43.5,41.9,1.134,27,36,40,52.0,1.016,6.5,22,0,23,0,0,0,20,1
6.523,10,33,70.861,79.933,76,3,71,0.629,44.627,47.052,0.663,7.207,511.68,42.3,46.5,1.126,30,38,43,55.0,0.998,7.0,22,0,23,0,0,0,20,1
5.7,7,21,42.989,48.571,45,2,43,0.614,26.422,28.426,0.661,7.43,319.47,37.2,48.8,1.13,16,22,24,31.5,1.0,7.0,11,0,13,0,0,0,9,2
6.5,5,20,57.378,63.377,58,3,55,0.67,36.846,36.955,0.672,9.228,507.55,38.2,36.4,1.152,21,35,38,50.0,1.043,12.7,18,0,21,0,0,0,16,3
5.854,8,29,66.429,73.94,70,5,66,0.644,42.487,44.188,0.67,7.57,499.61,43.9,43.9,1.12,29,37,41,53.5,1.006,4.5,23,0,24,0,0,0,21,1
5.658,8,28,64.614,72.07,68,4,64,0.643,41.155,42.671,0.667,7.65,489.59,43.8,43.8,1.126,28,36,40,51.5,1.01,4.7,23,0,23,0,0,0,20,0
7.027,10,31,69.232,78.193,74,1,69,0.637,43.964,46.018,0.667,7.473,515.66,43.5,44.9,1.133,30,38,43,54.5,1.003,7.2,23,0,23,0,0,0,20,0
5.377,9,31,66.985,75.145,71,4,67,0.631,42.299,44.495,0.664,7.248,485.63,43.3,46.3,1.122,29,36,40,51.5,1.0,4.5,23,0,23,0,0,0,20,0
5.032,8,28,64.614,72.07,68,4,64,0.643,41.155,42.671,0.667,7.65,489.59,43.8,43.8,1.126,28,36,40,51.5,1.01,4.7,23,0,23,0,0,0,20,0
6.358,11,34,72.643,81.849,78,3,73,0.632,46.132,48.807,0.669,7.16,522.7,43.8,46.6,1.121,32,39,44,56.5,0.995,5.5,23,0,24,0,0,0,21,1
6.284,8,29,66.505,73.86,70,5,66,0.647,42.674,44.835,0.679,7.874,519.67,42.4,43.9,1.119,28,37,41,54.5,1.008,4.5,23,0,25,0,0,0,20,2
5.7,5,29,72.163,80.394,78,2,72,0.674,48.561,50.972,0.708,8.163,587.76,45.8,40.3,1.117,33,43,49,66.5,1.002,9.7,33,0,34,0,0,0,28,1
6.0,5,29,72.163,80.394,78,2,72,0.674,48.561,50.972,0.708,8.163,587.76,45.8,40.3,1.117,33,43,49,66.5,1.002,9.7,33,0,34,0,0,0,28,1
5.0,9,31,71.716,79.484,75,6,71,0.647,45.915,48.051,0.677,7.911,561.71,42.3,43.7,1.119,30,40,44,58.5,1.01,4.2,23,0,26,0,0,0,21,3
5.0,8,28,66.941,74.279,70,5,66,0.65,42.87,44.125,0.669,7.842,517.6,43.9,42.4,1.125,29,38,42,54.5,1.014,4.5,23,0,24,0,0,0,21,1
5.538,7,27,63.545,70.524,67,5,63,0.65,40.96,42.426,0.673,7.708,485.58,44.4,42.9,1.119,28,36,40,52.5,1.009,4.8,23,0,24,0,0,0,21,1
6.481,11,35,75.821,85.268,81,3,76,0.636,48.34,51.461,0.677,7.497,569.79,42.1,46.1,1.122,32,41,46,60.5,0.998,6.6,23,0,26,0,0,0,21,3
5.0,8,29,64.101,71.73,68,4,64,0.637,40.772,42.733,0.668,7.369,471.6,43.8,45.3,1.121,28,35,39,50.5,1.002,4.7,23,0,23,0,0,0,20,0
6.284,10,31,70.272,78.774,75,3,70,0.643,44.988,46.983,0.671,7.524,526.66,44.3,44.3,1.125,31,39,44,56.5,1.004,5.7,23,0,24,0,0,0,21,1
