pXC50,SCBO,MW,nSK,nBO,nCsp3,nO,nCsp2,AMW,C.,H.,Me
7.409,41.5,449.32,27,29,1,3,14,11.233,40.0,32.5,1.036
7.398,41.5,388.42,27,29,1,3,14,9.71,40.0,32.5,1.043
4.891,25.0,255.27,17,18,1,5,9,9.818,38.5,34.6,1.052
4.921,24.0,241.24,16,17,0,5,9,10.489,39.1,30.4,1.064
4.097,60.0,647.51,42,45,3,8,20,11.773,41.8,23.6,1.106
4.262,41.0,436.95,29,31,6,5,14,8.739,40.0,42.0,1.022
5.287,44.0,462.0,31,34,9,5,14,8.4,41.8,43.6,1.013
4.983,42.0,426.93,30,33,8,4,15,8.055,43.4,43.4,1.01
4.354,44.0,446.54,31,34,8,5,14,8.269,40.7,42.6,1.021
7.301,33.0,349.49,24,27,11,4,7,7.436,38.3,48.9,1.004
4.606,44.0,442.58,31,34,9,5,14,7.765,40.4,45.6,1.009
4.262,43.0,428.55,30,33,8,5,14,7.936,40.7,44.4,1.012
5.203,44.0,462.99,31,34,8,5,14,8.574,40.7,42.6,1.018
4.076,26.0,272.42,20,23,12,2,6,6.191,40.9,54.5,0.983
9.125,37.0,360.47,25,29,9,4,9,8.01,40.0,44.4,1.012
6.854,36.0,377.5,26,30,12,5,7,7.704,38.8,46.9,1.011
6.553,30.0,325.42,22,24,8,5,7,7.937,36.6,46.3,1.019
6.721,36.0,345.4,24,26,2,5,15,8.856,43.6,38.5,1.026
5.79,35.0,331.37,23,25,1,5,15,9.205,44.4,36.1,1.031
7.208,34.0,333.41,22,24,0,4,15,10.103,45.5,33.3,1.03
8.252,28.0,313.43,20,21,4,4,9,8.955,37.1,42.9,1.021
5.199,31.0,323.4,22,24,6,5,9,8.292,38.5,43.6,1.023
5.79,37.0,343.38,24,26,0,5,17,9.281,45.9,35.1,1.03
6.141,27.0,283.33,19,20,3,5,9,8.854,37.5,40.6,1.035
7.347,37.0,407.58,28,30,12,5,9,7.151,36.8,50.9,1.003
5.588,33.0,319.36,22,24,2,5,13,9.125,42.9,37.1,1.032
7.347,32.0,337.43,23,25,7,5,9,8.034,38.1,45.2,1.018
7.658,28.0,297.36,20,21,4,5,9,8.496,37.1,42.9,1.029
6.173,34.0,317.34,22,24,0,5,15,9.616,45.5,33.3,1.037
4.0,27.0,283.33,19,20,3,5,9,8.854,37.5,40.6,1.035
7.959,36.0,361.45,25,29,9,5,9,8.215,40.9,43.2,1.017
7.301,31.0,323.4,22,24,6,5,9,8.292,38.5,43.6,1.023
6.36,34.0,317.34,22,24,0,5,15,9.616,45.5,33.3,1.037
6.395,33.0,367.51,25,26,9,5,9,7.35,36.0,50.0,1.008
7.108,35.0,395.57,27,28,11,5,9,7.064,35.7,51.8,1.003
6.536,35.0,379.52,26,30,13,5,6,7.442,37.3,49.0,1.008
7.208,31.0,323.4,22,24,6,5,9,8.292,38.5,43.6,1.023
4.292,27.0,270.4,20,23,11,2,7,6.438,42.9,52.4,0.985
6.222,34.0,396.6,27,30,18,5,3,6.722,35.6,54.2,0.997
6.721,37.0,375.48,26,30,10,5,9,7.989,40.4,44.7,1.014
6.77,29.0,327.44,22,23,8,5,7,7.615,34.9,48.8,1.015
4.432,36.0,398.51,27,30,12,4,8,7.814,39.2,47.1,1.018
4.796,37.5,372.46,27,31,12,1,8,7.601,40.8,44.9,1.012
6.076,38.0,441.44,28,32,13,2,12,7.745,43.9,50.9,0.985
5.703,31.0,342.57,25,28,17,2,6,5.806,39.0,57.6,0.978
6.108,33.0,370.63,27,30,19,2,6,5.702,38.5,58.5,0.976
6.959,38.0,396.99,28,32,13,2,12,6.965,43.9,50.9,0.987
6.959,39.0,392.58,29,33,14,3,12,6.436,42.6,52.5,0.986
6.0,36.0,412.72,30,33,22,2,6,5.577,37.8,59.5,0.974
6.357,34.0,384.66,28,31,20,2,6,5.657,38.2,58.8,0.975
5.249,32.0,344.49,25,28,14,4,7,6.5,39.6,52.8,0.994
7.62,38.0,441.44,28,32,13,2,12,7.745,43.9,50.9,0.985
6.032,32.0,356.6,26,29,18,2,6,5.752,38.7,58.1,0.977
8.854,47.0,497.76,35,39,17,4,12,6.726,39.2,52.7,0.99
7.097,34.0,364.51,25,28,11,4,7,7.439,36.7,49.0,1.006
5.991,40.0,372.54,28,32,12,2,12,6.652,46.4,50.0,0.983
6.194,39.0,431.43,29,33,13,2,12,7.569,43.9,49.1,0.992
6.208,38.0,376.58,28,32,14,2,12,6.276,43.3,53.3,0.98
7.658,49.0,468.68,35,40,14,3,18,6.601,45.1,50.7,0.984
