pXC50,Eta_beta,CATS2D_08_DD,P_VSA_e_3,Eig07_AEA.bo.,Eta_FL,D.Dtr09,TPSA.Tot.,Eta_betaP,DECC,P_VSA_m_2,CATS2D_08_DP,Eig07_EA.bo.,Ui,SpMax3_Bh.p.,X0sol,SpMax3_Bh.v.,Eig08_AEA.bo.,Eig09_EA.ed.,SM04_AEA.ri.,Eta_F,SpMax2_Bh.i.,Eig07_EA,SM15_AEA.bo.,CATS2D_06_DL,Vindex,UNIP,H.050,nHDon,Eig09_AEA.dm.,SssNH,SMTIV,SMTI,Eig09_AEA.ri.,Eig09_EA.ri.,Xindex,Eig09_EA,SM03_AEA.dm.,ZM2Mad,MSD,LPRS,P_VSA_MR_6,GMTI,nBM,Uc,Chi0_EA.dm.,X3sol,Eig08_EA.ri.,Hy,Eig07_AEA.ri.,SpMax2_Bh.e.,Eig09_AEA.bo.,Yindex,Eig08_AEA.ri.,piPC01,SCBO,Eig15_AEA.dm.,CATS2D_05_DL,X0,Eig08_AEA.dm.,Eig06_AEA.bo.,SpMax3_Bh.m.,N.069,Eig08_EA.bo.,IDE,Chi1_EA.dm.,SpMax6_Bh.m.,X4sol,Eig08_EA,SM02_AEA.dm.
5.2,40.5,0,50.357,2.997,8.054,0.0,77.85,23.5,1.451,198.474,0,2.177,3.755,3.747,18.221,3.748,2.727,2.575,2.575,29.792,3.916,1.527,1.527,0,0.203,97.0,1,1,1.172,0.0,14750.0,8183.0,2.0,1.0,0.312,1.0,1.0,204.305,6.08,132.502,124.938,8549.0,24,4.644,4.368,10.274,1.139,-0.346,2.455,3.902,2.5,0.579,2.169,3.773,42.5,0.301,2,18.803,1.488,3.253,3.785,0,1.772,3.463,2.498,2.853,8.451,1.23,1.23
5.2,38.25,0,68.122,2.887,7.668,0.0,50.7,22.5,1.856,203.188,0,2.053,3.644,3.757,17.562,3.758,2.777,2.575,2.575,25.535,3.913,1.44,1.44,1,0.197,89.0,1,1,1.076,3.323,12027.0,7000.0,2.0,1.0,0.306,1.013,1.013,171.363,6.034,120.213,111.679,7458.0,23,4.585,18.364,9.415,1.26,-0.356,2.382,3.883,2.5,0.551,2.267,3.701,39.5,-0.429,3,17.062,1.288,3.274,3.787,0,1.913,3.486,28.435,3.047,7.811,1.281,1.281
5.2,48.25,0,57.585,3.493,9.39,0.0,80.65,23.0,2.479,245.668,0,2.652,3.7,3.737,27.407,3.734,3.333,4.897,4.897,40.967,4.073,2.149,2.149,6,0.142,207.0,2,2,2.106,6.053,36729.0,24443.0,2.794,1.783,0.228,1.8,1.8,263.768,8.816,220.011,127.603,26024.0,23,4.585,36.989,13.957,1.887,0.111,3.117,4.037,3.228,0.379,2.913,4.025,55.0,1.078,9,27.407,2.177,3.541,3.743,0,2.516,4.051,47.755,3.392,11.568,1.937,1.937
5.0,29.75,0,38.636,2.872,5.645,0.0,50.36,14.0,1.485,132.485,0,1.964,3.0,3.788,18.234,3.775,2.82,2.393,2.393,21.203,3.945,1.519,1.519,1,0.234,83.0,2,2,1.85,4.968,13255.0,6676.0,2.022,0.999,0.36,1.065,1.065,229.623,5.899,119.967,84.187,6836.0,13,3.807,16.843,8.734,1.226,0.352,2.474,3.897,2.241,0.661,2.33,3.555,34.0,-0.151,1,17.974,1.985,3.169,3.88,0,1.946,3.422,19.271,3.249,7.314,1.414,1.414
6.495,38.5,0,37.921,3.28,7.992,112.239,107.35,19.0,1.676,162.55,0,2.337,3.585,3.575,20.543,3.597,3.14,4.374,4.374,34.045,3.984,1.984,1.984,7,0.206,110.0,4,4,1.725,5.311,18846.0,10334.0,2.468,1.437,0.317,1.504,1.504,211.714,6.348,151.732,122.524,10591.0,19,4.322,18.321,10.929,1.702,1.631,2.966,3.956,2.936,0.589,2.704,3.807,44.0,0.735,5,21.413,2.1,3.4,3.684,0,2.26,3.541,20.101,2.972,9.462,1.687,1.687
6.8,27.0,0,36.315,2.589,4.942,0.0,70.68,13.0,1.017,119.223,0,1.589,3.087,3.504,15.992,3.46,2.49,2.293,2.293,19.584,3.927,1.321,1.321,2,0.293,59.0,1,1,1.096,3.283,6560.0,4072.0,1.935,0.932,0.43,0.97,0.97,203.207,4.523,97.41,38.311,4109.0,13,3.807,17.457,9.602,1.218,-0.265,2.252,3.886,2.361,0.901,2.243,3.481,31.5,-0.963,0,15.742,1.275,2.769,3.61,0,1.485,2.953,25.392,2.979,8.565,1.268,1.268
6.2,48.5,0,105.907,3.338,9.603,159.647,137.59,24.5,1.954,225.7,0,2.514,3.7,3.749,23.13,3.736,3.181,4.807,4.807,44.312,4.013,1.998,1.998,3,0.176,156.0,3,3,1.978,8.172,33557.0,16985.0,2.592,1.542,0.278,1.652,1.652,292.737,7.658,189.229,88.917,17627.0,21,4.459,36.58,12.471,1.712,0.962,2.956,4.0,2.987,0.482,2.756,3.932,50.0,0.755,0,25.38,2.162,3.637,3.879,0,2.374,3.807,61.621,3.277,9.722,1.778,1.778
5.5,62.25,0,90.789,3.646,12.231,0.0,124.92,33.0,2.852,294.646,0,2.944,4.209,3.849,29.365,3.849,3.443,5.07,5.07,51.415,4.003,2.3,2.3,2,0.112,238.0,2,2,2.25,6.381,53511.0,33514.0,2.892,1.854,0.18,1.899,1.899,316.622,9.626,250.255,174.591,37147.0,34,5.129,30.357,16.773,1.942,0.114,3.272,3.962,3.309,0.297,2.998,4.212,66.5,1.256,2,29.012,2.321,3.732,3.875,0,2.736,4.204,47.09,3.554,15.064,2.055,2.055
5.4,28.5,0,95.637,2.544,5.375,75.218,93.45,16.0,1.25,138.083,0,1.5,3.322,3.31,15.466,3.32,2.5,1.832,1.832,16.936,3.885,1.0,1.0,0,0.252,59.0,2,2,0.928,0.0,7291.0,3650.0,1.545,0.572,0.386,0.688,0.688,185.292,5.04,88.066,70.305,3709.0,17,4.17,10.938,8.708,0.934,0.41,2.0,3.868,2.106,0.715,1.958,3.466,31.0,-1.0,0,14.113,1.0,2.997,3.748,0,1.467,3.195,11.167,2.886,6.968,1.0,1.0
6.3,42.5,0,60.955,3.253,8.472,0.0,47.53,19.5,2.129,188.279,0,2.397,3.322,3.684,21.709,3.702,3.021,4.332,4.332,33.528,3.962,2.028,2.028,1,0.153,151.0,1,1,1.856,3.273,25949.0,15330.0,2.563,1.485,0.243,1.629,1.629,250.909,7.649,175.717,100.738,16477.0,18,4.248,28.849,12.329,1.622,-0.322,2.937,3.926,2.998,0.413,2.66,3.85,46.0,0.954,2,22.949,2.175,3.392,3.793,0,2.197,3.845,43.234,3.316,10.046,1.708,1.708
