pXC50,RBN,nSK
6.0,8,41
6.523,5,30
4.638,5,31
6.222,5,31
6.349,5,29
6.237,5,30
5.319,4,31
6.0,5,33
7.398,7,34
7.301,6,32
7.301,5,34
5.523,4,31
4.602,5,28
6.211,6,35
5.523,4,29
6.585,6,34
6.018,8,37
6.455,6,30
6.014,8,37
5.752,9,42
7.8,5,36
6.18,5,34
5.0,4,34
5.0,6,31
5.0,4,32
5.0,4,30
5.0,4,33
7.921,5,36
6.456,4,33
5.0,4,34
6.42,7,36
5.0,4,34
6.569,6,35
5.0,4,32
6.174,6,35
5.0,6,32
6.62,4,35
6.229,4,32
5.0,4,34
6.854,5,36
5.602,4,34
5.886,6,39
6.569,6,35
5.721,4,34
5.0,6,32
6.149,4,35
5.0,4,30
5.678,4,33
5.301,7,32
5.0,7,29
7.201,5,34
5.523,6,30
6.301,5,33
8.398,6,33
5.777,9,42
6.0,8,41
6.854,6,37
5.0,6,33
5.824,6,30
