pXC50,SpMax1_Bh.v.,piPC06,piPC07,Eta_betaP,Eta_F,piPC09,piPC10,Ui,SpMax1_Bh.p.,piPC08,SpMax2_Bh.m.,AMR,ATS4v,SpMax2_Bh.p.,Eta_beta,Eta_FL,PCD,piPC03,piPC04,piPC05,Eig07_AEA.bo.,Eig07_EA.bo.,P_VSA_m_2,SM03_AEA.bo.,Eig11_AEA.dm.,GGI8,Chi0_EA.ri.,Eig01_EA.ri.,Eta_alpha,SpDiam_EA.ri.,SpMax_EA.ri.,S0K,NaasC,SM06_EA.bo.,Eig04_AEA.ed.,Eig01_EA.bo.,Eig02_EA.bo.,SM11_AEA.ri.,SM12_AEA.ri.,SpAD_AEA.dm.,SpDiam_EA.bo.,SpMax7_Bh.m.,SpMax_EA.bo.,X0sol,Eta_betaP_A,piID,SM05_EA.bo.,SpMAD_AEA.dm.,ATS5v,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,SpMax8_Bh.m.,X1v,Eig12_AEA.dm.,Eig10_AEA.bo.,SM02_AEA.bo.,SM07_EA.bo.
5.421,3.907,5.6,5.959,16.0,21.562,6.437,6.484,3.17,3.897,6.274,3.774,88.758,3.833,3.787,30.0,5.71,1.865,4.549,5.083,5.558,2.636,1.637,132.118,5.909,1.0,0.098,15.963,3.31,10.967,5.31,3.31,78.042,2,9.055,4.992,3.87,3.464,3.87,3.464,38.696,6.87,2.687,3.87,16.234,0.696,8.651,7.106,1.548,3.911,13.243,14.438,15.606,16.797,17.98,2.687,8.017,0.489,2.286,4.745,9.818
6.046,4.018,6.441,6.865,19.0,29.841,7.691,7.97,3.524,4.068,7.236,4.036,93.418,3.809,3.921,35.0,6.997,3.246,4.893,5.471,6.023,3.007,2.178,167.794,6.256,0.898,0.594,16.825,3.105,12.057,5.105,3.105,107.457,6,10.101,5.773,4.663,4.287,4.663,4.287,43.968,7.663,2.687,4.663,16.863,0.731,10.375,8.357,1.57,3.739,13.134,14.249,15.331,16.441,17.539,2.687,8.977,0.51,2.489,4.958,11.35
6.523,4.001,6.391,6.821,19.0,28.4,7.634,7.877,3.524,4.078,7.191,4.026,86.273,3.7,3.914,35.0,7.044,3.286,4.87,5.452,5.995,2.835,1.947,147.61,6.183,1.0,0.529,16.681,3.056,11.557,5.056,3.056,108.096,6,10.052,5.773,4.663,4.259,4.663,4.259,43.66,7.663,2.687,4.663,15.992,0.76,10.351,8.286,1.617,3.645,12.727,13.83,14.889,15.985,17.063,2.629,8.952,0.666,2.311,4.907,11.294
6.509,4.0,6.33,6.776,19.0,26.655,7.549,7.819,3.524,4.078,7.12,4.021,86.057,3.685,3.914,34.25,6.84,3.258,4.835,5.423,5.952,2.708,1.781,147.965,6.136,0.873,0.43,16.171,3.053,11.271,5.053,3.053,102.039,5,10.012,5.764,4.663,4.254,4.663,4.254,41.878,7.663,2.66,4.663,15.992,0.792,10.217,8.229,1.611,3.635,12.701,13.807,14.867,15.964,17.043,2.625,8.852,0.656,2.275,4.869,11.255
6.347,4.003,6.441,6.865,19.0,28.555,7.691,7.97,3.524,4.079,7.236,4.734,94.569,3.742,3.93,35.5,6.796,3.246,4.893,5.471,6.023,3.007,2.178,141.189,6.256,1.0,0.594,17.135,3.089,12.89,5.089,3.089,111.457,6,10.101,5.773,4.663,4.287,4.663,4.287,44.85,7.663,2.687,4.663,17.863,0.731,10.375,8.357,1.602,3.681,12.883,13.99,15.058,16.159,17.245,2.631,9.837,0.666,2.489,4.958,11.35
7.301,4.002,6.473,6.914,19.5,31.543,7.73,8.013,3.524,4.078,7.287,4.032,92.736,3.826,3.914,37.0,7.543,3.331,4.937,5.515,6.052,2.853,1.979,154.26,6.241,1.0,0.572,18.213,3.066,12.39,5.066,3.066,124.382,7,10.114,5.842,4.663,4.276,4.663,4.276,46.811,7.663,2.816,4.663,17.57,0.722,10.583,8.361,1.614,3.76,12.821,13.921,14.98,16.074,17.152,2.631,9.481,0.878,2.324,4.965,11.364
6.921,4.002,6.391,6.821,19.0,27.643,7.634,7.877,3.524,4.078,7.191,4.062,90.861,3.716,3.922,35.0,6.913,3.286,4.87,5.452,5.995,2.835,1.947,141.99,6.183,1.0,0.529,16.755,3.054,11.986,5.054,3.054,108.096,6,10.052,5.773,4.663,4.259,4.663,4.259,43.672,7.663,2.687,4.663,17.363,0.76,10.351,8.286,1.617,3.656,12.712,13.817,14.876,15.973,17.052,2.63,9.33,0.666,2.311,4.907,11.294
7.097,4.005,6.4,6.854,19.0,25.986,7.65,7.903,3.524,4.08,7.202,4.734,93.679,3.796,3.931,34.75,6.672,3.216,4.893,5.493,6.02,2.757,1.835,141.544,6.183,1.0,0.504,16.822,3.088,12.605,5.088,3.088,108.096,6,10.092,5.819,4.663,4.411,4.663,4.411,43.8,7.663,2.687,4.663,17.863,0.76,10.245,8.319,1.622,3.744,12.792,13.906,14.98,16.087,17.178,2.656,9.757,0.772,2.5,4.907,11.359
5.092,4.009,6.446,6.896,19.0,29.029,7.718,7.996,3.524,4.08,7.25,4.03,100.247,3.922,3.942,35.75,6.796,3.323,4.915,5.49,6.028,2.892,2.012,159.325,6.235,1.0,0.641,17.826,3.062,12.771,5.062,3.062,118.382,6,10.073,5.843,4.663,4.26,4.663,4.26,47.011,7.663,2.687,4.663,18.44,0.704,10.575,8.312,1.621,3.83,12.881,13.978,15.034,16.124,17.197,2.631,10.206,0.89,2.482,4.965,11.315
7.357,4.004,6.4,6.854,19.0,27.826,7.65,7.903,3.524,4.079,7.202,4.123,90.861,3.776,3.922,35.0,6.943,3.216,4.893,5.493,6.02,2.757,1.835,141.99,6.183,1.0,0.504,16.805,3.102,11.986,5.102,3.102,108.096,6,10.092,5.819,4.663,4.411,4.663,4.411,43.831,7.663,2.687,4.663,17.363,0.76,10.245,8.319,1.623,3.724,12.827,13.944,15.022,16.133,17.229,2.654,9.342,0.774,2.5,4.907,11.359
