pXC50,ATS4e,ATS4i,ATSC4v,P_VSA_LogP_2,P_VSA_LogP_5,P_VSA_MR_5,SpMax2_Bh.i.,SpMax6_Bh.m.,SpMin2_Bh.m.,SpMin2_Bh.p.,SpMin2_Bh.v.,SpMax4_Bh.p.,SpMax8_Bh.m.,SpMin2_Bh.e.,SpMin2_Bh.i.,MATS7i,Eig01_AEA.ed.,Eig01_EA.ed.,Eig03_EA.ri.,Eig09_EA.ed.,Eig10_AEA.ed.,GATS3e,GATS7p,MATS7p,P_VSA_m_2,SM04_AEA.ri.,SM08_EA.ed.,SM09_EA.ed.,SM10_AEA.dm.,SM10_EA.ed.,SM11_EA.ed.,SM12_EA.ed.,SM13_EA.ed.,SM14_EA.ed.,SM15_EA.ed.,SpDiam_EA.ed.,SpMax_AEA.ed.,SpMax_EA.ed.,X3v,X5v,SpMax3_Bh.i.,MATS8p,nN,ATS1e,ATS1i,ATS1p,ATS1v,ATS2e,ATS2i,ATS2p,ATS2v,ATS3e,ATS3i,ATS3p,ATS3v,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m
4.0,4.442,4.799,7.292,4.64,0.0,4.64,3.615,2.178,1.745,1.761,1.75,2.618,1.762,1.502,1.449,0.128,6.446,10.155,1.656,-4.467,1.0,0.951,0.405,0.066,30.739,-4.467,18.585,20.865,10.155,23.195,25.499,27.821,30.134,32.453,34.77,16.257,6.446,10.155,1.258,0.278,3.143,0.448,1,3.343,3.485,2.606,2.583,3.905,4.148,2.988,2.94,4.206,4.419,3.235,3.067,3.111,5.492,2.91,3.986,4.22,2.358
6.42,5.365,5.702,21.779,73.182,0.0,82.007,3.891,3.33,2.03,1.988,2.023,3.467,2.972,1.812,1.741,0.103,6.457,10.207,2.184,1.915,2.939,0.805,0.856,0.041,112.382,1.915,18.688,20.947,10.207,23.278,25.576,27.899,30.212,32.534,34.852,16.407,6.457,10.207,4.931,2.084,3.805,-0.005,3,4.307,4.471,3.698,3.614,4.926,5.18,4.093,3.945,5.261,5.556,4.281,4.066,4.256,6.053,4.042,5.239,5.533,3.789
4.0,3.51,3.661,2.573,0.0,3.186,0.0,3.459,1.803,1.357,1.6,1.517,2.626,1.039,1.303,1.323,0.29,6.283,9.186,1.767,-3.0,1.0,0.734,0.602,0.227,47.134,-3.0,17.854,19.943,9.186,22.229,24.386,26.636,28.826,31.059,33.263,15.613,6.283,9.186,1.324,0.442,2.925,0.734,0,3.024,3.072,2.541,2.587,3.372,3.427,2.818,2.858,3.618,3.718,2.827,2.859,2.551,5.061,2.574,3.247,3.398,2.408
5.292,4.495,4.871,7.625,37.537,0.0,37.537,3.642,2.256,1.773,1.781,1.778,2.618,1.769,1.521,1.457,0.089,6.446,10.155,1.694,-4.467,1.0,0.856,0.415,0.066,63.636,-4.467,18.585,20.865,10.155,23.195,25.499,27.821,30.134,32.453,34.77,16.257,6.446,10.155,1.311,0.278,3.217,0.457,2,3.37,3.537,2.64,2.602,3.932,4.193,3.034,2.962,4.232,4.471,3.29,3.1,3.19,5.357,2.96,4.053,4.325,2.389
4.323,5.432,5.747,24.368,42.229,0.0,51.055,3.891,3.296,2.062,1.987,2.022,3.484,2.955,1.83,1.77,0.02,7.175,12.628,2.342,1.99,3.228,1.11,0.926,0.008,68.757,1.99,20.488,22.962,12.628,25.486,27.991,30.514,33.032,35.557,38.082,20.112,7.175,12.628,5.994,2.938,3.799,0.025,1,4.32,4.469,3.735,3.653,4.967,5.198,4.153,4.024,5.339,5.612,4.359,4.168,4.367,6.147,4.165,5.363,5.643,3.788
4.0,4.322,4.459,7.47,9.185,35.805,12.601,3.891,2.927,1.755,1.773,1.766,3.238,2.682,1.583,1.59,0.068,6.308,9.336,2.172,1.895,3.179,0.893,0.835,0.108,115.678,1.895,18.665,20.764,9.336,23.049,25.216,27.469,29.668,31.907,34.121,15.9,6.308,9.336,4.313,1.763,3.597,-0.003,0,3.76,3.817,3.388,3.367,4.231,4.314,3.731,3.696,4.427,4.556,3.754,3.698,3.66,5.525,3.583,4.334,4.513,3.511
5.0,5.605,5.898,33.959,69.902,20.067,81.851,3.973,3.389,2.069,2.031,2.044,3.678,3.138,1.932,1.902,-0.094,6.532,10.323,2.627,3.072,3.555,0.815,1.073,-0.092,132.461,3.072,19.105,21.288,10.323,23.629,25.886,28.21,30.501,32.822,35.13,17.057,6.532,10.323,9.435,5.907,3.903,-0.021,2,4.51,4.656,4.028,3.943,5.164,5.381,4.479,4.339,5.538,5.822,4.683,4.493,4.706,6.202,4.501,5.647,5.943,4.267
4.513,4.742,4.946,12.549,17.426,30.804,32.916,3.915,2.891,1.997,1.968,1.977,3.551,2.809,1.848,1.808,-0.082,6.669,10.733,2.39,2.679,3.445,1.015,0.954,-0.058,159.895,2.679,19.338,21.578,10.733,23.963,26.268,28.636,30.972,33.335,35.686,17.871,6.669,10.733,5.609,3.013,3.877,-0.032,3,3.971,4.075,3.584,3.537,4.512,4.667,3.952,3.883,4.768,4.985,4.034,3.935,4.029,5.736,3.912,4.743,4.945,4.019
4.0,4.863,5.067,12.601,17.426,47.734,22.446,3.92,3.059,1.997,1.985,1.987,3.357,2.835,1.876,1.85,0.007,6.669,10.733,2.419,2.679,3.547,0.951,1.036,-0.043,175.702,2.679,19.361,21.594,10.733,23.976,26.278,28.643,30.978,33.34,35.69,17.872,6.669,10.733,5.004,2.371,3.886,-0.18,3,4.063,4.164,3.57,3.568,4.604,4.761,3.933,3.912,4.832,5.033,4.038,3.987,3.991,5.91,3.948,4.867,5.084,3.938
4.0,4.716,4.919,9.345,22.222,58.358,34.515,3.945,3.199,1.997,1.98,1.985,3.313,2.727,1.899,1.877,0.053,7.116,11.691,2.485,2.802,3.587,0.609,0.899,0.015,170.741,2.802,20.345,22.728,11.691,25.192,27.615,30.068,32.506,34.956,37.4,19.008,7.116,11.691,5.339,2.275,3.881,-0.04,3,3.936,4.034,3.56,3.542,4.466,4.596,3.938,3.911,4.63,4.801,3.969,3.924,3.9,6.023,3.882,4.612,4.806,4.018
