pXC50,D.Dtr07,PDI,X5A,H.047,nR07,ATSC7s,SpDiam_EA.ri.,nHM,SpMax2_Bh.m.,P_VSA_m_4,H.051,C.006,GATS7m,P_VSA_i_1,PW5,Eig01_EA.ri.,SpMax_EA.ri.,SpDiam_EA.ed.,RBF,X4A,Eig01_AEA.ed.,SpMax_AEA.ed.,Chi1_EA.dm.,TPSA.Tot.,SpDiam_EA,ATSC7m,SM14_AEA.ed.,SM11_EA.ed.,SM12_EA.ed.,SM13_EA.ed.,GATS5v,SM14_EA.ed.,SM15_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,SM10_EA.ed.,SM12_AEA.ed.,CATS2D_05_NL,ATSC7e,piPC04,SM08_EA.bo.,GATS6i,SM06_EA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SM08_EA.ed.,SpMin5_Bh.i.,SM10_AEA.ed.,SpMin3_Bh.s.,SM13_AEA.ed.,MPC06,SpMax3_Bh.m.,Xindex,ATSC7p,ATSC8s,nCrs,SM15_AEA.ed.,SpDiam_AEA.bo.,LOC,MWC09,MWC10,SM09_EA.ed.,piPC05,piPC06,MATS2m,CATS2D_02_AN
6.377,0.0,0.876,0.096,9,0,74.9,4.821,1,3.726,38.564,1,2,1.249,38.564,0.082,2.821,2.821,14.767,0.188,0.139,6.05,6.05,6.355,105.2,4.825,18.786,25.37,23.819,26.004,28.128,0.967,30.299,32.442,2.825,2.825,2.825,21.731,21.829,1,0.372,4.153,10.581,1.076,13.354,8.685,8.685,8.685,17.501,0.85,18.311,0.789,23.597,3.135,3.532,0.603,5.213,31.404,0,27.147,4.937,2.297,9.918,10.729,19.513,4.579,4.231,-0.14,0
8.092,101.736,0.888,0.085,10,1,114.878,4.973,1,3.803,38.564,0,1,1.309,38.564,0.096,2.973,2.973,17.459,0.12,0.125,6.593,6.593,17.277,125.51,5.085,30.815,26.744,25.801,28.146,30.442,0.969,32.778,35.093,3.085,3.085,3.085,23.545,23.063,2,0.606,4.55,10.933,0.929,14.554,10.348,10.348,10.348,18.999,1.27,19.409,1.14,24.9,4.043,3.701,0.432,9.081,101.699,5,28.593,5.186,1.051,10.709,11.564,21.175,4.923,4.685,-0.006,1
7.538,107.465,0.904,0.077,9,1,124.809,5.446,1,3.876,38.564,0,1,1.256,38.564,0.101,3.446,3.446,22.356,0.109,0.114,7.721,7.721,24.045,125.51,5.569,35.755,28.697,29.287,31.948,34.606,1.015,37.267,39.927,3.569,3.569,3.569,26.637,24.659,3,0.683,4.697,11.256,0.93,16.134,14.321,14.321,14.321,21.349,1.378,20.654,1.214,26.675,4.369,3.716,0.354,10.401,105.912,7,30.724,5.594,0.979,11.136,12.041,23.974,5.072,4.9,-0.017,1
7.921,105.907,0.878,0.083,9,1,111.328,5.311,1,3.824,38.564,0,1,1.228,38.564,0.097,3.311,3.311,20.782,0.113,0.122,7.413,7.413,24.045,125.51,5.447,32.887,28.166,28.16,30.719,33.267,0.987,35.825,38.379,3.447,3.447,3.447,25.627,24.223,2,0.577,4.601,11.158,0.84,15.603,12.914,12.914,12.914,20.571,1.294,20.313,1.162,26.191,4.111,3.706,0.439,9.774,112.134,4,30.147,5.463,1.052,10.887,11.765,23.063,4.966,4.721,0.05,1
6.651,0.0,0.845,0.089,5,0,46.578,4.824,1,3.681,38.564,2,2,1.698,38.564,0.081,2.941,2.941,17.292,0.115,0.129,6.607,6.607,8.254,96.41,5.013,13.844,26.502,25.771,28.132,30.461,1.084,32.812,35.149,3.072,3.072,3.072,23.461,22.758,0,0.229,3.497,9.864,0.863,14.227,10.416,10.416,10.416,18.814,0.631,19.031,0.915,24.628,2.833,3.244,0.72,2.83,15.043,3,28.378,5.122,1.793,10.028,10.886,21.077,3.434,3.091,-0.087,1
10.0,0.0,0.897,0.074,6,0,134.481,5.119,1,3.781,32.22,3,1,1.338,32.22,0.109,3.119,3.119,18.944,0.137,0.113,6.852,6.852,16.069,99.98,5.22,44.273,27.36,26.896,29.321,31.711,1.163,34.13,36.534,3.22,3.22,3.22,24.534,23.585,3,0.763,4.901,11.672,1.163,15.117,11.338,11.338,11.338,19.786,1.384,19.832,1.211,25.47,4.29,3.611,0.495,13.355,65.033,5,29.254,5.483,1.359,10.952,11.845,22.088,5.341,5.483,0.173,1
10.0,0.0,0.909,0.076,6,0,84.776,5.041,2,3.782,77.712,0,1,1.063,38.564,0.096,3.041,3.041,18.155,0.108,0.121,6.713,6.713,13.604,96.41,5.143,27.701,26.909,26.24,28.629,30.974,0.984,33.354,35.715,3.143,3.143,3.143,23.925,23.169,3,0.446,4.662,11.425,1.001,14.684,10.791,10.791,10.791,19.263,1.042,19.453,1.067,25.037,3.932,3.583,0.496,9.19,62.527,5,28.786,5.376,1.148,10.653,11.531,21.511,5.037,5.116,0.044,1
10.678,0.0,0.905,0.08,7,0,78.836,4.994,1,3.802,32.22,3,1,0.87,32.22,0.093,2.994,2.994,17.637,0.143,0.122,6.619,6.619,13.681,99.98,5.089,23.466,26.658,25.893,28.257,30.579,1.075,32.935,35.272,3.089,3.089,3.089,23.603,22.953,4,0.427,4.662,11.192,0.995,14.49,10.493,10.493,10.493,18.998,1.301,19.279,1.088,24.803,3.97,3.609,0.45,8.1,66.86,5,28.52,5.27,1.317,10.632,11.498,21.216,5.082,5.188,0.131,1
10.0,0.0,0.886,0.076,7,0,78.686,5.248,1,3.789,32.22,0,1,1.21,32.22,0.091,3.248,3.248,18.839,0.137,0.115,7.061,7.061,20.013,99.98,5.302,39.336,27.869,27.258,29.68,32.08,1.01,34.498,36.907,3.302,3.302,3.302,24.876,24.027,3,0.378,4.744,11.561,1.089,15.377,11.4,11.4,11.4,20.099,1.303,20.202,1.187,25.946,4.174,3.665,0.474,13.524,101.55,5,29.795,5.42,1.469,10.896,11.777,22.44,5.167,5.253,0.185,1
10.097,0.0,0.909,0.079,6,0,89.772,5.043,2,3.777,77.712,0,1,1.397,38.564,0.102,3.043,3.043,18.164,0.108,0.117,6.716,6.716,13.138,96.41,5.146,31.185,26.915,26.261,28.651,30.999,0.93,33.381,35.744,3.146,3.146,3.146,23.943,23.172,3,0.488,4.662,11.426,0.976,14.692,10.811,10.811,10.811,19.276,1.041,19.455,1.066,25.041,3.892,3.615,0.502,9.479,74.137,5,28.793,5.382,1.148,10.661,11.537,21.528,5.079,5.017,0.044,1
10.678,0.0,0.907,0.08,7,0,73.691,4.994,1,3.774,38.564,0,1,0.959,38.564,0.097,2.994,2.994,17.634,0.108,0.12,6.619,6.619,12.149,96.41,5.087,20.835,26.621,25.878,28.246,30.571,0.978,32.928,35.267,3.087,3.087,3.087,23.583,22.903,4,0.377,4.526,11.106,1.016,14.427,10.492,10.492,10.492,18.961,1.062,19.214,1.068,24.759,3.807,3.5,0.488,7.169,40.328,5,28.487,5.265,1.144,10.511,11.376,21.189,4.947,4.956,0.02,1
10.0,0.0,0.907,0.074,7,0,130.13,5.077,2,3.788,78.297,3,2,1.28,0.0,0.103,3.077,3.077,18.711,0.167,0.117,6.809,6.809,20.093,72.91,5.208,39.576,27.216,26.702,29.118,31.495,0.989,33.903,36.295,3.208,3.208,3.208,24.356,23.458,0,1.165,4.925,11.738,0.988,15.007,11.181,11.181,11.181,19.636,1.368,19.728,1.062,25.334,4.317,3.602,0.484,11.833,125.239,5,29.103,5.488,1.621,10.959,11.849,21.916,5.367,5.487,0.109,0
