pXC50,nC,nBM,nAB,RBN,nO,Sv,Sp,nBO,Se,nH,Si,nAT,nBT,RBF,MW
5.0,24,8,6,9,3,36.616,39.557,32,62.323,34,71.268,63,66,0.136,398.6
7.26,24,19,17,9,3,37.212,39.409,35,58.185,26,65.109,58,61,0.148,450.61
8.523,23,15,12,10,4,35.937,38.375,33,58.076,28,65.152,58,61,0.164,428.6
7.25,20,12,11,8,3,31.53,33.517,28,52.891,27,60.106,53,55,0.145,357.5
8.553,24,16,12,10,4,37.432,39.62,35,59.294,27,66.235,59,62,0.161,453.61
6.921,20,9,6,9,4,32.938,35.375,30,55.076,28,62.152,55,58,0.155,392.57
7.432,21,14,12,8,3,32.003,33.756,29,52.007,25,58.69,52,54,0.148,367.49
8.432,23,15,12,10,4,36.765,39.233,34,58.4,27,65.096,58,61,0.164,463.04
6.509,23,9,6,12,6,38.782,40.926,33,67.407,35,76.395,67,68,0.176,449.61
7.5,21,13,12,6,2,30.267,32.296,27,48.578,24,54.983,49,51,0.118,336.47
6.89,21,13,12,6,1,30.574,32.847,27,49.352,25,56.272,50,52,0.115,335.49
7.721,24,15,12,9,4,36.937,39.375,35,59.076,28,66.152,59,63,0.143,440.61
8.222,22,16,12,9,4,34.905,36.858,32,55.411,25,61.82,55,57,0.158,427.57
6.682,23,13,11,8,4,34.224,35.966,33,55.116,26,61.817,55,59,0.136,394.51
8.337,25,15,12,11,4,38.991,41.898,35,63.843,32,71.982,64,67,0.164,456.66
7.959,24,15,12,10,4,37.464,40.137,34,60.96,30,68.567,61,64,0.156,442.63
7.64,22,13,12,6,1,31.079,33.603,27,50.134,26,57.188,51,53,0.113,334.5
8.569,24,15,12,10,4,37.464,40.137,34,60.96,30,68.567,61,64,0.156,442.63
6.513,23,9,6,11,5,38.067,40.472,32,66.08,35,75.185,66,67,0.164,433.61
6.384,22,9,6,9,5,35.487,37.188,33,59.429,29,66.94,59,62,0.145,415.54
6.507,27,10,6,11,7,44.023,46.142,40,74.618,37,84.019,74,77,0.143,515.67
8.42,23,15,12,10,4,36.765,39.233,34,58.4,27,65.096,58,61,0.164,463.04
8.569,23,15,12,10,4,36.321,38.313,34,58.589,27,65.492,58,61,0.164,446.59
7.29,20,13,12,6,2,28.74,30.534,26,45.694,22,51.567,46,48,0.125,322.44
8.456,23,15,12,10,4,36.321,38.313,34,58.589,27,65.492,58,61,0.164,446.59
8.796,23,15,12,10,4,36.321,38.313,34,58.589,27,65.492,58,61,0.164,446.59
6.06,19,12,11,8,3,31.025,32.762,28,52.109,26,59.189,52,54,0.148,358.49
6.821,18,8,6,9,4,30.245,31.972,26,52.218,27,59.315,52,53,0.17,349.48
8.284,27,15,12,11,4,42.045,45.421,37,69.61,36,78.813,70,73,0.151,484.72
6.719,24,14,12,8,3,35.53,37.517,34,56.891,27,64.106,57,61,0.131,405.54
7.2,20,13,12,6,1,29.047,31.086,26,46.469,23,52.856,47,49,0.122,321.46
5.95,23,14,12,8,3,34.53,36.517,31,55.891,27,63.106,56,58,0.138,393.53
6.72,22,13,12,8,3,33.863,36.131,30,54.996,27,61.966,55,57,0.14,402.96
6.59,23,13,12,9,4,35.277,37.489,31,58.883,30,66.647,59,61,0.148,398.55
7.79,23,13,12,6,1,32.606,35.364,28,53.018,28,60.604,54,56,0.107,348.53
6.68,20,12,11,8,3,31.696,34.159,28,51.865,26,58.527,52,54,0.148,374.55
6.23,20,13,12,6,1,29.047,31.086,26,46.469,23,52.856,47,49,0.122,321.46
6.99,24,14,12,8,3,36.057,38.279,32,58.774,29,66.521,59,61,0.131,407.56
8.19,22,13,12,6,1,31.079,33.603,27,50.134,26,57.188,51,53,0.113,334.5
6.21,22,15,12,9,5,34.96,36.426,32,57.545,27,64.524,57,59,0.153,413.52
7.87,21,13,12,6,1,30.574,32.847,27,49.352,25,56.272,50,52,0.115,335.49
6.635,22,9,6,9,5,35.487,37.188,33,59.429,29,66.94,59,62,0.145,415.54
7.6,20,13,12,6,2,28.74,30.534,26,45.694,22,51.567,46,48,0.125,322.44
7.53,21,13,12,7,1,30.574,32.847,27,49.352,25,56.272,50,52,0.135,335.49
7.09,21,13,12,6,2,30.267,32.296,27,48.578,24,54.983,49,51,0.118,336.47
6.64,20,12,11,8,3,31.696,34.159,28,51.865,26,58.527,52,54,0.148,374.55
8.538,24,15,12,11,5,38.179,40.591,35,62.287,30,69.776,62,65,0.169,458.63
8.377,24,15,12,10,4,37.464,40.137,34,60.96,30,68.567,61,64,0.156,442.63
7.699,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
7.745,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
7.745,14,6,5,10,2,24.289,26.302,19,43.68,25,50.481,44,44,0.227,267.42
7.745,14,6,5,10,2,24.289,26.302,19,43.68,25,50.481,44,44,0.227,267.42
8.17,16,6,6,2,0,26.375,28.643,24,45.345,25,52.644,46,49,0.041,287.46
8.06,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
7.721,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
7.921,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
7.658,15,6,5,10,2,25.815,28.063,20,46.563,27,53.896,47,47,0.213,281.45
7.745,15,6,5,11,2,25.815,28.063,20,46.563,27,53.896,47,47,0.234,281.45
7.638,14,6,5,10,2,24.289,26.302,19,43.68,25,50.481,44,44,0.227,267.42
7.721,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
7.638,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
7.602,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
7.921,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
7.824,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
7.1,16,6,6,1,0,26.375,28.643,24,45.345,25,52.644,46,49,0.02,287.46
8.292,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
8.658,23,17,17,4,0,32.386,35.154,29,51.909,27,59.477,53,56,0.071,345.53
8.854,27,23,23,5,0,37.407,40.16,35,58.01,28,65.976,59,63,0.079,408.59
9.0,21,17,17,5,1,31.068,33.091,29,49.571,24,56.355,50,53,0.094,348.49
8.143,21,17,17,4,0,29.332,31.631,27,46.141,23,52.647,47,50,0.08,317.47
8.721,25,22,22,5,0,36.067,39.046,34,55.203,26,62.48,56,60,0.083,414.62
9.347,22,17,17,4,0,30.859,33.393,28,49.025,25,56.062,50,53,0.075,331.5
8.824,21,16,16,4,1,30.574,32.847,28,49.352,25,56.272,50,53,0.075,335.49
8.721,21,17,17,4,0,29.332,31.631,27,46.141,23,52.647,47,50,0.08,317.47
9.319,21,17,17,4,0,30.16,32.489,28,46.465,22,52.591,47,50,0.08,351.91
