pXC50,nBM,nAB,nBT,Si,nAT,SCBO,nBO,MW,Sv,Sp,Se,nC,RBF,nSK,nN,nH,nCsp2,nDB,C.,X.,O.,nF,N.,nO
4.699,24,23,46,47.87,43,42.5,30,377.47,30.037,31.387,43.407,21,0.087,27,3,16,20,1,48.8,2.3,2.3,1,7.0,1
4.046,13,12,54,58.551,52,36.0,29,388.93,32.336,34.37,52.112,21,0.148,27,2,25,13,1,40.4,1.9,5.8,0,3.8,3
5.0,23,23,43,44.428,40,39.5,28,346.84,28.074,29.449,40.033,20,0.093,25,4,15,19,0,50.0,2.5,0.0,0,10.0,0
7.699,23,22,80,85.763,76,55.0,43,527.73,46.68,49.574,75.629,31,0.1,39,5,37,20,1,40.8,0.0,3.9,0,6.6,3
5.0,13,12,41,44.081,39,34.0,27,478.68,27.598,29.404,40.345,17,0.146,25,2,14,13,1,43.6,10.3,5.1,2,5.1,2
4.699,21,21,37,38.155,34,35.5,25,308.4,23.896,24.966,34.338,15,0.054,22,6,12,14,0,44.1,0.0,0.0,0,17.6,0
4.469,21,21,38,39.072,35,35.5,25,307.41,24.401,25.722,35.12,16,0.053,22,5,13,15,0,45.7,0.0,0.0,0,14.3,0
5.854,27,27,53,54.238,49,47.5,34,429.61,34.169,36.654,48.847,23,0.075,30,5,19,21,0,46.9,0.0,0.0,0,10.2,0
5.523,21,21,40,41.571,37,36.5,26,322.43,25.423,26.728,37.222,16,0.075,23,6,14,14,0,43.2,0.0,0.0,0,16.2,0
6.268,21,21,54,56.231,50,42.5,32,390.56,32.53,34.773,49.756,21,0.074,28,6,22,14,0,42.0,0.0,0.0,0,12.0,0
6.31,21,21,46,48.401,43,38.5,28,350.49,28.476,30.25,42.989,18,0.087,25,6,18,14,0,41.9,0.0,0.0,0,14.0,0
6.432,21,21,49,50.61,45,41.5,31,378.5,30.191,31.705,45.316,19,0.082,27,6,18,14,0,42.2,0.0,2.2,0,13.3,1
6.357,27,27,62,63.939,57,52.5,39,469.62,38.266,40.233,57.185,25,0.081,34,7,23,20,0,43.9,0.0,1.8,0,12.3,1
7.391,29,28,65,69.663,61,58.0,43,533.56,41.47,41.614,62.858,27,0.108,39,7,22,24,1,44.3,4.9,3.3,3,11.5,2
7.216,29,28,61,65.378,57,57.0,42,521.52,39.612,39.336,59.16,26,0.098,38,7,19,24,1,45.6,7.0,1.8,4,12.3,1
5.854,28,27,55,57.109,51,50.5,36,441.56,35.212,36.71,51.418,23,0.073,32,7,19,22,1,45.1,0.0,2.0,0,13.7,1
7.155,28,27,58,61.883,54,55.5,41,527.55,38.272,38.222,56.352,24,0.069,37,7,17,22,1,44.4,7.4,1.9,4,13.0,1
6.469,27,26,54,56.401,50,50.0,36,446.54,34.422,35.409,50.963,21,0.074,32,8,18,19,1,42.0,0.0,4.0,0,16.0,2
6.602,29,28,62,65.07,58,55.0,40,544.45,39.819,41.392,58.665,26,0.113,36,7,22,24,1,44.8,1.7,3.4,0,12.1,2
7.174,29,28,61,65.038,57,56.0,41,503.53,39.229,39.398,58.647,26,0.098,37,7,20,24,1,45.6,5.3,1.8,3,12.3,1
6.256,21,20,64,64.979,58,49.0,38,426.56,37.31,39.307,57.781,26,0.016,32,4,26,16,1,44.8,0.0,3.4,0,6.9,2
7.056,21,20,67,68.394,61,50.0,39,440.59,38.837,41.069,60.665,27,0.03,33,4,28,16,1,44.3,0.0,3.3,0,6.6,2
7.357,21,20,61,61.564,55,48.0,37,412.53,35.783,37.546,54.898,25,0.016,31,4,24,16,1,45.5,0.0,3.6,0,7.3,2
8.046,22,20,68,69.394,62,52.0,40,452.6,39.837,42.069,61.665,28,0.044,34,4,28,18,2,45.2,0.0,3.2,0,6.5,2
7.77,21,20,74,76.434,68,53.0,42,484.65,42.605,45.046,67.76,29,0.068,36,4,32,16,1,42.6,0.0,4.4,0,5.9,3
7.387,21,20,64,64.979,58,49.0,38,426.56,37.31,39.307,57.781,26,0.016,32,4,26,16,1,44.8,0.0,3.4,0,6.9,2
8.0,21,20,73,75.225,67,52.0,41,468.65,41.89,44.591,66.432,29,0.055,35,4,32,16,1,43.3,0.0,3.0,0,6.0,2
7.62,21,20,70,71.81,64,51.0,40,454.62,40.364,42.83,63.549,28,0.043,34,4,30,16,1,43.8,0.0,3.1,0,6.3,2
6.146,21,20,61,61.564,55,48.0,37,412.53,35.783,37.546,54.898,25,0.016,31,4,24,16,1,45.5,0.0,3.6,0,7.3,2
7.108,21,20,76,78.64,70,53.0,42,482.68,43.417,46.353,69.316,30,0.066,36,4,34,16,1,42.9,0.0,2.9,0,5.7,2
6.987,21,20,70,71.81,64,51.0,40,454.62,40.364,42.83,63.549,28,0.029,34,4,30,16,1,43.8,0.0,3.1,0,6.3,2
7.276,21,20,73,75.225,67,52.0,41,468.65,41.89,44.591,66.432,29,0.055,35,4,32,16,1,43.3,0.0,3.0,0,6.0,2
7.387,21,20,75,76.225,68,54.0,43,480.66,42.89,45.591,67.432,30,0.027,36,4,32,16,1,44.1,0.0,2.9,0,5.9,2
7.854,21,20,67,68.394,61,50.0,39,440.59,38.837,41.069,60.665,27,0.03,33,4,28,16,1,44.3,0.0,3.3,0,6.6,2
8.523,21,20,70,71.81,64,51.0,40,454.62,40.364,42.83,63.549,28,0.043,34,4,30,16,1,43.8,0.0,3.1,0,6.3,2
8.0,21,20,70,71.81,64,51.0,40,454.62,40.364,42.83,63.549,28,0.029,34,4,30,16,1,43.8,0.0,3.1,0,6.3,2
8.523,21,20,73,75.225,67,52.0,41,468.65,41.89,44.591,66.432,29,0.041,35,4,32,16,1,43.3,0.0,3.0,0,6.0,2
7.678,21,20,76,78.64,70,53.0,42,482.68,43.417,46.353,69.316,30,0.053,36,4,34,16,1,42.9,0.0,2.9,0,5.7,2
9.0,33,33,83,86.593,77,65.5,49,570.76,49.734,52.398,76.629,34,0.108,43,8,34,26,0,44.2,0.0,1.3,0,10.4,1
8.699,33,33,80,83.178,74,64.5,48,556.73,48.208,50.637,73.745,33,0.113,42,8,32,26,0,44.6,0.0,1.4,0,10.8,1
7.086,33,33,81,85.593,76,63.5,47,558.75,48.734,51.398,75.629,33,0.123,42,8,34,26,0,43.4,0.0,1.3,0,10.5,1
6.668,24,23,62,66.561,59,48.5,36,442.57,37.826,39.557,59.101,25,0.097,33,6,26,20,1,42.4,0.0,3.4,0,10.2,2
6.606,24,23,56,59.73,53,46.5,34,414.51,34.772,36.034,53.334,23,0.107,31,6,22,20,1,43.4,0.0,3.8,0,11.3,2
6.991,21,20,78,79.64,71,55.0,44,494.69,44.417,47.353,70.316,31,0.026,37,4,34,16,1,43.7,0.0,2.8,0,5.6,2
6.329,21,20,81,83.055,74,56.0,45,508.72,45.944,49.114,73.199,32,0.037,38,4,36,16,1,43.2,0.0,2.7,0,5.4,2
7.569,21,20,68,69.604,62,51.0,40,456.59,39.552,41.523,61.992,27,0.044,34,4,28,16,1,43.5,0.0,4.8,0,6.5,3
7.745,21,20,73,75.225,67,52.0,41,468.65,41.89,44.591,66.432,29,0.041,35,4,32,16,1,43.3,0.0,3.0,0,6.0,2
6.523,21,20,75,76.225,68,54.0,43,480.66,42.89,45.591,67.432,30,0.027,36,4,32,16,1,44.1,0.0,2.9,0,5.9,2
6.456,21,20,68,69.604,62,51.0,40,456.59,39.552,41.523,61.992,27,0.044,34,4,28,16,1,43.5,0.0,4.8,0,6.5,3
6.0,23,22,74,79.305,70,53.0,41,499.68,43.428,45.847,69.854,28,0.095,37,7,33,19,1,40.0,0.0,2.9,0,10.0,2
7.796,21,20,71,73.019,65,52.0,41,470.62,41.078,43.284,64.876,28,0.056,35,4,30,16,1,43.1,0.0,4.6,0,6.2,3
6.848,21,20,81,84.554,75,55.0,44,511.73,45.965,49.12,74.301,31,0.074,38,5,37,16,1,41.3,0.0,2.7,0,6.7,2
7.066,33,33,60,61.687,55,56.5,40,460.54,38.047,39.068,55.443,26,0.1,35,8,20,25,0,47.3,0.0,1.8,0,14.5,1
7.229,28,27,75,80.095,71,56.5,42,507.7,44.713,47.393,70.527,30,0.093,38,7,33,23,1,42.3,0.0,1.4,0,9.9,1
5.0,19,17,62,66.971,59,47.5,37,485.99,38.257,39.563,60.047,24,0.129,34,5,25,17,2,40.7,3.4,5.1,1,8.5,3
5.0,17,12,40,41.268,37,42.0,31,436.28,29.022,29.517,38.8,19,0.075,28,3,9,19,5,51.4,10.8,2.7,2,8.1,1
5.0,19,16,43,46.573,41,40.0,29,413.86,28.677,29.091,42.898,17,0.14,27,3,14,14,3,41.5,7.3,7.3,2,7.3,3
5.0,26,26,43,43.654,39,43.0,30,359.45,27.917,28.972,39.44,18,0.07,26,7,13,17,0,46.2,0.0,0.0,0,17.9,0
5.0,32,30,82,82.438,74,69.0,52,586.69,49.508,51.193,74.531,35,0.037,44,4,30,26,2,47.3,0.0,6.8,0,5.4,5
5.658,20,20,42,44.275,39,36.0,26,308.38,25.477,26.296,39.356,16,0.048,23,6,16,13,0,41.0,0.0,2.6,0,15.4,1
6.29,24,22,53,55.946,50,47.0,34,433.53,34.126,35.37,50.753,22,0.094,31,5,19,20,2,44.0,0.0,6.0,0,10.0,3
6.201,25,24,58,62.666,55,51.0,38,479.5,37.428,37.603,56.654,25,0.103,35,5,20,22,1,45.5,5.5,3.6,3,9.1,2
5.0,18,17,87,94.301,83,54.5,45,562.79,49.47,52.557,82.825,31,0.115,41,6,42,15,1,37.3,0.0,4.8,0,7.2,4
7.35,23,22,50,54.176,47,47.0,35,445.41,32.757,32.017,49.4,21,0.08,32,5,15,19,1,44.7,8.5,4.3,4,10.6,2
