pXC50,nBO,nSK
8.398,25,23
3.388,14,13
4.276,23,21
4.873,23,21
4.276,14,13
4.416,23,21
4.335,15,14
5.347,30,27
4.437,15,14
5.119,15,14
4.087,14,13
4.187,16,15
4.471,18,17
4.609,18,17
5.348,15,14
3.971,15,14
4.022,15,14
5.553,25,23
6.398,25,23
4.29,15,14
4.889,11,11
4.253,11,11
4.752,11,11
4.81,11,11
4.777,11,11
6.301,25,23
3.87,16,15
5.854,23,21
4.785,23,21
5.0,33,29
4.416,15,14
4.558,15,14
4.304,15,14
4.588,15,14
4.334,15,14
9.0,49,44
4.301,12,12
4.028,12,12
4.52,12,12
4.745,11,11
4.395,10,10
4.106,11,11
4.374,11,11
