pXC50,Se,Si,nAT,Sv,Sp,nBT,nH,nC,N.,MW,RBN,Mp,Me,nSK,nDB,nAB,AMW,SCBO,nBO,O.,nCsp2,nO,nBM,nX,nF,RBF,X.,C.
8.42,68.305,75.828,67,43.747,45.262,70,28,28,6.0,554.67,12,0.676,1.019,39,3,23,8.279,56.5,42,6.0,22,4,26,2,2,0.171,3.0,41.8
7.62,69.869,77.662,69,44.758,46.773,72,30,30,2.9,552.69,11,0.678,1.013,39,3,23,8.01,56.5,42,5.8,23,4,26,2,2,0.153,2.9,43.5
8.0,71.385,79.009,71,47.313,50.0,75,30,32,4.2,588.17,11,0.704,1.005,41,3,28,8.284,62.0,45,5.6,26,4,31,1,0,0.147,1.4,45.1
8.108,68.825,75.538,68,46.614,49.097,72,27,31,4.4,608.58,11,0.722,1.012,41,3,28,8.95,62.0,45,5.9,26,4,31,2,0,0.153,2.9,45.6
8.26,69.014,75.934,68,46.17,48.176,72,27,31,4.4,592.13,11,0.708,1.015,41,3,28,8.708,62.0,45,5.9,26,4,31,2,1,0.153,2.9,45.6
8.921,69.203,76.33,68,45.725,47.256,72,27,31,4.4,575.68,11,0.695,1.018,41,3,28,8.466,62.0,45,5.9,26,4,31,2,2,0.153,2.9,45.6
7.745,69.396,76.733,69,46.453,48.625,73,28,32,5.8,564.71,11,0.705,1.006,41,3,28,8.184,64.0,45,5.8,26,4,32,0,0,0.151,0.0,46.4
8.854,68.421,75.413,67,45.22,46.5,71,26,30,6.0,576.67,11,0.694,1.021,41,3,28,8.607,62.0,45,6.0,26,4,31,2,2,0.155,3.0,44.8
8.194,76.4,84.868,75,48.515,50.239,79,32,31,5.3,610.74,12,0.67,1.019,43,3,23,8.143,61.5,47,6.7,22,5,26,2,2,0.152,2.7,41.3
5.0,68.178,75.65,68,44.959,47.381,72,29,31,4.4,539.7,11,0.697,1.003,39,3,28,7.937,60.0,43,5.9,26,4,31,0,0,0.153,0.0,45.6
7.328,75.08,83.286,74,47.999,49.989,78,32,32,2.7,594.73,11,0.676,1.015,42,3,23,8.037,60.5,46,6.8,23,5,26,2,2,0.141,2.7,43.2
6.854,68.178,75.65,68,44.959,47.381,72,29,31,4.4,539.7,11,0.697,1.003,39,3,28,7.937,60.0,43,5.9,26,4,31,0,0,0.153,0.0,45.6
6.086,67.396,74.733,67,44.453,46.625,71,28,30,6.0,540.69,10,0.696,1.006,39,3,28,8.07,60.0,43,6.0,26,4,31,0,0,0.141,0.0,44.8
7.62,74.312,81.456,73,49.946,51.466,77,28,35,2.7,626.72,12,0.705,1.018,45,3,29,8.585,68.5,49,6.8,29,5,33,2,2,0.156,2.7,47.9
9.597,72.312,79.456,71,47.946,49.466,75,28,33,2.8,602.7,12,0.697,1.018,43,3,29,8.489,64.5,47,7.0,28,5,32,2,2,0.16,2.8,46.5
7.292,64.647,71.124,63,41.913,42.949,66,25,27,4.8,541.62,12,0.682,1.026,38,3,23,8.597,55.5,41,7.9,22,5,26,2,2,0.182,3.2,42.9
6.721,67.396,74.733,67,44.453,46.625,71,28,30,6.0,540.69,11,0.696,1.006,39,3,28,8.07,60.0,43,6.0,25,4,31,0,0,0.155,0.0,44.8
6.959,67.472,74.653,67,44.641,47.273,71,28,29,6.0,560.75,11,0.706,1.007,39,3,27,8.369,59.5,43,6.0,23,4,30,0,0,0.155,0.0,43.3
7.229,63.32,69.914,62,41.199,42.495,65,25,27,4.8,525.62,11,0.685,1.021,37,3,23,8.478,54.5,40,6.5,22,4,26,2,2,0.169,3.2,43.5
6.824,67.396,74.733,67,44.453,46.625,71,28,30,6.0,540.69,11,0.696,1.006,39,3,28,8.07,60.0,43,6.0,25,4,31,0,0,0.155,0.0,44.8
7.056,68.505,75.86,68,44.674,46.835,72,29,30,4.4,543.69,11,0.689,1.007,39,3,27,7.995,59.5,43,7.4,24,5,30,0,0,0.153,0.0,44.1
5.0,61.294,68.235,61,39.432,41.62,64,27,26,4.9,477.63,10,0.682,1.005,34,3,22,7.83,51.0,37,6.6,20,4,25,0,0,0.156,0.0,42.6
8.18,69.945,78.734,70,43.219,45.705,72,34,30,1.4,491.65,11,0.653,0.999,36,2,18,7.024,49.0,38,5.7,20,4,20,1,1,0.153,1.4,42.9
8.745,69.756,78.338,70,43.664,46.625,72,34,30,1.4,508.1,11,0.666,0.997,36,2,18,7.259,49.0,38,5.7,20,4,20,1,0,0.153,1.4,42.9
