pXC50,nCsp2,H.,C.,N.,Me,nC,nBM,SCBO,nSK,nBO,Sv,MW,Sp
6.722,34,43.5,45.7,2.2,1.007,42,36,76.0,52,57,59.77,700.84,62.114
6.62,34,43.5,45.7,2.2,1.007,42,36,76.0,52,57,59.77,700.84,62.114
5.481,28,35.0,47.5,0.0,1.029,38,33,76.5,52,59,57.678,964.26,60.137
4.943,3,56.0,34.7,0.0,0.998,26,2,38.0,33,36,42.066,466.68,45.171
4.903,3,56.4,34.6,0.0,0.997,27,2,39.0,34,37,43.593,480.71,46.932
5.603,15,32.3,48.4,9.7,1.026,15,19,33.5,21,23,22.429,299.73,22.83
4.268,12,35.0,35.0,10.0,1.049,14,16,37.0,26,27,27.383,398.46,27.852
5.15,12,35.7,46.4,7.1,1.008,13,16,28.5,18,20,20.239,274.39,21.807
5.22,5,39.4,30.3,15.2,1.043,10,10,27.0,20,22,21.261,299.35,21.54
4.691,11,50.9,39.6,5.7,0.992,21,12,36.0,26,29,31.815,353.51,34.063
4.833,13,34.3,42.9,2.9,1.023,15,13,31.0,23,24,26.519,650.98,31.131
5.359,12,45.9,45.9,2.7,0.995,17,12,29.0,20,23,23.665,267.35,25.006
6.587,34,41.7,45.8,2.1,1.013,44,32,81.0,56,61,63.2,756.86,65.023
6.419,34,40.0,46.7,2.2,1.017,42,32,79.0,54,59,60.146,728.8,61.5
6.547,34,35.1,51.4,0.0,1.024,38,32,73.0,48,53,51.996,642.64,52.443
5.598,20,44.7,44.7,0.0,1.008,34,18,59.0,42,47,48.674,570.68,50.58
5.318,20,47.7,43.2,0.0,1.002,38,18,63.0,46,51,54.781,626.8,57.625
5.889,32,39.5,50.0,0.0,1.011,38,30,69.0,46,51,51.62,614.68,53.057
5.776,32,41.5,48.8,0.0,1.008,40,30,71.0,48,53,54.674,642.74,56.58
6.261,32,41.5,48.8,0.0,1.008,40,30,71.0,48,53,54.674,642.74,56.58
5.193,12,33.3,44.4,11.1,1.025,12,16,28.5,18,20,19.261,259.31,19.858
6.708,32,37.1,51.4,0.0,1.016,36,30,67.0,44,49,48.567,586.62,49.534
6.484,32,34.3,51.4,0.0,1.025,36,30,69.0,46,51,50.222,655.5,51.25
6.318,20,41.9,45.2,0.0,1.018,28,18,51.0,36,39,40.567,490.54,41.534
6.419,20,44.1,44.1,0.0,1.013,30,18,53.0,38,41,43.62,518.6,45.057
