pXC50,P_VSA_MR_7,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,Br.094,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.009,C.011,C.012
5.0,33.571,1.682,10.037,3.884,15.085,105.742,8.778,0.767,3.876,3.969,3.685,3.557,5.067,3.514,4.342,4.468,3.966,3.915,5.557,3.863,4.56,4.722,3.994,3.994,5.781,3.931,4.58,4.762,3.908,3.95,5.751,3.886,4.601,4.819,3.857,3.946,5.646,3.871,4.499,4.692,3.898,3.935,5.602,3.856,4.493,4.659,3.897,3.953,5.719,3.858,4.594,4.821,3.718,3.862,5.71,3.742,0.057,0.666,7.483,3.94,8.578,4.237,0.115,1.074,14.667,6.738,15.682,7.342,0.247,1.318,18.974,8.268,43.026,8.97,0.275,1.334,19.434,7.928,40.885,8.824,0.302,1.29,19.997,7.981,39.294,9.967,0.252,1.223,17.439,7.486,31.067,9.636,0.242,1.216,16.215,7.987,27.859,9.813,0.261,1.31,21.198,8.944,39.575,10.966,11,42,0.287,0.569,0.703,0.795,0.81,0.81,3.341,0.988,-4.92,-4.83,-4.53,0,48.8,0,0,0,0,1,0,0,0,0,0,0
5.0,89.26,1.496,10.4,4.705,22.138,100.976,8.671,0.821,3.803,3.913,3.514,3.464,4.975,3.437,4.262,4.398,3.86,3.837,5.382,3.788,4.511,4.697,3.901,3.938,5.564,3.861,4.515,4.732,3.756,3.84,5.52,3.754,4.451,4.676,3.759,3.782,5.493,3.723,4.382,4.579,3.717,3.806,5.456,3.734,4.37,4.573,3.668,3.781,5.403,3.675,4.285,4.512,3.486,3.609,5.255,3.465,0.036,0.569,5.871,3.065,6.797,3.852,0.051,0.892,10.545,5.141,10.565,6.527,0.15,1.134,18.583,7.031,22.023,8.915,0.152,1.147,19.99,7.228,24.391,9.299,0.206,1.11,17.499,6.324,25.7,8.142,0.186,1.026,15.521,5.816,22.825,7.282,0.139,0.952,15.408,6.574,20.483,8.757,0.115,0.837,16.149,6.477,20.375,8.711,2,38,0.259,0.558,0.709,0.819,0.836,0.845,3.267,0.893,-5.43,-5.31,-4.96,0,50.0,0,1,0,0,0,0,0,0,0,0,0
4.523,16.663,1.476,15.333,5.907,34.897,153.448,6.944,0.512,4.416,4.543,3.928,3.926,5.446,3.899,4.975,5.161,4.296,4.324,5.966,4.279,5.224,5.428,4.344,4.489,6.191,4.408,5.354,5.615,4.314,4.494,6.25,4.385,5.289,5.537,4.298,4.402,6.266,4.322,5.161,5.377,4.272,4.38,6.186,4.313,5.213,5.426,4.329,4.471,6.285,4.385,5.328,5.566,4.237,4.518,6.285,4.402,0.071,1.114,17.099,7.024,11.85,9.626,0.407,1.786,32.2,11.499,38.337,16.193,0.522,2.215,41.95,14.363,49.844,20.619,0.467,2.375,49.157,16.419,58.81,24.524,0.653,2.184,46.823,14.355,69.806,21.162,0.568,2.014,40.251,12.847,62.036,18.535,0.461,2.159,41.436,14.686,73.226,21.166,0.588,2.318,47.773,16.237,80.539,23.357,27,61,0.226,0.537,0.702,0.788,0.812,0.816,3.693,0.941,-5.07,-4.97,-4.65,0,40.8,4,0,0,1,0,6,0,0,0,0,0
5.0,39.149,1.983,9.88,4.908,24.087,99.228,12.274,0.444,3.792,3.884,3.775,3.435,5.022,3.394,4.273,4.4,4.197,3.786,5.534,3.708,4.519,4.69,4.354,3.863,6.008,3.773,4.473,4.655,4.497,3.765,5.852,3.678,4.37,4.525,4.097,3.624,5.907,3.633,4.392,4.524,4.225,3.733,6.046,3.707,4.409,4.554,4.266,3.714,5.974,3.646,4.31,4.504,4.362,3.646,5.56,3.482,0.19,0.668,0.871,3.405,18.075,3.508,0.379,1.031,4.693,6.413,38.569,6.332,0.857,1.404,33.685,9.985,101.366,8.732,0.789,1.191,46.152,9.47,78.619,7.529,0.793,1.123,12.827,6.22,106.151,5.258,0.863,1.152,19.438,7.893,106.636,6.804,0.91,1.123,11.633,7.74,109.321,6.234,0.65,1.068,22.075,9.053,79.569,7.243,26,38,0.355,0.704,0.829,0.891,0.891,0.891,3.267,1.004,-5.59,-5.46,-5.09,0,43.6,0,2,1,0,0,1,0,0,0,0,0
5.0,91.672,1.772,12.294,3.917,15.346,129.707,8.237,0.459,4.189,4.302,3.832,3.687,5.339,3.692,4.726,4.893,4.197,4.056,5.876,4.048,4.942,5.121,4.274,4.171,6.139,4.13,4.967,5.208,4.165,4.132,6.015,4.071,4.859,5.044,4.213,4.152,6.044,4.113,4.952,5.142,4.295,4.21,6.103,4.177,5.02,5.215,4.308,4.226,6.246,4.183,4.972,5.17,4.257,4.155,6.172,4.11,0.126,0.934,10.471,5.109,11.754,6.243,0.505,1.435,22.484,8.349,37.14,10.323,0.846,1.652,32.099,10.804,74.613,13.267,0.744,1.618,35.818,11.177,69.081,15.245,0.694,1.557,28.054,10.023,61.354,13.071,0.675,1.688,29.735,10.483,57.05,13.739,0.913,1.738,33.344,10.965,99.041,14.109,0.789,1.647,34.542,11.01,79.644,14.064,32,51,0.287,0.661,0.834,0.882,0.882,0.882,3.561,0.903,-4.06,-4.01,-3.8,0,40.7,0,1,0,0,2,3,0,1,0,0,0
5.0,100.007,2.02,10.857,5.899,34.795,108.721,11.791,0.387,3.774,3.838,3.754,3.491,5.111,3.475,4.233,4.313,4.208,3.877,5.662,3.854,4.482,4.592,4.384,4.012,5.898,3.974,4.438,4.536,4.398,3.951,6.022,3.907,4.407,4.505,4.383,3.838,6.04,3.841,4.352,4.493,4.1,3.765,5.776,3.725,4.206,4.376,3.773,3.576,5.546,3.494,3.952,4.131,3.814,3.378,5.329,3.275,0.206,0.631,0.365,2.485,21.925,2.257,0.385,1.026,1.321,4.245,37.279,3.606,0.661,1.354,13.947,7.433,83.324,5.947,0.817,1.307,16.405,7.013,110.113,5.367,0.753,1.119,12.655,6.115,80.618,4.523,0.674,1.044,9.362,5.601,70.44,4.465,0.581,0.955,14.148,5.842,62.946,5.374,0.47,0.837,15.059,5.159,56.905,4.94,26,45,0.356,0.661,0.797,0.88,0.88,0.88,3.375,0.917,-6.72,-6.54,-6.06,0,51.4,0,0,0,0,0,0,0,0,0,0,0
5.0,78.147,2.082,10.0,3.768,14.197,98.861,10.094,0.552,3.85,3.929,3.793,3.455,5.092,3.441,4.377,4.493,4.109,3.831,5.867,3.816,4.639,4.795,4.219,3.907,6.08,3.898,4.633,4.775,4.268,3.839,6.398,3.861,4.566,4.696,4.176,3.776,6.311,3.796,4.493,4.637,4.131,3.713,6.047,3.736,4.464,4.621,4.02,3.632,6.303,3.635,4.354,4.54,3.938,3.524,5.865,3.479,0.225,0.758,5.948,3.96,39.021,3.501,0.571,1.185,13.505,7.01,90.283,6.806,0.941,1.471,23.616,9.001,143.309,8.416,1.292,1.6,24.487,9.13,227.35,7.35,1.187,1.303,17.657,7.732,198.265,6.459,0.968,1.433,19.899,7.853,154.093,6.642,1.18,1.35,14.778,7.11,213.546,6.515,0.907,1.03,20.115,7.122,129.051,6.493,54,43,0.362,0.736,0.857,0.885,0.885,0.885,3.341,1.026,-3.76,-3.72,-3.54,0,41.5,1,1,0,0,0,1,0,0,0,0,0
5.0,83.438,1.623,10.731,3.403,11.578,103.098,9.217,0.867,3.829,3.94,3.642,3.455,5.026,3.437,4.294,4.44,4.046,3.831,5.445,3.809,4.428,4.597,4.039,3.91,5.552,3.836,4.391,4.585,3.875,3.811,5.447,3.719,4.291,4.491,3.827,3.7,5.335,3.618,4.228,4.422,3.757,3.628,5.318,3.567,4.165,4.358,3.696,3.532,5.303,3.485,4.023,4.213,3.466,3.445,5.121,3.387,0.097,0.691,5.169,3.012,6.507,3.276,0.186,1.1,11.121,4.777,10.517,5.044,0.242,1.226,16.502,6.462,20.241,6.669,0.225,1.132,15.46,6.453,19.77,7.127,0.239,1.046,16.434,5.982,16.004,6.385,0.197,0.988,14.325,5.214,17.168,5.218,0.321,0.968,14.677,4.658,19.123,4.673,0.143,0.762,8.904,4.082,13.225,4.966,2,43,0.28,0.629,0.794,0.889,0.889,0.889,3.305,0.882,-4.86,-4.77,-4.48,0,46.2,0,0,0,0,1,0,0,0,0,0,0
6.119,0.0,1.529,10.955,4.94,24.402,162.643,7.928,0.577,4.452,4.549,4.09,4.028,5.543,4.027,5.039,5.174,4.574,4.499,6.116,4.496,5.354,5.503,4.807,4.747,6.415,4.739,5.555,5.708,4.955,4.916,6.651,4.899,5.712,5.88,5.019,5.024,6.785,4.991,5.807,5.998,5.004,5.077,6.861,5.016,5.835,6.046,4.881,5.022,6.889,4.938,5.703,5.922,4.64,4.855,6.751,4.751,0.074,1.064,13.58,6.747,16.837,7.968,0.531,1.884,28.133,11.685,41.046,14.14,0.695,2.532,40.329,16.193,56.058,19.403,0.778,3.064,49.956,20.238,96.563,24.274,1.043,3.566,60.228,23.585,96.073,28.642,1.038,3.852,68.795,27.353,109.954,34.694,1.207,3.83,75.265,28.908,156.498,36.875,1.098,3.326,67.314,25.466,138.141,32.452,38,83,0.231,0.568,0.737,0.827,0.863,0.879,3.812,0.859,-4.59,-4.51,-4.24,0,47.3,1,1,0,0,2,0,0,2,2,0,1
5.0,50.234,1.606,8.043,2.744,7.527,89.221,7.907,0.769,3.809,3.94,3.427,3.316,4.998,3.326,4.295,4.466,3.836,3.718,5.44,3.717,4.504,4.699,3.871,3.811,5.636,3.793,4.592,4.824,3.845,3.812,5.701,3.771,4.484,4.702,3.686,3.731,5.562,3.674,4.411,4.62,3.621,3.669,5.521,3.617,4.498,4.765,3.399,3.616,5.519,3.508,4.324,4.618,3.148,3.372,5.26,3.239,0.1,0.657,7.475,2.975,11.951,3.847,0.171,1.031,13.36,5.062,18.42,6.93,0.28,1.193,17.675,5.714,26.54,7.973,0.4,1.242,20.893,6.472,37.848,9.343,0.359,1.111,18.105,5.797,31.978,8.239,0.224,1.06,16.204,5.097,27.427,7.339,0.372,1.019,20.418,5.868,41.837,8.859,0.277,0.775,18.592,5.846,29.432,8.887,18,39,0.282,0.702,0.803,0.839,0.839,0.839,3.19,0.848,-4.06,-4.01,-3.79,0,41.0,2,0,0,0,0,0,0,1,0,0,0
