pXC50,Eig02_AEA.bo.,Eig03_AEA.ri.,Eig03_EA,SM11_AEA.bo.,Eig03_EA.ed.,SM12_AEA.dm.,Eig03_EA.ri.,Eig03_AEA.ed.,Eig03_AEA.bo.,Eig04_AEA.ed.,Eig04_EA.ri.,Eig04_EA.ed.,SM13_AEA.dm.,Eig04_EA,SM12_AEA.bo.,Eig04_AEA.ri.,Eig02_EA.bo.,SM12_AEA.ri.,piPC10,PCR,piPC09,SpMax2_Bh.e.,Hy,SpMax2_Bh.i.,MATS5m,Eig01_EA.ri.,SpMax_EA.ri.,PCD,MATS7s,MATS5s,MATS5e,CATS2D_05_DN,MATS7e,IC3,H.050,GGI9,SpDiam_EA.ri.,SpMax2_Bh.m.,SpMAD_AEA.bo.,SM14_EA.ri.,SM15_EA.ri.,nHDon,SpMax5_Bh.s.,SM03_EA.ri.,piID,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SAdon,ATSC3s,D.Dtr05,DELS,ATSC8s,Eig02_AEA.ed.,SpMax8_Bh.s.,GATS6p,SM09_EA.ri.,SpMax7_Bh.s.,X3Av,IC2,SM07_EA.ri.,PW2,CATS2D_02_DN,GATS7m,SM10_EA.ri.,Eig02_EA.ri.,Eig05_AEA.dm.
5.959,4.367,3.891,2.902,2.902,9.197,9.197,2.881,6.174,4.25,6.134,2.732,9.029,9.029,2.817,2.817,3.791,3.892,3.892,7.386,1.386,7.125,3.97,1.576,3.986,0.037,3.3,3.3,3.022,0.155,-0.045,-0.076,0,0.162,5.192,4,0.267,5.3,3.964,1.518,17.047,18.196,4,5.0,4.308,10.845,13.6,14.76,15.889,108.815,75.285,201.357,42.426,121.456,6.509,4.364,0.992,11.326,4.604,0.099,4.497,9.058,0.585,1,1.191,12.506,2.896,2.537
4.0,3.79,3.173,2.175,2.175,5.175,5.175,2.143,4.668,3.516,4.066,1.527,3.55,3.55,1.536,1.536,2.534,3.067,3.067,3.841,1.221,4.523,3.712,1.251,3.749,0.147,2.821,2.821,1.195,-0.174,0.323,0.299,0,-0.22,4.476,3,0.044,4.821,3.726,1.422,14.657,15.655,2,4.292,3.228,6.607,11.579,12.644,13.613,60.694,63.766,0.0,22.742,31.404,5.293,3.674,1.176,9.549,3.768,0.12,4.239,7.513,0.552,1,1.249,10.663,2.411,1.751
7.77,4.462,3.891,2.902,2.902,9.197,9.197,2.881,6.174,4.25,6.134,2.732,9.029,9.029,2.817,2.817,3.791,3.892,3.892,7.648,1.502,7.58,4.012,1.495,4.041,0.063,3.303,3.303,3.972,0.108,-0.019,-0.039,0,0.085,5.067,4,0.272,5.303,4.034,1.515,17.137,18.286,4,4.898,4.339,11.885,13.682,14.847,15.977,108.815,70.471,114.087,35.692,112.274,6.503,4.342,1.057,11.399,4.604,0.103,4.164,9.118,0.582,1,1.213,12.587,3.011,2.537
8.009,4.256,3.738,2.759,2.759,8.509,8.509,2.691,5.988,3.959,5.89,2.61,8.004,8.004,2.685,2.685,3.663,3.686,3.686,6.491,1.257,6.474,3.929,1.573,3.965,-0.066,3.436,3.436,1.831,-0.135,0.142,0.096,1,-0.131,5.351,4,0.326,5.404,3.924,1.52,17.397,18.607,3,4.912,4.316,8.958,13.791,14.993,16.187,78.705,92.857,235.382,47.576,142.731,6.148,4.273,1.039,11.426,4.374,0.116,4.946,9.093,0.585,1,0.954,12.629,2.82,2.906
7.086,4.256,3.736,2.756,2.756,8.507,8.507,2.689,5.987,3.958,5.862,2.562,7.868,7.868,2.642,2.642,3.619,3.686,3.686,6.485,1.26,6.469,3.928,1.601,3.964,-0.031,3.436,3.436,1.844,-0.141,0.127,0.077,1,-0.139,5.427,4,0.306,5.404,3.92,1.502,17.391,18.602,3,4.911,4.233,8.927,13.78,14.984,16.18,78.705,94.546,226.631,46.806,148.863,6.148,4.252,1.082,11.409,4.361,0.116,4.873,9.065,0.578,1,0.971,12.615,2.82,2.906
7.569,4.256,3.736,2.756,2.756,8.507,8.507,2.689,5.987,3.958,5.862,2.562,7.868,7.868,2.642,2.642,3.619,3.686,3.686,6.485,1.26,6.469,3.928,1.601,3.964,-0.031,3.436,3.436,1.844,-0.141,0.127,0.077,1,-0.139,5.427,4,0.306,5.404,3.92,1.502,17.391,18.602,3,4.911,4.233,8.927,13.78,14.984,16.18,78.705,94.546,226.631,46.806,148.863,6.148,4.252,1.082,11.409,4.361,0.116,4.873,9.065,0.578,1,0.971,12.615,2.82,2.906
7.523,4.256,3.793,2.819,2.819,8.719,8.719,2.73,6.147,3.973,5.983,2.678,8.482,8.482,2.742,2.742,3.723,3.687,3.687,6.485,1.26,6.471,3.929,1.601,3.965,-0.01,3.437,3.437,1.844,-0.129,0.069,0.009,1,-0.135,5.283,4,0.346,5.405,3.926,1.521,17.413,18.622,3,4.911,4.316,8.927,13.813,15.013,16.205,78.705,94.018,226.513,46.962,173.155,6.191,4.275,1.097,11.45,4.382,0.121,4.976,9.115,0.589,1,1.005,12.65,2.82,2.906
7.26,4.256,3.736,2.756,2.756,8.507,8.507,2.689,5.987,3.958,5.863,2.559,7.873,7.873,2.644,2.644,3.619,3.686,3.686,6.49,1.257,6.477,3.927,1.603,3.964,0.057,3.436,3.436,1.831,-0.183,0.142,0.109,1,-0.191,5.458,4,0.331,5.404,3.951,1.489,17.391,18.602,3,4.911,4.233,8.958,13.78,14.984,16.179,78.705,91.298,235.481,47.37,149.094,6.148,4.24,1.146,11.408,4.356,0.126,5.039,9.065,0.575,1,0.913,12.614,2.82,3.078
7.194,4.28,3.796,2.821,2.821,8.719,8.719,2.736,6.169,3.985,5.983,2.695,8.486,8.486,2.751,2.751,3.735,3.688,3.688,6.935,1.298,6.724,3.935,3.116,3.976,0.002,3.437,3.437,2.172,-0.131,0.076,0.034,1,-0.13,5.415,6,0.371,5.437,3.901,1.514,17.432,18.638,5,5.12,4.386,9.457,13.838,15.038,16.226,111.602,99.974,118.54,50.981,177.636,6.191,4.382,1.151,11.481,4.445,0.11,4.999,9.153,0.591,1,1.19,12.684,2.863,2.931
6.0,4.462,3.891,2.902,2.902,9.197,9.197,2.881,6.174,4.25,6.134,2.732,9.029,9.029,2.817,2.817,3.791,3.892,3.892,7.648,1.502,7.58,4.009,1.522,4.039,0.042,3.301,3.301,3.972,0.131,-0.037,-0.054,0,0.088,5.263,4,0.272,5.301,4.023,1.515,17.1,18.248,4,4.99,4.332,11.885,13.649,14.811,15.941,108.815,73.433,114.087,38.21,116.551,6.503,4.392,0.996,11.371,4.604,0.101,4.454,9.096,0.582,1,1.199,12.555,2.969,2.537
7.252,4.256,3.736,2.756,2.756,8.507,8.507,2.689,5.987,3.958,5.863,2.564,7.873,7.873,2.644,2.644,3.621,3.686,3.686,6.49,1.257,6.477,3.928,1.573,3.965,0.022,3.436,3.436,1.831,-0.174,0.137,0.096,1,-0.182,5.402,4,0.331,5.404,3.922,1.489,17.391,18.602,3,4.911,4.233,8.958,13.78,14.985,16.18,78.705,93.931,235.481,47.549,146.676,6.148,4.252,1.206,11.409,4.361,0.119,4.788,9.065,0.575,1,0.999,12.616,2.82,2.906
7.114,4.248,3.793,2.818,2.818,8.719,8.719,2.732,6.145,3.972,5.982,2.686,8.481,8.481,2.74,2.74,3.724,3.687,3.687,6.815,1.296,6.618,3.933,1.543,3.973,-0.002,3.437,3.437,2.124,-0.123,0.075,0.024,1,-0.124,5.215,4,0.351,5.437,3.897,1.511,17.42,18.627,3,4.922,4.316,9.313,13.82,15.022,16.212,78.705,94.652,114.592,47.233,171.609,6.191,4.275,1.157,11.456,4.382,0.112,4.783,9.119,0.587,1,1.183,12.663,2.836,2.9
7.367,4.256,3.794,2.819,2.819,8.719,8.719,2.733,6.147,3.973,5.983,2.688,8.482,8.482,2.742,2.742,3.727,3.687,3.687,6.485,1.26,6.471,3.934,1.601,3.969,-0.025,3.437,3.437,1.844,-0.132,0.049,-0.034,1,-0.135,5.283,4,0.346,5.424,3.901,1.521,17.422,18.63,3,5.119,4.316,8.927,13.824,15.025,16.215,78.705,102.213,226.513,50.191,179.657,6.191,4.275,1.195,11.463,4.383,0.109,4.955,9.128,0.589,1,1.17,12.665,2.843,2.906
6.0,4.37,3.891,2.901,2.901,9.197,9.197,2.881,6.174,4.25,6.134,2.732,9.029,9.029,2.817,2.817,3.791,3.892,3.892,7.787,1.507,7.672,4.008,1.52,4.035,-0.005,3.387,3.387,3.998,0.044,-0.069,-0.104,0,0.065,4.984,4,0.231,5.387,4.009,1.523,17.34,18.519,4,4.896,4.339,11.88,13.806,14.993,16.153,108.815,66.463,108.621,36.139,89.004,6.466,4.342,1.079,11.479,4.604,0.098,4.103,9.164,0.583,1,1.075,12.683,2.93,2.537
4.432,4.5,3.799,2.814,2.814,8.812,8.812,2.763,6.087,4.009,5.826,2.536,7.918,7.918,2.572,2.572,3.562,3.854,3.854,6.532,1.355,6.332,3.926,2.371,3.952,-0.002,3.211,3.211,2.563,-0.273,0.21,0.165,2,-0.311,5.289,5,0.361,5.211,4.083,1.52,16.831,17.959,5,6.345,4.334,9.79,13.439,14.58,15.693,127.952,100.891,89.031,53.49,212.918,6.541,4.314,1.25,11.198,4.818,0.106,4.855,8.963,0.584,1,1.127,12.357,3.043,2.589
5.319,4.488,3.801,2.814,2.814,8.812,8.812,2.769,6.087,4.004,5.826,2.543,7.918,7.918,2.572,2.572,3.566,3.811,3.811,6.405,1.27,6.223,3.948,2.341,3.994,0.022,3.239,3.239,1.948,-0.205,0.185,0.159,2,-0.23,5.34,5,0.361,5.239,4.083,1.511,16.913,18.049,5,6.344,4.35,9.175,13.501,14.648,15.768,127.952,105.656,89.031,52.514,209.331,6.541,4.292,1.214,11.247,4.314,0.139,4.873,9.002,0.584,1,1.091,12.413,3.043,2.429
4.319,4.488,3.799,2.814,2.814,8.812,8.812,2.763,6.087,4.004,5.826,2.536,7.918,7.918,2.572,2.572,3.562,3.811,3.811,6.405,1.27,6.223,3.913,2.371,3.954,-0.012,3.211,3.211,1.948,-0.25,0.181,0.145,2,-0.295,5.305,5,0.361,5.211,4.083,1.511,16.831,17.959,5,6.345,4.334,9.175,13.439,14.58,15.693,127.952,106.24,89.031,54.715,225.79,6.541,4.313,1.291,11.198,4.456,0.123,4.853,8.963,0.584,1,1.125,12.357,3.043,2.589
4.215,4.5,3.801,2.814,2.814,8.812,8.812,2.769,6.087,4.009,5.826,2.543,7.918,7.918,2.572,2.572,3.566,3.854,3.854,6.532,1.355,6.332,3.961,2.341,3.993,0.02,3.239,3.239,2.563,-0.216,0.211,0.172,2,-0.233,5.325,5,0.361,5.239,4.083,1.52,16.913,18.049,5,6.344,4.35,9.79,13.501,14.648,15.768,127.952,105.537,89.031,51.645,204.461,6.541,4.314,1.184,11.247,4.744,0.118,4.903,9.002,0.584,1,1.082,12.413,3.043,2.55
