pXC50,Eig01_AEA.ed.,Eig01_AEA.ri.,Eig01_EA,Eig01_EA.ed.,Eta_sh_x,MATS7m,NssssC,SM07_EA.ed.,SM08_EA.ed.,SM09_AEA.bo.,SM09_EA.ed.,SM10_AEA.dm.,SM10_EA.ed.,SM11_EA.ed.,SM12_AEA.ed.,SM12_EA.ed.,SM13_AEA.ed.,SM13_EA.ed.,SM14_AEA.ed.,SM14_EA,SM14_EA.ed.,SM15_AEA.ed.,SM15_EA,SM15_EA.ed.,SpDiam_AEA.dm.,SpDiam_EA,SpDiam_EA.ed.,SpMax_AEA.ed.,SpMax_AEA.ri.,SpMax_EA,SpMax_EA.ed.,SssssC,SpDiam_AEA.ed.,C.002,DBI,DECC,Eta_C_A,H.046,JGI2,nCs,nCsp3,NssCH2,PHI,P_VSA_LogP_2,P_VSA_MR_5,SPI,SpMin4_Bh.s.,SpMin5_Bh.s.,SssCH2,TIE,Uindex,PCR,SpMaxA_EA.ed.,Eig01_AEA.dm.,SpMAD_EA.bo.,SpMax_AEA.dm.,GATS3i,MATS3p,GATS1i,GATS8m,GATS3e,AAC,AMW,BIC1,BLI,C.,CIC1,CIC5,Eta_beta_A,Eta_betaP_A,Eta_betaS_A,Eta_FL_A,Eta_L_A,H.,IC0,IC1,LOC,MCD,Mp,Mv,PW2,RBF,SIC1,SIC5,SpMAD_AEA.bo.,X0Av,X1Av,X2Av,X3Av,H.052,GATS3p,MATS3i,Eig01_EA.dm.,Eta_sh_y,GATS3v,nCsp2,PCD,SpDiam_EA.dm.,SpMax_EA.dm.,GATS1p,GATS1v,GATS3s,IC2,IC4,SdsCH,ARR,GATS1m,IC5,MATS2e,X4Av,X5Av
4.745,7.776,4.56,3.585,14.574,0.035,0.01,1,18.75,21.453,3.585,24.113,14.574,26.798,29.472,24.659,32.153,26.699,34.83,28.741,17.882,37.51,30.786,19.155,40.189,6.168,5.577,22.541,7.776,4.56,3.585,14.574,-0.933,7.766,15,5.099,2.544,1.302,31,0.074,15,21,16,14.981,44.668,53.493,17.056,1.188,1.051,18.736,137.052,98.578,1.068,0.486,4.189,1.455,4.189,1.098,-0.037,1.551,1.035,0.841,1.238,5.739,0.359,1.205,33.8,3.961,1.662,0.717,0.15,0.567,0.108,0.378,59.5,1.238,2.249,3.482,0.167,0.595,0.543,0.529,0.27,0.362,0.732,1.374,0.653,0.402,0.237,0.139,2,1.084,-0.052,2.509,0.106,1.014,4,0.445,4.291,2.509,1.527,1.373,0.83,3.269,4.17,3.166,0.0,1.078,4.548,0.095,0.079,0.052
4.076,6.726,4.137,3.128,10.828,0.0,0.025,0,16.631,19.102,3.128,21.422,10.828,23.836,26.197,22.927,28.591,24.818,30.965,26.713,15.975,33.352,28.611,17.105,35.731,5.983,5.12,17.411,6.726,4.137,3.128,10.828,0.0,6.716,15,4.528,2.607,1.242,34,0.059,15,19,15,13.449,38.018,46.843,14.124,1.203,1.064,19.724,102.424,77.854,1.075,0.416,4.005,1.465,4.005,1.042,-0.028,1.446,0.938,0.725,1.171,5.525,0.34,1.269,34.8,3.97,1.761,0.712,0.173,0.538,0.089,0.399,60.6,1.171,2.074,3.516,0.192,0.6,0.541,0.527,0.258,0.343,0.709,1.368,0.659,0.423,0.26,0.16,0,1.035,-0.039,2.509,0.16,0.991,4,0.474,4.291,2.509,1.436,1.353,0.772,2.941,3.86,3.447,0.0,1.143,4.283,0.114,0.097,0.068
4.903,9.099,5.232,4.229,19.812,0.038,0.018,2,20.938,23.925,4.229,26.89,19.812,29.874,32.854,26.599,35.839,28.783,38.824,30.973,20.21,41.809,33.168,21.646,44.795,6.622,6.229,29.621,9.099,5.232,4.229,19.812,-2.01,9.09,31,7.141,4.436,1.804,69,0.078,31,42,31,22.852,78.57,96.221,33.028,1.391,1.372,36.964,308.968,147.917,1.059,0.348,4.63,1.488,4.63,1.077,0.005,1.444,1.035,0.659,1.193,5.63,0.291,1.226,35.0,5.015,2.24,0.691,0.127,0.564,0.08,0.408,59.9,1.193,2.083,3.422,0.182,0.601,0.545,0.541,0.259,0.294,0.684,1.412,0.658,0.409,0.238,0.135,0,1.065,-0.01,2.567,0.171,0.997,6,0.516,4.356,2.567,1.431,1.332,0.733,3.165,4.339,1.838,0.0,1.107,4.858,0.141,0.076,0.043
4.903,7.353,4.515,3.509,13.298,0.0,0.052,0,18.323,20.94,3.509,23.424,13.298,26.006,28.548,24.392,31.125,26.333,33.69,28.281,17.694,36.269,30.236,18.923,38.845,6.087,5.509,21.066,7.353,4.515,3.509,13.298,0.0,7.343,31,6.964,4.086,1.719,67,0.049,31,40,32,28.375,98.687,116.337,33.15,1.39,1.37,37.2,335.167,174.858,1.157,0.211,4.087,1.557,4.087,1.031,0.023,1.384,1.07,0.671,1.217,5.719,0.346,1.207,36.5,4.677,2.041,0.795,0.238,0.557,0.111,0.379,58.8,1.217,2.532,3.099,0.246,0.611,0.554,0.535,0.253,0.351,0.717,1.391,0.645,0.402,0.238,0.138,2,1.017,0.008,2.495,0.204,0.971,14,1.384,4.249,2.495,1.353,1.278,0.722,3.722,4.764,1.894,0.095,1.1,5.169,0.134,0.078,0.045
4.301,7.104,4.329,3.367,12.286,0.0,0.025,0,17.604,20.175,3.367,22.601,12.286,25.128,27.606,23.756,30.119,25.677,32.616,27.605,17.04,35.126,29.539,18.239,37.63,5.925,5.367,19.713,7.104,4.329,3.367,12.286,0.0,7.088,12,4.899,2.263,1.269,26,0.061,14,19,13,13.359,32.52,53.295,19.48,1.176,1.147,13.952,130.763,85.296,1.189,0.351,3.925,1.613,3.925,1.08,-0.008,1.423,1.011,0.847,1.291,5.972,0.452,1.143,36.7,3.4,0.839,0.882,0.309,0.574,0.146,0.34,57.0,1.291,2.904,2.787,0.324,0.615,0.563,0.544,0.213,0.461,0.867,1.416,0.633,0.381,0.217,0.124,2,1.026,-0.028,2.443,0.24,0.985,10,1.352,4.174,2.443,1.333,1.238,0.86,4.193,5.199,1.576,0.171,1.045,5.465,0.069,0.07,0.04
5.066,7.351,4.513,3.507,13.289,0.0,0.054,0,18.301,20.921,3.507,23.409,13.289,25.993,28.536,24.364,31.113,26.309,33.678,28.261,17.672,36.257,30.218,18.905,38.833,6.034,5.507,21.052,7.351,4.513,3.507,13.289,0.0,7.334,22,6.083,3.2,1.603,51,0.057,22,30,22,19.681,55.76,73.41,28.671,1.337,1.305,24.345,274.854,134.998,1.111,0.289,4.089,1.548,4.089,1.041,0.034,1.402,1.076,0.62,1.244,5.897,0.351,1.187,35.5,4.344,1.486,0.75,0.189,0.561,0.104,0.381,57.9,1.244,2.397,3.046,0.2,0.605,0.555,0.541,0.25,0.356,0.78,1.411,0.641,0.396,0.229,0.131,0,1.033,0.019,2.495,0.258,0.968,8,0.896,4.249,2.495,1.39,1.287,0.671,3.64,4.806,1.62,0.0,1.052,5.255,0.166,0.073,0.041
4.699,7.352,4.514,3.509,13.293,0.0,-0.014,0,18.31,20.931,3.509,23.416,13.293,26.0,28.542,24.377,31.119,26.32,33.684,28.27,17.69,36.263,30.226,18.92,38.839,6.06,5.509,21.063,7.352,4.514,3.509,13.293,0.0,7.342,30,7.141,4.266,1.852,67,0.046,32,42,30,27.86,76.036,128.987,37.273,1.39,1.369,35.496,417.745,201.71,1.102,0.229,4.093,1.52,4.093,0.986,0.054,1.426,1.037,0.922,1.184,5.59,0.305,1.25,35.0,4.959,2.207,0.697,0.149,0.548,0.08,0.404,60.1,1.184,2.201,3.441,0.158,0.601,0.543,0.541,0.257,0.307,0.692,1.407,0.661,0.417,0.25,0.139,12,0.98,0.048,2.495,0.238,0.954,8,0.864,4.249,2.495,1.416,1.336,0.744,3.354,4.451,1.663,0.0,1.136,4.953,0.201,0.078,0.044
4.301,7.35,4.511,3.506,13.28,0.0,-0.011,0,18.295,20.913,3.506,23.402,13.28,25.985,28.527,24.36,31.104,26.305,33.669,28.257,17.664,36.247,30.214,18.898,38.823,5.94,5.506,21.04,7.35,4.511,3.506,13.28,0.0,6.893,2,4.123,0.976,1.115,11,0.088,2,10,2,5.838,5.069,22.719,18.226,0.745,0.595,0.791,106.884,50.68,1.146,0.511,4.089,1.758,4.089,1.119,0.026,1.296,0.955,0.752,1.452,7.455,0.557,0.946,38.3,2.35,0.49,0.95,0.34,0.61,0.188,0.285,46.8,1.452,3.205,1.472,0.36,0.629,0.613,0.578,0.146,0.577,0.912,1.52,0.588,0.315,0.161,0.091,0,1.1,0.008,2.495,0.485,0.97,8,1.008,4.249,2.495,1.271,1.083,0.831,4.469,4.937,1.469,0.0,0.775,5.065,0.157,0.05,0.029
4.796,7.639,4.521,3.542,13.906,0.039,0.036,1,18.419,21.082,3.542,23.689,13.906,26.33,28.955,24.447,31.59,26.468,34.22,28.493,17.71,36.853,30.519,18.972,39.485,6.139,5.534,21.767,7.639,4.521,3.542,13.906,-1.36,7.629,15,4.796,2.546,1.267,31,0.081,15,19,15,12.537,38.018,46.843,15.832,1.182,1.043,18.253,126.868,82.952,1.074,0.515,4.16,1.48,4.16,1.069,-0.041,1.435,0.936,0.904,1.217,5.681,0.368,1.231,34.3,3.811,1.735,0.713,0.167,0.546,0.094,0.39,59.7,1.217,2.255,3.472,0.185,0.598,0.543,0.539,0.254,0.372,0.714,1.394,0.649,0.41,0.243,0.146,2,1.057,-0.055,2.509,0.117,1.0,4,0.466,4.291,2.509,1.425,1.332,0.936,3.009,3.915,2.782,0.0,1.115,4.331,0.103,0.086,0.06
5.602,7.199,4.428,3.428,12.718,0.0,0.052,0,17.982,20.567,3.428,23.006,12.718,25.549,28.046,24.105,30.582,26.03,33.103,27.961,17.357,35.639,29.897,18.564,38.171,5.953,5.428,20.329,7.199,4.428,3.428,12.718,0.0,7.189,31,6.595,4.584,1.729,70,0.049,31,38,31,25.752,78.57,96.221,30.108,1.391,1.374,36.816,316.676,167.651,1.101,0.245,3.987,1.497,3.987,1.036,0.022,1.395,1.047,0.577,1.175,5.544,0.308,1.26,34.9,4.832,2.227,0.681,0.137,0.544,0.076,0.411,60.5,1.175,2.18,3.481,0.176,0.6,0.541,0.534,0.262,0.311,0.682,1.388,0.654,0.42,0.254,0.153,0,1.033,0.014,2.495,0.204,0.997,7,0.838,4.249,2.495,1.388,1.326,0.576,3.251,4.32,1.794,0.0,1.16,4.784,0.199,0.088,0.051
