pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
4.268,10.757,33.3,25.0,1.108,1.146,0.632,0.701,129.08,8.3,5,12,0,6,9,0,12,4,0,0,4,0,1,0,3,5,0,0,1,4,0,0,9,0,0,33.3,0.083,1,12.5,13.295,13.751,7.585,8.407,0.0
5.0,13.285,27.3,18.2,1.115,1.14,0.729,0.761,146.14,18.2,5,11,0,6,9,0,11,3,0,0,3,0,1,0,2,6,1,0,2,3,0,1,9,0,0,27.3,0.091,1,12.5,12.262,12.545,8.023,8.374,0.0
4.398,7.301,45.8,45.8,1.001,1.113,0.671,0.639,350.44,0.0,17,48,0,18,28,0,50,22,0,0,17,5,1,0,22,4,0,0,0,4,0,0,26,0,0,8.3,0.1,5,37.5,48.029,53.405,32.193,30.654,0.0
6.0,7.219,42.1,47.4,1.007,1.12,0.649,0.621,274.34,0.0,11,38,0,12,21,0,39,16,0,0,11,5,1,0,18,4,0,0,0,4,0,0,20,0,0,10.5,0.051,2,27.5,38.262,42.574,24.671,23.6,0.0
5.222,7.437,42.9,45.7,1.011,1.119,0.655,0.631,260.31,0.0,11,35,0,12,20,0,36,15,0,0,11,4,1,0,16,4,0,0,0,4,0,0,19,0,0,11.4,0.083,3,26.5,35.378,39.159,22.909,22.074,0.0
4.886,7.696,43.8,43.8,1.015,1.117,0.661,0.642,246.28,0.0,11,32,0,12,19,0,33,14,0,0,11,3,1,0,14,4,0,0,0,4,0,0,18,0,0,12.5,0.03,1,25.5,32.494,35.744,21.148,20.547,0.0
4.658,8.009,44.8,41.4,1.021,1.115,0.668,0.656,232.25,0.0,11,29,0,12,18,0,30,13,0,0,11,2,1,0,12,4,0,0,0,4,0,0,17,0,0,13.8,0.033,1,24.5,29.611,32.329,19.386,19.02,0.0
4.585,9.896,22.2,33.3,1.107,1.171,0.57,0.633,89.06,11.1,0,9,0,2,5,0,8,2,0,0,2,0,2,0,3,4,0,0,1,3,0,0,6,0,0,33.3,0.125,1,7.0,9.967,10.542,5.131,5.693,0.0
4.894,8.442,50.0,36.7,1.017,1.107,0.706,0.693,253.27,3.3,16,30,0,17,21,0,32,15,0,0,15,0,1,0,11,4,0,0,1,3,0,0,19,0,0,10.0,0.063,2,30.0,30.502,33.203,21.176,20.8,0.0
4.577,8.442,50.0,36.7,1.017,1.107,0.706,0.693,253.27,3.3,16,30,0,17,21,0,32,15,0,0,15,0,1,0,11,4,0,0,1,3,0,0,19,0,0,10.0,0.063,2,30.0,30.502,33.203,21.176,20.8,0.0
5.051,9.735,48.5,30.3,1.058,1.141,0.689,0.711,321.27,3.0,16,33,0,17,25,0,35,16,0,0,15,1,1,3,10,7,0,0,1,3,0,0,23,0,3,9.1,0.057,2,34.0,34.923,37.637,22.75,23.477,9.1
4.893,8.9,28.0,41.3,1.05,1.15,0.636,0.625,667.53,9.3,10,75,0,14,48,0,79,21,0,0,8,13,4,0,31,23,2,0,7,14,2,0,44,0,0,18.7,0.139,11,57.0,78.731,86.265,47.665,46.853,0.0
4.217,8.769,37.8,43.2,1.014,1.118,0.703,0.655,324.46,5.4,10,37,0,12,22,0,38,14,0,0,9,5,2,0,16,7,2,0,2,3,0,2,21,0,0,8.1,0.184,7,29.0,37.524,41.371,26.0,24.249,0.0
4.456,8.462,35.0,45.0,1.01,1.129,0.689,0.639,338.5,10.0,10,40,0,12,23,0,41,14,0,0,9,5,2,0,18,8,2,0,4,2,0,2,22,0,0,5.0,0.171,7,30.0,40.4,45.158,27.557,25.577,0.0
5.377,8.3,38.7,41.9,1.024,1.128,0.665,0.646,514.61,6.5,16,62,0,20,38,0,64,24,0,0,17,7,4,0,26,12,1,0,4,7,0,1,36,0,0,11.3,0.188,12,50.0,63.494,69.946,41.227,40.071,0.0
5.509,8.33,37.7,43.5,1.019,1.126,0.672,0.642,574.74,5.8,16,69,0,20,41,0,71,26,0,0,17,9,4,0,30,13,2,0,4,7,0,2,39,0,0,10.1,0.211,15,53.0,70.338,77.697,46.398,44.312,0.0
4.064,7.976,39.0,44.1,1.014,1.128,0.666,0.638,470.6,6.8,16,59,0,19,35,0,61,23,0,0,16,7,3,0,26,10,1,0,4,5,0,1,33,0,0,8.5,0.18,11,46.0,59.84,66.527,39.318,37.641,0.0
5.721,8.174,39.3,42.6,1.019,1.127,0.668,0.645,498.61,6.6,16,61,0,20,37,0,63,24,0,0,17,7,4,0,26,11,1,0,4,6,0,1,35,0,0,9.8,0.175,11,49.0,62.167,68.737,40.773,39.356,0.0
4.53,8.484,39.0,40.7,1.027,1.128,0.669,0.653,500.58,6.8,16,59,0,20,37,0,61,23,0,0,17,6,4,0,24,12,1,0,4,7,0,1,35,0,0,11.9,0.18,11,49.0,60.611,66.531,39.466,38.544,0.0
6.538,8.217,38.2,44.1,1.015,1.125,0.676,0.641,558.74,5.9,16,68,0,20,40,0,70,26,0,0,17,9,4,0,30,12,2,0,4,6,0,2,38,0,0,8.8,0.2,14,52.0,69.011,76.487,45.943,43.597,0.0
5.131,8.496,37.9,42.4,1.022,1.125,0.676,0.648,560.71,6.1,16,66,0,20,40,0,68,25,0,0,17,8,4,0,28,13,2,0,4,7,0,2,38,0,0,10.6,0.206,14,52.0,67.454,74.281,44.636,42.785,0.0
6.301,8.026,40.3,43.5,1.015,1.123,0.67,0.643,497.62,4.8,16,62,0,20,37,0,64,25,0,0,17,8,4,0,27,10,1,0,3,6,0,1,35,0,0,9.7,0.188,12,49.0,62.949,69.654,41.529,39.862,0.0
6.569,8.083,39.1,44.9,1.011,1.122,0.677,0.639,557.75,4.3,16,69,0,20,40,0,71,27,0,0,17,10,4,0,31,11,2,0,3,6,0,2,38,0,0,8.7,0.211,15,52.0,69.792,77.404,46.699,44.102,0.0
4.886,8.79,40.0,40.0,1.031,1.129,0.675,0.66,703.2,5.0,24,80,0,26,51,0,83,32,1,0,24,8,2,1,32,16,2,0,4,9,0,1,48,0,2,11.3,0.193,16,65.0,82.52,90.31,53.977,52.819,2.5
4.87,9.124,40.2,37.8,1.041,1.127,0.675,0.67,748.19,3.7,24,82,0,27,54,0,85,33,1,0,25,8,3,1,31,18,2,0,3,12,0,1,51,0,2,14.6,0.2,17,69.0,85.4,92.439,55.335,54.942,2.4
5.62,8.79,40.0,40.0,1.031,1.129,0.675,0.66,703.2,5.0,24,80,0,26,51,0,83,32,1,0,24,8,2,1,32,16,2,0,4,9,0,1,48,0,2,11.3,0.193,16,65.0,82.52,90.31,53.977,52.819,2.5
5.62,9.199,42.1,36.8,1.036,1.125,0.69,0.681,699.16,5.3,24,76,0,28,51,0,79,32,1,0,26,6,4,1,28,16,2,0,4,9,0,1,48,0,2,11.8,0.203,16,67.0,78.753,85.479,52.455,51.765,2.6
6.921,9.003,39.8,38.6,1.038,1.129,0.673,0.666,747.21,4.8,24,83,0,27,54,0,86,33,1,0,25,8,3,1,32,18,2,0,4,11,0,1,51,0,2,13.3,0.198,17,69.0,86.174,93.728,55.886,55.248,2.4
6.488,9.124,40.2,37.8,1.041,1.127,0.675,0.67,748.19,3.7,24,82,0,27,54,0,85,33,1,0,25,8,3,1,31,18,2,0,3,12,0,1,51,0,2,14.6,0.2,17,69.0,85.4,92.439,55.335,54.942,2.4
4.229,8.863,41.8,39.2,1.031,1.124,0.683,0.668,700.19,3.8,24,79,0,27,51,0,82,33,1,0,25,8,3,1,31,15,2,0,3,9,0,1,48,0,2,11.4,0.22,18,66.0,81.418,88.811,53.972,52.797,2.5
5.699,7.437,42.9,45.7,1.011,1.119,0.655,0.631,260.31,0.0,11,35,0,12,20,0,36,15,0,0,11,4,1,0,16,4,0,0,0,4,0,0,19,0,0,11.4,0.056,2,26.5,35.378,39.159,22.909,22.074,0.0
6.699,8.205,45.1,41.2,1.028,1.134,0.662,0.654,418.44,0.0,17,51,0,18,32,0,53,23,0,0,17,6,1,3,21,7,0,0,0,4,0,0,30,0,3,7.8,0.075,4,41.5,52.451,57.839,33.767,33.331,5.9
7.0,7.219,42.1,47.4,1.007,1.12,0.649,0.621,274.34,0.0,11,38,0,12,21,0,39,16,0,0,11,5,1,0,18,4,0,0,0,4,0,0,20,0,0,10.5,0.077,3,27.5,38.262,42.574,24.671,23.6,0.0
6.155,7.301,45.8,45.8,1.001,1.113,0.671,0.639,350.44,0.0,17,48,0,18,28,0,50,22,0,0,17,5,1,0,22,4,0,0,0,4,0,0,26,0,0,8.3,0.08,4,37.5,48.029,53.405,32.193,30.654,0.0
5.097,7.676,47.6,42.9,1.006,1.109,0.683,0.657,322.38,0.0,17,42,0,18,26,0,44,20,0,0,17,3,1,0,18,4,0,0,0,4,0,0,24,0,0,9.5,0.068,3,35.5,42.262,46.574,28.671,27.6,0.0
