pXC50,MSD,Yindex,IDE,Eig07_EA,SM15_AEA.bo.,DECC,AECC,Eig07_AEA.ri.,UNIP,Eig08_EA.ri.,HVcpx,Eig07_EA.ed.,SM02_AEA.ri.,Vindex,Chi0_EA.dm.,Eig07_EA.ri.,SpMax3_Bh.i.,Eig08_EA.ed.,SM03_AEA.ri.,RDCHI,Eig08_AEA.ri.,X4sol,Eig06_EA,SM14_AEA.bo.,SpMax8_Bh.e.,Eig08_AEA.ed.,CSI,Xindex,ICR,Eig09_EA.ri.,X0v,ECC,IDMT,Eig11_AEA.ri.,Eig07_AEA.ed.,GMTI,X4v,SpMax5_Bh.m.,CATS2D_08_DP,SMTI,AMR,MDDD,SpMax3_Bh.v.,IDET,SpMax8_Bh.v.,SpMin3_Bh.v.,Eta_alpha,Xu,Eig06_AEA.ed.,SpMax8_Bh.m.,X2sol,SpAD_AEA.ed.,SpMax3_Bh.p.,SpMax8_Bh.p.,SpMax7_Bh.p.,Eig11_EA.ri.,Eig10_EA.ri.,MW,Eig11_EA.ed.,SM06_AEA.ri.,SpMin3_Bh.p.,CATS2D_04_DL,Psi_i_1,SMTIV,X1sol,X3sol,Eig09_AEA.ed.,ATSC5m,Eig12_EA.ed.
5.35,6.08,0.579,3.463,1.527,1.527,1.451,10.037,2.455,97.0,1.139,3.291,3.75,3.75,0.203,4.368,1.403,3.867,3.032,3.032,3.869,2.169,8.451,1.805,1.805,2.854,3.913,587.0,0.312,2.75,1.0,15.334,271.0,15393.9,1.984,4.272,8549.0,3.378,3.463,0,8183.0,105.742,25.295,3.748,1215.67,2.715,1.928,13.152,25.663,4.69,2.687,12.132,46.538,3.747,2.735,2.735,0.983,1.0,377.47,2.275,2.275,1.923,4,15.524,14750.0,13.464,10.274,3.711,19.997,2.192
5.35,6.034,0.551,3.486,1.44,1.44,1.856,10.4,2.382,89.0,1.26,3.346,3.102,3.102,0.197,18.364,1.355,3.882,2.852,2.852,3.806,2.267,7.811,1.831,1.831,2.854,3.598,572.0,0.306,2.953,1.0,14.111,260.0,12517.9,1.984,3.792,7458.0,2.872,3.292,0,7000.0,100.976,23.142,3.758,1045.76,2.715,1.939,12.314,24.261,4.658,2.687,11.219,41.88,3.757,2.735,2.735,0.983,0.99,346.84,2.136,2.136,1.929,2,14.353,12027.0,12.582,9.415,3.562,17.499,1.119
4.523,8.816,0.379,4.051,2.149,2.149,2.479,15.333,3.117,207.0,1.887,3.818,6.04,6.04,0.142,36.989,2.068,3.869,5.529,5.529,4.894,2.913,11.568,2.387,2.387,3.289,4.897,1298.0,0.228,3.329,1.783,23.16,598.0,52076.0,2.293,5.051,26024.0,4.605,3.496,0,24443.0,153.448,51.546,3.734,3002.02,3.081,1.977,18.5,35.501,5.339,3.166,17.699,65.558,3.737,3.059,3.194,1.286,1.373,527.73,3.269,3.269,1.982,8,23.074,36729.0,18.775,13.957,4.668,46.823,2.868
5.0,5.899,0.661,3.422,1.519,1.519,1.485,9.88,2.474,83.0,1.226,3.247,3.779,3.779,0.234,16.843,1.423,3.858,3.641,3.641,3.689,2.33,7.314,1.829,1.829,2.794,4.146,524.0,0.36,2.713,0.999,15.827,247.0,12430.5,1.135,4.209,6836.0,2.937,3.361,0,6676.0,99.228,22.128,3.775,1026.7,2.678,1.68,12.895,24.228,4.887,2.872,11.547,41.981,3.788,2.716,2.768,0.158,0.415,478.68,0.394,0.394,1.699,4,14.073,13255.0,12.286,8.734,3.475,12.827,0.165
5.7,4.523,0.901,2.953,1.321,1.321,1.017,7.182,2.252,59.0,1.218,2.853,3.165,3.165,0.293,17.457,1.241,3.641,2.957,2.957,3.192,2.243,8.565,1.585,1.585,2.733,3.706,336.0,0.43,2.204,0.932,13.728,158.0,7175.9,0.76,3.827,4109.0,5.021,3.176,0,4072.0,87.781,12.818,3.46,682.077,2.492,1.872,10.7,20.831,4.075,2.509,11.108,38.106,3.504,2.516,2.799,-0.207,0.124,319.47,-0.49,-0.49,1.853,0,13.568,6560.0,11.304,9.602,3.459,40.448,-0.643
6.7,7.658,0.482,3.807,1.998,1.998,1.954,12.6,2.956,156.0,1.712,3.588,5.777,5.777,0.176,36.58,1.895,3.917,5.096,5.096,4.383,2.756,9.722,2.327,2.327,3.159,4.753,939.0,0.278,3.065,1.542,19.328,441.0,35659.4,2.446,4.956,17627.0,3.887,3.431,0,16985.0,125.221,36.485,3.736,2265.17,2.903,1.911,15.99,32.13,5.416,2.97,16.279,59.703,3.749,2.92,2.934,1.422,1.491,507.55,3.565,3.565,1.918,3,19.304,33557.0,16.097,12.471,4.734,33.221,3.12
6.7,9.626,0.297,4.204,2.3,2.3,2.852,17.093,3.272,238.0,1.942,4.006,6.806,6.806,0.112,30.357,2.219,3.962,5.983,5.983,5.392,2.998,15.064,2.411,2.411,3.175,5.044,1652.0,0.18,3.489,1.854,24.128,735.0,70880.2,2.427,5.306,37147.0,5.933,3.754,0,33514.0,169.241,66.581,3.849,3796.62,3.081,1.997,20.8,38.548,5.502,3.27,19.496,74.016,3.849,3.103,3.276,1.418,1.632,587.76,4.185,4.185,1.991,4,25.585,53511.0,21.646,16.773,4.684,39.082,3.85
5.7,5.04,0.715,3.195,1.0,1.0,1.25,8.55,2.0,59.0,0.934,3.092,2.468,2.468,0.252,10.938,1.0,3.524,2.275,2.275,3.247,1.958,6.968,1.493,1.493,2.35,3.414,366.0,0.386,2.485,0.572,12.571,171.0,6117.76,0.493,3.681,3709.0,2.93,3.174,0,3650.0,81.507,13.92,3.32,607.072,2.038,1.68,10.633,19.768,4.136,2.564,10.411,34.169,3.31,2.074,2.723,-0.243,0.094,349.22,-0.84,-0.84,1.696,1,11.118,7291.0,10.617,8.708,3.339,8.956,-2.0
5.9,7.649,0.413,3.845,2.028,2.028,2.129,13.242,2.937,151.0,1.622,3.66,6.05,6.05,0.153,28.849,1.825,3.905,4.684,4.684,4.399,2.66,10.046,2.217,2.217,3.111,4.542,962.0,0.243,3.132,1.485,19.117,437.0,30365.3,2.17,5.047,16477.0,4.48,3.356,0,15330.0,130.49,36.863,3.702,2030.13,2.91,1.948,15.686,30.79,5.171,2.994,14.011,57.709,3.684,2.935,2.941,1.158,1.361,471.0,3.302,3.302,1.953,1,19.721,25949.0,15.459,12.329,4.488,39.458,2.319
6.0,5.186,0.886,3.153,1.635,1.635,0.951,8.417,2.606,84.0,1.171,3.073,3.84,3.84,0.309,16.759,1.565,3.716,2.66,2.66,3.351,2.182,6.502,1.662,1.662,2.842,3.537,413.0,0.472,1.99,0.804,13.423,202.0,10151.8,0.938,4.114,5183.0,2.463,3.164,0,5298.0,90.619,12.0,3.523,870.365,2.559,1.856,11.0,22.799,4.485,2.661,10.379,38.276,3.53,2.55,2.739,0.0,0.292,334.4,0.0,0.0,1.84,8,13.258,9579.0,11.38,7.924,3.332,32.561,-0.672
