pXC50,SM06_EA.bo.,SpMax2_Bh.v.,SpMax2_Bh.p.,SpMax2_Bh.e.,SM08_AEA.bo.,SM09_EA.bo.,SM08_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,D.Dtr05,SpMax3_Bh.m.,SM12_EA.bo.,SM15_EA.bo.,SM05_EA.bo.,SM07_EA.bo.,SpMax4_Bh.m.,SpMax2_Bh.m.,IC2,piPC10,SpMax1_Bh.v.,Eta_betaP,nBM,Uc,Ui,SM07_AEA.bo.,MPC10,X4v,ZM1Mad,SpMax1_Bh.e.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SM04_EA.bo.,X3v,SpMax5_Bh.p.,SpMax1_Bh.p.,SpMax2_Bh.i.,SpMax1_Bh.m.,P_VSA_LogP_6,piPC03,SpMaxA_AEA.dm.,GATS6s,MPC07,MATS6s,SM03_EA.bo.,SpMaxA_EA.dm.,CATS2D_01_LL,nCsp2,MPC09,CATS2D_09_DL,MAXDP,SM06_EA.ri.,X4,X4sol,ATSC4p,Eig05_AEA.ri.,Eig05_EA,Eig05_EA.ri.,Eig08_AEA.ed.,Eig08_EA.ed.
9.796,10.157,3.893,3.896,3.991,13.737,13.899,12.707,15.414,16.741,19.637,21.124,175.279,3.903,18.233,22.572,8.409,11.127,3.856,4.086,5.103,7.198,4.059,35.5,32,5.044,4.459,12.364,5.858,10.642,478.43,4.142,4.474,4.474,7.474,4.474,7.826,15.133,3.649,4.054,4.028,4.179,13.915,5.518,0.048,1.08,5.501,-0.038,5.619,0.029,22,30,5.737,24,7.87,8.731,20.311,21.73,31.877,3.861,2.874,2.829,5.88,8.12
9.746,10.257,3.898,3.9,4.001,13.9,13.961,12.777,15.459,16.777,19.657,21.139,225.623,3.911,18.259,22.583,8.548,11.224,3.857,4.088,5.238,7.233,4.061,40.0,35,5.17,4.644,12.531,5.953,11.962,569.006,4.146,4.474,4.474,7.474,4.474,7.955,17.39,3.649,4.057,4.039,4.181,13.915,5.642,0.04,1.073,5.617,-0.053,5.798,0.024,22,33,5.846,28,8.073,8.909,23.89,25.308,36.392,3.901,2.918,2.86,5.959,8.349
9.538,10.226,3.896,3.899,3.998,13.852,13.943,12.755,15.445,16.766,19.652,21.135,209.05,3.909,18.251,22.58,8.504,11.194,3.856,4.087,5.24,7.225,4.061,38.5,34,5.129,4.585,12.482,5.932,11.642,540.737,4.145,4.474,4.474,7.474,4.474,7.915,16.738,3.649,4.056,4.036,4.18,13.915,5.606,0.042,1.079,5.58,-0.052,5.741,0.025,22,32,5.811,25,8.026,8.857,23.058,24.476,35.043,3.901,2.918,2.86,5.959,8.349
6.0,9.649,3.849,3.854,3.925,13.48,12.875,11.929,14.276,15.303,17.746,19.082,0.0,3.857,16.664,20.205,8.004,10.452,3.765,3.913,4.95,6.355,3.903,27.5,22,4.524,4.087,12.13,5.468,9.07,421.523,4.01,3.626,3.626,6.626,3.626,7.495,13.18,3.634,3.905,3.957,4.175,0.0,5.193,0.055,1.056,5.193,-0.052,5.4,0.033,16,22,5.389,18,7.323,8.549,16.592,18.011,27.592,3.772,2.784,2.743,5.734,7.574
7.77,9.99,3.886,3.891,3.976,13.472,13.775,12.577,15.321,16.659,19.584,21.082,119.85,3.889,18.169,22.537,8.162,10.946,3.85,4.085,4.812,7.11,4.057,30.5,29,4.907,4.248,12.098,5.624,9.167,373.148,4.138,4.474,4.474,7.474,4.474,7.629,12.472,3.64,4.052,4.013,4.175,13.915,5.336,0.061,1.22,5.298,-0.069,5.308,0.031,22,27,5.529,20,7.534,8.441,16.341,17.784,25.855,3.698,2.709,2.669,5.287,6.725
9.119,10.061,3.889,3.892,3.982,13.572,13.842,12.641,15.373,16.708,19.619,21.111,140.686,3.898,18.209,22.562,8.268,11.033,3.855,4.085,5.082,7.128,4.058,31.0,29,4.907,4.248,12.195,5.684,9.546,403.466,4.139,4.474,4.474,7.474,4.474,7.698,13.45,3.648,4.053,4.018,4.175,13.915,5.403,0.056,1.211,5.352,-0.072,5.427,0.034,22,27,5.58,21,7.597,8.554,17.475,18.909,28.274,3.78,2.792,2.75,5.768,7.68
5.0,10.027,3.886,3.888,3.978,13.504,13.819,12.616,15.356,16.693,19.611,21.105,191.977,3.856,18.198,22.557,8.223,10.999,3.753,3.908,5.017,7.079,4.057,31.0,29,4.907,4.248,12.128,5.489,6.635,340.247,4.138,4.474,4.474,7.474,4.474,7.656,9.956,3.572,4.052,4.013,4.09,13.915,5.343,0.06,1.206,5.22,-0.105,5.373,0.031,20,27,5.407,24,7.479,8.46,16.024,16.024,21.985,3.699,2.709,2.672,5.363,6.905
6.699,10.001,3.887,3.891,3.975,13.487,13.636,12.52,15.173,16.432,19.269,20.739,0.0,3.895,17.923,22.137,8.174,10.889,3.855,4.045,4.787,7.233,4.053,33.0,30,4.954,4.285,12.123,5.649,9.266,383.531,4.104,4.336,4.336,7.336,4.336,7.671,12.72,3.643,4.059,4.008,4.175,0.0,5.362,0.059,1.205,5.313,-0.089,5.373,0.03,26,29,5.591,19,7.558,8.46,16.557,18.0,27.385,3.7,2.712,2.672,5.363,6.913
5.0,10.031,3.887,3.891,3.978,13.51,13.82,12.617,15.357,16.694,19.611,21.105,122.609,3.896,18.199,22.557,8.223,11.0,3.855,4.085,4.978,7.132,4.057,31.0,29,4.907,4.248,12.134,5.652,9.185,381.252,4.138,4.474,4.474,7.474,4.474,7.663,12.565,3.64,4.052,4.014,4.175,13.915,5.357,0.06,1.186,5.318,-0.08,5.373,0.03,20,27,5.553,19,7.542,8.463,16.483,17.926,26.054,3.698,2.709,2.669,5.363,6.911
6.215,10.031,3.887,3.891,3.978,13.51,13.82,12.617,15.357,16.694,19.611,21.105,122.609,3.896,18.199,22.557,8.223,11.0,3.855,4.085,4.978,7.132,4.057,31.0,29,4.907,4.248,12.134,5.652,9.185,381.252,4.138,4.474,4.474,7.474,4.474,7.663,12.565,3.64,4.052,4.014,4.175,13.915,5.357,0.06,1.186,5.318,-0.08,5.373,0.03,20,27,5.553,19,7.542,8.463,16.483,17.926,26.054,3.698,2.709,2.669,5.363,6.911
