pXC50,P_VSA_LogP_4,SaaN,N.075,NaaN,C.039,nArCO,D.Dtr10,nArOCON,C.041,H.051,SM10_EA.dm.,SM12_EA.dm.,X5A,X4A,NaaaC,NNRS,nR10,Rbrid,RCI,RFD,SaaaC,SpMin1_Bh.p.,SpMin1_Bh.v.,JGI6,Eig01_EA.dm.,SM03_EA.dm.,SM05_EA.dm.,SM07_EA.dm.,SM09_EA.dm.,SM11_EA.dm.,SM13_EA.dm.,SM14_EA.dm.,SM15_EA.dm.,SpMax_EA.dm.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax1_Bh.p.,SpMax_EA.bo.,C.034,MATS2i,SpMAD_EA.dm.,GATS4e,MATS4p,JGI7,GATS2p,GATS2v,MATS2p,SIC5,nOxazoles,SM04_EA.dm.,SM06_EA.dm.,SM08_EA.dm.,SpDiam_EA.dm.,JGI2,Eta_sh_p,SpMin1_Bh.m.,GATS2i,Eig01_AEA.bo.,SpMax_AEA.bo.,SM09_EA.bo.,SM10_EA.bo.,CIC5
5.959,25.145,0.0,0,0,0,0,69.473,1,1,0,7.994,9.549,0.076,0.116,2,0.5,1,1,1.2,0.2,1.889,2.114,2.122,0.023,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.491,4.491,7.491,4.044,4.491,0,0.496,0.333,1.9,0.259,0.02,0.582,0.65,0.314,0.876,0,3.527,4.955,6.458,3.912,0.098,0.247,2.127,0.621,4.558,4.558,13.549,15.119,0.604
5.0,55.803,0.0,0,0,0,0,0.0,0,2,8,11.661,13.725,0.103,0.149,0,1.0,0,0,1.0,0.0,0.0,2.008,2.027,0.008,2.873,2.766,4.961,7.198,9.447,11.68,13.893,15.794,16.087,2.873,3.134,3.134,5.578,3.757,3.134,0,-0.191,0.742,1.439,0.034,0.008,1.398,1.32,-0.215,0.68,0,5.59,7.573,9.607,5.556,0.046,0.052,2.065,1.411,3.878,3.878,11.129,12.433,1.903
4.0,63.855,4.131,1,1,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.903,4.006,1,-0.156,0.095,1.277,-0.024,0.006,1.183,1.122,-0.173,0.896,1,1.845,2.271,2.72,2.555,0.059,0.028,2.084,1.192,4.347,4.347,12.777,14.345,0.583
4.0,112.584,0.0,0,0,0,0,0.0,0,0,1,9.717,11.5,0.092,0.137,0,1.0,0,0,1.0,0.0,0.0,2.052,2.055,0.015,2.472,2.882,4.982,6.893,8.741,10.563,12.373,13.291,14.178,2.472,3.341,3.341,5.341,3.812,3.341,0,-0.16,0.38,1.08,0.025,0.012,1.37,1.315,-0.172,0.829,0,4.579,6.22,7.95,4.213,0.058,0.181,2.083,1.373,4.214,4.214,11.323,12.552,1.102
4.0,63.855,4.051,1,1,1,1,0.0,0,0,2,3.184,3.658,0.086,0.13,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.011,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.014,4.014,7.014,3.877,4.014,2,-0.176,0.098,1.038,-0.013,0.007,1.206,1.112,-0.189,0.919,1,1.845,2.271,2.72,2.555,0.061,0.029,2.084,1.221,4.351,4.351,12.83,14.341,0.444
4.0,92.412,8.288,2,2,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.879,4.006,1,-0.187,0.095,1.166,-0.019,0.006,1.196,1.117,-0.187,0.923,1,1.845,2.271,2.72,2.555,0.059,0.028,2.084,1.241,4.347,4.347,12.777,14.345,0.426
4.0,63.855,4.117,1,1,1,1,0.0,0,0,2,3.184,3.658,0.086,0.13,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.011,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.014,4.014,7.014,3.948,4.014,2,-0.122,0.098,1.201,-0.002,0.007,1.098,1.08,-0.108,0.919,1,1.845,2.271,2.72,2.555,0.061,0.028,2.084,1.14,4.351,4.351,12.83,14.341,0.444
4.0,73.644,7.842,2,2,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.887,4.006,0,-0.178,0.095,1.235,-0.004,0.006,1.211,1.138,-0.189,0.893,0,1.845,2.271,2.72,2.555,0.059,0.028,2.084,1.216,4.347,4.347,12.777,14.345,0.596
4.046,102.201,11.875,3,3,1,1,0.0,0,0,2,3.184,3.658,0.087,0.131,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.006,4.006,7.006,3.875,4.006,0,-0.214,0.095,1.088,-0.022,0.006,1.225,1.134,-0.204,0.921,0,1.845,2.271,2.72,2.555,0.059,0.028,2.084,1.269,4.347,4.347,12.777,14.345,0.435
5.409,57.481,0.0,0,0,0,0,84.962,1,1,0,8.105,9.616,0.073,0.109,2,0.5,1,1,1.2,0.2,1.556,2.132,2.134,0.028,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.156,11.862,2.208,4.542,4.542,7.542,4.05,4.542,0,0.55,0.445,1.553,0.155,0.017,0.583,0.626,0.392,0.876,0,3.907,5.226,6.635,3.912,0.092,0.235,2.142,0.549,4.631,4.631,13.676,15.245,0.636
