pXC50,MATS2i,SssNH,CATS2D_04_DL,JGI1,nCrs,C.002,P_VSA_i_4,P_VSA_e_3,JGI7,NssCH2,NssNH,C.028,MATS3v,Chi1_EA.ed.,Chi0_EA.ed.,SaaN,nArCN,nTB,NtN,StN,NtsC,StsC,BLI,GATS3v,GMTI,GATS5v,NNRS,nCIR,CATS2D_06_LL,Rbrid,SpMAD_AEA.dm.,Eta_FL_A,GATS3p,ALOGP,ALOGP2,ATS3i,Yindex,JGI6,AMR,IDMT,SpMax2_Bh.p.,Eig15_EA.bo.,CATS2D_05_LL,SpMax7_Bh.m.,ON1V,Eta_alpha,RBN,JGT,Eig14_EA,SM08_AEA.dm.,CATS2D_06_AA,DLS_02,MATS5v,SpMax8_Bh.m.,SpMin1_Bh.p.,C.026,D.Dtr10,Eig12_EA.ed.,SM07_AEA.ri.,IAC,TIC0,GATS2p,GATS2v,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.
5.469,0.111,3.371,2,0.152,2,2,54.706,54.706,0.013,5,1,0,-0.116,4.279,8.884,9.058,0,0,0,0.0,0,0.0,1.0,1.095,4825.0,0.742,1.0,3,4,0,1.457,0.236,1.142,3.835,14.706,4.927,0.581,0.009,88.907,7827.19,3.755,-1.177,2,2.687,2.751,10.1,4,0.324,-0.883,-0.883,0,1.0,0.181,2.634,2.066,0,0.0,-1.003,-1.003,57.735,57.735,1.047,1.04,14.499,14.499,14.499
4.86,0.088,3.379,2,0.114,2,3,54.706,54.706,0.003,6,1,0,-0.054,4.22,8.784,8.952,0,0,0,0.0,0,0.0,0.992,1.015,4451.0,1.033,1.0,3,4,0,1.44,0.249,1.038,3.448,11.889,4.836,0.552,0.009,84.512,6909.82,3.733,-1.5,1,2.687,2.585,9.6,5,0.246,-1.0,-1.0,0,1.0,-0.095,2.583,2.027,0,0.0,-1.349,-1.349,54.439,54.439,1.075,1.069,14.052,14.052,14.052
4.0,0.08,3.39,2,0.109,0,1,54.706,54.706,0.003,6,1,0,-0.085,4.47,9.284,9.017,0,0,0,0.0,0,0.0,1.11,1.043,5049.0,0.894,1.0,3,2,0,1.555,0.224,1.121,3.419,11.692,4.811,0.544,0.009,92.22,8073.2,3.729,-1.22,1,2.76,2.501,10.433,5,0.241,-1.0,-1.0,0,1.0,0.024,2.687,2.035,0,0.0,-1.153,-1.153,61.221,61.221,1.196,1.081,14.759,14.759,14.759
4.0,0.198,3.393,2,0.146,0,1,57.83,57.83,0.007,6,1,0,-0.108,4.507,9.37,9.048,0,0,0,0.0,0,0.0,0.982,1.087,5682.0,0.813,1.0,3,2,0,1.435,0.255,1.095,2.944,8.669,4.936,0.534,0.012,93.022,9399.74,3.712,-1.001,1,2.765,2.735,10.5,5,0.312,-0.811,-0.811,0,1.0,0.115,2.687,2.058,0,0.0,-0.335,-0.335,61.995,61.995,0.925,0.955,15.206,15.206,15.206
4.752,0.09,3.404,2,0.146,2,3,54.706,54.706,0.007,6,1,0,-0.081,4.507,9.37,9.086,0,0,0,0.0,0,0.0,1.021,1.061,5682.0,0.813,1.0,3,4,0,1.444,0.227,1.09,4.156,17.272,5.011,0.534,0.012,93.661,9399.74,3.76,-1.001,1,2.766,3.001,10.6,5,0.312,-0.811,-0.811,0,1.0,0.106,2.687,2.065,0,0.0,-0.335,-0.335,60.986,60.986,1.075,1.066,15.206,15.206,15.206
5.051,0.159,3.439,3,0.115,2,2,54.706,54.706,0.007,5,1,0,-0.025,4.676,9.836,9.055,0,0,0,0.0,0,0.0,0.944,0.993,6387.0,1.095,0.75,5,5,1,1.483,0.269,1.023,4.035,16.283,4.887,0.512,0.008,96.207,9965.88,3.736,-0.927,4,2.713,2.737,11.1,4,0.278,-0.618,-0.618,0,1.0,-0.149,2.583,2.137,0,96.162,1.226,1.226,58.18,58.18,0.975,0.979,16.206,16.206,16.206
4.553,0.197,3.424,3,0.111,0,0,54.706,54.706,0.006,5,1,0,-0.015,4.926,10.336,9.027,0,0,0,0.0,0,0.0,0.918,0.973,7157.0,1.009,0.75,5,3,1,1.487,0.279,0.963,3.262,10.64,4.877,0.498,0.008,97.742,11466.9,3.699,-0.927,4,2.848,2.654,11.433,4,0.273,-0.506,-0.506,0,1.0,-0.045,2.752,2.138,0,101.283,1.229,1.229,65.066,65.066,0.909,0.93,16.913,16.913,16.913
4.46,0.141,3.45,3,0.111,0,0,54.706,54.706,0.006,5,1,0,-0.069,4.926,10.336,9.12,0,0,0,0.0,0,0.0,1.046,1.025,7157.0,0.971,0.75,5,3,1,1.584,0.246,1.112,4.007,16.053,4.864,0.498,0.008,103.916,11466.9,3.731,-0.927,4,2.866,2.654,11.933,4,0.273,-0.506,-0.506,0,1.0,-0.032,2.788,2.138,0,101.283,1.229,1.229,65.066,65.066,1.117,1.0,16.913,16.913,16.913
5.585,0.272,3.453,3,0.143,0,0,57.83,57.83,0.009,5,1,0,-0.083,4.963,10.422,9.151,0,0,0,0.0,0,0.0,0.939,1.057,7970.0,0.889,0.75,5,3,1,1.477,0.272,1.07,3.532,12.471,4.983,0.484,0.011,104.717,13163.7,3.714,-0.899,4,2.866,2.887,12.0,4,0.33,-0.286,-0.286,0,1.0,0.067,2.792,2.138,0,107.718,1.231,1.231,65.988,65.988,0.84,0.877,17.361,17.361,17.361
4.0,0.225,3.361,2,0.152,0,0,57.83,57.83,0.013,5,1,0,-0.151,4.279,8.884,9.021,0,0,0,0.0,0,0.0,0.959,1.127,4825.0,0.739,1.0,3,2,0,1.45,0.265,1.154,2.623,6.881,4.845,0.581,0.009,88.267,7827.19,3.704,-1.177,2,2.687,2.485,10.0,4,0.324,-0.883,-0.883,0,1.0,0.195,2.634,2.06,0,0.0,-1.003,-1.003,58.629,58.629,0.882,0.918,14.499,14.499,14.499
