pXC50,O.,nAB,Sp,MW,nC,nBO,SCBO,nSK,Se,nCsp2,nBM,RBN,Si,Sv,RBF
4.896,0.0,18,38.892,444.48,24,32,41.0,29,53.472,18,18,6,59.995,35.47,0.105
5.4,0.0,18,38.892,444.48,24,32,41.0,29,53.472,18,18,6,59.995,35.47,0.105
4.893,1.4,12,47.296,496.19,29,39,46.0,34,68.894,13,13,7,78.336,42.991,0.093
4.979,0.0,12,40.319,416.1,24,31,37.0,28,58.8,12,12,6,67.296,36.223,0.095
5.921,0.0,24,45.557,486.14,30,38,50.0,34,62.916,24,24,7,70.881,41.696,0.103
6.515,0.0,18,39.75,478.92,24,33,42.0,30,53.796,18,18,6,59.939,36.297,0.105
5.389,0.0,18,37.722,499.99,24,36,45.0,33,55.712,18,18,6,61.749,36.559,0.105
4.924,0.0,18,39.387,488.93,24,32,41.0,29,53.378,18,18,6,59.892,35.668,0.105
5.491,0.0,18,38.034,410.04,24,31,40.0,28,53.149,18,18,6,60.051,34.642,0.105
5.53,4.8,18,44.159,508.1,28,39,50.0,35,63.014,21,20,7,70.094,41.314,0.104
5.268,3.2,18,42.466,470.1,26,35,44.0,32,61.571,18,18,8,69.3,39.126,0.123
5.387,0.0,18,45.08,466.16,28,35,44.0,32,64.683,18,18,7,73.711,40.75,0.101
4.469,2.1,12,32.699,354.91,21,28,35.0,25,47.574,13,13,4,53.717,30.38,0.078
4.0,2.4,11,26.324,271.4,16,21,27.5,20,40.585,11,12,6,46.441,24.52,0.143
4.301,28.6,10,18.42,310.2,10,23,34.0,22,30.909,10,16,5,32.084,20.331,0.172
4.301,18.8,5,19.551,271.26,10,19,25.5,19,33.687,6,9,5,36.827,19.987,0.156
4.602,13.2,16,26.097,339.33,17,27,39.0,25,39.36,16,20,5,42.618,26.272,0.125
4.301,23.5,5,10.597,171.13,5,12,17.5,12,18.498,5,8,2,19.748,11.45,0.118
2.699,3.7,0,19.727,234.44,9,12,16.0,13,26.742,6,4,8,29.876,16.964,0.308
2.699,3.7,0,19.727,234.44,9,12,16.0,13,26.742,6,4,8,29.876,16.964,0.308
4.301,11.1,6,23.909,272.32,16,21,28.0,20,36.378,11,10,5,40.159,23.074,0.135
4.301,10.3,6,25.671,286.35,17,22,29.0,21,39.262,11,10,6,43.574,24.6,0.15
4.301,13.5,6,24.364,288.32,16,22,29.0,21,37.705,11,10,5,41.369,23.788,0.132
4.301,12.5,6,26.125,302.35,17,23,30.0,22,40.589,11,10,6,44.784,25.315,0.146
4.0,0.0,12,16.949,203.29,10,15,21.0,14,23.033,9,12,2,25.661,15.832,0.083
4.367,0.0,16,18.915,228.69,13,18,26.0,16,25.062,13,16,0,27.601,17.978,0.0
4.975,0.0,20,36.41,376.56,22,31,41.0,28,55.33,14,20,9,63.557,33.923,0.153
5.26,1.6,16,39.75,414.04,24,31,39.0,29,60.21,13,16,10,68.876,36.508,0.159
4.959,0.0,16,37.535,384.01,23,29,37.0,27,56.0,13,16,9,64.252,34.267,0.153
4.602,10.4,6,30.654,345.43,19,26,33.0,25,48.458,11,10,6,54.113,29.39,0.122
4.301,11.1,6,34.625,386.48,22,29,37.0,28,54.451,12,11,12,60.654,33.137,0.218
4.569,1.7,16,37.131,365.57,23,29,37.0,27,57.003,13,16,9,65.517,34.154,0.15
4.77,7.5,12,67.932,740.98,42,58,72.0,54,106.232,22,20,18,119.633,64.447,0.164
5.046,6.3,12,42.733,471.6,28,38,50.0,35,64.101,20,18,10,71.73,40.772,0.149
4.523,7.2,12,54.449,597.77,35,47,61.0,44,83.174,22,20,15,93.225,51.835,0.174
4.301,5.5,6,56.296,596.86,32,46,54.0,43,90.803,12,11,14,103.756,52.765,0.149
4.301,12.5,6,31.102,358.42,20,27,35.0,26,48.683,12,11,10,53.824,30.084,0.204
4.032,8.8,12,58.881,657.83,37,51,65.0,48,91.596,22,20,17,102.474,56.319,0.181
4.799,7.0,12,56.211,611.8,36,48,62.0,45,86.058,22,20,16,96.64,53.362,0.18
4.301,16.1,6,20.841,260.26,14,20,27.0,19,31.938,11,10,3,34.538,20.735,0.094
4.757,6.7,6,47.239,510.7,28,40,48.0,37,75.065,12,11,8,85.099,44.615,0.103
5.187,5.1,12,50.785,542.74,32,43,55.0,40,77.738,20,18,15,87.889,47.9,0.185
4.244,7.1,12,38.205,428.52,26,35,47.0,32,56.232,20,18,7,62.401,36.697,0.119
4.244,2.4,6,51.171,510.81,29,40,46.0,37,81.937,10,9,11,94.713,47.094,0.128
4.244,6.5,6,28.995,317.43,17,24,30.0,23,46.123,10,9,8,52.275,27.477,0.17
4.301,8.5,6,30.443,342.43,19,27,34.0,25,47.349,11,10,3,52.986,29.17,0.061
5.222,3.5,6,35.83,370.55,21,29,35.0,27,56.549,10,9,8,64.81,33.364,0.136
4.244,5.4,6,24.012,258.35,15,20,26.0,19,36.927,10,9,5,41.737,22.687,0.132
4.699,8.2,12,62.404,685.89,39,53,67.0,50,97.363,22,20,19,109.305,59.372,0.19
4.602,9.3,6,34.176,373.49,21,28,35.0,27,54.225,11,10,8,60.943,32.444,0.145
4.26,9.1,12,57.12,643.8,36,50,64.0,47,88.712,22,20,16,99.059,54.792,0.176
4.244,4.1,6,31.302,327.47,19,26,32.0,24,48.68,10,9,5,55.481,29.289,0.098
4.553,5.0,6,37.046,388.57,21,29,35.0,28,59.76,10,9,13,68.434,34.605,0.213
4.432,7.8,12,65.927,713.95,41,55,69.0,52,103.13,22,20,21,116.135,62.426,0.198
5.447,7.1,12,71.455,769.04,44,60,74.0,56,111.999,22,20,20,126.464,67.501,0.172
4.301,14.7,6,22.602,274.29,15,21,28.0,20,34.822,11,10,4,37.953,22.262,0.114
4.495,6.6,6,38.495,413.57,23,32,39.0,30,60.985,11,10,8,69.145,36.299,0.127
4.602,9.8,6,32.415,359.46,20,27,34.0,26,51.342,11,10,7,57.528,30.917,0.135
5.0,5.3,12,50.023,540.72,32,44,56.0,40,75.854,20,18,10,85.474,47.374,0.125
6.097,4.6,6,66.864,681.04,38,52,60.0,49,108.105,12,11,20,124.247,61.926,0.179
4.301,7.5,6,33.722,357.49,21,27,34.0,26,52.898,11,10,8,59.734,31.729,0.148
4.796,6.3,12,61.495,653.89,39,51,65.0,48,94.708,22,20,19,106.886,57.943,0.194
4.58,6.5,12,59.733,639.86,38,50,64.0,47,91.825,22,20,18,103.471,56.416,0.189
4.301,14.3,6,27.58,330.36,18,25,33.0,24,42.916,12,11,8,46.993,27.03,0.186
4.301,13.3,6,20.386,244.26,14,19,26.0,18,30.611,11,10,3,33.329,20.02,0.097
4.42,5.3,6,36.279,383.54,22,30,37.0,28,56.774,11,10,7,64.521,34.057,0.119
5.208,4.9,6,63.342,652.98,36,50,58.0,47,102.337,12,11,18,117.417,58.872,0.17
4.959,5.2,6,59.819,624.92,34,48,56.0,45,96.57,12,11,16,110.586,55.819,0.16
4.921,4.4,6,28.54,301.43,17,23,29.0,22,44.796,10,9,8,51.066,26.762,0.174
4.301,9.1,6,28.438,315.4,18,24,31.0,23,44.247,11,10,5,49.488,27.149,0.111
4.301,8.5,6,30.199,329.43,19,25,32.0,24,47.131,11,10,6,52.903,28.675,0.125
4.602,8.0,6,31.961,343.46,20,26,33.0,25,50.014,11,10,7,56.318,30.202,0.137
4.553,3.4,6,36.591,372.57,21,28,34.0,27,58.432,10,9,13,67.225,33.89,0.217
4.377,8.0,6,32.205,356.46,20,28,35.0,26,50.232,11,10,4,56.401,30.697,0.077
5.538,5.7,6,54.285,566.82,32,44,52.0,41,86.599,12,11,12,98.759,50.722,0.133
4.301,16.7,6,24.057,302.3,16,23,31.0,22,37.149,12,11,6,40.163,23.976,0.162
4.244,6.0,6,31.756,343.47,19,27,33.0,25,50.007,10,9,5,56.69,30.003,0.096
3.638,9.8,12,53.597,615.74,34,48,62.0,45,82.945,22,20,14,92.229,51.738,0.165
5.563,6.1,12,63.256,667.92,40,52,66.0,49,97.592,22,20,20,110.301,59.469,0.198
4.284,8.0,12,64.41,712.92,40,56,70.0,52,100.465,22,20,16,112.803,61.394,0.154
4.108,8.5,12,60.887,684.86,38,54,68.0,50,94.698,22,20,14,105.972,58.34,0.143
4.244,3.8,6,33.063,341.5,20,27,33.0,25,51.563,10,9,5,58.896,30.815,0.093
5.0,0.0,16,35.773,369.98,22,28,36.0,26,53.116,13,16,8,60.837,32.74,0.143
4.131,6.7,12,57.972,625.83,37,49,63.0,46,88.941,22,20,17,100.055,54.889,0.185
4.602,11.1,6,28.892,331.4,18,25,32.0,24,45.574,11,10,5,50.697,27.863,0.109
4.328,7.5,12,52.688,583.74,34,46,60.0,43,80.29,22,20,14,89.81,50.309,0.169
4.553,8.0,12,64.165,699.92,40,54,68.0,51,100.247,22,20,20,112.72,60.899,0.194
5.959,4.2,6,44.841,440.69,27,33,40.0,32,70.974,11,10,15,81.514,41.196,0.205
4.481,0.0,12,31.279,325.52,19,25,32.0,23,45.218,13,13,4,51.567,28.519,0.083
6.222,4.1,6,73.422,711.16,42,52,60.0,51,119.203,12,11,30,137.742,67.044,0.246
6.523,5.5,6,45.296,456.69,27,34,41.0,33,72.301,11,10,15,82.723,41.911,0.203
5.611,0.0,12,30.523,326.51,18,25,32.0,23,44.436,12,13,4,50.65,28.014,0.085
4.284,7.1,0,17.489,194.26,10,15,18.0,14,28.16,1,2,2,31.907,16.633,0.069
4.638,0.0,12,27.341,284.38,20,25,35.0,22,37.389,19,16,1,41.903,25.73,0.024
