pXC50,Eig03_EA,SM11_AEA.bo.,Eig03_EA.bo.,SM13_AEA.ri.,RDSQ,Eig06_AEA.bo.,X2,ZM2V,ZM2Per,ATS1m,ATS5m,ZM2MulPer,Eig08_AEA.dm.,SM03_AEA.bo.,ZM2Kup,Psi_e_1,Eig05_AEA.dm.,Eta_epsi,MW,ZM1Per,Eig03_AEA.ri.,Eig13_AEA.bo.,Eig13_AEA.ed.,GGI5,Eig07_AEA.bo.,ZM1MulPer,ATSC6p,Eig08_EA.bo.,MPC01,MWC01,nBO,SRW02,ZM1V,ZM2Mad,SpAD_AEA.ed.,Dz,GGI10,Eig07_EA,SM15_AEA.bo.,XMOD,ATS8m,ATS4m,X3sol,piPC02,SM02_EA.bo.,SRW04,SpAD_EA.ed.,Eig07_AEA.ri.,ATSC4i,ATS2m,Eig15_AEA.ed.,SpMax4_Bh.m.,P_VSA_LogP_5,Eig08_EA.ed.,SM03_AEA.ri.,GMTIV,SM08_AEA.bo.,Eig06_AEA.ed.,SpMax4_Bh.p.,SpMax4_Bh.v.,IC3,Eig07_EA.bo.,ATSC5p,GMTI,SpAD_EA.bo.,S1K,Pol,X5v
3.0,1.802,1.802,2.286,2.286,103.687,2.338,6.931,227.0,347.34,3.083,3.317,243.0,0.48,5.433,249.354,2.594,1.736,21.167,242.31,351.65,2.774,-0.291,1.111,0.604,1.781,274.058,4.23,0.042,2.89,2.89,17,3.555,250.0,99.52,26.132,39.0,0.0,0.652,0.652,51.73,2.309,3.278,5.283,3.534,4.212,4.812,65.768,1.647,0.705,3.387,0.772,3.009,12.92,0.077,0.077,6580.0,12.203,3.501,3.013,3.004,4.651,0.722,4.81,1976.0,29.391,13.998,21,0.94
3.523,2.199,2.199,2.7,2.7,95.086,1.849,7.033,221.0,343.66,2.955,3.312,238.939,0.421,5.509,241.845,2.754,2.059,18.8,217.2,381.5,3.205,-0.754,1.0,0.444,0.511,315.667,1.18,-1.0,2.773,2.773,15,3.434,282.0,101.074,26.029,36.5,0.0,-0.713,-0.713,44.372,0.014,3.437,5.06,3.401,4.078,4.812,74.48,0.252,0.555,3.416,1.0,2.896,0.0,-2.0,-2.0,6375.0,12.554,3.775,2.566,2.65,3.671,-0.718,2.732,1106.0,26.817,11.942,23,1.135
5.602,2.532,2.532,3.464,3.464,228.223,2.967,11.632,391.0,603.34,3.732,4.133,417.115,1.33,6.154,375.438,4.561,2.244,28.867,382.52,557.46,3.503,1.534,3.041,0.979,2.888,414.544,12.923,1.762,3.401,3.401,29,4.078,382.0,214.66,44.398,58.0,0.066,1.45,1.45,88.859,3.689,4.068,10.823,4.311,4.997,5.389,123.006,2.425,1.483,3.99,2.456,3.726,31.927,2.753,2.753,22518.0,13.203,4.257,3.726,3.678,4.931,2.051,12.222,7999.0,58.408,19.248,42,2.743
6.108,2.532,2.532,3.481,3.481,224.612,2.997,11.62,392.0,601.63,3.724,4.039,418.185,1.267,6.182,374.165,4.446,2.191,28.1,378.53,543.6,3.504,1.534,3.041,0.826,2.904,399.065,12.427,1.5,3.401,3.401,29,4.078,368.0,212.335,44.41,57.0,0.12,1.459,1.459,88.281,3.514,4.025,10.884,4.337,5.024,5.389,122.928,2.435,1.472,3.974,2.483,3.726,35.112,2.589,2.589,22741.0,13.243,4.27,3.727,3.679,4.849,2.071,12.787,8503.0,59.422,19.033,42,2.659
7.495,2.653,2.653,3.44,3.44,211.268,3.01,12.495,430.0,679.91,3.727,4.143,461.722,1.341,6.099,446.529,5.909,2.538,30.61,388.45,690.59,3.581,0.97,2.547,1.181,2.901,542.894,11.416,1.726,3.332,3.332,27,4.007,496.0,219.314,41.163,60.5,0.037,1.49,1.49,85.691,3.885,4.203,8.558,4.174,4.86,5.352,119.262,2.45,1.421,4.083,2.0,3.44,86.679,2.742,2.742,24757.0,13.203,4.452,3.411,3.399,4.864,2.013,10.685,6347.0,51.545,20.378,36,2.285
6.796,2.518,2.518,3.446,3.446,221.428,2.937,11.562,396.0,608.4,3.74,4.066,423.365,1.388,6.129,383.619,4.433,2.391,28.867,382.52,565.5,3.487,1.534,3.033,0.91,2.905,419.097,12.337,1.784,3.401,3.401,29,4.078,388.0,210.989,43.278,58.0,0.103,1.475,1.475,89.624,3.584,3.984,10.462,4.297,4.984,5.371,117.814,2.442,1.389,3.979,2.456,3.762,44.985,2.788,2.788,23838.0,13.138,4.199,3.744,3.692,5.028,2.073,11.311,8587.0,57.775,19.248,39,2.615
5.959,2.532,2.532,3.481,3.481,228.223,3.004,11.632,408.0,628.46,3.728,4.122,435.375,1.324,6.182,393.801,4.566,2.209,28.267,380.5,582.98,3.504,1.534,3.041,0.979,2.895,434.85,11.883,1.767,3.401,3.401,29,4.078,400.0,214.66,44.398,58.0,0.066,1.45,1.45,88.859,3.672,4.056,10.823,4.337,5.024,5.389,123.006,2.427,1.375,3.984,2.456,3.726,31.927,2.753,2.753,23421.0,13.244,4.257,3.726,3.678,4.911,2.061,10.947,7999.0,59.452,18.97,42,2.648
6.854,2.995,2.995,3.441,3.441,224.185,3.317,13.63,514.0,839.39,3.778,4.216,554.949,1.375,6.179,559.438,7.904,2.712,32.552,414.36,883.29,3.811,0.976,2.717,1.306,2.918,712.938,9.457,1.766,3.367,3.367,28,4.043,648.0,236.377,42.588,67.0,0.062,1.497,1.497,89.629,4.089,4.271,8.331,4.22,4.905,5.416,129.353,2.455,1.49,4.229,2.0,3.456,131.56,2.772,2.772,39908.0,13.322,5.087,3.058,3.108,4.888,2.087,9.645,7000.0,53.481,21.173,37,2.202
5.824,2.521,2.521,3.45,3.45,210.223,2.928,11.209,400.0,613.31,3.711,3.991,426.132,1.294,6.113,389.438,4.286,2.297,27.567,368.49,563.16,3.493,1.363,2.849,0.701,2.863,415.285,11.023,1.5,3.367,3.367,28,4.043,384.0,207.321,41.952,56.0,0.103,1.416,1.416,86.533,3.373,3.946,10.213,4.284,4.97,5.342,114.773,2.393,1.276,3.958,2.384,3.726,47.042,2.551,2.551,22557.0,13.136,4.224,3.723,3.673,4.752,2.02,10.631,7922.0,56.275,18.277,38,2.454
5.796,2.521,2.521,3.45,3.45,210.223,2.928,11.209,368.0,563.55,3.699,3.991,393.095,1.288,6.113,350.165,4.284,2.269,27.4,366.52,516.76,3.497,1.363,2.849,0.701,2.863,381.424,11.339,1.5,3.367,3.367,28,4.043,352.0,203.335,41.952,55.0,0.103,1.416,1.416,85.716,3.365,3.945,10.213,4.284,4.97,5.342,114.773,2.409,1.444,3.939,2.384,3.726,31.927,2.551,2.551,20745.0,13.136,4.224,3.726,3.678,4.728,2.02,11.815,7922.0,56.275,18.315,38,2.707
