pXC50,Eig04_AEA.bo.,Eig04_EA,SM12_AEA.bo.,CENT,ZM2MulPer,ZM2Per,ZM2V,Eig06_AEA.ed.,Eig06_AEA.ri.,Eig06_EA,Eig06_EA.ed.,SM14_AEA.bo.,SM15_AEA.dm.,ZM2Kup,Eig04_EA.bo.,SM14_AEA.ri.,Eig14_EA.ri.,Eig15_EA,Eig15_EA.ri.,SM09_AEA.dm.,Eig04_AEA.ri.,Eig06_EA.bo.,Dz,ATS1s,Chi0_EA.ri.,Chi1_EA.ri.,MDDD,SM03_EA.bo.,piPC02,SM02_EA.bo.,Eig15_EA.bo.,BBI,Eig14_AEA.ed.,MPC02,MWC02,SM02_AEA.ed.,SM02_EA,SpAD_AEA.bo.,SpAD_AEA.ed.,SpAD_AEA.ri.,SpAD_EA,SpAD_EA.ed.,SRW04,SRW06,X2,ZM1,ZM2Mad,VAR,Eig06_AEA.bo.,Eig09_AEA.ed.,Eig15_AEA.ri.,Eig15_EA.ed.,SM04_EA.bo.,SM10_AEA.ri.,SpAD_EA.bo.,BID,Eig14_EA,Eig14_EA.bo.,HDcpx,IDM,SM08_AEA.dm.,SpMaxA_EA.ri.,X1sol,XMOD,Eig04_EA.ri.,S0K,Eig08_EA.ed.,RDSQ,SM03_AEA.ri.,Chi0_EA.ed.,Eig04_EA.ed.,SM13_AEA.dm.,X1v,C.018,SpMax3_Bh.i.,Eig15_AEA.ed.,Eta_betaS,SM07_EA.bo.,SM08_EA.bo.,Eig02_EA.bo.,SM12_AEA.ri.,Eig09_EA.ed.,SM04_AEA.ri.,ATS6m,ATS7m,Eig11_AEA.ed.,ATSC7i,Eig11_AEA.bo.,Eig04_AEA.ed.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BLI,BLTA96,BLTD48,BLTF96,Br.094,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.009,C.011,C.012,C.013,C.015,C.016,C.017,C.019,C.021,C.022,C.024,C.025,C.026,C.027,C.028,C.029,C.030,C.031,C.032,C.033,C.034,C.035,C.039,C.040,C.041,C.042,C.043,C.044,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AA,CATS2D_01_AN,CATS2D_01_DA,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DD,CATS2D_02_DL,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AP,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DP,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_PL,CATS2D_04_PP,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AP,CATS2D_05_DA,CATS2D_05_DD,CATS2D_05_DL,CATS2D_05_DN,CATS2D_05_DP,CATS2D_05_LL,CATS2D_05_PL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_AP,CATS2D_06_DA,CATS2D_06_DD,CATS2D_06_DL,CATS2D_06_DP,CATS2D_06_LL,CATS2D_06_PL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_AN,CATS2D_07_AP,CATS2D_07_DA,CATS2D_07_DD,CATS2D_07_DL,CATS2D_07_DP,CATS2D_07_LL,CATS2D_07_PL,CATS2D_08_AA,CATS2D_08_AL,CATS2D_08_AP,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DP,CATS2D_08_LL,CATS2D_08_PL,CATS2D_09_AA,CATS2D_09_AL,CATS2D_09_AP,CATS2D_09_DA,CATS2D_09_DD,CATS2D_09_DL,CATS2D_09_DP,CATS2D_09_LL,CATS2D_09_NL,CATS2D_09_PL,Chi0_AEA.bo.,Chi0_AEA.dm.
5.0,3.913,2.553,2.553,1123.0,462.651,666.94,434.0,4.69,2.752,1.805,4.948,1.805,4.948,436.236,3.377,3.377,-0.166,-0.453,-0.422,-0.453,3.479,2.55,58.0,5.067,18.876,15.642,25.295,4.796,4.404,5.091,-0.594,42,2.605,3.761,4.977,5.814,4.443,46.121,46.538,45.542,45.393,130.187,5.434,6.952,11.896,144.0,204.305,102.0,3.253,3.711,0.504,-1.096,7.299,-1.096,63.291,3.341,-0.188,-0.236,1.706,8.228,-0.188,0.103,13.464,88.885,2.294,116.382,3.032,237.009,3.032,10.837,7.837,7.837,9.876,0,3.867,2.512,17.0,10.716,12.395,3.802,3.802,2.575,2.575,3.898,3.897,3.414,1.216,2.5,5.772,1.682,10.037,3.884,15.085,105.742,8.778,0.767,3.876,3.969,3.685,3.557,3.514,4.342,4.468,3.966,3.915,5.557,3.863,4.56,4.722,3.994,3.994,5.781,3.931,4.58,4.762,3.908,3.95,5.751,3.886,4.601,4.819,3.857,3.946,5.646,3.871,4.499,4.692,3.935,5.602,3.856,4.493,4.659,3.953,5.719,3.858,4.594,4.821,3.718,3.862,5.71,3.742,0.057,0.666,7.483,3.94,8.578,4.237,0.115,1.074,14.667,6.738,15.682,7.342,0.247,1.318,18.974,8.268,43.026,8.97,0.275,1.334,19.434,7.928,40.885,8.824,0.302,1.29,19.997,7.981,39.294,9.967,0.252,1.223,17.439,7.486,31.067,9.636,0.242,16.215,7.987,27.859,9.813,0.261,1.31,21.198,8.944,39.575,10.966,11,0.287,0.569,0.703,0.795,0.81,0.81,0.988,-4.92,-4.83,-4.53,0,48.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,4,0,1,0,2,9,0,0,0,8,0,0,0,5,0,5,0,0,0,8,0,0,0,4,0,6,0,0,0,1,0,1,0,2,0,0,14,0,1,1,0,0,0,0,0,18,0,1,3,0,0,1,0,0,0,12,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,18.361,18.361
5.0,3.64,2.251,2.251,911.0,400.645,578.74,378.0,4.658,2.783,1.831,4.855,1.831,4.855,381.691,3.075,3.075,-0.291,-0.583,-0.561,-0.583,3.188,2.591,52.333,4.975,17.698,14.462,23.142,4.691,4.337,5.024,-0.833,38,2.445,3.664,4.89,5.687,4.344,41.584,41.88,41.449,41.266,114.607,5.342,6.851,10.811,132.0,171.363,97.0,3.274,3.562,0.391,-1.455,7.267,-1.455,58.109,3.267,-0.34,-0.435,1.681,7.983,-0.34,0.111,12.582,78.749,2.109,108.096,2.852,209.623,2.852,10.512,6.536,6.536,8.33,0,3.882,2.304,15.75,10.798,12.527,3.625,3.625,2.575,2.575,3.717,3.668,3.247,0.952,2.465,5.255,1.496,10.4,4.705,22.138,100.976,8.671,0.821,3.803,3.913,3.514,3.464,3.437,4.262,4.398,3.86,3.837,5.382,3.788,4.511,4.697,3.901,3.938,5.564,3.861,4.515,4.732,3.756,3.84,5.52,3.754,4.451,4.676,3.759,3.782,5.493,3.723,4.382,4.579,3.806,5.456,3.734,4.37,4.573,3.781,5.403,3.675,4.285,4.512,3.486,3.609,5.255,3.465,0.036,0.569,5.871,3.065,6.797,3.852,0.051,0.892,10.545,5.141,10.565,6.527,0.15,1.134,18.583,7.031,22.023,8.915,0.152,1.147,19.99,7.228,24.391,9.299,0.206,1.11,17.499,6.324,25.7,8.142,0.186,1.026,15.521,5.816,22.825,7.282,0.139,15.408,6.574,20.483,8.757,0.115,0.837,16.149,6.477,20.375,8.711,2,0.259,0.558,0.709,0.819,0.836,0.845,0.893,-5.43,-5.31,-4.96,0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,5,0,1,0,3,14,0,0,0,7,0,1,0,4,0,10,0,0,0,10,0,0,0,2,0,8,0,0,0,8,0,0,0,3,0,0,13,0,1,3,0,0,0,1,0,13,0,1,3,0,0,0,0,2,0,11,0,0,3,0,0,0,0,0,8,0,0,1,0,1,0,0,0,8,0,0,17.361,17.361
5.0,3.865,2.54,2.54,3163.0,563.342,824.66,529.0,5.339,3.358,2.387,6.89,2.387,6.89,556.217,3.226,3.226,1.0,1.0,0.946,1.0,3.496,2.819,83.5,5.446,26.724,22.217,51.546,5.182,4.627,5.316,1.337,61,3.596,4.127,5.342,6.196,4.812,65.312,65.558,64.61,64.651,187.972,5.802,7.323,17.699,208.0,263.768,229.0,3.541,4.668,1.952,2.275,7.526,2.275,82.321,3.693,1.0,1.461,1.794,9.269,1.0,0.077,18.775,117.51,2.449,193.376,5.529,385.073,5.529,15.44,7.766,7.766,13.481,0,3.869,3.414,25.25,11.176,12.813,4.211,4.211,4.897,4.897,4.272,4.329,3.952,2.159,2.669,5.74,1.476,15.333,5.907,34.897,153.448,6.944,0.512,4.416,4.543,3.928,3.926,3.899,4.975,5.161,4.296,4.324,5.966,4.279,5.224,5.428,4.344,4.489,6.191,4.408,5.354,5.615,4.314,4.494,6.25,4.385,5.289,5.537,4.298,4.402,6.266,4.322,5.161,5.377,4.38,6.186,4.313,5.213,5.426,4.471,6.285,4.385,5.328,5.566,4.237,4.518,6.285,4.402,0.071,1.114,17.099,7.024,11.85,9.626,0.407,1.786,32.2,11.499,38.337,16.193,0.522,2.215,41.95,14.363,49.844,20.619,0.467,2.375,49.157,16.419,58.81,24.524,0.653,2.184,46.823,14.355,69.806,21.162,0.568,2.014,40.251,12.847,62.036,18.535,0.461,41.436,14.686,73.226,21.166,0.588,2.318,47.773,16.237,80.539,23.357,27,0.226,0.537,0.702,0.788,0.812,0.816,0.941,-5.07,-4.97,-4.65,0,40.8,4,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,7,0,3,1,3,18,0,0,2,11,0,1,0,3,0,14,0,0,1,11,0,1,0,8,0,6,0,0,1,8,0,2,0,9,0,0,6,0,1,11,0,0,0,6,0,11,0,1,13,0,0,1,0,7,0,11,0,0,9,0,1,0,1,0,12,0,1,8,0,0,0,1,0,23,0,0,26.126,26.126
5.0,3.654,2.496,2.496,1031.0,439.453,642.94,412.0,4.887,2.738,1.829,5.201,1.829,5.201,425.256,2.787,2.787,-0.207,-0.742,-0.623,-0.742,3.461,2.366,55.733,5.022,17.054,14.337,22.128,4.783,4.143,4.828,-0.817,38,2.359,3.664,4.875,5.72,4.344,40.142,41.981,40.177,39.811,115.158,5.333,6.849,10.984,130.0,229.623,98.0,3.169,3.475,0.223,-1.619,7.004,-1.619,50.157,3.267,-0.514,-0.621,1.685,8.004,-0.514,0.113,12.286,92.629,2.371,114.096,3.641,201.789,3.641,9.551,7.387,7.387,9.033,0,3.858,2.114,15.75,10.52,12.113,3.862,3.862,2.393,2.393,4.225,4.266,2.793,1.123,1.375,5.492,1.983,9.88,4.908,24.087,99.228,12.274,0.444,3.792,3.884,3.775,3.435,3.394,4.273,4.4,4.197,3.786,5.534,3.708,4.519,4.69,4.354,3.863,6.008,3.773,4.473,4.655,4.497,3.765,5.852,3.678,4.37,4.525,4.097,3.624,5.907,3.633,4.392,4.524,3.733,6.046,3.707,4.409,4.554,3.714,5.974,3.646,4.31,4.504,4.362,3.646,5.56,3.482,0.19,0.668,0.871,3.405,18.075,3.508,0.379,1.031,4.693,6.413,38.569,6.332,0.857,1.404,33.685,9.985,101.366,8.732,0.789,1.191,46.152,9.47,78.619,7.529,0.793,1.123,12.827,6.22,106.151,5.258,0.863,1.152,19.438,7.893,106.636,6.804,0.91,11.633,7.74,109.321,6.234,0.65,1.068,22.075,9.053,79.569,7.243,26,0.355,0.704,0.829,0.891,0.891,0.891,1.004,-5.59,-5.46,-5.09,0,43.6,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,1,0,3,5,0,0,1,4,0,0,0,6,0,3,0,0,0,2,0,1,1,4,0,3,0,0,0,2,0,1,0,1,0,0,5,0,0,3,0,0,0,1,0,7,0,0,4,0,0,0,0,4,0,7,0,0,3,0,0,0,2,0,3,0,0,1,0,0,0,1,0,2,0,0,16.499,16.499
5.097,2.921,1.614,1.614,364.0,205.206,291.89,193.0,3.502,2.0,1.0,2.484,1.0,2.484,201.636,2.067,2.067,-1.003,-1.504,-1.537,-1.504,2.588,1.5,38.5,4.724,12.113,9.543,13.136,3.795,3.597,4.277,-1.663,25,1.24,3.258,4.489,5.252,3.932,28.065,28.576,27.833,27.831,74.806,4.934,6.402,7.636,88.0,105.157,46.0,2.5,2.619,-0.487,-4.453,6.16,-4.453,33.024,2.959,-1.0,-1.5,1.582,7.004,-1.0,0.152,8.665,53.762,1.567,67.059,2.136,118.432,2.136,7.23,3.834,3.834,6.63,0,3.617,1.0,11.0,8.891,10.602,3.048,3.048,-0.435,-0.435,3.019,2.933,1.926,0.637,0.5,4.189,1.432,8.556,1.108,1.227,70.661,6.343,0.316,3.722,3.873,3.134,3.225,3.172,4.293,4.498,3.45,3.639,5.206,3.54,4.654,4.915,3.478,3.798,5.509,3.655,4.723,5.017,3.326,3.717,5.605,3.543,4.6,4.913,3.126,3.538,5.473,3.361,4.299,4.588,3.374,5.173,3.209,4.135,4.402,3.249,5.138,3.09,4.072,4.373,2.54,3.017,4.966,2.841,0.048,0.57,9.402,3.554,8.953,5.319,0.137,0.899,16.744,6.19,20.298,9.343,0.208,1.109,24.209,7.977,30.872,12.408,0.302,1.057,26.146,8.081,44.101,12.617,0.294,0.874,23.122,6.931,49.688,10.85,0.208,0.704,16.851,5.76,33.798,8.719,0.181,14.336,4.878,32.968,7.442,0.215,0.537,13.76,3.568,31.816,5.97,11,0.262,0.602,0.767,0.805,0.805,0.805,1.047,-2.55,-2.57,-2.51,0,35.9,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,6,0,0,3,0,1,0,5,8,0,2,0,2,0,0,0,4,0,5,0,2,0,4,0,1,0,4,0,4,2,0,0,1,0,0,0,2,0,0,5,1,1,1,0,0,0,0,0,4,0,0,3,0,1,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,11.983,11.983
5.097,3.643,2.542,2.542,958.0,398.884,585.89,377.0,5.041,2.94,1.953,5.729,1.953,5.729,383.051,2.862,2.862,-0.216,-0.609,-0.506,-0.609,3.51,2.565,55.833,5.023,17.887,14.724,20.473,4.705,4.22,4.905,-0.838,41,2.667,3.738,4.949,5.796,4.419,44.239,44.604,43.24,43.197,125.186,5.407,6.938,11.495,140.0,188.267,78.0,3.348,3.705,0.349,-1.492,7.019,-1.492,55.227,3.305,-0.217,-0.275,1.695,8.12,-0.217,0.106,12.903,81.286,2.42,116.211,3.292,223.363,3.292,10.377,7.305,7.305,8.922,1,3.874,2.332,16.75,10.362,11.986,3.627,3.627,2.816,2.816,3.856,3.757,3.247,1.043,2.104,5.469,1.636,9.577,2.297,5.277,100.603,8.36,0.414,3.898,4.009,3.56,3.506,3.485,4.391,4.536,3.9,3.869,5.531,3.817,4.667,4.863,4.033,3.987,5.826,3.924,4.671,4.862,4.006,3.954,5.851,3.891,4.679,4.868,4.103,3.908,5.987,3.866,4.635,4.836,3.899,5.787,3.803,4.568,4.789,3.879,5.576,3.756,4.489,4.694,3.769,3.824,5.651,3.69,0.054,0.63,7.43,3.735,8.427,4.616,0.176,0.996,13.888,6.389,23.087,8.186,0.377,1.225,24.201,8.634,46.951,11.015,0.284,1.199,25.036,8.816,47.851,10.957,0.524,1.182,26.321,8.437,81.488,10.146,0.489,1.129,26.548,8.523,64.065,10.501,0.264,24.457,8.924,42.781,11.637,0.339,0.936,23.795,8.469,63.284,11.06,10,0.282,0.641,0.79,0.859,0.87,0.87,0.923,-3.97,-3.93,-3.72,0,45.5,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,2,0,6,11,0,0,0,3,0,1,1,8,0,7,0,0,0,5,0,0,0,7,0,3,0,0,0,8,0,0,0,7,0,0,6,0,0,3,0,1,1,4,0,9,0,0,0,0,0,0,0,2,0,14,0,1,0,0,1,0,0,0,17,0,0,1,0,1,1,1,0,11,0,0,17.654,17.654
5.097,3.561,2.153,2.153,841.0,387.895,565.01,362.0,4.674,2.77,1.826,4.689,1.826,4.689,368.121,2.876,2.876,-0.507,-0.815,-0.763,-0.815,3.141,2.153,53.833,5.023,16.834,13.76,18.854,4.649,4.174,4.86,-1.0,38,2.332,3.664,4.875,5.727,4.344,41.052,42.173,40.403,40.309,116.785,5.333,6.862,10.973,130.0,175.433,76.0,3.068,3.626,0.178,-1.939,6.988,-1.939,52.317,3.267,-0.61,-0.841,1.683,8.002,-0.61,0.114,12.258,77.752,2.12,107.342,3.008,206.92,3.008,9.71,5.886,5.886,8.181,1,3.677,2.267,16.0,10.356,11.985,3.65,3.65,2.811,2.811,3.774,3.724,3.14,0.94,1.623,5.098,1.647,9.48,2.343,5.491,98.687,8.276,0.444,3.856,3.971,3.506,3.437,3.416,4.358,4.52,3.884,3.826,5.509,3.786,4.612,4.773,4.036,3.999,5.806,3.936,4.751,4.968,4.015,3.971,5.924,3.897,4.692,4.878,4.02,3.88,6.037,3.824,4.627,4.866,3.842,5.695,3.718,4.477,4.691,3.788,5.556,3.664,4.44,4.654,3.585,3.717,5.631,3.57,0.046,0.613,7.374,3.623,6.816,4.554,0.236,0.971,14.711,5.962,21.639,7.742,0.299,1.17,21.069,8.32,37.665,10.461,0.304,1.27,28.724,9.786,47.185,12.707,0.645,1.178,26.944,8.091,96.629,9.489,0.423,1.085,28.447,9.118,50.875,12.139,0.232,21.822,8.046,37.301,10.438,0.422,0.844,28.189,8.243,69.987,10.675,27,0.286,0.628,0.757,0.829,0.84,0.84,0.909,-4.14,-4.09,-3.86,0,44.2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,2,0,3,11,0,0,1,5,0,1,0,6,0,7,0,0,0,7,0,0,0,5,0,1,0,0,0,8,0,0,0,3,0,0,2,0,0,6,0,1,1,1,0,5,0,0,2,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,11,0,1,1,0,1,0,1,0,7,0,0,16.552,16.552
5.097,3.468,2.051,2.051,632.0,349.645,507.14,329.0,4.292,2.493,1.523,3.98,1.523,3.98,333.361,2.693,2.693,-0.764,-1.0,-0.979,-1.0,3.052,2.038,47.333,4.878,14.97,12.168,16.86,4.527,4.094,4.779,-1.377,33,2.055,3.526,4.745,5.557,4.205,36.069,36.331,35.405,35.367,99.464,5.198,6.706,9.622,114.0,151.353,72.0,2.941,3.247,0.033,-2.344,6.917,-2.344,47.396,3.146,-0.816,-1.049,1.643,7.602,-0.816,0.127,10.92,68.979,2.042,94.107,2.799,168.529,2.799,8.839,5.73,5.73,7.158,1,3.605,1.65,13.75,10.252,11.904,3.482,3.482,2.136,2.136,3.402,3.308,2.686,0.525,1.196,5.041,1.655,9.455,2.211,4.887,85.547,8.936,0.5,3.666,3.764,3.381,3.307,3.29,4.137,4.256,3.755,3.688,5.382,3.646,4.413,4.574,3.841,3.794,5.645,3.733,4.393,4.584,3.733,3.666,5.626,3.59,4.262,4.443,3.773,3.471,5.694,3.433,4.067,4.256,3.355,5.326,3.272,3.9,4.065,3.295,5.134,3.223,3.894,4.06,3.298,3.283,5.292,3.184,0.055,0.465,4.828,2.804,6.713,3.234,0.162,0.728,8.847,4.817,16.76,5.825,0.292,0.916,16.64,6.693,40.961,7.69,0.256,0.874,19.33,7.101,37.713,8.52,0.468,0.749,18.002,5.768,67.707,6.269,0.326,0.613,17.354,5.148,41.013,5.947,0.184,10.879,4.186,28.522,4.762,0.27,0.503,12.063,4.447,48.711,5.457,10,0.3,0.628,0.771,0.863,0.877,0.877,0.895,-4.47,-4.4,-4.14,0,48.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,2,0,4,13,0,0,0,3,0,0,0,6,0,9,0,0,0,5,0,0,0,5,0,3,0,0,0,6,0,0,0,3,0,0,5,0,0,3,0,1,1,1,0,7,0,0,0,0,0,0,0,0,0,10,0,1,1,0,1,0,1,0,11,0,0,1,0,0,0,1,0,7,0,0,14.792,14.792
5.097,3.534,2.108,2.108,754.0,375.337,548.48,353.0,4.363,2.556,1.594,4.139,1.594,4.139,358.488,2.831,2.831,-0.508,-0.815,-0.763,-0.815,3.105,2.088,51.833,4.983,16.472,13.133,18.083,4.59,4.143,4.828,-1.047,36,2.332,3.611,4.828,5.666,4.29,39.137,40.266,38.386,38.33,110.056,5.283,6.808,10.224,124.0,167.6,74.0,2.972,3.418,0.178,-1.82,6.966,-1.82,50.356,3.229,-0.61,-0.841,1.671,7.875,-0.61,0.118,11.885,75.33,2.091,102.039,2.816,193.784,2.816,9.537,5.791,5.791,7.817,1,3.641,2.262,15.25,10.333,11.968,3.622,3.622,2.136,2.136,3.684,3.582,2.883,0.787,1.606,5.067,1.677,9.458,1.807,3.267,93.392,8.545,0.462,3.793,3.906,3.466,3.386,3.37,4.277,4.422,3.838,3.772,5.473,3.733,4.551,4.722,3.989,3.913,5.773,3.858,4.597,4.787,3.926,3.852,5.837,3.791,4.564,4.757,3.943,3.746,5.922,3.695,4.448,4.672,3.678,5.593,3.572,4.302,4.505,3.621,5.43,3.514,4.249,4.448,3.493,3.558,5.511,3.434,0.065,0.572,6.416,3.266,7.486,3.956,0.209,0.893,12.181,5.527,21.715,6.94,0.339,1.087,20.147,7.735,43.087,9.587,0.315,1.103,23.174,8.066,45.183,9.869,0.591,1.032,23.958,7.311,85.539,8.473,0.413,0.909,23.946,7.432,48.76,9.547,0.251,18.85,6.608,36.967,8.28,0.365,0.718,21.011,6.577,61.693,8.398,18,0.296,0.643,0.792,0.87,0.882,0.882,0.902,-3.91,-3.87,-3.67,0,45.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,2,0,4,11,0,0,0,3,0,1,1,8,0,7,0,0,0,5,0,0,0,7,0,1,0,0,0,6,0,0,0,5,0,0,2,0,0,3,0,1,1,4,0,5,0,0,0,0,0,0,0,2,0,10,0,1,0,0,1,0,0,0,11,0,0,1,0,1,1,1,0,7,0,0,16.215,16.215
5.097,3.558,2.212,2.212,826.0,367.098,531.78,345.0,4.31,2.541,1.567,4.03,1.567,4.03,350.488,2.751,2.751,-0.503,-0.796,-0.744,-0.796,3.2,2.105,51.833,4.972,16.44,13.235,21.819,4.527,4.127,4.812,-1.006,35,2.332,3.584,4.812,5.602,4.263,38.635,38.826,37.976,37.941,104.613,5.263,6.753,10.317,122.0,161.102,92.0,2.947,3.285,0.188,-1.745,6.929,-1.745,49.975,3.227,-0.605,-0.813,1.663,7.834,-0.605,0.117,11.92,75.479,2.158,106.039,2.875,183.987,2.875,9.778,5.91,5.91,7.865,1,3.684,2.047,15.25,10.248,11.9,3.445,3.445,2.178,2.178,3.521,3.354,2.891,0.682,1.611,5.041,1.677,11.042,1.779,3.164,93.722,8.545,0.462,3.793,3.906,3.466,3.386,3.37,4.277,4.421,3.82,3.763,5.477,3.72,4.548,4.73,3.909,3.874,5.744,3.802,4.541,4.757,3.775,3.755,5.684,3.666,4.412,4.616,3.812,3.588,5.726,3.525,4.273,4.493,3.469,5.456,3.375,4.149,4.348,3.346,5.378,3.284,4.078,4.278,3.311,3.296,5.439,3.221,0.065,0.572,6.416,3.266,7.821,3.956,0.206,0.892,12.066,5.527,20.298,6.932,0.367,1.072,20.708,7.758,46.173,9.654,0.322,1.022,23.6,7.92,46.711,9.989,0.495,0.872,21.618,6.554,70.808,7.903,0.35,0.757,21.345,6.197,38.3,7.951,0.267,15.906,5.078,40.055,6.062,0.362,0.626,15.24,4.88,62.809,6.059,10,0.296,0.634,0.778,0.873,0.885,0.885,0.908,-3.91,-3.87,-3.67,0,45.0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,2,0,4,11,0,0,0,2,0,1,1,7,0,7,0,0,0,3,0,0,0,5,0,1,0,0,0,5,0,0,0,4,0,0,1,0,0,4,0,1,1,5,0,0,0,0,2,0,0,0,0,4,0,1,0,1,1,0,1,0,1,0,5,0,0,0,0,1,1,0,0,10,0,0,16.206,16.206
