pXC50,nAT,nBT
4.036,30,31
5.046,28,30
4.013,20,21
5.161,23,24
5.585,32,33
5.921,35,37
5.237,35,37
4.559,39,42
4.963,42,45
5.481,31,33
5.77,48,51
5.149,34,36
4.712,36,39
4.842,48,51
5.509,51,54
4.77,38,39
5.42,49,52
5.018,48,50
4.767,54,58
6.337,56,59
5.201,35,37
5.319,35,37
5.469,32,34
5.553,32,34
6.569,47,50
4.301,56,59
6.658,41,44
6.167,44,47
6.638,47,50
6.509,50,53
4.991,47,50
4.301,47,50
6.638,50,53
6.292,55,58
5.602,54,58
5.367,46,48
6.721,47,50
4.036,21,21
6.292,39,41
6.194,38,40
6.31,41,43
4.022,33,35
4.229,31,33
4.114,46,49
4.292,34,36
4.229,31,33
4.201,23,23
