pXC50,Sp,Sv,nBT,Se,nAT,Si,nSK,nBO,nC,MW,nH,SCBO,RBN,nCsp2,RBF,nAB,nBM
5.3,31.387,30.037,46,43.407,43,47.87,27,30,21,377.47,16,42.5,4,20,0.087,23,24
5.45,29.449,28.074,43,40.033,40,44.428,25,28,20,346.84,15,39.5,4,19,0.093,23,23
5.6,36.267,34.46,55,53.647,53,59.95,30,32,21,448.39,23,41.0,9,16,0.164,18,18
5.3,49.574,46.68,80,75.629,76,85.763,39,43,31,527.73,37,55.0,8,20,0.1,22,23
5.0,29.404,27.598,41,40.345,39,44.081,25,27,17,478.68,14,34.0,6,13,0.146,12,13
5.9,27.847,26.784,45,41.131,41,46.564,24,28,17,319.41,17,38.0,2,12,0.044,20,20
7.06,33.625,33.048,53,51.08,50,56.409,30,33,22,409.45,20,44.0,6,18,0.113,16,19
5.9,36.955,36.846,58,57.378,55,63.377,35,38,21,507.55,20,50.0,7,16,0.121,18,21
5.6,40.841,39.427,65,62.076,61,69.935,35,39,25,503.02,26,48.0,4,16,0.062,18,18
5.553,39.563,38.257,62,60.047,59,66.971,34,37,24,485.99,25,47.5,8,17,0.129,17,19
6.1,22.279,21.413,34,32.051,32,35.78,19,21,15,251.31,13,29.5,3,14,0.088,17,17
4.4,15.943,14.81,23,20.931,21,23.162,13,15,10,188.27,8,20.5,0,9,0.0,11,11
5.3,29.517,29.022,40,38.8,37,41.268,28,31,19,436.28,9,42.0,3,19,0.075,12,17
5.0,29.091,28.677,43,42.898,41,46.573,27,29,17,413.86,14,40.0,6,14,0.14,16,19
5.6,24.284,23.434,38,35.153,35,39.279,21,24,16,278.34,14,34.0,2,14,0.053,20,20
5.745,28.972,27.917,43,39.44,39,43.654,26,30,18,359.45,13,43.0,3,17,0.07,26,26
5.0,51.193,49.508,82,74.531,74,82.438,44,52,35,586.69,30,69.0,3,26,0.037,30,32
5.0,26.296,25.477,42,39.356,39,44.275,23,26,16,308.38,16,36.0,2,13,0.048,20,20
5.3,52.557,49.47,87,82.825,83,94.301,41,45,31,562.79,42,54.5,10,15,0.115,17,18
5.022,47.466,44.362,76,72.923,73,82.766,37,40,27,524.76,36,51.0,11,16,0.145,18,20
5.0,33.455,31.675,49,45.996,46,51.029,28,31,22,386.51,18,44.0,5,21,0.102,22,24
5.749,33.665,31.895,51,47.105,47,52.155,28,32,22,389.51,19,43.0,4,18,0.078,22,22
5.097,31.926,31.138,50,47.683,47,52.654,28,31,21,377.43,19,42.5,7,17,0.14,21,22
5.3,33.148,33.422,50,50.32,48,54.906,32,34,21,464.86,16,45.0,5,19,0.1,18,20
6.504,31.779,30.235,51,46.912,47,52.651,26,30,21,347.45,21,38.5,4,14,0.078,17,17
6.886,30.71,29.896,48,44.473,44,49.03,27,31,21,359.41,17,42.0,5,18,0.104,22,22
6.345,30.71,29.896,48,44.473,44,49.03,27,31,21,359.41,17,42.0,4,18,0.083,22,22
6.745,31.148,29.863,47,43.44,43,47.823,27,31,20,376.47,16,42.0,4,17,0.085,22,22
6.296,31.904,30.369,48,44.222,44,48.74,27,31,21,375.48,17,42.0,4,18,0.083,22,22
5.394,30.506,29.697,48,44.465,44,49.402,27,31,20,359.42,17,42.0,4,17,0.083,22,22
5.949,28.745,28.171,45,41.582,41,45.986,26,30,19,345.39,15,41.0,4,17,0.089,22,22
5.3,40.068,37.862,62,59.603,59,66.923,33,36,22,488.07,26,45.5,7,14,0.113,17,18
6.1,21.807,20.239,30,28.218,28,30.707,18,20,13,274.39,10,28.5,3,12,0.1,15,16
5.821,31.148,29.863,47,43.44,43,47.823,27,31,20,376.47,16,42.0,4,17,0.085,22,22
6.134,30.472,29.423,49,45.356,45,50.445,26,30,20,349.42,19,38.5,4,14,0.082,17,17
5.841,30.96,30.412,49,45.793,45,50.611,28,32,20,375.42,17,43.0,4,16,0.082,22,22
6.073,30.71,29.896,48,44.473,44,49.03,27,31,21,359.41,17,42.0,4,18,0.083,22,22
6.523,32.909,31.39,50,46.323,46,51.238,28,32,21,390.5,18,43.0,4,17,0.08,22,22
5.959,33.103,31.111,54,51.774,52,59.351,26,28,19,354.51,26,36.0,8,11,0.148,16,16
