pXC50,ATSC6v,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m
5.0,9.636,1.682,10.037,3.884,15.085,105.742,8.778,0.767,3.876,3.969,3.685,3.557,5.067,3.514,4.342,4.468,3.966,3.915,5.557,3.863,4.56,4.722,3.994,3.994,5.781,3.931,4.58,4.762,3.908,3.95,5.751,3.886,4.601,4.819,3.857,3.946,5.646,3.871,4.499,4.692,3.898,3.935,5.602,3.856,4.493,4.659,3.897,3.953,5.719,3.858,4.594,4.821,3.718,3.862,5.71,3.742,0.057,0.666,7.483,3.94,8.578,4.237,0.115,1.074,14.667
5.0,7.282,1.496,10.4,4.705,22.138,100.976,8.671,0.821,3.803,3.913,3.514,3.464,4.975,3.437,4.262,4.398,3.86,3.837,5.382,3.788,4.511,4.697,3.901,3.938,5.564,3.861,4.515,4.732,3.756,3.84,5.52,3.754,4.451,4.676,3.759,3.782,5.493,3.723,4.382,4.579,3.717,3.806,5.456,3.734,4.37,4.573,3.668,3.781,5.403,3.675,4.285,4.512,3.486,3.609,5.255,3.465,0.036,0.569,5.871,3.065,6.797,3.852,0.051,0.892,10.545
5.0,18.535,1.476,15.333,5.907,34.897,153.448,6.944,0.512,4.416,4.543,3.928,3.926,5.446,3.899,4.975,5.161,4.296,4.324,5.966,4.279,5.224,5.428,4.344,4.489,6.191,4.408,5.354,5.615,4.314,4.494,6.25,4.385,5.289,5.537,4.298,4.402,6.266,4.322,5.161,5.377,4.272,4.38,6.186,4.313,5.213,5.426,4.329,4.471,6.285,4.385,5.328,5.566,4.237,4.518,6.285,4.402,0.071,1.114,17.099,7.024,11.85,9.626,0.407,1.786,32.2
5.0,6.804,1.983,9.88,4.908,24.087,99.228,12.274,0.444,3.792,3.884,3.775,3.435,5.022,3.394,4.273,4.4,4.197,3.786,5.534,3.708,4.519,4.69,4.354,3.863,6.008,3.773,4.473,4.655,4.497,3.765,5.852,3.678,4.37,4.525,4.097,3.624,5.907,3.633,4.392,4.524,4.225,3.733,6.046,3.707,4.409,4.554,4.266,3.714,5.974,3.646,4.31,4.504,4.362,3.646,5.56,3.482,0.19,0.668,0.871,3.405,18.075,3.508,0.379,1.031,4.693
7.161,12.411,1.698,10.867,2.027,4.107,110.904,8.189,0.485,4.037,4.14,3.66,3.567,5.268,3.578,4.544,4.684,4.052,3.978,5.796,3.975,4.803,4.971,4.129,4.112,6.1,4.086,4.856,5.046,4.133,4.135,6.13,4.096,4.861,5.045,4.186,4.129,6.138,4.106,4.874,5.051,4.171,4.088,6.223,4.074,4.867,5.057,4.031,3.982,6.299,3.958,4.706,4.91,3.764,3.812,6.051,3.754,0.165,0.788,8.719,4.447,23.861,4.999,0.392,1.265,16.435
5.0,13.739,1.772,12.294,3.917,15.346,129.707,8.237,0.459,4.189,4.302,3.832,3.687,5.339,3.692,4.726,4.893,4.197,4.056,5.876,4.048,4.942,5.121,4.274,4.171,6.139,4.13,4.967,5.208,4.165,4.132,6.015,4.071,4.859,5.044,4.213,4.152,6.044,4.113,4.952,5.142,4.295,4.21,6.103,4.177,5.02,5.215,4.308,4.226,6.246,4.183,4.972,5.17,4.257,4.155,6.172,4.11,0.126,0.934,10.471,5.109,11.754,6.243,0.505,1.435,22.484
5.0,4.465,2.02,10.857,5.899,34.795,108.721,11.791,0.387,3.774,3.838,3.754,3.491,5.111,3.475,4.233,4.313,4.208,3.877,5.662,3.854,4.482,4.592,4.384,4.012,5.898,3.974,4.438,4.536,4.398,3.951,6.022,3.907,4.407,4.505,4.383,3.838,6.04,3.841,4.352,4.493,4.1,3.765,5.776,3.725,4.206,4.376,3.773,3.576,5.546,3.494,3.952,4.131,3.814,3.378,5.329,3.275,0.206,0.631,0.365,2.485,21.925,2.257,0.385,1.026,1.321
5.0,6.642,2.082,10.0,3.768,14.197,98.861,10.094,0.552,3.85,3.929,3.793,3.455,5.092,3.441,4.377,4.493,4.109,3.831,5.867,3.816,4.639,4.795,4.219,3.907,6.08,3.898,4.633,4.775,4.268,3.839,6.398,3.861,4.566,4.696,4.176,3.776,6.311,3.796,4.493,4.637,4.131,3.713,6.047,3.736,4.464,4.621,4.02,3.632,6.303,3.635,4.354,4.54,3.938,3.524,5.865,3.479,0.225,0.758,5.948,3.96,39.021,3.501,0.571,1.185,13.505
5.0,5.218,1.623,10.731,3.403,11.578,103.098,9.217,0.867,3.829,3.94,3.642,3.455,5.026,3.437,4.294,4.44,4.046,3.831,5.445,3.809,4.428,4.597,4.039,3.91,5.552,3.836,4.391,4.585,3.875,3.811,5.447,3.719,4.291,4.491,3.827,3.7,5.335,3.618,4.228,4.422,3.757,3.628,5.318,3.567,4.165,4.358,3.696,3.532,5.303,3.485,4.023,4.213,3.466,3.445,5.121,3.387,0.097,0.691,5.169,3.012,6.507,3.276,0.186,1.1,11.121
5.0,34.694,1.529,10.955,4.94,24.402,162.643,7.928,0.577,4.452,4.549,4.09,4.028,5.543,4.027,5.039,5.174,4.574,4.499,6.116,4.496,5.354,5.503,4.807,4.747,6.415,4.739,5.555,5.708,4.955,4.916,6.651,4.899,5.712,5.88,5.019,5.024,6.785,4.991,5.807,5.998,5.004,5.077,6.861,5.016,5.835,6.046,4.881,5.022,6.889,4.938,5.703,5.922,4.64,4.855,6.751,4.751,0.074,1.064,13.58,6.747,16.837,7.968,0.531,1.884,28.133
