pXC50,CATS2D_07_DA,MATS5p,SpMax3_Bh.i.,TPSA.NO.,TPSA.Tot.,ATSC4s,GATS6v,SdssC,SpMax8_Bh.p.,MATS1e,MATS4i,GATS8p,MATS6i,GATS6i,GATS6p,MATS6p,MATS3p,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v
6.495,3,-0.062,3.851,91.65,100.03,99.794,0.943,-0.538,2.792,0.019,-0.154,0.942,0.117,0.846,0.749,0.093,-0.011,1.857,10.846,3.12,9.733,98.394,8.65,0.393,3.942,4.038,3.774,3.492,5.006,3.457,4.508,4.658,4.125,3.876,5.803,3.824,4.773,4.956,4.195,4.006,5.972,3.911,4.803,4.995,4.076,3.923,6.033,3.848,4.663,4.831,4.012,3.751,6.084,3.721
4.301,3,-0.038,3.862,91.65,100.03,82.655,0.971,-0.454,2.735,0.045,-0.176,0.961,0.129,0.829,0.767,0.078,-0.015,1.699,10.692,2.942,8.653,98.631,7.704,0.393,3.991,4.097,3.734,3.519,5.023,3.478,4.561,4.728,4.065,3.898,5.802,3.841,4.811,5.001,4.146,4.042,5.947,3.946,4.895,5.091,4.085,3.999,6.089,3.927,4.823,5.003,3.983,3.879,6.176,3.84
4.301,0,-0.078,3.859,91.4,99.78,86.181,0.939,-0.41,2.735,0.061,-0.123,0.968,0.269,0.716,0.713,0.135,-0.044,1.712,11.5,2.753,7.577,99.73,7.802,0.429,3.967,4.08,3.724,3.518,5.01,3.473,4.525,4.693,4.032,3.893,5.79,3.825,4.799,5.012,4.085,4.035,5.933,3.932,4.835,5.049,3.992,3.955,6.037,3.866,4.729,4.931,3.881,3.816,6.041,3.766
4.301,3,-0.053,3.876,94.3,102.68,91.653,0.938,-0.421,2.735,0.04,-0.124,0.953,0.121,0.844,0.751,0.086,-0.097,1.717,10.76,2.445,5.979,95.835,7.713,0.407,3.951,4.069,3.7,3.484,4.975,3.439,4.514,4.684,4.014,3.873,5.766,3.803,4.782,4.996,4.036,4.003,5.873,3.887,4.851,5.077,3.959,3.909,6.032,3.824,4.675,4.878,3.857,3.77,5.982,3.711
4.301,3,-0.065,3.877,96.33,104.71,86.702,0.93,-0.462,2.735,0.086,-0.066,0.909,0.037,0.943,0.749,0.063,-0.077,1.771,10.76,2.395,5.737,95.133,7.902,0.407,3.939,4.058,3.711,3.445,4.985,3.411,4.504,4.68,4.021,3.826,5.775,3.771,4.755,4.972,4.039,3.946,5.89,3.85,4.793,5.012,3.97,3.86,6.004,3.78,4.646,4.848,3.862,3.709,5.993,3.67
5.602,3,-0.03,3.856,91.65,100.03,87.878,0.99,-0.45,2.899,0.057,-0.086,0.933,0.049,0.946,0.848,0.017,-0.042,1.625,11.938,4.075,16.602,122.707,7.688,0.486,4.172,4.277,3.896,3.744,5.211,3.7,4.732,4.887,4.223,4.132,5.943,4.069,5.014,5.209,4.274,4.278,6.1,4.173,5.086,5.295,4.246,4.248,6.214,4.167,5.027,5.217,4.248,4.209,6.289,4.152
6.398,3,-0.032,3.856,91.65,100.03,86.261,0.944,-0.419,2.773,0.052,-0.173,0.969,0.061,0.891,0.796,0.057,-0.018,1.67,11.593,2.84,8.064,102.843,7.53,0.379,4.043,4.153,3.762,3.57,5.056,3.524,4.621,4.791,4.089,3.953,5.837,3.889,4.891,5.096,4.124,4.098,5.992,3.99,4.954,5.167,4.06,4.048,6.105,3.958,4.873,5.081,3.959,3.921,6.134,3.85
6.886,4,-0.038,3.852,100.88,109.26,89.711,0.923,-0.494,2.787,0.018,-0.177,0.968,0.087,0.868,0.762,0.093,-0.025,1.735,12.222,2.439,5.949,100.053,7.87,0.379,4.021,4.121,3.773,3.517,5.082,3.492,4.588,4.747,4.094,3.884,5.85,3.846,4.815,4.997,4.127,4.02,5.986,3.94,4.875,5.073,4.036,3.971,6.068,3.899,4.781,4.976,3.932,3.834,6.081,3.778
4.301,3,-0.035,3.856,91.65,100.03,91.361,0.981,-0.417,2.759,0.045,-0.12,0.968,0.044,0.926,0.817,0.03,-0.058,1.699,11.577,2.462,6.063,98.424,7.704,0.393,3.991,4.097,3.734,3.519,5.015,3.478,4.563,4.729,4.049,3.897,5.804,3.836,4.821,5.021,4.068,4.023,5.942,3.913,4.869,5.085,3.968,3.933,6.025,3.847,4.723,4.921,3.895,3.787,6.013,3.732
7.301,3,0.112,3.758,100.88,109.26,96.961,1.093,-0.494,2.735,0.008,-0.247,0.878,-0.034,1.054,1.107,-0.097,-0.111,1.771,11.28,1.407,1.98,92.492,7.988,0.423,3.929,4.029,3.698,3.398,5.044,3.378,4.466,4.627,3.989,3.721,5.789,3.695,4.618,4.769,3.996,3.847,5.908,3.783,4.763,4.961,3.951,3.814,5.998,3.765,4.698,4.89,3.916,3.716,6.066,3.679
