pXC50,nBM,nCsp2,AMW,C.,H.,Me
6.886,21,15,7.382,44.2,44.2,0.993
7.824,21,15,7.382,44.2,44.2,0.993
7.824,21,15,7.164,42.3,46.2,0.992
8.301,21,15,7.585,45.0,42.5,0.995
6.745,16,11,7.784,40.0,42.5,1.012
5.824,17,12,7.574,41.0,43.6,1.004
7.432,16,11,7.462,38.1,45.2,1.008
6.377,16,11,7.466,37.0,45.7,1.012
7.62,21,14,7.805,43.6,41.0,1.001
7.398,16,11,7.457,39.5,44.7,1.004
6.886,18,15,8.109,42.5,40.0,1.017
8.046,16,11,7.712,40.5,43.2,1.009
6.337,21,15,7.821,45.9,40.5,0.998
6.004,22,15,8.036,48.7,38.5,0.998
5.721,22,16,8.107,43.9,39.0,1.009
5.745,27,21,7.776,48.9,40.4,0.993
6.0,21,15,7.15,44.0,46.0,0.989
7.229,21,15,7.316,42.9,44.9,0.993
7.284,21,15,7.028,41.8,47.3,0.99
7.041,22,16,7.417,42.6,44.4,0.998
6.678,22,16,7.273,42.1,45.6,0.996
7.0,22,16,7.143,41.7,46.7,0.994
7.444,21,15,7.028,41.8,47.3,0.99
6.569,21,15,6.907,41.4,48.3,0.988
7.032,21,15,6.797,41.0,49.2,0.987
7.268,23,15,7.938,40.0,43.6,1.005
6.252,23,15,7.769,39.7,44.8,1.003
6.921,23,15,7.617,39.3,45.9,1.001
7.745,16,11,8.464,41.2,41.2,1.007
7.699,16,11,8.464,41.2,41.2,1.007
8.398,16,11,9.477,41.2,38.2,1.017
7.319,16,11,6.87,39.5,48.8,0.99
7.854,16,11,6.87,39.5,48.8,0.99
7.886,16,11,7.226,40.5,45.9,0.995
7.721,16,11,7.226,40.5,45.9,0.995
8.046,16,11,7.035,40.0,47.5,0.992
8.301,16,11,7.254,39.0,46.3,1.001
6.481,21,15,7.585,45.0,42.5,0.995
8.222,21,15,7.578,43.2,43.2,1.0
8.301,21,15,7.393,42.6,44.7,0.998
6.046,21,15,7.578,43.2,43.2,1.0
7.347,16,11,8.036,40.5,40.5,1.016
7.77,16,11,7.367,40.5,45.2,1.001
5.523,25,17,8.36,46.5,39.5,0.997
6.495,22,17,7.308,44.7,44.7,0.991
5.658,22,17,7.487,45.5,43.2,0.993
5.959,22,17,7.489,43.8,43.8,0.998
7.252,16,11,7.88,39.5,44.7,0.997
6.638,17,14,8.182,48.3,37.9,1.006
7.824,17,14,7.116,42.6,46.8,0.993
5.523,17,14,8.036,43.2,40.5,1.016
5.523,17,14,7.815,44.4,41.7,1.007
5.523,17,14,6.97,42.0,48.0,0.991
6.854,18,15,7.478,40.4,44.7,1.005
6.42,18,15,7.662,41.3,43.5,1.01
6.886,18,15,7.25,40.7,46.3,1.0
6.921,18,15,7.25,40.7,46.3,1.0
6.745,18,15,7.907,43.6,41.0,1.009
7.161,18,15,7.676,42.9,42.9,1.006
7.658,18,15,7.147,41.2,47.1,0.998
7.222,18,15,7.397,42.9,44.9,1.0
7.387,18,15,7.24,42.3,46.2,0.998
7.745,18,15,7.101,41.8,47.3,0.996
6.796,18,15,7.777,44.2,41.9,1.006
6.284,24,21,8.009,46.0,40.0,1.009
6.854,23,18,8.14,43.5,39.1,1.012
6.824,17,14,6.97,42.0,48.0,0.991
7.699,17,14,6.97,42.0,48.0,0.991
7.523,17,14,6.84,41.5,49.1,0.99
6.0,17,14,7.282,43.2,45.5,0.996
6.387,17,14,7.282,43.2,45.5,0.996
6.18,17,14,7.116,42.6,46.8,0.993
7.538,17,14,7.116,42.6,46.8,0.993
7.167,17,14,6.97,42.0,48.0,0.991
7.187,17,14,7.116,42.6,46.8,0.993
6.921,17,14,7.282,43.2,45.5,0.996
7.174,17,14,7.156,43.9,46.3,0.993
7.201,17,14,6.987,43.2,47.7,0.991
6.796,17,14,6.97,42.0,48.0,0.991
6.658,17,14,7.301,41.7,45.8,1.0
7.367,17,14,6.991,40.4,48.1,0.994
6.745,17,14,6.864,40.0,49.1,0.992
6.721,23,20,7.987,48.9,40.0,1.005
6.585,23,19,7.782,47.7,40.9,0.998
6.244,18,15,7.115,40.4,47.4,0.998
5.796,21,15,7.382,44.2,44.2,0.993
7.509,21,15,7.206,43.5,45.7,0.991
6.174,18,15,8.438,45.7,37.1,1.02
