pXC50,nC,Sp
4.085,15,20.142
4.0,32,55.893
4.448,31,48.892
4.36,14,23.057
4.251,14,25.267
4.0,10,16.483
4.394,19,29.438
4.288,15,25.199
4.23,19,30.086
4.0,20,31.847
4.437,21,33.608
4.361,24,39.608
4.0,22,34.909
4.496,31,50.336
4.0,21,30.955
4.32,21,31.818
4.0,23,37.216
4.0,17,30.398
4.0,19,27.705
4.0,22,34.955
4.69,13,18.324
4.199,25,39.745
4.311,21,37.085
4.482,9,16.489
4.0,26,40.978
4.116,19,31.79
4.207,17,25.04
4.0,20,29.921
4.281,18,27.137
4.45,27,43.699
4.498,16,23.585
4.288,21,36.029
5.448,28,43.864
4.0,18,31.58
4.0,23,35.023
4.27,28,38.682
4.363,20,33.552
4.468,19,26.881
4.077,26,41.432
4.459,12,16.87
4.0,24,37.301
4.188,17,28.358
4.114,26,37.949
4.355,24,40.114
4.336,28,46.285
4.0,22,36.625
4.0,24,39.25
4.43,19,29.296
4.0,25,38.642
4.0,17,25.318
4.457,16,29.068
4.0,19,29.489
4.437,28,45.915
4.452,10,14.102
4.0,22,39.364
4.0,24,37.08
4.476,21,33.835
4.384,24,37.455
4.36,20,29.745
4.0,23,36.097
4.161,21,32.176
4.0,17,24.245
4.0,18,29.063
4.402,19,28.159
4.25,26,41.438
4.347,23,36.455
4.329,16,26.324
4.492,18,25.943
4.418,19,29.926
4.496,28,45.915
4.318,22,31.369
4.237,20,33.551
4.0,22,36.216
4.0,19,27.949
4.287,28,41.114
4.0,25,39.438
4.395,23,32.5
4.438,27,41.716
4.309,19,29.472
4.342,26,41.864
4.472,14,19.318
4.258,21,34.188
4.385,24,34.324
4.401,12,22.625
4.0,22,33.784
4.311,21,33.387
4.204,21,34.335
4.181,24,41.216
4.0,10,16.938
4.461,24,38.432
4.242,17,23.727
4.0,24,37.676
4.406,28,46.176
4.0,31,46.432
4.342,20,35.381
4.201,23,32.563
4.0,16,27.938
4.0,23,38.137
4.0,20,26.199
4.0,22,36.216
4.356,21,31.228
4.388,8,15.619
4.0,25,37.784
4.0,22,36.375
4.0,19,32.341
4.448,24,39.852
4.0,21,34.455
4.064,20,33.302
4.359,22,37.074
4.0,28,45.461
4.0,21,28.733
4.38,27,43.199
4.341,24,34.779
4.457,25,40.239
4.386,20,30.881
4.438,17,26.591
4.49,25,39.034
4.418,27,41.83
4.0,18,26.154
4.0,11,20.261
4.0,17,25.642
4.0,25,37.784
4.0,17,24.205
4.48,10,18.381
4.462,19,33.495
4.0,25,37.932
4.402,19,28.466
4.0,14,23.108
4.0,16,25.813
4.334,26,45.597
4.0,21,28.415
4.376,10,16.33
5.304,10,15.352
4.0,6,12.779
4.32,16,24.137
4.0,17,25.864
4.266,19,28.921
4.152,15,24.591
4.307,30,46.193
4.484,14,24.818
4.286,28,42.426
4.0,24,39.137
4.0,15,22.245
4.239,29,41.324
4.329,23,37.733
4.0,15,21.273
4.408,21,33.608
