pXC50,RBN,MW,nHet,nBO,nS,nSK,nHM,Mv,SCBO,nCL,Sv,Sp,X.,H.,Mi,nC,nBT
4.824,7,291.86,4,21,0,20,1,0.599,26.5,1,25.16,27.489,2.4,52.4,1.133,16,43
4.363,13,474.21,6,35,0,33,1,0.565,40.5,1,43.47,48.114,1.3,57.1,1.139,27,79
4.024,14,437.19,5,31,0,30,1,0.546,34.0,1,40.976,45.87,1.3,60.0,1.142,25,76
4.745,6,291.86,4,21,0,20,1,0.599,26.5,1,25.16,27.489,2.4,52.4,1.133,16,43
4.77,8,333.95,4,24,0,23,1,0.583,29.5,1,29.74,32.773,2.0,54.9,1.134,19,52
4.155,2,206.69,3,15,0,14,1,0.66,20.5,1,16.504,17.676,4.0,44.0,1.121,11,26
4.0,9,330.48,6,25,0,24,0,0.586,32.5,0,29.31,31.307,0.0,52.0,1.14,18,51
4.066,4,289.84,4,22,0,20,1,0.616,27.5,1,24.633,26.728,2.5,50.0,1.129,16,42
4.155,5,277.83,4,20,0,19,1,0.606,25.5,1,23.633,25.728,2.6,51.3,1.133,15,40
4.187,4,323.4,6,25,0,23,0,0.616,30.5,0,26.482,27.444,7.0,46.5,1.155,17,45
4.149,5,311.39,6,23,0,22,0,0.607,28.5,0,25.482,26.444,7.1,47.6,1.159,16,43
7.466,11,496.11,8,38,0,35,1,0.613,47.5,1,42.266,45.216,1.4,49.3,1.132,27,72
7.398,12,497.1,9,38,0,35,1,0.614,48.5,1,41.761,44.461,1.5,48.5,1.135,26,71
7.363,13,644.33,8,53,0,47,1,0.634,69.5,1,56.46,60.603,1.1,47.2,1.123,39,95
7.102,12,558.18,8,44,0,40,1,0.629,56.5,1,47.793,50.978,1.3,47.4,1.125,32,80
7.212,12,482.13,7,37,0,34,1,0.601,45.5,1,42.078,45.523,1.4,51.4,1.133,27,73
7.372,11,503.15,7,40,0,36,1,0.618,51.0,1,43.858,47.313,1.4,49.3,1.129,29,75
7.396,11,432.07,7,32,0,30,1,0.587,38.5,1,37.551,40.762,1.6,53.1,1.139,23,66
7.469,10,430.05,7,33,0,30,1,0.597,39.5,1,37.024,40.0,1.6,51.6,1.136,23,65
7.321,15,602.29,8,47,0,43,1,0.608,58.5,1,52.9,57.023,1.1,50.6,1.128,35,91
7.567,13,470.17,6,37,0,33,1,0.581,42.5,1,42.417,46.592,1.4,54.8,1.136,27,77
4.301,6,311.42,5,24,0,23,0,0.619,32.0,0,27.235,28.779,0.0,47.7,1.128,18,45
4.0,5,326.43,5,25,0,24,0,0.619,33.0,0,28.455,29.989,0.0,47.8,1.126,19,47
4.301,4,310.43,4,24,0,23,0,0.616,32.0,0,27.74,29.534,0.0,48.9,1.124,19,46
4.301,4,302.43,5,22,1,21,1,0.638,29.5,0,24.874,26.659,0.0,46.2,1.119,16,40
4.0,4,330.84,5,24,0,23,1,0.644,32.0,1,27.041,28.631,2.4,45.2,1.121,18,43
4.0,7,367.54,5,28,0,27,0,0.595,36.0,0,33.342,35.824,0.0,51.8,1.131,22,57
4.0,4,296.4,4,23,0,22,0,0.624,31.0,0,26.214,27.773,0.0,47.6,1.123,18,43
7.629,10,493.16,7,39,0,35,1,0.603,47.5,1,43.385,47.074,1.4,51.4,1.133,28,76
6.31,5,514.88,8,37,1,33,4,0.729,49.5,3,37.19,39.546,5.9,35.3,1.102,25,55
6.013,7,542.94,8,39,1,35,4,0.706,51.5,3,40.243,43.068,5.3,38.6,1.106,27,61
