pXC50,nN,O.,nDB,RBF,nO,N.
7.74,2,6.9,4,0.133,5,2.8
8.386,2,7.4,4,0.127,5,2.9
7.04,2,6.9,4,0.133,5,2.8
7.137,2,7.2,4,0.139,5,2.9
6.489,2,5.1,0,0.138,4,2.6
6.444,2,9.8,4,0.07,4,4.9
9.0,2,11.3,6,0.148,6,3.8
7.097,2,11.3,6,0.148,6,3.8
4.523,2,4.2,1,0.14,2,4.2
4.523,3,0.0,0,0.037,0,5.9
4.699,5,0.0,0,0.077,0,10.2
4.592,0,9.1,1,0.133,4,0.0
4.523,0,9.1,1,0.133,4,0.0
5.292,1,10.9,2,0.104,5,2.2
4.523,4,4.2,4,0.12,3,5.6
9.199,2,14.0,6,0.114,6,4.7
6.824,2,5.6,0,0.181,4,2.8
4.699,6,4.2,3,0.051,3,8.3
4.699,6,5.6,3,0.078,4,8.3
4.699,6,5.6,3,0.078,4,8.3
5.0,6,4.5,2,0.069,3,9.0
5.0,5,4.4,2,0.068,3,7.4
5.0,6,4.5,2,0.069,3,9.0
5.0,6,4.5,2,0.069,3,9.0
5.301,2,12.0,5,0.115,6,4.0
6.602,2,12.0,5,0.115,6,4.0
6.187,2,12.0,5,0.115,6,4.0
5.301,1,8.3,3,0.1,4,2.1
5.523,2,12.0,5,0.115,6,4.0
5.222,2,12.0,5,0.115,6,4.0
7.523,2,12.0,5,0.115,6,4.0
6.301,1,8.3,3,0.1,4,2.1
7.545,2,10.2,4,0.12,5,4.1
5.495,2,6.2,2,0.134,4,3.1
4.345,2,5.9,3,0.083,2,5.9
4.863,3,11.1,5,0.105,4,8.3
4.5,4,4.8,2,0.127,3,6.5
5.569,3,9.8,5,0.143,4,7.3
4.301,2,4.7,3,0.133,2,4.7
8.301,3,8.3,5,0.04,4,6.3
4.433,3,12.5,5,0.088,4,9.4
4.301,3,11.1,5,0.105,4,8.3
5.456,3,6.8,3,0.12,5,4.1
5.763,3,6.8,3,0.12,5,4.1
6.059,3,8.3,5,0.04,4,6.3
5.818,2,5.1,3,0.125,2,5.1
7.523,3,9.8,5,0.143,4,7.3
6.319,3,10.8,5,0.132,4,8.1
7.745,2,4.3,3,0.021,2,4.3
7.745,2,10.0,5,0.073,4,5.0
6.979,3,13.2,3,0.154,5,7.9
7.857,2,8.9,4,0.121,5,3.6
7.0,3,3.7,3,0.07,2,5.6
6.569,3,3.7,3,0.07,2,5.6
6.602,3,4.2,3,0.08,2,6.3
7.695,2,7.4,4,0.127,5,2.9
7.64,2,8.1,4,0.141,5,3.2
8.162,2,7.2,4,0.139,5,2.9
6.328,2,5.3,0,0.143,4,2.7
6.305,3,7.3,4,0.123,4,5.5
5.469,4,9.5,3,0.14,4,9.5
7.456,2,5.1,1,0.125,2,5.1
6.921,3,11.4,3,0.139,4,8.6
7.921,3,9.8,3,0.143,4,7.3
8.585,3,9.1,3,0.156,4,6.8
7.638,3,10.0,5,0.146,4,7.5
9.594,2,13.0,6,0.128,6,4.3
4.523,2,6.5,3,0.045,4,3.2
4.827,2,1.9,1,0.113,1,3.8
4.553,4,4.8,2,0.045,3,6.5
4.585,5,4.7,2,0.058,3,7.8
4.523,3,5.9,2,0.036,3,5.9
4.699,3,3.8,1,0.036,2,5.8
7.403,2,8.2,4,0.145,6,2.7
4.523,5,3.6,1,0.051,2,9.1
4.523,5,2.1,1,0.06,1,10.6
4.523,4,6.8,3,0.079,4,6.8
4.523,6,3.9,1,0.073,2,11.8
5.167,5,3.4,1,0.063,2,8.6
5.523,5,3.4,1,0.063,2,8.6
4.523,3,6.3,1,0.059,3,6.3
4.523,5,3.8,1,0.071,2,9.6
4.921,3,4.0,1,0.056,2,6.0
4.824,5,4.2,1,0.059,2,10.4
4.523,5,3.8,1,0.071,2,9.6
4.523,6,3.9,1,0.073,2,11.8
4.523,4,2.2,1,0.063,1,8.9
4.523,4,7.1,2,0.083,4,7.1
4.523,4,4.7,1,0.065,2,9.3
4.523,4,4.7,1,0.065,2,9.3
5.699,4,3.6,1,0.067,2,7.1
4.523,5,3.8,1,0.071,2,9.6
4.959,5,2.1,1,0.06,1,10.6
4.523,5,3.4,1,0.048,2,8.6
4.523,5,2.3,1,0.064,1,11.4
4.523,4,4.3,1,0.061,2,8.7
4.721,5,3.8,1,0.071,2,9.6
4.523,5,2.3,1,0.064,1,11.4
4.523,3,9.3,3,0.143,5,5.6
7.284,2,9.6,4,0.132,5,3.8
7.102,2,7.4,4,0.157,5,2.9
6.914,2,11.6,4,0.091,5,4.7
7.567,2,10.2,4,0.12,5,4.1
6.38,2,8.1,4,0.125,5,3.2
