pXC50,Mv,nO,RBF,N.,AMW,C.,H.,Me,Mi,Mp,MW,nAB,nAT
1.301,0.641,7,0.137,4.1,8.744,34.7,42.9,1.028,1.128,0.676,428.44,6,49
5.412,0.837,4,0.075,0.0,21.629,52.6,26.3,1.02,1.069,0.994,821.9,12,38
2.921,0.674,5,0.098,2.6,8.342,46.2,38.5,1.024,1.114,0.682,325.34,12,39
4.301,0.674,5,0.098,2.6,8.342,46.2,38.5,1.024,1.114,0.682,325.34,12,39
3.699,0.674,5,0.098,2.6,8.342,46.2,38.5,1.024,1.114,0.682,325.34,12,39
3.538,0.674,5,0.098,2.6,8.342,46.2,38.5,1.024,1.114,0.682,325.34,12,39
2.167,0.659,5,0.125,6.5,9.172,35.5,38.7,1.043,1.13,0.669,284.32,6,31
2.602,0.659,5,0.125,6.5,9.172,35.5,38.7,1.043,1.13,0.669,284.32,6,31
7.456,0.602,5,0.106,4.4,7.61,33.3,48.9,1.017,1.136,0.634,342.46,0,45
9.0,0.726,3,0.053,8.8,10.16,44.1,32.4,1.029,1.107,0.757,345.43,9,34
4.301,0.69,3,0.034,3.7,9.321,44.4,37.0,1.031,1.117,0.705,251.68,6,27
9.0,0.694,3,0.059,9.7,9.334,41.9,35.5,1.029,1.119,0.712,289.34,5,31
5.0,0.646,3,0.074,3.8,7.893,42.3,42.3,1.019,1.123,0.661,205.23,6,26
4.222,0.7,3,0.074,3.8,11.62,42.3,34.6,1.048,1.13,0.71,302.11,6,26
4.409,0.673,3,0.034,3.7,8.712,44.4,37.0,1.038,1.131,0.671,235.23,6,27
4.699,0.661,3,0.074,3.8,8.585,42.3,38.5,1.039,1.136,0.658,223.22,6,26
4.824,0.6,5,0.094,5.9,7.52,33.3,49.0,1.014,1.138,0.634,383.52,0,51
6.377,0.661,5,0.056,8.8,9.157,35.3,38.2,1.042,1.133,0.669,311.35,6,34
7.222,0.655,5,0.088,12.5,9.385,31.3,37.5,1.052,1.144,0.656,300.33,5,32
5.143,0.616,4,0.158,8.1,8.092,32.4,45.9,1.024,1.139,0.644,299.39,0,37
4.495,0.65,3,0.031,3.3,8.378,40.0,43.3,1.015,1.118,0.686,251.33,0,30
4.0,0.65,3,0.031,3.3,8.378,40.0,43.3,1.015,1.118,0.686,251.33,0,30
4.229,0.615,4,0.069,3.6,8.261,32.1,46.4,1.028,1.134,0.644,231.3,0,28
4.32,0.612,6,0.059,3.0,8.404,30.3,45.5,1.04,1.139,0.628,277.33,0,33
3.187,0.633,5,0.117,10.5,8.45,33.3,43.9,1.023,1.137,0.664,481.64,5,57
4.857,0.658,2,0.074,0.0,7.617,46.2,42.3,0.994,1.094,0.724,198.04,12,26
4.526,0.658,2,0.136,0.0,6.818,36.4,50.0,0.993,1.111,0.674,150.0,6,22
4.367,0.658,2,0.12,0.0,8.72,36.0,40.0,1.051,1.155,0.656,218.0,6,25
4.237,0.658,2,0.12,0.0,6.561,36.0,52.0,0.989,1.114,0.663,164.03,6,25
4.027,0.658,2,0.063,0.0,11.926,37.5,31.3,1.045,1.094,0.813,190.82,6,16
4.553,0.658,2,0.063,0.0,12.552,37.5,37.5,1.019,1.091,0.79,200.83,6,16
8.0,0.695,3,0.082,6.7,9.145,44.4,37.8,1.014,1.108,0.733,411.54,11,45
4.31,0.658,4,0.16,0.0,7.76,36.0,44.0,1.02,1.114,0.669,194.01,6,25
6.137,0.709,3,0.057,9.4,10.044,40.6,34.4,1.03,1.113,0.741,321.41,5,32
9.398,0.694,4,0.057,9.4,9.542,40.6,34.4,1.038,1.122,0.704,305.34,5,32
8.398,0.668,3,0.051,11.1,8.844,38.9,38.9,1.025,1.128,0.69,318.39,5,36
9.0,0.709,3,0.057,9.4,10.044,40.6,34.4,1.03,1.113,0.741,321.41,5,32
4.387,0.658,2,0.136,0.0,8.384,36.4,45.5,1.008,1.108,0.713,184.44,6,22
4.357,0.658,2,0.103,0.0,7.145,42.9,46.4,0.99,1.102,0.699,200.06,11,28
8.523,0.741,3,0.05,8.3,10.263,47.2,30.6,1.027,1.101,0.77,369.45,14,36
8.0,0.763,3,0.054,9.1,10.77,48.5,27.3,1.033,1.097,0.787,355.42,14,33
8.046,0.741,3,0.05,8.3,10.263,47.2,30.6,1.027,1.101,0.77,369.45,14,36
8.097,0.774,3,0.054,9.1,11.315,48.5,24.2,1.049,1.108,0.785,373.41,14,33
7.244,0.606,4,0.073,2.6,7.112,38.5,48.7,1.009,1.13,0.633,277.35,0,39
7.495,0.593,4,0.106,2.2,6.787,37.8,51.1,1.003,1.131,0.627,305.41,0,45
7.658,0.606,4,0.073,2.6,7.112,38.5,48.7,1.009,1.13,0.633,277.35,0,39
7.432,0.658,4,0.103,3.6,9.396,39.3,35.7,1.028,1.102,0.736,263.1,10,28
6.0,0.658,4,0.179,2.6,7.768,34.2,47.4,1.009,1.119,0.675,295.2,10,38
6.347,0.658,3,0.111,3.8,9.042,38.5,38.5,1.018,1.102,0.737,235.09,10,26
7.432,0.658,4,0.132,5.6,9.116,41.7,36.1,1.022,1.105,0.733,328.18,16,36
7.553,0.658,3,0.109,2.3,10.209,40.9,31.8,1.067,1.154,0.695,449.21,16,44
7.347,0.658,4,0.125,2.6,8.605,39.5,39.5,1.009,1.096,0.743,327.0,16,38
6.602,0.658,3,0.122,2.6,8.339,43.6,41.0,1.003,1.1,0.729,325.22,16,39
7.553,0.658,4,0.161,3.3,8.837,36.7,40.0,1.023,1.109,0.713,265.12,10,30
6.77,0.658,2,0.091,12.9,8.876,35.5,38.7,1.016,1.12,0.721,275.15,15,31
7.097,0.658,2,0.114,0.0,9.098,45.5,39.4,0.996,1.082,0.784,300.23,16,33
5.602,0.658,2,0.067,0.0,8.666,26.7,46.7,1.01,1.102,0.73,129.99,0,15
6.222,0.658,3,0.132,0.0,8.283,44.4,41.7,1.0,1.094,0.735,298.19,16,36
7.081,0.658,3,0.114,0.0,10.698,45.5,33.3,1.024,1.087,0.8,353.04,16,33
7.523,0.658,2,0.043,0.0,8.73,40.9,40.9,1.002,1.088,0.759,192.06,10,22
4.287,0.638,5,0.065,3.3,9.312,30.0,43.3,1.04,1.129,0.671,279.37,0,30
4.836,0.622,6,0.065,3.3,8.777,30.0,43.3,1.048,1.139,0.632,263.3,0,30
5.167,0.638,5,0.065,3.3,9.312,30.0,43.3,1.04,1.129,0.671,279.37,0,30
4.16,0.652,5,0.036,3.7,9.827,29.6,40.7,1.048,1.128,0.681,265.34,0,27
9.398,0.694,4,0.057,9.4,9.542,40.6,34.4,1.038,1.122,0.704,305.34,5,32
4.824,0.629,6,0.117,8.8,8.133,35.1,43.9,1.024,1.137,0.649,463.57,11,57
4.509,0.615,4,0.069,3.6,8.261,32.1,46.4,1.028,1.134,0.644,231.3,0,28
4.699,0.627,7,0.114,2.3,8.312,34.9,44.2,1.033,1.131,0.644,357.42,0,43
4.62,0.646,5,0.086,5.9,8.775,35.3,41.2,1.036,1.131,0.662,298.35,0,34
4.921,0.611,6,0.114,4.7,8.01,32.6,46.5,1.028,1.137,0.633,344.43,0,43
5.699,0.683,5,0.125,5.3,9.116,42.1,36.8,1.032,1.117,0.697,346.39,6,38
6.222,0.65,5,0.08,10.6,8.627,36.2,40.4,1.03,1.135,0.666,405.48,11,47
4.699,0.679,5,0.122,2.6,8.856,43.6,38.5,1.026,1.112,0.699,345.4,6,39
6.097,0.685,7,0.119,5.0,9.46,40.0,35.0,1.047,1.122,0.685,378.39,6,40
4.699,0.68,7,0.116,2.4,9.205,41.5,36.6,1.04,1.117,0.687,377.4,6,41
8.301,0.639,9,0.149,2.2,8.727,34.8,41.3,1.045,1.131,0.643,401.43,0,46
4.699,0.635,7,0.156,2.3,8.396,36.4,43.2,1.032,1.128,0.652,369.43,0,44
7.131,0.661,6,0.091,6.3,9.385,34.4,37.5,1.052,1.133,0.662,300.32,0,32
4.699,0.706,7,0.125,3.2,12.264,35.5,32.3,1.068,1.123,0.709,380.19,0,31
4.699,0.66,8,0.139,2.9,9.467,34.3,37.1,1.06,1.131,0.653,331.33,0,35
4.081,0.658,2,0.063,0.0,12.552,37.5,37.5,1.019,1.091,0.79,200.83,6,16
4.081,0.658,2,0.12,0.0,6.561,36.0,52.0,0.989,1.114,0.663,164.03,6,25
4.301,0.658,3,0.154,0.0,6.924,34.6,50.0,1.002,1.118,0.655,180.03,6,26
4.137,0.648,19,0.133,2.8,8.541,38.3,40.2,1.04,1.128,0.65,913.94,12,107
4.602,0.657,17,0.113,2.8,8.5,40.7,39.8,1.033,1.123,0.663,917.97,18,108
6.886,0.603,5,0.091,3.1,7.54,34.4,46.9,1.029,1.139,0.613,241.27,0,32
6.523,0.653,9,0.149,6.7,9.232,33.3,37.8,1.056,1.138,0.646,415.42,5,45
6.866,0.618,7,0.093,2.4,8.224,33.3,45.2,1.034,1.134,0.635,345.41,0,42
6.292,0.632,5,0.085,6.7,8.256,31.1,46.7,1.017,1.132,0.685,371.54,5,45
5.155,0.65,5,0.086,9.1,9.071,33.3,39.4,1.044,1.138,0.659,299.34,5,33
6.523,0.652,7,0.122,7.7,9.164,33.3,38.5,1.051,1.138,0.652,357.38,5,39
6.222,0.664,7,0.105,8.3,9.538,33.3,36.1,1.058,1.138,0.657,343.35,5,36
