pXC50,nAB,nCsp2,nS,nBM,Mp,AMW,Mi,Sv,nCsp3,Si,nH,Mv,H.,nN,nDB,Sp,nC,nAT,nBT,Se,C.,Me,MW,N.,nB,nBO,nBR,nCL,nCsp,nF
4.775,16,11,0,18,0.652,8.955,1.151,24.589,2,42.571,13,0.665,35.1,7,2,24.142,13,37,39,38.673,35.1,1.045,331.33,18.9,0,26,0,0,0,0
4.347,21,15,1,21,0.722,8.714,1.124,25.423,1,41.571,14,0.687,37.8,6,0,26.728,16,37,40,37.222,43.2,1.006,322.43,16.2,0,26,0,0,0,0
6.301,16,11,0,16,0.677,8.01,1.141,19.709,1,34.235,12,0.657,40.0,6,0,20.318,12,30,32,30.262,40.0,1.009,240.3,20.0,0,20,0,0,0,0
8.131,18,17,0,21,0.654,7.641,1.138,36.035,5,64.853,25,0.632,43.9,7,3,37.256,22,57,59,57.647,38.6,1.011,435.54,12.3,0,34,0,0,0,0
4.31,16,11,0,16,0.644,7.884,1.15,25.213,3,45.983,17,0.63,42.5,7,0,25.756,14,40,42,40.785,35.0,1.02,315.38,17.5,0,25,0,0,0,0
4.469,16,11,0,16,0.636,7.85,1.15,27.455,4,50.608,19,0.624,43.2,7,0,27.972,15,44,46,44.996,34.1,1.023,345.41,15.9,0,27,0,0,0,0
8.149,18,19,0,23,0.639,7.612,1.138,48.529,10,88.767,35,0.622,44.9,7,5,49.881,29,78,80,79.374,37.2,1.018,593.71,9.0,0,45,0,0,0,0
4.849,16,11,0,16,0.657,8.181,1.145,22.665,2,40.069,14,0.648,40.0,6,0,22.989,13,35,37,35.8,37.1,1.023,286.33,17.1,0,23,0,0,0,0
8.509,18,17,0,21,0.659,7.972,1.135,34.202,4,60.149,22,0.645,41.5,6,3,34.943,21,53,55,53.989,39.6,1.019,422.49,11.3,0,33,0,0,0,0
8.102,18,17,0,21,0.654,7.641,1.138,36.035,5,64.853,25,0.632,43.9,7,3,37.256,22,57,59,57.647,38.6,1.011,435.54,12.3,0,34,0,0,0,0
8.237,18,16,1,22,0.67,8.53,1.138,33.884,3,59.152,21,0.652,40.4,7,4,34.835,19,52,54,53.283,36.5,1.025,443.54,13.5,0,33,0,0,0,0
8.208,18,19,0,23,0.649,8.145,1.138,42.421,6,75.106,27,0.643,40.9,7,5,42.835,25,66,68,67.84,37.9,1.028,537.59,10.6,0,41,0,0,0,0
4.516,22,17,0,22,0.713,8.273,1.122,26.236,1,42.651,14,0.69,36.8,6,0,27.08,18,38,42,38.145,47.4,1.004,314.38,15.8,0,28,0,0,0,0
4.482,22,17,0,22,0.705,8.172,1.126,25.236,0,41.651,14,0.682,37.8,6,0,26.08,17,37,40,37.145,45.9,1.004,302.37,16.2,0,26,0,0,0,0
6.078,16,11,0,16,0.646,8.112,1.146,24.907,3,44.694,16,0.639,41.0,6,0,25.205,14,39,41,40.011,35.9,1.026,316.36,15.4,0,25,0,0,0,0
6.854,18,17,0,21,0.653,7.431,1.136,40.089,8,72.684,29,0.626,45.3,7,3,41.779,25,64,67,64.414,39.1,1.006,475.61,10.9,0,38,0,0,0,0
7.854,18,17,0,21,0.653,7.431,1.136,40.089,8,72.684,29,0.626,45.3,7,3,41.779,25,64,67,64.414,39.1,1.006,475.61,10.9,0,38,0,0,0,0
8.745,18,17,0,21,0.664,8.169,1.135,32.675,3,56.734,20,0.654,40.0,6,3,33.182,20,50,52,51.105,40.0,1.022,408.46,12.0,0,32,0,0,0,0
8.367,18,17,0,21,0.657,7.806,1.138,34.509,4,61.438,23,0.639,42.6,7,3,35.495,21,54,56,54.763,38.9,1.014,421.51,13.0,0,33,0,0,0,0
5.569,0,4,0,4,0.623,8.34,1.146,25.426,8,48.132,19,0.605,45.2,2,4,26.182,12,42,43,43.749,28.6,1.042,350.3,4.8,0,24,0,0,0,0
7.155,16,12,1,16,0.681,8.06,1.128,26.39,4,46.238,18,0.644,43.9,4,0,27.909,16,41,43,41.323,39.0,1.008,330.45,9.8,0,25,0,0,0,0
4.703,16,15,0,19,0.645,8.194,1.14,34.632,5,61.568,22,0.641,40.7,6,3,34.852,20,54,56,55.643,37.0,1.03,442.48,11.1,0,34,0,0,0,0
6.0,16,11,0,16,0.651,8.398,1.147,23.38,2,41.279,14,0.649,38.9,6,0,23.443,13,36,38,37.127,36.1,1.031,302.33,16.7,0,24,0,0,0,0
5.522,16,11,0,16,0.657,8.181,1.145,22.665,2,40.069,14,0.648,40.0,6,0,22.989,13,35,37,35.8,37.1,1.023,286.33,17.1,0,23,0,0,0,0
5.822,16,11,0,16,0.646,8.112,1.146,24.907,3,44.694,16,0.639,41.0,6,0,25.205,14,39,41,40.011,35.9,1.026,316.36,15.4,0,25,0,0,0,0
7.824,18,16,0,20,0.655,7.795,1.135,35.729,6,63.564,24,0.638,42.9,6,2,36.705,22,56,59,56.872,39.3,1.016,436.52,10.7,0,35,0,0,0,0
5.743,16,11,0,16,0.646,8.112,1.146,24.907,3,44.694,16,0.639,41.0,6,0,25.205,14,39,41,40.011,35.9,1.026,316.36,15.4,0,25,0,0,0,0
4.57,21,15,0,21,0.707,8.374,1.128,22.709,0,37.235,12,0.688,36.4,6,0,23.318,15,33,36,33.262,45.5,1.008,276.33,18.2,0,24,0,0,0,0
5.77,16,11,0,16,0.657,8.181,1.145,22.665,2,40.069,14,0.648,40.0,6,0,22.989,13,35,37,35.8,37.1,1.023,286.33,17.1,0,23,0,0,0,0
4.886,21,15,0,21,0.69,8.28,1.131,24.95,1,41.86,14,0.674,37.8,6,0,25.534,16,37,40,37.473,43.2,1.013,306.36,16.2,0,26,0,0,0,0
6.155,16,15,0,19,0.649,8.401,1.14,33.105,4,58.153,20,0.649,39.2,6,3,33.091,19,51,53,52.76,37.3,1.035,428.45,11.8,0,33,0,0,0,0
8.18,17,14,0,17,0.653,7.379,1.135,28.751,4,52.232,21,0.625,45.7,5,0,30.029,18,46,48,46.232,39.1,1.005,339.44,10.9,0,27,0,0,0,0
6.036,17,14,0,17,0.649,7.563,1.137,29.466,4,53.441,21,0.627,44.7,5,0,30.483,18,47,49,47.56,38.3,1.012,355.44,10.6,0,28,0,0,0,0
6.074,17,14,0,17,0.649,7.563,1.137,29.466,4,53.441,21,0.627,44.7,5,0,30.483,18,47,49,47.56,38.3,1.012,355.44,10.6,0,28,0,0,0,0
7.678,17,14,0,17,0.664,6.947,1.13,29.848,6,54.228,23,0.622,47.9,5,0,31.881,20,48,51,47.461,41.7,0.989,333.48,10.4,0,28,0,0,0,0
6.907,17,14,0,17,0.649,7.563,1.137,29.466,4,53.441,21,0.627,44.7,5,0,30.483,18,47,49,47.56,38.3,1.012,355.44,10.6,0,28,0,0,0,0
7.025,17,14,0,17,0.669,7.099,1.129,28.321,5,50.813,21,0.629,46.7,5,0,30.12,19,45,48,44.578,42.2,0.991,319.45,11.1,0,27,0,0,0,0
6.495,17,14,0,17,0.681,7.581,1.131,22.741,1,39.568,15,0.65,42.9,5,0,23.836,15,35,37,34.927,42.9,0.998,265.35,14.3,0,22,0,0,0,0
7.886,17,14,0,18,0.646,7.813,1.14,32.202,5,58.149,22,0.631,43.1,6,1,32.943,19,51,53,51.989,37.3,1.019,398.47,11.8,0,31,0,0,0,0
