pXC50,Mp,Mv,nCsp3,N.,nN,Mi
7.796,0.634,0.621,12,11.5,7,1.153
6.577,0.652,0.631,8,14.6,7,1.142
6.845,0.648,0.623,9,13.7,7,1.142
7.469,0.647,0.631,9,13.7,7,1.148
6.695,0.644,0.646,9,13.7,7,1.162
6.0,0.644,0.625,9,13.5,7,1.143
6.77,0.663,0.627,10,12.7,7,1.138
6.229,0.659,0.629,10,12.5,7,1.139
6.319,0.655,0.63,10,12.3,7,1.14
5.538,0.667,0.634,9,13.5,7,1.137
6.693,0.659,0.637,9,13.0,7,1.14
9.046,0.642,0.64,9,13.5,7,1.156
8.569,0.639,0.633,10,12.7,7,1.155
8.569,0.636,0.626,11,12.1,7,1.154
7.553,0.631,0.615,13,10.9,7,1.153
7.585,0.636,0.647,10,12.7,7,1.167
6.439,0.634,0.621,12,11.5,7,1.153
6.532,0.65,0.645,10,12.1,7,1.153
8.319,0.64,0.634,9,15.1,8,1.159
6.678,0.637,0.627,10,14.3,8,1.158
5.268,0.635,0.621,11,13.6,8,1.157
7.569,0.639,0.633,10,12.7,7,1.155
8.032,0.642,0.641,10,12.3,7,1.153
6.0,0.643,0.642,9,14.5,8,1.157
6.529,0.64,0.635,10,13.8,8,1.156
6.0,0.638,0.629,11,13.1,8,1.155
7.215,0.657,0.655,9,15.4,8,1.154
6.26,0.645,0.648,10,13.0,7,1.154
6.475,0.633,0.628,11,11.9,7,1.155
7.432,0.635,0.634,10,12.5,7,1.156
7.495,0.635,0.634,10,12.5,7,1.156
7.237,0.633,0.628,11,11.9,7,1.155
9.658,0.634,0.628,10,14.0,8,1.158
8.699,0.632,0.623,11,13.3,8,1.157
8.097,0.63,0.617,12,12.7,8,1.157
5.889,0.637,0.635,10,14.8,8,1.16
7.523,0.648,0.636,9,11.5,6,1.15
8.824,0.644,0.637,9,11.3,6,1.152
8.292,0.641,0.63,10,10.7,6,1.151
7.056,0.648,0.636,9,11.5,6,1.15
8.398,0.641,0.63,10,10.7,6,1.151
6.244,0.668,0.65,7,12.1,7,1.138
6.602,0.67,0.646,5,15.4,8,1.137
6.886,0.668,0.636,8,11.7,7,1.131
6.495,0.667,0.642,8,11.7,7,1.136
6.187,0.664,0.636,9,11.1,7,1.137
6.367,0.668,0.65,7,12.1,7,1.138
6.432,0.666,0.644,7,13.6,8,1.14
6.824,0.666,0.644,7,13.6,8,1.14
6.886,0.668,0.651,7,13.1,8,1.139
5.886,0.664,0.645,8,12.5,8,1.139
5.721,0.665,0.639,8,12.5,8,1.134
4.813,0.735,0.705,2,5.6,2,1.111
4.47,0.709,0.692,2,5.6,2,1.122
4.506,0.709,0.692,2,5.6,2,1.122
4.746,0.704,0.696,2,7.9,3,1.119
5.706,0.701,0.668,3,5.1,2,1.114
4.26,0.711,0.696,2,8.1,3,1.117
8.807,0.66,0.633,7,10.6,5,1.133
9.361,0.66,0.634,6,14.6,6,1.139
8.432,0.665,0.641,6,11.4,5,1.132
8.155,0.666,0.644,5,15.8,6,1.139
7.585,0.671,0.651,5,12.2,5,1.132
7.444,0.672,0.656,4,17.1,6,1.139
7.87,0.657,0.635,4,16.2,6,1.143
6.86,0.644,0.62,5,16.7,7,1.147
6.082,0.644,0.62,5,16.7,7,1.147
7.903,0.658,0.637,5,17.5,7,1.144
8.0,0.658,0.636,6,13.0,6,1.137
8.699,0.657,0.644,6,13.0,6,1.145
8.851,0.697,0.675,5,10.7,6,1.12
9.301,0.654,0.629,10,8.3,5,1.132
9.301,0.665,0.641,8,9.4,5,1.129
8.245,0.663,0.635,8,11.1,6,1.132
9.266,0.665,0.643,8,10.7,6,1.131
8.706,0.669,0.642,8,10.9,6,1.13
9.274,0.665,0.643,8,10.7,6,1.131
9.524,0.661,0.636,9,10.2,6,1.132
8.41,0.658,0.63,10,9.7,6,1.132
9.035,0.661,0.636,9,10.2,6,1.132
9.234,0.679,0.657,7,12.5,7,1.129
9.719,0.678,0.66,7,14.5,8,1.133
9.403,0.671,0.651,8,11.7,7,1.131
5.523,0.769,0.749,0,3.3,1,1.09
4.108,0.711,0.696,1,10.3,4,1.115
6.046,0.693,0.685,2,7.3,3,1.118
4.0,0.699,0.684,2,7.5,3,1.115
4.42,0.691,0.672,3,7.0,3,1.117
4.721,0.709,0.691,2,5.7,2,1.116
4.0,0.729,0.687,4,5.6,2,1.11
8.066,0.645,0.638,9,13.7,7,1.155
6.301,0.687,0.66,4,2.5,1,1.111
