pXC50,nAB,nBM,nCsp2,SCBO
6.222,30,32,26,73.0
5.301,11,15,15,46.5
4.796,11,16,15,49.5
4.678,11,15,15,45.5
4.387,11,15,15,44.5
4.921,11,15,15,46.5
6.796,30,32,25,73.0
8.824,24,26,20,65.0
5.0,30,32,26,72.0
5.745,35,37,29,78.5
6.886,30,32,25,73.0
6.658,30,32,26,73.0
5.0,35,37,29,78.5
5.0,35,37,29,78.5
6.097,6,9,10,30.0
7.097,30,32,26,71.0
5.222,30,34,26,76.0
6.377,30,32,25,71.0
5.77,30,33,26,75.0
7.137,30,32,25,73.0
6.097,30,32,25,71.0
6.398,30,32,25,73.0
5.0,30,32,26,72.0
6.745,29,31,24,69.5
6.328,29,31,24,69.5
5.0,30,32,25,73.0
7.62,30,32,26,73.0
5.187,29,31,24,69.5
4.328,0,11,12,63.0
7.638,30,32,26,72.0
6.678,30,32,24,71.0
7.0,30,32,25,73.0
6.921,30,32,25,73.0
6.921,30,32,26,72.0
7.046,30,32,25,73.0
6.886,30,32,25,73.0
5.0,30,32,25,71.0
4.66,11,15,15,39.5
5.398,11,15,15,42.5
4.699,11,15,15,44.5
4.201,6,10,12,30.0
